"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","fieldNumber","infraspecificEpithet","typeStatus","sex"
"12","2021-03-15 16:37:00-03","NY","NYBG","01090451","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"W. J. Burchell","3486","1826","12","09","Brazil","São Paulo",NA,"Near Cubatao at Rio das Pedras in Mr. Smith Citio and immediaty vicinity, in sylvis","-46.442","-23.875",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222448' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090451","NY01090451_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","800774","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"G. Gardner","481","1836",NA,NA,"Brazil",NA,NA,"Serra dos Orgaos","-43.073169","-22.496706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800774","NY00800774_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","800790","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800790","NY00800790_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","800788","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"L. Riedel","558-59",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Com. ex Hb. Horti Imp. Petropol. 1865 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800788","NY00800788_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","811706","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","39906","1977","05","05","Brazil","Paraná","Cerro Azul","Estrela.","-49.2608","-24.8236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811706","NY00811706_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","800786","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"G. Gardner","480","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286244' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800786","NY00800786_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","800779","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"D. Constantino","s.n.","1922","04","28","Brazil","Rio de Janeiro",NA,"Distrito Federal, Corcovado","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800779","NY00800779_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","800776","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"G. Gardner","II481","1837",NA,NA,"Brazil","Rio de Janeiro",NA,"Serra dos Orgaos. Brasil. trop.","-43.073169","-22.496706",NA,NA,NA,NA,"Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800776","NY00800776_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","800780","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"J. G. Kuhlmann","s.n.","1931","05","06","Brazil","Rio de Janeiro",NA,"Jacarépaguá - Barragem do Camerim",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800780","NY00800780_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","811711","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","24147","1970","04","17","Brazil","Paraná","Laranjeiras do Sul","Campo Novo.","-52.4158","-25.4081",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811711","NY00811711_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","811749","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","S. M. Silva",NA,NA,NA,"A. L. S. Gatti","241","1999","05","27","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Quiosques.","-48.97","-25.87",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811749","NY00811749_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","800775","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"G. Gardner","481",NA,NA,NA,"Brazil",NA,NA,"Serra dos Orgaos","-43.073169","-22.496706",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800775","NY00800775_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","800791","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"J. M. Schunke-Vigo","9235","1976","06","12","Peru","Ucayali","Coronel Portillo","[Loreto] Distrito: Padre Abad. La Civisoria cerca a Río Chino","-75.703824","-8.965777",NA,NA,"1400","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800791",NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","811707","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","Á. L. Cabrera",NA,NA,NA,"R. Reitz","1882","1954","04","28","Brazil","Santa Catarina",NA,"Morro da Fazenda, Itajaí.",NA,NA,NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811707","NY00811707_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","811710","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"P. K. H. Dusén","11783","1911","05","31","Brazil","Santa Catarina",NA,"Rio Uruguay.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803784' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811710","NY00811710_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","800782","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","B. L. Robinson",NA,NA,NA,"F. C. Hoehne","s.n.","1924","06","03","Brazil","São Paulo",NA,"Alto dao Serra; Estaçao Biologica",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800782","NY00800782_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","800785","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","J. F. Pruski",NA,NA,NA,"M. Stella","66","1977","06","19","Brazil","São Paulo","Sao Paulo","Sao Paulo, Sao Paulo, Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800785","NY00800785_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","800778","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.",NA,NA,NA,NA,"Schott","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Prope Rio de Janeiro","-43.448386","-22.913514",NA,NA,NA,NA,"s.n. [?]9000; (D.n. 311) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800778","NY00800778_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","800773","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","G. M. Barroso",NA,NA,NA,"R. P. Belém","2602","1966","09","22","Brazil","Bahia",NA,"Rodovia, BR 5, 16 km S. Eunápolis","-39.581206","-16.48659",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800773","NY00800773_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-18 09:28:53-03","UNESP-IBB","BOTU","27083","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","DC.","Kersten, R.","1997","04",NA,"Cervi, A.C.","2623","1993","05","08","Brasil","Paraná","Caminho dos Jesuítas","Estrada da Graciosa, Serra do Mar - Paraná",NA,NA,"9999","9999",NA,NA,"não tem","BOTU027083","BOTU027083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-06-29 11:29:18-03","UFRJ","RFA","7584","PreservedSpecimen","Plantae","Asteraceae","Mikania","dentata","Mikania dentata","Spreng.","M.R. Ritter","2000","09","15","A.P. Duarte","4803","1959","05","18","Brasil","Rio de Janeiro","Rio de Janeiro","Sumaré","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Planta não muito vigorosa","RFA27057",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-06-29 11:29:18-03","UFRJ","RFA","8954","PreservedSpecimen","Plantae","Asteraceae","Mikania","dentata","Mikania dentata","Spreng.","M.R.Ritter","2000","09","15","E. Pereira","3752","1958","05","20","Brasil","Rio de Janeiro","Rio de Janeiro","Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"RFA27807",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:29:18-03","UFRJ","RFA","6288","PreservedSpecimen","Plantae","Asteraceae","Mikania","dentata","Mikania dentata","Spreng.","M.R.Ritter","2000","09","15","P. Occhioni","146","1945","04","22","Brasil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Liana, flor esverdeada.","RFA26304",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:34:56-03","EAO","IAN","119724","PreservedSpecimen","Plantae","Asteraceae","Mikania","dentata","Mikania dentata","G.M.Barroso","Vaz, AMSF","1987","01",NA,"Belém, RP; Aguiar, AM","1383","1965","07","28","Brasil","Bahia","Canavieiras","Rodovia Camacan, 3-30kmkm L de Camacan. Plantação de cacau.","-38.9472007751465","-15.6750001907349",NA,NA,NA,NA,"Cipó. Flores brancas, cálice sujo.","IAN119724",NA,"Dicotiledônea",NA,"Southern America",NA,"48203","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:34:59-03","EAO","IAN","100588","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) H.Rob.","Ritter, MR","2021",NA,NA,"Ferreira, AR","1011","1946","08","14","Peru","San Martin",NA,"Margarita la Divisoria.",NA,NA,NA,NA,NA,NA,"Scandent; heads greenish darker distally.","IAN100588",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:34:59-03","EAO","IAN","120555","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) H.Rob.","Barroso, GM",NA,NA,NA,"Belém, RP; Pinheiro, RS","2602","1966","09","22","Brasil","Bahia","Eunápolis","Rodovia, BR 5, 16km S Eunápolis. Plantação de cacau.","-39.5802993774414","-16.3775005340576",NA,NA,NA,NA,"Cipó, flores esverdeadas, caule piloso.","IAN120555",NA,"Dicotiledônea",NA,"Southern America",NA,"37596","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-01-20 14:40:18-03","UPM","MACK","2800","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","E. D. Junior, et al",NA,NA,NA,"F. D. Tambosi; et al","13","2013","03","21","Brasil","SP","Campos do Jordão","Bairro Umuarama, U.P.M.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"Campo de altitude",NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-01-20 14:40:18-03","UPM","MACK","2799","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L.Rob.","J, M Stopa, et al",NA,NA,NA,"C. E. Sippli; et al","18","2013","03","21","Brasil","SP","Campos do Jordão","Bairro Umuarama, U.P.M.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"Campo de altitude",NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-04 15:24:51-03","PUCPR","HUCP","3555","S","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L. Rob.","Silva, SM","1987","08","27","Souza, WS; Britez, RM","1045/1780",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Morro Bento Alves.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"HUCP00007991","HUCP00007991","Eudicotiledonea",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:10:56-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L. Robinson.","Dematteis, M","2002",NA,NA,"Ribas, OS; Silva, JM; Vaz, J","4623","2002","04","06","Brasil","São Paulo","Bela Vista","Barra do Turvo",NA,NA,NA,NA,NA,NA,"Capítulo alvacento. Clareira da floresta atlântica.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:10:56-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L. Robinson.","Dematteis, M","2002",NA,NA,"Ribas, OS; Silva, JM; Vaz, J","4623","2002","04","06","Brasil","São Paulo","Bela Vista","Barra do Turvo",NA,NA,NA,NA,NA,NA,"Capítulo alvacento. Clareira da floresta atlântica.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-10-09 11:10:56-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L. Robinson.","Dematteis, M","2002",NA,NA,"Ribas, OS; Silva, JM; Vaz, J","4623","2002","04","06","Brasil","São Paulo","Bela Vista","Barra do Turvo",NA,NA,NA,NA,NA,NA,"Capítulo alvacento. Clareira da floresta atlântica.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-05-19 10:29:39-03","UFBA","ALCB","107921","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L. Robinson.","Gandara, A","2017","09","12","Daneu, L; Perdiz, R; Moraes, PLR de; Henk, VDW;","89","2009","08","13","Brasil","Bahia","Camaçari","RPPN Serra Bonita. Fazenda Uiraçu. Trilha da Bapeba. Interior da mata","-39.565278","-15.391667","-39.565278","-15.391667","835","835","na borda da mata ca. 3m alt. folhas verde-brilhante com face inferior opaca. inflorescência com flores esbranquiçadas e corola verde.; Ombrífila Densa Montanha.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:10:56-03","UFBA","ALCB","60425","PreservedSpecimen","Plantae","Asteraceae","Mikania","ternata","Mikania ternata","(Vell.) B.L. Robinson.","Dematteis, M","2002",NA,NA,"Ribas, OS; Silva, JM; Vaz, J","4623","2002","04","06","Brasil","São Paulo","Bela Vista","Barra do Turvo",NA,NA,NA,NA,NA,NA,"Capítulo alvacento. Clareira da floresta atlântica.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-02-08 08:50:37-03","NBC","NL-BOTANY","L.3700427","PreservedSpecimen","Plantae","Compositae","Mikania","ternata","Mikania ternata","B.L.Rob.","Ritter MR","2003","02","23","Riedel L",NA,"1800","01","01","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3700427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3700427","NL-L3700427",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae","L 0276565",NA,NA,NA,NA,NA,NA
