"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","class","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem","individualCount","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","763487","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde",NA,NA,NA,NA,"R. M. Harley","16155","1974","02","18","Brazil","Bahia",NA,"6km. from Filadelfia on the BA 385 to Itiuba","-40.07","-10.75",NA,NA,"400","400","NY00763487","NY00763487_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667308' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00862178","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"A. F. M. Glaziou","486",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00862178","NY00862178_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939807' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 02:18:00-03","NY","NYBG","1100023","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,NA,NA,NA,NA,"E. A. Goeldi","244",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01100023","NY01100023_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400264' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00862160","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"N. A. Rosa","3009","1978","12","16","Brazil","Maranhão","Santa Luzia","Margem direita da Rod. BR-222, a altura do km 124, que liga Santa Inês a Açailândia na Belém-Brasília","-45.6581","-3.9633",NA,NA,NA,NA,"NY00862160","NY00862160_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939868' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-30 02:18:00-03","NY","NYBG","1100028","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,NA,NA,NA,NA,"W. A. Rodrigues","2980",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"NY01100028","NY01100028_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399924' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 20:58:00-03","NY","NYBG","00862179","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,"E. J. Judziewicz",NA,NA,NA,"A. F. M. Glaziou","1238",NA,NA,NA,"Brazil",NA,NA,"Brésil.",NA,NA,NA,NA,NA,NA,"NY00862179","NY00862179_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939813' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","763474","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"J. C. de Moraes Vasconcelos","747","1953","05","20","Brazil","Paraíba","Areia","Escola de Agronomia do Nordeste, Areia","-35.716443","-6.970951",NA,NA,NA,NA,"NY00763474","NY00763474_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667294' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2618038","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde",NA,NA,NA,NA,"H. S. Irwin","2312","1958","12","24","Brazil","Minas Gerais",NA,"State Agricultural School Viçosa.",NA,NA,NA,NA,NA,NA,"NY02618038",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2890447' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00862185","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"Z. A. Trinta","716","1964","04","19","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,NA,NA,"NY00862185","NY00862185_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939879' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1100024","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde",NA,NA,NA,NA,"T. C. Plowman","9910","1980","03","22","Brazil","Pará","Tucuruí","Banks of the Rio Tocantins, upriver 1-5km from Represa Tucuruí.","-49.6353292","-3.8753925",NA,NA,"30","30","NY01100024","NY01100024_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400250' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00862187","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"M. A. Chase","9635","1925","04","30","Brazil","Minas Gerais","Caparaó","Caparaó, Serra do Caparaó","-41.9042","-20.5233",NA,NA,"814","814","NY00862187","NY00862187_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939888' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00862184","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"S. L. M. Moore","773","1891",NA,NA,"Brazil","Mato Grosso",NA,"Iter Matogrossense",NA,NA,NA,NA,NA,NA,"NY00862184","NY00862184_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939866' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","230251","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"M. H. Nee","47776","1998","01","03","Bolivia","Santa Cruz","Florida","6 km (by air) SSW of Mairana, Quebrada Los Cántaros","-63.97","-18.17",NA,NA,"1350","1350","NY00230251","NY00230251_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667279' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00862176","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","G. Davidse",NA,NA,NA,"W. L. Balée","3035","1986","11","09","Brazil","Maranhão","Carutapera","Gurupiuna, Ka'apor Indian Reserve, affluent of Rio Gurupi","-46.43","-2.72",NA,NA,NA,NA,"NY00862176","NY00862176_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443066' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00862153","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","G. Davidse",NA,NA,NA,"H. S. Irwin","17692","1966","06","23","Brazil","Goiás","Piranhas","Ca. 2 km. S. E. of Piranhas. Drainage of the Upper Rio Araguaia.","-51.82","-16.52",NA,NA,"700","700","NY00862153","NY00862153_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939791' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-29 17:00:00-03","NY","NYBG","763498","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,"G. Davidse",NA,NA,NA,"A. H. Gentry","22730","1978","06","11","Peru","Cajamarca",NA,"9-16 km E of Pucara on road to Bagua",NA,NA,NA,NA,"800","835","NY00763498",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667284' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","763472","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"S. Tsugaru","B-1284","1987","08","28","Brazil","Rio Grande do Norte",NA,"Near Bento Fernandes, 70km W from Natal",NA,NA,NA,NA,NA,NA,"NY00763472","NY00763472_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667278' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","763490","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"W. D. Clayton","4530","1965","02","05","Brazil","São Paulo","Ourinhos","Ourinhos","-49.8697","-22.97",NA,NA,NA,NA,"NY00763490","NY00763490_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667296' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00862124","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","G. Davidse",NA,NA,NA,"H. S. Irwin","9571","1965","10","26","Brazil","Distrito Federal","Brasília","Universidade de Brasília","-47.875","-15.758",NA,NA,"975","975","NY00862124","NY00862124_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939779' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","763479","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"M. A. Chase","7957","1924","12","17","Brazil","Bahia",NA,"Itumerim, Serra do Espinhaço",NA,NA,NA,NA,"350","350","NY00763479","NY00763479_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667310' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","763486","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde",NA,NA,NA,NA,"R. M. Harley","16382","1974","02","26","Brazil","Bahia",NA,"41km. N. of Senhor do Bonfim on the BA 130 highway to Juazeiro","-40.22","-10.08",NA,NA,"500","500","NY00763486","NY00763486_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667307' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-09-29 17:00:00-03","NY","NYBG","763477","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,NA,NA,NA,NA,"J. P. P. Carauta","3594","1980","12","15","Brazil","Rio de Janeiro",NA,"Sáo Sebastiáo do Alto, Fazenda Barra Mansa",NA,NA,NA,NA,NA,NA,"NY00763477","NY00763477_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667311' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01818809","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Mez ex E.Ekman","G. Davidse",NA,NA,NA,"J. A. Steyermark","124272","1981","02","14","Venezuela","Bolívar","Heres","En las cabaceras del río Paramichi, sitio Paramichi, al este del Cerro Marutaní, cerca de la frontera Venezolana - Brasilera.",NA,NA,NA,NA,"400","400","NY01818809",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2033300' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","763491","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"W. D. Clayton","4525","1965","02","04","Brazil","São Paulo","Avaré","City of Avaré: Horto Florestal","-48.93","-23.08",NA,NA,"750","750","NY00763491","NY00763491_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667297' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","763496","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","E. J. Judziewicz",NA,NA,NA,"G. Gardner","143","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00763496","NY00763496_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667303' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00862151","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","G. Davidse",NA,NA,NA,"H. S. Irwin","11277","1965","12","14","Brazil","Distrito Federal","Brasília","25 km N. of Brasília","-47.9167","-15.55738",NA,NA,"950","950","NY00862151","NY00862151_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939788' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-29 17:00:00-03","NY","NYBG","763475","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,"G. Davidse",NA,NA,NA,"J. P. P. Carauta","3594","1980","12","15","Brazil","Rio de Janeiro",NA,"Sao Sebastiao do Alto, Faz. Barra Mansa",NA,NA,NA,NA,NA,NA,"NY00763475","NY00763475_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667283' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","763492","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","C. Kozera",NA,NA,NA,"R. M. Britez","s.n.","1985","03","09","Brazil","Paraná","Paranaguá","Ilha do Mel, Morro do Joaquim","-48.35","-25.45",NA,NA,NA,NA,"NY00763492","NY00763492_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667286' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-29 17:00:00-03","NY","NYBG","763480","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,"G. Davidse",NA,NA,NA,"T. S. dos Santos","3428","1979","02","13","Brazil","Bahia","Itiruçu","Km 7 da Rodovia Itiruçu/Maracás (BA 554). Folha SD 24 (14-40c)","-40.1503","-13.5319",NA,NA,NA,NA,"NY00763480","NY00763480_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667282' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-29 20:58:00-03","NY","NYBG","00862181","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,"E. J. Judziewicz",NA,NA,NA,"A. F. M. Glaziou","486",NA,NA,NA,"Brazil",NA,NA,"Brésil.",NA,NA,NA,NA,NA,NA,"NY00862181","NY00862181_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939828' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","763488","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"W. A. Archer","4191","1936","10","12","Brazil","São Paulo",NA,"Along river at Usina, 9 K. west of Santa Cruz do Rio Pardo",NA,NA,NA,NA,NA,NA,"NY00763488","NY00763488_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667291' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","763493","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"R. Reitz","716","1953","05","13","Brazil","Santa Catarina","Florianópolis","Rio Tavares, Ilha S. Catarina","-48.4776878","-27.6525515",NA,NA,"2","2","NY00763493","NY00763493_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667300' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-29 17:00:00-03","NY","NYBG","763481","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,"G. Davidse",NA,NA,NA,"G. Davidse","11683","1976","03","31","Brazil","Bahia",NA,"Ca. 5 km SE of Feira da Santana along Highway BR-324",NA,NA,NA,NA,"250","250","NY00763481","NY00763481_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667280' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"44","2016-09-29 20:58:00-03","NY","NYBG","00862180","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis",NA,"E. J. Judziewicz",NA,NA,NA,"A. F. M. Glaziou","22909","1894","07",NA,"Brazil","Goiás",NA,"Serra dos Divisoes on [illegible] Urbano",NA,NA,NA,NA,NA,NA,"NY00862180","NY00862180_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939815' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","00862157","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"D. R. Hunt","6121","1966","06","21","Brazil","Goiás","Piranhas","Caiaponia-Aragarças road, about 75 km from Aragarças.","-51.8219","-16.4269",NA,NA,NA,NA,"NY00862157","NY00862157_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939831' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","763483","PreservedSpecimen","Plantae","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee",NA,NA,NA,"M. A. Chase","7898","1924","12","10","Brazil","Bahia",NA,"South of Bahia, Bahia",NA,NA,NA,NA,"5","5","NY00763483","NY00763483_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667293' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA
