"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet"
"14","2021-03-15 16:37:00-03","NY","NYBG","594917","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","13479","1966","01","12","Brazil","Paraná","Palmeira","Serra das ALmas","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594917",NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","579990","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","1137","1966","05","01","Brazil","Paraná",NA,"Shrub belt between forest and small campo on top of hill N of sawmill Brandalize, 20 km N of Clevelândia.","-52.436319","-26.225361",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579990","NY00579990_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","579994","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.",NA,NA,NA,NA,"B. Luschnath","s.n.","1835",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579994","NY00579994_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","579988","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. L. Kawasaki",NA,NA,NA,"M. H. Nee","34713","1987","04","10","Brazil","Rondônia","Guajará-Mirim","5 km. NE of Guajara Mirim. Rocky tops and slopes of westernmost hill of Serra Pacaas Novos (with Embratel antennas)","-65.25","-10.73",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579988","NY00579988_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","579991","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"J. M. Silva","2723","1998","12","20","Brazil","Paraná","Tijucas do Sul","Saltinho.","-49.1989","-25.9283",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579991","NY00579991_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","594899","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","F. F. Mazine",NA,NA,NA,"G. G. Hatschbach","18308","1968","01","18","Brazil","Paraná","Prudentópolis","Relogio","-50.9778","-25.2133",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594899","NY00594899_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","580001","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","18258","1968","01","06","Brazil","Paraná","Sao José dos Pinhais","Contenda.","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580001","NY00580001_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","557854","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","G. M. Barroso",NA,NA,NA,"B. D. Sucre","10694","1974","04","16","Brazil","Rio de Janeiro",NA,"Guanabara, Pedra da Gávea","-43.283884","-22.998443",NA,NA,"690","690","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557854","NY00557854_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","594886","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","C. M. D. E. Legrand",NA,NA,NA,"G. G. Hatschbach","15420","1966","12","13","Brazil","Paraná","Palmas","Sao Agostinho","-51.9906","-26.4844",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594886","NY00594886_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","579998","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","L. B. Smith; S. F. Smith",NA,NA,NA,"I. Mimura","436","1962","07","11","Brazil","São Paulo","Sao José dos Campos","Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6 1/2 km ao SW ao longo da Rodovia Pres. Dutra da saída para Sao José dos Campos, 100 m ao lado SE da rodovia.","-45.88","-23.1703",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579998","NY00579998_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","580003","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","42215","1979","03","27","Brazil","Paraná","Rio Branco do Sul","Serra do Caete.","-49.3142","-25.1903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580003","NY00580003_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","557853","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","13479","1966","01","12","Brazil","Paraná","Palmeira","Serra das Almas","-50.0064","-25.4294",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557853",NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","594887","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","18258","1968","01","06","Brazil","Paraná","Sao José dos Pinhais","Contenda","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594887","NY00594887_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","579997","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","G. M. Barroso",NA,NA,NA,"D. S. D. de Araújo","5943","1984","01","19","Brazil","Rio de Janeiro","Macaé","Restinga de Cabiúnas, Faz. Jurubatiba.","-41.7867","-22.3708",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579997","NY00579997_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","557863","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","42723","1980","01","23","Brazil","Paraná","Rio Branco do Sul","Serra do Caete","-49.3142","-25.1903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557863","NY00557863_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01451346","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. L. Kawasaki",NA,NA,NA,"M. H. Nee","34713","1987","04","10","Brazil","Rondônia","Guajará-Mirim","5 km. NE of Guajara Mirim. Rocky tops and slopes of westernmost hill of Serra Pacaas Novos (with Embratel antennas)","-65.25","-10.73",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1692863' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451346","NY01451346_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","579993","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","T. M. Pedersen",NA,NA,NA,"T. M. Pedersen","13761","1984","03","05","Brazil","Paraná","Piên","Mun. Piéu: road from S. Bento do Sul to Curitiba, 5 km north of the bridge on the R. Negro.","-49.4292","-26.0983",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579993","NY00579993_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","579070","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.",NA,NA,NA,NA,"Martii Herbar. Florae Brasil.","48",NA,NA,NA,"Brazil",NA,NA,"In litore maris ad Lagoa de Freitas, Rio Fundo, etc.",NA,NA,NA,NA,NA,NA,"No Collection Year mentioned on this label. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579070","NY00579070_01","Magnoliophyta","Myrtales","South America","sheet","type",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","558075","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"P. K. H. Dusén","10408a","1912","03","29","Brazil","Paraná","Itaperuçu","Itaperussú","-49.3478","-25.22",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558075",NA,"Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","579992","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","S. F. Smith",NA,NA,NA,"R. A. Wasum","s.n.","1988","11","18","Brazil","Rio Grande do Sul","Caxias do Sul","Caxias do Sul - Ana Rech - Faxinal","-51.094927","-29.108528",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579992","NY00579992_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","579999","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","L. B. Smith; S. F. Smith",NA,NA,NA,"I. Mimura","367","1962","05","10","Brazil","São Paulo","Sao José dos Campos","Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6 1/2 km (ao SW ao longo da Rodovia Pres. Dutra) da saída para Sao José dos Campos, 100-500 m ao lado SE da rodovia.","-45.88","-23.1703",NA,NA,"600","600","planta 3. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579999","NY00579999_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","579995","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. L. Kawasaki",NA,NA,NA,"L. R. Landrum","4056","1982","01","05","Brazil","Paraná","Rio Branco do Sul","Rio Branco do Sul, along road to Cerro Azul.","-49.33","-25",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=680627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579995","NY00579995_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-01-06 11:42:38-03","UFPI-MRV","HDELTA","1329","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","SILVA, M. F. S",NA,NA,NA,"Silva, M. F. S.","744","2014","11","22","Brasil","Piauí","Caxingó","Fazenda Trapiá","-41.776361","-3.363583","41°46'34,90''W","03°21'48,90''S",NA,NA,"Árvore de alt. 2,5m; flores amarelas. Projeto phytobios. Caatinga <ll>dwc_commonname:</ll> Laranjinha","HDELTA001329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-13 09:20:23-03","UFRJ","RFA","26722","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","G. M. Barroso","2001","12","20","A. Quinet","48/69","2001","02","02","Brasil","Rio de Janeiro","Nova Friburgo","Lumiar/ Macaé de Cima.","-42.408611","-22.358056","42º24'31''W","22º21'29''S","970","970","Árvore, 4 m de altura, 25 cm de DAP, folhas discolores verdes, fruto vermelho carnoso, comum no local.","RFA42054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:20:23-03","UFRJ","RFA","8219","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","D. Legrand",NA,NA,NA,"G.G. Hatschbach","11123","1964","03","18","Brasil","Paraná","Quitandinha","Pangaré","-49.4977989196777","-25.8724994659424",NA,NA,NA,NA,"Arvoreta de flor alva","RFA46527",NA,NA,NA,NA,NA,NA,"23314","auto",NA,NA,NA,NA,NA,NA
"39","2020-06-29 11:31:36-03","UFRJ","RFA","16943","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral","2001",NA,NA,"P. Occhioni","7707","1975","07","30","Brasil","Rio de Janeiro","Magé","Vale das Pedrinhas","-43.040599822998","-22.6527996063232",NA,NA,NA,NA,"Arbusto 4 - 5 m de altura; frutos","RFA46522",NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA,NA,NA,NA
"40","2020-11-24 17:10:53-03","UTFPR","DVPR","943","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Soares-Silva, LH","2004","02",NA,"Pavão, OC; et al.","s.n.","1999","02","04","Brasil","Paraná","Ortigueira","Sítio Cubines- Estr. Briolândia, rio Barra Grande","-50.9494018554688","-24.2082996368408",NA,NA,NA,NA,"Flores brancas.","DVPR000943","DVPR000943","Magnoliophyta",NA,NA,NA,NA,"46016","auto",NA,NA,NA,NA,NA,NA
"41","2020-11-24 17:10:53-03","UTFPR","DVPR","2667","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Soares-Silva, LH",NA,NA,NA,"Soares-Silva, LH; Chagas-Silva, F","708","1996","12","16","Brasil","Paraná","Reserva","Arredores de Reserva","-50.8506011962891","-24.6502990722656",NA,NA,NA,NA,"Árvore 8m, botões florais verdes, frequente.; Floresta ciliar.","DVPR002667",NA,"Magnoliophyta",NA,NA,NA,NA,"43627","auto",NA,NA,NA,NA,NA,NA
"42","2020-11-24 17:10:53-03","UTFPR","DVPR","944","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.",NA,NA,NA,NA,"Medri, C; Francisco, EM","874","1999","11","13","Brasil","Paraná","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,NA,NA,NA,"Árvore 5m, frutos imaturos verdes.; Beira do rio.","DVPR000944","DVPR000944","Magnoliophyta",NA,NA,NA,NA,"21990","auto",NA,NA,NA,NA,NA,NA
"43","2020-11-24 17:10:53-03","UTFPR","DVPR","2717","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","Soares-Silva, LH","1998","09","22","Medri, C; Kinupp, VF; Francisco, EM","585","1998","03","28","Brasil","Paraná","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,NA,NA,NA,"Arbusto 2m, botões cremes, flores brancas, frutos imaturos verdes.; Borda da mata.","DVPR002717",NA,"Magnoliophyta",NA,NA,NA,NA,"21990","auto",NA,NA,NA,NA,NA,NA
"44","2019-12-04 15:25:30-03","PUCPR","HUCP","18948","S","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","Dc.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","1340","2007","05",NA,"Brasil","Paraná","Curitiba","Bosque da Fazendinha","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00015414","HUCP00015414","Eudicotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"45","2020-11-26 18:08:58-03","CPAN-UFMS","COR","7921","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","pluriflora","Eugenia pluriflora","DC.","M. Sobral",NA,NA,NA,"J. M. Silva","1641","1996","02","05","Brasil","Paraná","Curitiba","Conjunto Marumbi. Capão com Araucária; ;.","-49.2731018066406","-25.4277992248535",NA,NA,"1400","1400","8 m; Com Flor: Alva",NA,NA,NA,NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
