"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650812","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Hatschbach GG",NA,"1960","01","17","Southern America","Brazil",NA,NA,"Parana. Campina Grande do Sul. Campininha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650812","NL-L1650812",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650813","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Rambo B",NA,"1949","12","26","Southern America","Brazil",NA,NA,"Rio Grande do Sul, Gramado. Cit. in Sleum., Bot. Jahrb. 76 (1954) 163.?",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650813 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650813","NL-L1650813",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650814","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Smith LS; Klein RM",NA,"1956","12","03","Southern America","Brazil",NA,NA,"Mun. Lajes: forest, along the Estrada de Rodagem Federal, south of Lajes.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650814","NL-L1650814",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650815","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Smith LS",NA,"1956","12","23","Southern America","Brazil",NA,NA,"Santa Catarina. Mun. Caçador: Ruderal and pinheiral, west of Caçador on the road to Taquara Verde (25 km).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650815","NL-L1650815",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:21:26-03","NBC","NL-BOTANY","L.1650816","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Herzog T",NA,"1911","02","01","Southern America","Bolivia",NA,NA,"Plantae in itinere secundo per Boliviam lectae. Kl. Baum im Bergwald von Tres Cruces.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1650816 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1650816","NL-L1650816",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:21:26-03","NBC","NL-BOTANY","U 0055246","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Reitz R",NA,"1958","07","05","Southern America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200055246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0055246",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw 6918",NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:21:26-03","NBC","NL-BOTANY","U 0283912","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Lindeman JC; Haas JH de",NA,"1966","11","04","Southern America","Brazil","Paraná",NA,"pasture near Cantagola, ca. 30 km E of Laranjeiras do Sol",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200283912 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0283912",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13924",NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:21:26-03","NBC","NL-BOTANY","U 0292692","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Reitz R",NA,"1958","07","05","Southern America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200292692 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0292692",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw6918",NA,NA,NA,NA,NA,NA
"19","2020-02-08 10:21:26-03","NBC","NL-BOTANY","U.1532426","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Lindeman JC; Haas JH de",NA,"1966","11","04","Southern America","Brazil","Paraná",NA,"pasture near Cantagola, ca. 30 km E of Laranjeiras do Sol",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1532426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1532426","NL-U1532426",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0067794",NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:21:26-03","NBC","NL-BOTANY","U.1532427","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Reitz R",NA,"1958","07","05","Southern America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1532427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1532427","NL-U1532427",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0067792",NA,NA,NA,NA,NA,NA
"21","2020-02-08 10:21:26-03","NBC","NL-BOTANY","U.1532428","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Rambo B",NA,"1946","01","31","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1532428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1532428","NL-U1532428",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0067787",NA,NA,NA,NA,NA,NA
"22","2020-02-08 10:21:26-03","NBC","NL-BOTANY","U.1532429","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Lindeman JC","Lindeman JC; Martins N; Oliveira PL",NA,"1973","02","09","Southern America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1532429 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1532429","NL-U1532429",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0067788",NA,NA,NA,NA,NA,NA
"23","2020-02-08 10:21:26-03","NBC","NL-BOTANY","WAG.1336861","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer",NA,"Hatschbach GG",NA,"1969","04","01","Southern America","Brazil",NA,NA,"Estr. Graciosa, Vista Cavalcante (Mun. Morretes) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1336861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1336861","NL-WAG1336861",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:17:50-03","ESALQ","ESA","13854","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Proteaceae","Roupala","meisneri","Roupala meisneri",NA,NA,"Silva, J.M. ; Poliquesi C.B.","920.0","1991","01","08",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,"ESA013854","ESA013854",NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:17:50-03","ESALQ","ESA","88845","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Proteaceae","Roupala","meisnerii","Roupala meisnerii",NA,NA,"Silva, J.M. et al.","2736.0","1998","12","29",NA,"Brasil","Santa Catarina","Campo Alegre",NA,"-49.2655982971191","-26.1924991607666",NA,NA,"ESA088845","ESA088845",NA,NA,NA,"37493","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-08-27 13:32:00-03","IAP","PACA-AGP","94602","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","J. Larocca","Mauhs, J.","050","1992","12","26",NA,"Brasil","RS","Canela","Passo do Louro","-50.815601348877","-29.3656005859375",NA,"HASU 2441 Habitat: Interior de mato na beira do rio","PACA094602",NA,NA,NA,NA,"16452","auto",NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA
"27","2019-08-27 13:32:00-03","IAP","PACA-AGP","59907","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Camargo, O. R.","1243","1957","04","07",NA,"Brasil","RS","Farroupilha",NA,"-51.3478012084961","-29.2250003814697",NA,"Habitat: In araucarieto Fenofase: estéril","PACA059907",NA,NA,NA,NA,"19545","auto","1957","Magnoliatae",NA,"05","05",NA,NA,NA,NA
"28","2019-08-27 13:32:00-03","IAP","PACA-AGP","47951","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Sehnem, A.","3141","1948","12","02",NA,"Brasil","RS","Montenegro","Kappesberg","-51.4611015319824","-29.6886005401611",NA,"PARATYPUS. Habitat: in silva primaeva Fenofase: flor","PACA047951","PACA047951",NA,NA,"Paratipo","21601","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"29","2019-08-27 13:32:00-03","IAP","PACA-AGP","4485","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1941","02","08",NA,"Brasil","RS","São Francisco de Paula","Fazenda Englert","-50.5835990905762","-29.4480991363525",NA,"Habitat: In araucarieto Fenofase: estéril","PACA004485",NA,NA,NA,NA,"76715","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"30","2019-08-27 13:32:00-03","IAP","PACA-AGP","56352.1","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1955","01","03",NA,"Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,"Habitat: In araucarieto Fenofase: flor","PACA056352-1",NA,NA,NA,NA,"76715","auto","1955","Magnoliatae",NA,"04","09",NA,NA,NA,NA
"31","2019-08-27 13:32:00-03","IAP","PACA-AGP","3249","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1938","06",NA,NA,"Brasil","SC","Florianópolis",NA,"-48.5491981506348","-27.596700668335",NA,"Habitat: In silva Fenofase: flor","PACA003249",NA,NA,NA,NA,"27000","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"32","2019-08-27 13:32:00-03","IAP","PACA-AGP","61129","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","J. Mattos",NA,"1956","12","25",NA,"Brasil","SC","Lajes",NA,"-50.326099395752","-27.8160991668701",NA,"Habitat: In araucarieto Fenofase: estéril","PACA061129",NA,NA,NA,NA,"70701","auto","1957","Magnoliatae",NA,"08","19",NA,NA,NA,NA
"33","2019-08-27 13:32:00-03","IAP","PACA-AGP","9032","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1942","01","16",NA,"Brasil","RS","Bom Jesus","Arr. Cap. Grande","-50.4166984558105","-28.6678009033203",NA,"PARATYPUS. Habitat: in araucarieto Fenofase: flor","PACA009032","PACA009032",NA,NA,"Paratipo","55856","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"34","2019-08-27 13:32:00-03","IAP","PACA-AGP","32388","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1946","02","28",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,"Habitat: In silvula nebulari Fenofase: flor","PACA032388",NA,NA,NA,NA,"55856","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"35","2019-08-27 13:32:00-03","IAP","PACA-AGP","50195","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Emrich, K.",NA,"1951","02","10",NA,"Brasil","RS","Canela","Caracol","-50.815601348877","-29.3656005859375",NA,"Habitat: In araucarieto Fenofase: estéril","PACA050195",NA,NA,NA,NA,"16452","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"36","2019-08-27 13:32:00-03","IAP","PACA-AGP","54246","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","K. Emrich","Emrich, K.",NA,"1954","03","06",NA,"Brasil","RS","Canela","Caracol","-50.815601348877","-29.3656005859375",NA,"Habitat: In silva Fenofase: fruto","PACA054246",NA,NA,NA,NA,"16452","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"37","2019-08-27 13:32:00-03","IAP","PACA-AGP","44991","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1940","12","26",NA,"Brasil","RS","Canela","Gramado","-50.815601348877","-29.3656005859375",NA,"Sem material Habitat: In araucarieto Fenofase: flor","PACA044991",NA,NA,NA,NA,"16452","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"38","2019-08-27 13:32:00-03","IAP","PACA-AGP","4807","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1941","02","10",NA,"Brasil","RS","Canela","Passo do Inferno","-50.815601348877","-29.3656005859375",NA,"Habitat: In silvula campestri Fenofase: estéril","PACA004807",NA,NA,NA,NA,"16452","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"39","2019-08-27 13:32:00-03","IAP","PACA-AGP","85040","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","J. Larocca","Mauhs, J.","50","1992","12","26",NA,"Brasil","RS","Canela","Passo do Louro","-50.815601348877","-29.3656005859375",NA,"Habitat: interior de mata na beira do rio","PACA085040",NA,NA,NA,NA,"16452","auto",NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA
"40","2019-08-27 13:32:00-03","IAP","PACA-AGP","60993","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Camargo, O. R.","1447","1947","05","18",NA,"Brasil","RS","Farroupilha","Santa Rita","-51.3478012084961","-29.2250003814697",NA,"Habitat: In araucarieto Fenofase: estéril","PACA060993",NA,NA,NA,NA,"19545","auto","1957","Magnoliatae",NA,"08","19",NA,NA,NA,NA
"41","2019-08-27 13:32:00-03","IAP","PACA-AGP","6545","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1940","11","18",NA,"Brasil","RS","Lageado","Santa Clara","-51.9613990783691","-29.4668998718262",NA,"Habitat: In silva Fenofase: estéril","PACA006545",NA,NA,NA,NA,"36738","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"42","2019-08-27 13:32:00-03","IAP","PACA-AGP","33034","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","A. Strieder SJ",NA,"1945","12","01",NA,"Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,"PARATYPUS. Habitat: in silva Fenofase: flor","PACA033034","PACA033034",NA,NA,"Paratipo","21601","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"43","2019-08-27 13:32:00-03","IAP","PACA-AGP","28287","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1945","03",NA,NA,"Brasil","RS","Nonoai","Ad fl. Uruguai","-52.7714004516602","-27.3617000579834",NA,"Habitat: In silva campestri Fenofase: folium","PACA028287",NA,NA,NA,NA,"35080","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"44","2019-08-27 13:32:00-03","IAP","PACA-AGP","50274","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1951","06","07",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Habitat: In silva campestri Fenofase: estéril","PACA050274",NA,NA,NA,NA,"29946","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"45","2019-08-27 13:32:00-03","IAP","PACA-AGP","40479","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1949","03","14",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"Sem material Habitat: In silva campestri Fenofase: fruto submaturo","PACA040479",NA,NA,NA,NA,"29946","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"46","2019-08-27 13:32:00-03","IAP","PACA-AGP","270","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","H. Sleumer","Rambo, B.",NA,"1933","01","19",NA,"Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,"ISOTYPUS. Habitat: in silva campestri Fenofase: flor","PACA000270","PACA000270",NA,NA,"Isotipo","29946","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"47","2019-08-27 13:32:00-03","IAP","PACA-AGP","54602","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","B. Rambo SJ","Rambo, B.",NA,"1954","01","01",NA,"Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,"Habitat: In araucarieto Fenofase: estéril","PACA054602",NA,NA,NA,NA,"76715","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"48","2019-08-27 13:32:00-03","IAP","PACA-AGP","56314","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1955","01","02",NA,"Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,"Habitat: In araucarieto Fenofase: flor","PACA056314",NA,NA,NA,NA,"76715","auto","1955","Magnoliatae",NA,"04","09",NA,NA,NA,NA
"49","2019-08-27 13:32:00-03","IAP","PACA-AGP","25110","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","F. Theissen SJ",NA,"1907",NA,NA,NA,"Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,"Habitat: In silva campestri Fenofase: folium","PACA025110",NA,NA,NA,NA,"10287","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
"50","2019-08-27 13:32:00-03","IAP","PACA-AGP","10905","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","meisneri","Roupala meisneri","Sleumer","Emrich-Rambo","Rambo, B.",NA,"1942","12",NA,NA,"Brasil","RS","São Leopoldo","Tannenwald","-51.1472015380859","-29.7602996826172",NA,"Habitat: In silva Fenofase: estéril","PACA010905",NA,NA,NA,NA,"10287","auto","1954","Magnoliatae",NA,"09","11",NA,NA,NA,NA
