"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class"
"13","2019-11-21 10:03:36-03","IBt","SP","201198","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M; Sugiyama, M","1371","1985","01","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,"Kirizawa, M","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"14","2019-11-21 10:03:36-03","IBt","SP","201199","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M; Sugiyama, M","1372","1985","01","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,"Kirizawa, M","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"15","2019-11-21 10:03:36-03","IBt","SP","201200","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M; Sugiyama, M","1373","1985","01","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,"Kirizawa, M","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"16","2019-11-21 10:03:36-03","IBt","SP","201201","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M; Sugiyama, M","1374","1985","01","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,"Kirizawa, M","São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"17","2019-11-21 10:03:36-03","IBt","SP","236574","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","2136","1989","04","14",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"18","2020-11-26 10:00:09-03","IBt","SP","366565","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","3455-A","2003","12","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"19","2020-11-26 10:00:09-03","IBt","SP","366566","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","3454-A","2003","12","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"20","2020-11-26 10:00:09-03","IBt","SP","369267","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","3461","2004","03","25",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"21","2020-11-26 10:00:09-03","IBt","SP","369268","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","3460","2004","03","25",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"22","2020-11-26 10:00:09-03","IBt","SP","369269","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","3453","2003","12","12",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"23","2020-11-26 10:00:09-03","IBt","SP","382455","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","3526","2006","01","18",NA,"Brasil","E.B. do Alto da Serra de Paranapiacaba",NA,NA,NA,NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"24","2019-11-21 10:03:36-03","IBt","SP","6988","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth","Paratype","Brade, AC","7212","1913","11",NA,NA,"Brasil","Estação Campo Grande",NA,"SP002985","SP002985",NA,"São Paulo","Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA
"25","2020-12-10 11:27:36-03","IBt","SP","397469","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","3565","2007","10","31",NA,"Brasil","Cultivada no Instituto de Botânica",NA,NA,NA,NA,"São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA
"26","2019-11-21 10:03:36-03","IBt","SP","205147","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","1507","1985","10","15",NA,"Brasil","Instituto de Botânica",NA,NA,NA,"Kirizawa, M","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA
"27","2020-05-07 17:14:42-03","IBt","SP","267385","S","Plantae","Dioscoreaceae","Dioscorea","sanpaulensis","Dioscorea sanpaulensis","R.Knuth",NA,"Kirizawa, M","2841","1991","12","26",NA,"Brasil","Instituto de Botânica",NA,NA,NA,NA,"São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA
