"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","previousCatalogNumber","sex"
"11","2010-03-25 11:22:00-03","MO","MOBOT","2846556","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"Lectotype","George Gardner","Gardner 632","1838","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organ Mountains, (Serra dos Orgaos)",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","1066399","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"Isosyntype","G. Gardner","632",NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA,NA
"13","2019-09-04 19:32:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis",NA,NA,"Type [status unknown]","G. Gardner","632",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA
"14","2016-08-23 09:45:48-03","NHMLondon","NHM-LONDON-BOT","BM000062819","S","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,NA,"John Miers; b.1789; d.1879; Miers","s.n.","1838",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4632027",NA
"15","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,NA,"Miers, J","s.n.",NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,NA,"Glaziou, AFM","11620?",NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"in arboribus ad Corcovado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,NA,"Gardner, G","632?",NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,NA,"Miers, J","s.n.",NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:23-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,NA,"Glaziou, AFM","14320?",NA,"Southern America","Brazil",NA,"Floret Januario",NA,NA,NA,NA,NA,NA,NA,NA,NA,"in Brasilia austro-orientali loco accurato haud indicato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:13:54-03","IBt","SP","50479","S","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe","Hoehne, FC",NA,"Heringer, EP","1322","1944",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"02","17","Minas Gerais","Coronel Pacheco","Estação Experimental de Café","-43.2655982971191","-21.5877990722656",NA,NA,"10350","auto",NA,NA,NA,NA,NA
"21","2019-11-21 10:13:54-03","IBt","SP","24099","S","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe","Hoehne, FC",NA,"Spannagel, C","218",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,"36524","auto",NA,NA,NA,NA,NA
"22","2010-08-16 16:42:05-03","GH","HU-HERB","GH 00090735","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Vanilla","organensis","Vanilla organensis","Rolfe",NA,"Isosyntype","Gardner","632",NA,"South America","Brazil","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organ Mt",NA,NA,NA,NA,NA,NA,"632",NA,NA,NA,"undetermined"
