"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","class","order","year","month","day","locality","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters"
"17","2020-12-21 16:16:44-03","MBM","MBM","38233","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.","Hatschbach, G.","11806","Southern America","Brazil","MBM038233",NA,NA,NA,"1964","11","01","Rio Tibagi, rodovia Tibagi - Castro",NA,"Barroso, G.M.",NA,NA,NA,"Paraná","Tibagi","-50.4136009216309","-24.5093994140625","56988","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-07 16:09:51-03","MNHN","RECOLNAT_MNHN_P","P00244242","PreservedSpecimen",NA,NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.","Gaudichaud, C.",NA,NA,"Brésil","P00244242","P00244242_01",NA,NA,"1833",NA,NA,"Prov. Rio-Grande","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00244242' target='other'> <mi>dwc_moreinfo</mi></a>","Holmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"holotype","919","hb",NA,NA
"19","2009-08-21 06:32:00-03","MO","MOBOT","2458158","PreservedSpecimen","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.","Balduino Rambo","Rambo 1741","South America","Brazil",NA,NA,NA,NA,"1934","10","30","Canoas",NA,"Barroso, G. M.",NA,NA,NA,"Rio Grande do Sul",NA,"-51.1836111","-29.9177778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-26 14:12:24-03","CPACT","ECT","5082","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Mikania","viminea","Mikania viminea","DC.","G.Heiden; D.R.Vahl | J.R.Santos | I.Machado | L.Angelo","2389",NA,"Brasil","ECT0005082","ECT0005082_01 ECT0005082_02",NA,NA,"2017","12","21","Fazenda São Miguel. Área de manejo conservativo. Campos de clima temperado (pampas), banhado turfoso em área de contato entre campos, butiazais e mata de restinga.",NA,"L.B.Barcelos","2018","04","20","Rio Grande do Sul","Tapes","-51.349444","-30.533889",NA,NA,"51º20'58''W","30º32'2''S",NA,NA,NA,NA,"21","21"
"21","2019-09-04 19:37:34-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Mikania","viminea","Mikania viminea",NA,"C. Gaudichaud","919","South America","Brazil",NA,NA,"Dicotyledoneae",NA,"1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA
"22","2020-11-12 16:58:26-03","UEL","FUEL","42254","PreservedSpecimen","Plantae","Tracheophyta","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI; et al.","s.n.",NA,"Brasil",NA,NA,NA,"Asterales","2006","11","11","Fazenda São Maximiano, BR 116, Km 308",NA,NA,NA,NA,NA,"Rio Grande do Sul","Guaiba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-12 16:58:26-03","UEL","FUEL","4172","PreservedSpecimen","Plantae","Tracheophyta","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI","s.n.",NA,"Brasil",NA,NA,NA,"Asterales","1986","11","02","Fazenda São Maximiniano, Km 307",NA,"Matzenbacher, NI","1986","11","02","Rio Grande do Sul","Guaiba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:08:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.","Sello, HL","278","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"Habitat in paludibus prov. Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-08 12:36:46-03","UFRGS","ICN","124490","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"2002","11","10",NA,"Espécie ameaçada de extinção (Em perigo).","Schneider, AA; Gonçalves, C",NA,NA,NA,"RS","Guaíba Fazenda São Maximiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-08 12:36:46-03","UFRGS","ICN","016506","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Rambo, B","49169","América do Sul","Brasil",NA,NA,NA,NA,"1950","11","20","perto de Canoas","Espécie ameaçada de extinção (Em perigo).; Herva até 1,5 metros; uma das poucas e raras espécies eretas deste gênero.; Em banhado arbustivo.","Rambo, B",NA,NA,NA,"RS","Esteio","-51.17919921875","-29.861400604248","7214","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-08 12:36:46-03","UFRGS","ICN","067422","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"1986","11","02","Fazenda São Maximiano BR 116 km 307","Espécie ameaçada de extinção (Em perigo).; Em banhado na beira da rodovia.","Matzenbacher, NI",NA,NA,NA,"RS","Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-08 12:36:46-03","UFRGS","ICN","124123","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"2002","10","27","Fazenda São Maximiano BR 116 Km 308","Espécie ameaçada de extinção (Em perigo).; Planta aquática.; Em banhado com gramíneas e Eriocauleaceae.","Matzenbacher, NI",NA,NA,NA,"RS","Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 12:36:46-03","UFRGS","ICN","110880","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"1995","11","08",NA,"Espécie ameaçada de extinção (Em perigo).; Planta ereta.","Ritter, MR",NA,NA,NA,"RS","Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-08 12:36:46-03","UFRGS","ICN","122886","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"2002","12","18","Fazenda São Maximiano","Espécie ameaçada de extinção (Em perigo).; Coletada em local alagado","Ritter, MR",NA,NA,NA,"RS","Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-08 12:36:46-03","UFRGS","ICN","029423","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Matzenbacher, NI","161","América do Sul","Brasil",NA,NA,NA,NA,"1974","03","03","Fazenda São Maximiano BR 116 km 32","Espécie ameaçada de extinção (Em perigo).; Planta ereta; caule profundamente sulcado; flores brancas.; Terreno úmido.","Matzenbacher, NI",NA,NA,NA,"RS","Guaíba","-51.3250007629395","-30.113899230957","28343","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-08 12:36:46-03","UFRGS","ICN","031749","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","?","s.n.","América do Sul","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"Espécie ameaçada de extinção (Em perigo).","Matzenbacher, NI","1976","09","09","RS","Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-08 12:36:46-03","UFRGS","ICN","132017","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Bordignon, SAL","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"2001","09","19","Barrocadas","Espécie ameaçada de extinção (Em perigo).; Flores brancas, 1m, caule ereto e oco","Ritter, MR",NA,NA,NA,"RS","Santo Antônio da Patrulha","-50.5196990966797","-29.8174991607666","29157","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 12:36:46-03","UFRGS","ICN","116510","S","Plantae","Dicotyledon","Asteraceae","Mikania","viminea","Mikania viminea","DC.","Hagelund, K","12415","América do Sul","Brasil",NA,NA,NA,NA,"1978","10","24",NA,"Espécie ameaçada de extinção (Em perigo).; Paludícula.; em canal na beira da estrada para Arroio dos Ratos","Hagelund, K",NA,NA,NA,"RS","São Jerônimo","-51.7221984863281","-29.9591999053955","78415","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2014-09-23 11:01:07-03","G","G-DC","G00495550","S","Plantae",NA,"Asteraceae","Mikania","viminea","Mikania viminea","DC.","Gaudichaud-Beaupré, C.","919","AMERIQUE DU SUD","Brazil","G00495550",NA,NA,NA,NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","CAT.HERB.PRODR.","2013","01","01","Rio Grande do Sul",NA,"-53.65388889","-29.71027778",NA,NA,"-53.65388889","-29.71027778",NA,"ISOTYPUS of Mikania viminea DC.",NA,NA,NA,NA
