"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","previousCatalogNumber","individualCount","eventTime","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","01201182","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"R. de Lemos Fróes","21426","1945","11","19","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451674' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201182","NY01201182_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01200850","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"R. de Lemos Fróes","21438","1945","11","28","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451481' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200850","NY01200850_01 NY01200850_02","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00195242","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"W. L. Balée","2890","1986","11","05","Brazil","Maranhão","Carutapera","Gurupiuna, Ka'apor Indian Reserve, affluent of Rio Gurupi. Forest inventory 6km from village.","-46.43","-2.72",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195242","NY00195242_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01200834","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","J. M. Pires",NA,NA,NA,"G. T. Prance","10304","1969","02","27","Brazil","Amazonas",NA,"Basin of Demeni, Vicinity of Tototobi","-63.5471213","1.576736",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328327' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200834","NY01200834_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01201184","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"J. M. Pires","548","1947","05","01","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451677' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201184","NY01201184_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","375373","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"L. Riedel","10","1829","02",NA,"Brazil","Rio de Janeiro",NA,"in sylv. collib. R. Jan.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375373","NY00375373_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01200835","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.",NA,NA,NA,NA,"C. A. Cid Ferreira","1941","1980","08","31","Brazil","Pará","Oriximiná","Rio Trombetas, margem direita, Porto Trombetas, estrada da Minerçao Rio-Norte km 60 atras da Mona de Bauxita, proximo ao igarape Saracazinho.","-55.8661","-1.76556",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200835","NY01200835_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00860086","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"C. A. Cid Ferreira","6430","1985","10","13","Brazil","Mato Grosso","Santa Terezinha","BR 158, Rod. para Vila Rica, a 21 km S da Cidade de Sta. Terezinha, Serra da Cobrinha","-50.5","-10.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860086","NY00860086_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","375367","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"B. D. Sucre","140843","1968","09","19","Brazil","Rio de Janeiro","Cabo Frio","Restinga de Cabo Frio","-42.032149","-22.874703",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375367","NY00375367_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","375476","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.",NA,NA,NA,NA,"S. A. Mori","15863","1983","09","06","Brazil","Amapá",NA,"Camaipi. EMBRAPA reserve and vicinity","-51.62","0.17",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375476","NY00375476_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01201185","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","J. M. Pires",NA,NA,NA,"G. T. Prance","22709","1974","09","20","Brazil","Amazonas",NA,"Km 159, BR-174, Manaus-Caracarai Road.","-60.185895","-1.6417164",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1328646' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201185","NY01201185_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","375369","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"S. A. Mori","13976","1981","05","13","Brazil","Bahia","Una","Maruim, border of the Fazendas maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 111-D","-39.1202492","-15.1148921",NA,NA,"100","100","Voucher for Ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375369","NY00375369_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01192890","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","M. H. Terra-Araújo",NA,NA,NA,"A. M. Amorim","6596","2006","11","25","Brazil","Bahia","Arataca","RPPN Caminho das Pedras. Serra do-Peito-de-Moça, entrada a 9,5 km no Assent. Santo Antonio, mais 8,9 km ate a sede de RPPN. Trilha do acesso ao Mormaço","-39.3394","-15.1742",NA,NA,"400","936","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396288' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192890","NY01192890_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01201151","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"R. de Lemos Fróes","21424","1945","11","19","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451517' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201151","NY01201151_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01201152","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"W. A. Archer","7732","1942","10","30","Brazil","Pará","Belém","Northeast woods of the I. A. N.","-48.4447503","-1.4380977",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201152","NY01201152_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01200844","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"G. T. Prance","15597","1971","10","24","Brazil","Amazonas",NA,"Rio Uneiuxi, Makú Indian village, 300 km above mouth.","-67.3556","-1.5556",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330216' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200844","NY01200844_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","660901","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","M. H. Nee",NA,NA,NA,"M. H. Nee","48543","1998","03","01","Bolivia","Santa Cruz","Ichilo","3.5 km SW of turnoff at Villa San Isidro from new highway from Buena Vista to Río Ichilo.","-64","-17.42",NA,NA,"360","360","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00660901",NA,"Magnoliophyta","Ericales","South America","separate fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01200841","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"R. de Lemos Fróes","297","1941","08","11","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1450624' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200841","NY01200841_01 NY01200841_02","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01200839","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"W. A. Archer","7736","1942","10","30","Brazil","Pará","Belém","Northeast woods of the I. A. N.","-48.4447503","-1.4380977",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1450621' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200839","NY01200839_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01200848","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.",NA,NA,NA,NA,"E. L. Sette Silva","R5824","1987","03","23","Brazil","Roraima",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451368' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200848","NY01200848_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","375370","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.",NA,NA,NA,NA,"T. S. dos Santos","3327","1978","09","16","Brazil","Bahia","Alcobaça","Km 6-8 da Rod. BA-001, trecho Alcobaça/Caravelas. Folha SE-24 (18-39a)","-39.19","-17.5194",NA,NA,"10","20","Coleta de sementes para plantio <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375370","NY00375370_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00860091","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00860091","NY00860091_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-12-15 15:10:00-02","NY","NYBG","41035","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito",NA,"T. D. Pennington",NA,NA,NA,"P. Mendoza Troya","208","1993","07","22","Ecuador","Pastaza",NA,"Huaorani Community of Toñiampari. Banks of the Curaray River",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00041035",NA,"Magnoliophyta","Ericales","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","375449","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.",NA,NA,NA,NA,"R. Vásquez Martínez","8815","1987","02","26","Peru","Loreto","Maynas","Pena Negra, carretera Iquitos-Nauta, km 20","-73.35","-3.75",NA,NA,"130","130","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375449",NA,"Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01201187","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"J. M. Pires","4407","1952","12","22","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201187","NY01201187_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00866822","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"G. T. Prance","12270","1971","04","22","Brazil","Acre","Mâncio Lima","Vicinity of Serra do Moa","-73.73","-7.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866822","NY00866822_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01201193","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"G. T. Prance","28703","1984","01","31","Brazil","Roraima",NA,"Perimetral Norte Highway, 45 km W of Caracarai, Fazenda Repartimento, Rio Repartimento do Ajanari","-61","2.016667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1331311' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201193","NY01201193_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","375366","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"C. A. Sothers","298","1994","12","09","Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarape do Tinga.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375366","NY00375366_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01201181","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"B. Maguire","56757","1963","09","21","Brazil","Rondônia",NA,"70-150 km along highway east of Porto Velho","-63.1854147","-9.1957093",NA,NA,"70","170","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1451669' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201181","NY01201181_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","471925","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"M. Silveira","1087","1995","11","22","Brazil","Acre","Tarauacá","Bacia do Alto Juruá, Rio Tarauacá, margem esquerda. Reserva Indígena Praia do Carapana, colocaçao Nova Morada.","-71.3444","-8.4472",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471925","NY00471925_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","375371","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"P. Gonçalves",NA,"1932","04","10","Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botanico e Parque do Estado","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375371","NY00375371_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01200845","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","caimito","Pouteria caimito","(Ruiz & Pav.) Radlk.","T. D. Pennington",NA,NA,NA,"C. A. Cid Ferreira","9780","1987","12","05","Brazil","Pará","Óbidos","Margem esquerda do rio Jaramacaru, proximo aos Campos do Ariramba","-55.58","-1.166667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330909' target='other'> <mi>dwc_moreinfo</mi></a>","NY01200845","NY01200845_01","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
