"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","recordNumber","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"11","2009-11-09 19:54:00-02","MO","MOBOT","2198834","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Angel L. Cabrera",NA,NA,NA,"South America","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cabrera 11809",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2011-03-14 06:37:00-03","MO","MOBOT","2337919","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Sara G. Tressens|M. Beccaceci|Ricardo O. Vanni","1992","12","10","South America","Argentina","Reserva Natural Provincial del Ibera. Costa N de la laguna Ibera",NA,NA,NA,NA,"Cristóbal, C. L., //",NA,NA,NA,"Corrientes","San Martín","Tressens 4330",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2010-01-25 20:07:00-02","MO","MOBOT","3362174","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Troels M. Pedersen","1977",NA,NA,"South America","Argentina","Carambola. Very wet ground, swamp.",NA,NA,NA,NA,"T. M. P",NA,NA,NA,"Corrientes","Concepción","Pedersen 12020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-08-23 05:45:00-03","MO","MOBOT","3363238","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","S.A. Renvoize|C.M. Wilmot-Dear|Fernando O. Zuloaga","1978","10","14","South America","Argentina","San José, Escuela Agrotecnico Don Bosco. Grassland with mixed scrub forest mostly along river courses. Soil thin. Grassland in marshy area.",NA,NA,NA,NA,NA,NA,NA,NA,"Misiones","Apóstoles","Renvoize 3085",NA,NA,NA,NA,"200.00000000","1",NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2951564","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","S. A. Renvoize, M. Wilmot-Dear & F. Zuloaga","1978","10","14","South America","Argentina","Apostoles, San Jose, Escuela Agrotecnico Don Bosco",NA,"US02175139",NA,NA,NA,NA,NA,NA,"Misiones",NA,"3085",NA,NA,NA,NA,"200","1",NA,NA,NA
"16","2020-11-27 11:33:30-03","UFU","HUFU","73681","S","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G.Schulz","Resende, I.L.M.","2014","12","12",NA,"Brasil",NA,"Nativa, erva aquática com base vinácea, capítulo verde com brácteas rosas com 2,5 cm Cx 1,1 cm L.; Fundo da vereda, borda do curso de água.","HUFU00071109","HUFU00071109",NA,NA,NA,NA,NA,"Minas Gerais","Monte Alegre de Minas","4306","-48.875278","-18.870278",NA,NA,NA,NA,"-48.875278","-18.870278",NA
"17","2020-08-20 20:38:13-03","UFSC","FLOR","47691","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G.Schulz","Trevisan, R.; Venturi, S.","2012","12","01",NA,"Brasil","às margens da Estrada de acesso ao Morro da Igreja.","Planta faz parte do Projeto Reflora","FLOR0047691",NA,NA,"Trevisan, R.","2012",NA,NA,"Santa Catarina","Urubici","1256","-49.506389","-28.065278",NA,NA,"1365",NA,"49º30'23''W","28º3'55''S","1365"
"18","2021-02-08 12:36:52-03","UFRGS","ICN","152215","S","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Schneider, AA","2007","11","06","América do Sul","Brasil","SC 438 (27° 54' 10 1''S e 50° 07' 13 1''W)","Banhado, flores rosadas a purpúreas",NA,NA,"Dicotyledon","Schneider, AA",NA,NA,NA,"SC","Painel","1527","-50.120278","-27.902778",NA,NA,"1064",NA,"-50.120278","-27.902778","1064"
"19","2021-02-08 12:36:52-03","UFRGS","ICN","152983","S","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Matzenbacher, NI","2004","10","14","América do Sul","Brasil","Bom Jesus para São Joaquim, 28° 35' 43''S e 50° 23' 51''W","Turfeira, lígulas rosadas a purpúreas",NA,NA,"Dicotyledon","Schneider, AA",NA,NA,NA,"RS","Bom Jesus","s.n.","-50.3975","-28.595278",NA,NA,"1003",NA,"-50.3975","-28.595278","1003"
"20","2021-02-08 12:36:52-03","UFRGS","ICN","184845","S","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Vogel-Ely, C; Trevisan, R","2015","10","30","América do Sul","Brasil",NA,"flores liguladas roseas",NA,NA,"Dicotyledon","Trevisan, R","2015","10","30","PR","Palmas","CVE420","-51.63","-26.541111",NA,NA,"1226",NA,"-51.63","-26.541111","1226"
"21","2021-02-08 12:36:52-03","UFRGS","ICN","146953","S","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Lima, LF; Matzenbacher, NI","2006","11","13","América do Sul","Brasil","RS 020 1 km após trevo do Prómata","Lígulas lilás, rara.; Banhado",NA,NA,"Dicotyledon","Hedlund, I","2018","11","12","RS","São Francisco de Paula","353","-50.5835990905762","-29.4480991363525","76715","auto","900",NA,NA,NA,"900"
"22","2021-02-08 12:36:52-03","UFRGS","ICN","064732","S","Plantae",NA,NA,"Asteraceae","Picrosia","cabreriana","Picrosia cabreriana","A.G. Schulz","Arzivenco, L","1978","11","21","América do Sul","Brasil",NA,"Banhado do Bambi",NA,NA,"Dicotyledon","Hedlund, I","2019","01","31","RS","Esmeralda","679","-51.190299987793","-28.0536003112793","38649","auto",NA,NA,NA,NA,NA
