"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","374993","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","J. M. Pires",NA,"S. A. Mori","13872","1981","04","South America","Brazil","Bahia","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 23-B","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374993","NY00374993_01","28","Una","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","375000","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","T. D. Pennington",NA,"C. A. Sothers","11","1991","09","South America","Brazil","Acre","RBO-AC, Floresta Estadual do Antimari, Colocacao Boa Uniao, Tipologia E-Restinga com Cipo, E59","-67.41667","-9.933335","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375000","NY00375000_01","24","Sena Madureira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","374997","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","A. Cronquist",NA,"P. K. H. Dusén","15319","1914","07","South America","Brazil","Paraná","Serra do Prata, in silva primaeva","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374997","NY00374997_01","22","Jaguariaíva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00749997","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","P. Fiaschi",NA,"P. Fiaschi","2592","2004","10","South America","Brazil","Bahia","RPPN Fazenda Agua Branca. Distrito de Jequiriça. Estrada de Valença para Guaibim, ca. 2 km, entrada à esq., 8 km, rumo à sede da reserva","-39.0903","-13.3289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749997","NY00749997_01","30","Valença","220","220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","374990","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","J. M. Pires",NA,"S. A. Mori","13852","1981","04","South America","Brazil","Bahia","Border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 49-A","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374990","NY00374990_01","30","Una","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02447570","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist",NA,NA,"D. A. Folli","4978","2004","11","South America","Brazil","Espírito Santo","Reserva Florestal de Linhares. Estrada Peroba Amarela.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623519' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447570","NY02447570_01","24","Linhares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","374994","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","J. M. Pires",NA,"S. A. Mori","13872","1981","04","South America","Brazil","Bahia","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 16-C","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374994","NY00374994_01","28","Una","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","374987","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","T. D. Pennington",NA,"S. A. Mori","10850","1978","10","South America","Brazil","Bahia","Arredores da Est. Ecológica do Pau-brasil (Ca. 17 km a w de Porto Seguro), estrada velha de Sta. C. de Cabrália, 4-6 km a E da sede da Estaçao. Mata Higrófila Sul Baiana em fase de destruiçao. Folha SE-24 (16-39c)","-39.1441852","-16.3681257","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374987","NY00374987_01","19","Santa Cruz Cabrália",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 16:08:00-03","NY","NYBG","375005","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum",NA,"T. D. Pennington",NA,"D. A. Neill","8862","1989","01","South America","Ecuador","Pastaza","Via Auca, 115 km S of Coca, 10 km S of Napo-Pastaza border; near Rio Tiguino. Tropical Moist Forest on low hills. Primary forest; trees felled for road construction. Entrance road to PETROCANADA oil well site","-76.92","-1.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375005",NA,"26",NA,"320","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","374996","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","M. M. F. Melo",NA,"G. G. Hatschbach","20921","1969","01","South America","Brazil","Paraná","Col. Floresta","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374996","NY00374996_01","24","Morretes","50","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","375002","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","O. Handro",NA,"O. Handro","956","1960","09","South America","Brazil","São Paulo","Nativa na mata do Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375002","NY00375002_01","28","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","374988","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist",NA,NA,"W. W. Thomas","8503","1991","07","South America","Brazil","Bahia","7.3 km n of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest. Parcel 39, tree #1882","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374988","NY00374988_01","01","Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","374985","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","T. D. Pennington",NA,"A. M. V. de Carvalho","4630","1994","09","South America","Brazil","Bahia","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao. Arvore no. 20, Parcela no 1","-39.06916667","-14.7819444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617875' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374985","NY00374985_01","17","Ilhéus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","374995","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","J. M. Pires",NA,"S. A. Mori","13872","1981","05","South America","Brazil","Bahia","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 133-D","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374995","NY00374995_01","14","Una","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","375003","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","O. Handro",NA,"O. Handro","956","1960","09","South America","Brazil","São Paulo","Nativa na mata do Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375003","NY00375003_01","28","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","2862041","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Diploön","cuspidatum","Diploön cuspidatum","(Hoehne) Cronquist","A. Alves-Araújo",NA,"W. W. Thomas","7115",NA,NA,"South America","Brazil","Bahia","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244303' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862041","NY02862041_01",NA,"Uruçuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:32:35-03","UFRJ","RFA","39831","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist","R. Finotti",NA,"R. Finotti; J. Caruzo","232",NA,NA,NA,"Brasil","Rio de Janeiro","Interior de fragmento florestal cujo o entorno é ocupado por propriedades particulares pequenas e pela Fazenda Recanto","-42.795278","-22.499722",NA,"Árvore com 19 metros de altura e PAP de 52,5 cm","RFA48596",NA,NA,"Cachoeiras de Macacu","50","50","42º47'43''W","22º29'59''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:49:08-03","EAO","IAN","115974","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Handro, O","956","1960","09","Southern America","Brasil","São Paulo","São Paulo, nativa na mata do Jardim Botânico.",NA,NA,NA,"Árvore com flores alvas.","IAN115974",NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:49:08-03","EAO","IAN","115974a","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Handro, O","956","1960","09","Southern America","Brasil","São Paulo","São Paulo, nativa na mata do Jardim Botânico.",NA,NA,NA,"Arvore com flores alvas.","IAN115974a",NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:49:08-03","EAO","IAN","94361","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Glaziou, AFM","9505","1877","01","Southern America","Brasil","Rio de Janeiro","Morro do Corcovado.","-43.2075004577637","-22.9027996063232",NA,NA,"IAN094361",NA,"31","Rio de Janeiro",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:49:08-03","EAO","IAN","93640","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Glaziou, AFM","9505","1877","01","Southern America","Brasil","Rio de Janeiro","Morro do Corcovado.","-43.2075004577637","-22.9027996063232",NA,NA,"IAN093640",NA,"31","Rio de Janeiro",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:24:52-03","UFBA","ALCB","049076","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist;Bull.","Guedes, ML; S. dos S. Lima",NA,"Lima, SS dos; Guedes, ML; Cabral, LCC; Oliveira, H","165","1999","06","Southern America","Brasil","Bahia","Extremo Sul, Mata cara-branca, projeto CEDRO","-39.016667","-16.266667",NA,"dados fitossociológicos - módulo 3, parcela 14, nº 332, CAP 43,0 cm, alt. 12,0 m .; Mata em estádio secundário de regeneração. Substrato argilo-arenoso.",NA,NA,"20","Santa Cruz Cabrália",NA,NA,"-39.016667","-16.266667",NA,NA,"1999","07",NA,NA,NA,NA,NA
"33","2021-02-08 21:33:08-03","UFBA","ALCB","110903","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist;Bull.","Mariano-Neto, E",NA,"Rigueira, D","s/n","2011","09","Southern America","Brasil","Bahia",NA,"-39.196111","-13.648889",NA,"Indivíduo nº 4133, de ca 8 m de altura, DAP 13 cm. Látex branco. Material estéril.",NA,NA,NA,"Nilo Peçanha",NA,NA,"-39.196111","-13.648889",NA,NA,"2011","10",NA,NA,NA,NA,NA
"34","2021-02-08 21:33:08-03","UFBA","ALCB","110921","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist;Bull.","Mariano-Neto, E",NA,"Rigueira, D","s/n","2011","02","Southern America","Brasil","Bahia",NA,"-39.021944","-13.172778",NA,"Indivíduo nº 2333, de ca 11 m de altura, 17 cm de diâmetro. Látex leitoso.",NA,NA,NA,"Jaguaripe",NA,NA,"-39.021944","-13.172778",NA,NA,"2011","10",NA,NA,NA,NA,NA
"35","2019-10-09 11:24:52-03","UFBA","ALCB","121353","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist;Bull.","Gomes, FS",NA,"Gomes, FS","1571","2013","05","Southern America","Brasil","Bahia",NA,"-39.159444","-15.248056",NA,"látex leitosp. Folha com ápice cuspidado. 50.2, parcela 03.","ALCB052531","ALCB052531","13","Una",NA,NA,"-39.159444","-15.248056",NA,NA,"2013","11",NA,NA,NA,NA,NA
"36","2020-02-08 09:04:04-03","NBC","NL-BOTANY","U 0006584","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist","Pennington TD","isotype","Hoehne FC",NA,"1931","10","Southern America","Brazil","São Paulo","Estado de Sao Paulo:-Sao Paulo (Capital)do Parque do Estado e Jardim Botânico.","-46.633333","-23.55",NA,"Nativa na mata<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006584","NL-U0006584","01",NA,NA,NA,"-46.633333","-23.55",NA,NA,NA,NA,"Magnoliopsidae","317482 B",NA,NA,NA
"37","2020-02-08 09:04:04-03","NBC","NL-BOTANY","U 0006585","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist","Pennington TD","isotype","Wurdack JJ; Monachino JV",NA,"1955","11","Southern America","Venezuela","Delta Amacuro","Serrania Imataca, Territorio Delta AmacuroEl Palmar-Raudal Trail, upper Rio Toro drainage",NA,NA,NA,"Very common<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006585 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006585","NL-U0006585","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","294716 B",NA,NA,NA
"38","2020-02-08 09:04:04-03","NBC","NL-BOTANY","U.1592309","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Lindeman JC; Cowan RS",NA,"1954","12","Southern America","Surinam",NA,"Nassau Mts. slope between line 14 and 16 in base A.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592309","NL-U1592309","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0244912",NA,NA,NA
"39","2020-02-08 09:04:04-03","NBC","NL-BOTANY","U.1592310","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist","Swenson U",NA,"Pennington TD; et al.",NA,"1993","02","Southern America","French Guiana","Saint-Laurent-du-Maroni",NA,"-53.2","3.616667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592310 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592310","NL-U1592310","11",NA,NA,NA,"-53.2","3.616667",NA,NA,NA,NA,"Magnoliopsidae","U 0018666",NA,NA,NA
"40","2020-02-08 09:04:04-03","NBC","NL-BOTANY","U.1592311","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Pennington RT; Harrison GJ; Monro AK; Rowe EC",NA,"1988","08","Southern America","Bolivia","Pando",NA,"-69.083333","-11.416667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592311 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592311","NL-U1592311","24",NA,NA,NA,"-69.083333","-11.416667",NA,NA,NA,NA,"Magnoliopsidae","U 0100346",NA,NA,NA
"41","2020-02-08 09:04:04-03","NBC","NL-BOTANY","U.1592312","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Krukoff BA",NA,"1939","09","Southern America","Bolivia",NA,"Department of La Paz: province of Larecaja. Tuiri (near Mapiri, on left bank of Rio Mapiri).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592312","NL-U1592312","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"42","2020-02-08 09:04:04-03","NBC","NL-BOTANY","WAG.1576579","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Diploon","cuspidatum","Diploon cuspidatum","(Hoehne) Cronquist",NA,NA,"Núñez Vargas P; et al.",NA,"1995","08","Southern America","Peru","Madre de Dios","Lago Sandobal, Borde del Lago-Carretera Carrozable.","-69.045","-12.612222",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1576579 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1576579","NL-WAG1576579","10",NA,NA,NA,"-69.045","-12.612222",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
