"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"11","2020-07-02 18:52:20-03","UFJF","CESJ","59891","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","F.C. Favoreto","F.C. Favoreto; Binda","138","2012","02","04","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","FLONA de Pacotuba, Entrada para a parcela 1, à direita na estrada para Monte Alegre.","-41.293611","-20.738611",NA,"Erva epífita em clareira recém aberta, heliófila. Folhas verde brilhantes, bainha concolor. Escapo verde na base, avermelhado em direção ao ápice, brácteas do escapo verdes, raque vermelha, brácteas florais verdes, sépalas verde claro, pétalas amarelas c","CESJ059891",NA,NA,NA,"2012","05",NA,NA,NA,"-41.293611","-20.738611",NA,NA
"12","2019-11-21 14:33:00-03","UFJF","CESJ","37661","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","A. Costa","R.C. Forzza; et al.","2205","2002","06","15","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,"Erva epífita, próxima de curso d'água. folhas levemente arroxeadas, escapo verde, brácteas do escapo verde-claras, brácteas florais amarelas. Frutos verdes.","CESJ037661",NA,"11991","auto","2002","10",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:33:00-03","UFJF","CESJ","58440","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","F.C. Favoreto","F.C. Favoreto; Campanharo; I.F.; Alves; A. F.; Luiz Antônio","102","2011","07","11","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Cafundó, Fragmento maior, 4ª trilha. 20°42'47.6S 41°13'21.6W","-41.222667","-20.713222",NA,"Epífita, esciófila.Folhas verdes, brilhantes, bainha verde com base bege. Escapo, brácteas do escapo, bracteas florais e sépalas verdes.","CESJ058440",NA,NA,NA,"2012","09",NA,"92","92","-41.222667","-20.713222",NA,NA
"14","2019-11-21 14:33:00-03","UFJF","CESJ","59895","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","F.C. Favoreto","F.C. Favoreto; Luiz Antônio","142","2012","03","16","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Cafundó, Terceiro fragmento às margens do Rio Itapemirim (fragmento da juzante),","-41.232389","-20.753667",NA,"Erva epífita, à meia sombra. Folhas verde brilhantes levemente arroxeadas, escapo verde, brácteas concolor. Raque vermelha, brácteas florias verde claro, pétalas amarelas","CESJ059895",NA,NA,NA,"2012","05",NA,NA,NA,"-41.232389","-20.753667",NA,NA
"15","2019-11-21 14:33:00-03","UFJF","CESJ","59905","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","M. Nogueira","F.C. Favoreto; T. Gava","154","2012","04","11","América do Sul","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama, Base da Pedra da Ema","-41.331056","-20.684583",NA,"Erva saxícola, à meia sombra. Folhas verdes com lâminas arroxeadas na base, escapo verde, brácteas do escapo, raque e brácteas florais concolor. Frutos castanhos.","CESJ059905",NA,NA,NA,"2019","07",NA,NA,NA,"-41.331056","-20.684583",NA,NA
"16","2020-04-27 16:09:08-03","UFES","VIES","21662","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Favoreto, F.C.","Favoreto, F.C.; Campanharo, I.F.","132","2012","01","12",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES021662","VIES021662","35694","auto","2012","05",NA,NA,NA,NA,NA,NA,NA
"17","2020-04-27 16:09:08-03","UFES","VIES","21663","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Favoreto, F.C.","Favoreto, F.C.; Campanharo, I.F.","131","2012","01","12",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES021663","VIES021663","35694","auto","2012","05",NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 09:29:57-03","UFRRJ","RBR","44597","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira",NA,"A.F. Nunes-Freitas","803","2002",NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Lopes Mendes.","-44.3180999755859","-23.0067005157471",NA,NA,"RBR00044597","RBR00044597","32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 09:29:57-03","UFRRJ","RBR","44199","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira",NA,"A.F. Nunes-Freitas","798",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,"RBR00044199","RBR00044199","32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-06-29 09:29:57-03","UFRRJ","RBR","44596","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira",NA,"A.F. Nunes-Freitas; T.C. Rocha-Pessôa","83","2003","09",NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Trilha Palmas-mangues.","-44.3180999755859","-23.0067005157471",NA,NA,"RBR00044596","RBR00044596_1 RBR00044596_2","32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:19:34-03","MBM","MBM","249039","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Gatti, A.L.S.","Gatti, A.L.S.; et al.; et al.","358","2000","03","09","Southern America","Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Estrada da Figueira","-48.3288993835449","-25.3066997528076",NA,NA,"MBM249039","MBM249039","37295","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:19:34-03","MBM","MBM","168619","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Leme, E.M.C.","Hatschbach, G.; Leme, E.M.C.; Leme, E.M.C.","61003","1994","08","28","Southern America","Brazil","Espírito Santo","Domingos Martins","Rio Jucu Braço Norte","-40.6591987609863","-20.3633003234863",NA,"Cultivada na Estação Biológica de Sapitanduva sob nº 453","MBM168619","MBM168619","48150","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:19:34-03","MBM","MBM","226894","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Leme, E.M.C.","Carneiro, J.","365","1998","01",NA,"Southern America","Brazil","Paraná","Morretes","Estrada da Graciosa, próximo a Grota Funda","-48.834400177002","-25.476900100708",NA,NA,"MBM226894","MBM226894","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","16279",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","T.S. Coser /25-01-2012","L. Kollmann","5616","2002","03","05",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita na sombra. Brácteas escapais avermelhadas. Flores verdes. Sépalas e pétalas amarelas. Folha verde com pintas vermelhas.","MBML016279","MBML016279",NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"25","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","20604",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","T.S. Coser /25-01-2012","L. Kollmann; et al","6107","2003","04","15",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Terreno de R. Berger","-40.780556","-20.067222",NA,"Epífita, na sombra. Frutos verdes.","MBML020604","MBML020604",NA,NA,NA,NA,NA,NA,NA,"40W46'50","20S4'2",NA,NA
"26","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","34775",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","T.S. Coser/22-06-2011","L. Kollmann; L. Magnago","10752","2008","03","05",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional de Pacotuba","-41.291944","-20.739722",NA,"Erva epífita , escapo avermelhado, bráctea floral verde. Sepálas verde, pétalas verde amarelado.","MBML034775","MBML034775",NA,NA,NA,NA,NA,NA,NA,"41W17'31","20S44'23",NA,NA
"27","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","48891",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Nagibi/09-03-2002","N.N.F. da Silva","154","2002","03","09",NA,"Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701",NA,"Epífita, folhas verdes","MBML048891","MBML048891","16451","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","48560",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Nagibi/16-10-2001","N.N.F. da Silva","106","2001","10","12",NA,"Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701",NA,"Epífita, inflorescência esverdeada","MBML048560","MBML048560","16451","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-07-10 09:44:50-03","MBML","MBML-HERBARIO","48500",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Nagibi/09-02-2002","N.N.F. da Silva","138","2002","02","09",NA,"Brasil","Espírito Santo","Serra","Itaiobaia, Morro do Céu","-40.3078002929688","-20.1285991668701",NA,"Epífita, inflorescência esverdeada","MBML048500","MBML048500","16451","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-25 10:11:30-03","CVRD","CVRD","4876","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Thiago S. Coser","Folli, D.A.","2252","1994","03","14","América do Sul","BRASIL","ES","Linhares","Erva epífita, no Canto Grande, próximo a porteira do Bragato.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bromélia espada","CVRD004876",NA,"48094","auto","2012","06","11",NA,NA,NA,NA,"Liliopsida",NA
"31","2021-02-25 10:11:30-03","CVRD","CVRD","4454","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Thiago S. Coser","Folli, D.A.","1896","1993","06","11","América do Sul","BRASIL","ES","Linhares","Erva epífita, próximo ao marco de ferro.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bromélia espada","CVRD004454",NA,"48094","auto","2012","06","11",NA,NA,NA,NA,"Liliopsida",NA
"32","2021-02-25 10:11:30-03","CVRD","CVRD","7268","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Thiago S. Coser","Folli, D.A.","4188","2002","02","26","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bromélia espada","CVRD007268","CVRD007268","48094","auto","2012","06","11",NA,NA,NA,NA,"Liliopsida",NA
"33","2021-02-25 10:11:30-03","CVRD","CVRD","5764","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Thiago S. Coser","Simonelli, M.","609","1997","11","03","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Bromélia espada","CVRD005764",NA,"48094","auto","2012","06","11",NA,NA,NA,NA,"Liliopsida",NA
"34","2020-07-23 12:01:08-03","CEPLAC","CEPEC","102399","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima",NA,"M. G. C. Nogueira","W. W. Thomas","13953","2001","02","09",NA,"Brasil","Bahia","POÇÕES","Fazenda Boa Esperança (Sra. Lucau Vitória) 7,5m a S de Morrinhos (ca. 6.1Km a E de Poções na Rod. Para Ilhéus).","-40.336944","-14.611111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W20'13","14S36'40",NA,"11/03/2013"
"35","2020-07-23 12:01:08-03","CEPLAC","CEPEC","102953","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima",NA,"E. M. C. Leme","W. W. Thomas","13851","2000","02","06",NA,"Brasil","Bahia","JEQUIÉ","10,5Km ao S de Mandacaru (junção da Rod. do estádio/Rod. p/ Jequié) na Rod. p/ Serra dos Brejos.","-40.111111","-13.943611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W6'40","13S56'37",NA,"21/09/2005"
"36","2020-07-23 12:01:08-03","CEPLAC","CEPEC","14971","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima",NA,"A. Costa","S. A. Mori","11160","1978","11","18",NA,"Brasil","Bahia","MARACÁS","BA-250, 13-15Km a E de Maracás.","-40.4308013916016","-13.4411001205444",NA,NA,NA,NA,"50558","auto",NA,NA,NA,NA,NA,NA,NA,NA,"26/03/2007"
"37","2021-04-08 17:13:21-03","UESB","HUESB","5339","S","Plantae","Monocotyledoneae",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Louzada, R.","Oliveira, A.","3","2009","02","03",NA,"Brasil","Bahia","Jequié","Brejo Novo.","-40.0835990905762","-13.8575000762939",NA,"Epífita. Folhas concolores, quebradiças. Inflorescência amarelada com a base rosada.; Mata de Cipó.","HUESB000005339",NA,"49443","auto","2013","10",NA,NA,NA,NA,NA,NA,NA
"38","2021-02-08 12:50:47-03","UFRGS","ICN","090245","S","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E. Pereira","Costa, A","Waechter, J L","2485","1991","02","15","América do Sul","Brasil","RS","Cidreira",NA,"-50.2056007385254","-30.1811008453369",NA,"Plantas em frutificação; brácteas e sépalas verdes.; Epífito em mata de restinga turfosa, entre 1 -2m de altura.","ICN00030859",NA,"19547","auto","2007","03","26",NA,NA,NA,NA,NA,NA
"39","2019-10-04 16:07:01-03","MCN-FZBRS","HAS","14740","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Costa, A.","Strehl, T.","443","1982","08",NA,NA,"Brasil","Rio Grande do Sul","Porto Alegre","Jardim Botânico","-51.178068","-30.051692",NA,"Flores com pétalas marrons, cálice amarelo; J.B. 8481","HAS0014740",NA,NA,NA,"2007","03","26","53","53","-51,178068","-30,051692",NA,NA
"40","2019-11-21 10:02:54-03","IBt","SP","51021","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Costa, A","Orth, C","s.n.","1933","07","10",NA,"Brasil","Rio Grande do Sul","Porto Alegre","Glória.","-51.2299995422363","-30.0331001281738",NA,NA,"SP053477","SP053477","29946","auto","2007","03","26",NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:02:54-03","IBt","SP","46530","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","pauperrima","Vriesea pauperrima","E.Pereira","Costa, A","Eugenio Leite, J","215","1942","01",NA,NA,"Brasil","Rio Grande do Sul","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738",NA,NA,"SP053476","SP053476","29946","auto","2007","03","23",NA,NA,NA,NA,NA,NA
