"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber","sex"
"11","2019-08-16 08:38:06-03","UTFPR","HCF","12793","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","C. Ezcurra","R. Balbino",NA,"2013","09","22",NA,"Brasil","PR","Fênix","Parque Estadual Vila Rica do Espírito","-51.9791984558105","-23.9160995483398",NA,"erva semi-ciófila, ereta, ca. 0,50 m. Flores roxas.",NA,NA,NA,"2016","16297","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-16 08:38:06-03","UTFPR","HCF","12787","S","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","M.G. Caxambu","R.M. Amadeo",NA,"2013","09","28",NA,"Brasil","PR","Iretama","vegetação ciliar do Rio Muquilão","-52.1058006286621","-24.423900604248",NA,"subarbusto semi-ciófilo, ca. 2 m. Flores com cálice verde e corola roxa.",NA,NA,NA,"2016","27581","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:11:06-03","MBM","MBM","36383","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Leonard, E.C.","Hatschbach, G.","8322","1961","09","13","Southern America","Brazil","Paraná","Cerro Azul",NA,"-49.261100769043","-24.823600769043",NA,"Flor azul.; Mata.","MBM036383","MBM036383",NA,"1962","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:11:06-03","MBM","MBM","165749","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Wasshausen, D.C.","Hatschbach, G.; Barboza, E.; Barboza, E.","59213","1993","10","12","Southern America","Brazil","Paraná","Doutor Ulysses","Ribeirão do Tigre","-49.4197006225586","-24.5680999755859",NA,"Flor lilás.; Mata pluvial.","MBM165749","MBM165749",NA,"1994","32237","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:11:06-03","MBM","MBM","310409","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Silva, M.G.","Carneiro, J.","1585","2005","09","17","Southern America","Brazil","Paraná","Jundiaí do Sul","Fazenda Itambé","-50.247501373291","-23.4367008209229",NA,"Terrícola ou rupícola.; Mata primaria.","MBM310409","MBM310409",NA,"2010","17300","auto",NA,NA,NA,NA,"07","27",NA,NA,NA,NA
"16","2020-12-21 16:11:06-03","MBM","MBM","173592","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Hatschbach, G.","Tomé, M.V.F.","118","1994","10","08","Southern America","Brazil","Paraná","Bandeirantes","Mata São Francisco","-50.3675003051758","-23.1100006103516",NA,"Herbácea; bordô.","MBM173592","MBM173592",NA,"1995","19645","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:11:06-03","MBM","MBM","320215","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Kameyama, C.","Silva, J.M.; Barboza, E.; Barboza, E.","5037","2006","09","12","Southern America","Brazil","Paraná","Cerro Azul","Mato Preto","-49.261100769043","-24.823600769043",NA,"Ereta; flor lilás.; Base de paredão.","MBM320215","MBM320215",NA,"2009","32006","auto",NA,NA,NA,NA,"05","29",NA,NA,NA,NA
"18","2020-12-21 16:11:06-03","MBM","MBM","323077","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Cordeiro, J.; Marinero, F.","Coaresma, E.","s.n.","2005","08","30","Southern America","Brazil","Paraná","Engenheiro Beltrão","Sítio Bonfim","-52.2691993713379","-23.7971992492676",NA,"Arbusto ereto, semi-ciófila; flores roxas.; Próximo a beira de rio.","MBM323077","MBM323077",NA,"2006","20288","auto",NA,NA,NA,NA,"09","29",NA,NA,NA,NA
"19","2020-12-21 16:11:06-03","MBM","MBM","243582","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Wasshausen, D.C.","Carneiro, J.","732","1999","08","09","Southern America","Brazil","Paraná","Jundiaí do Sul","Fazenda Monte Verde","-50.247501373291","-23.4367008209229",NA,"Erva, flor lilás.; Beira de rio.","MBM243582","MBM243582",NA,"2000","17300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:11:06-03","MBM","MBM","297172","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Silva, M.G.","Carneiro, J.","s.n.","2001","09","06","Southern America","Brazil","Paraná","Jundiaí do Sul","Ribeirão Água da Anta","-50.247501373291","-23.4367008209229",NA,"Terrícola, flor lilás.; Floresta.","MBM297172","MBM297172",NA,"2010","17300","auto",NA,NA,NA,NA,"07","27",NA,NA,NA,NA
"21","2020-12-21 16:11:06-03","MBM","MBM","195694","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Silva, M.G.","Tomé, M.V.F.","685","1996","01","22","Southern America","Brazil","Paraná","Santa Mariana",NA,"-50.5186004638672","-23.1508007049561",NA,"Herbácea 3m; flor lilás.","MBM195694","MBM195694",NA,"2010","29409","auto",NA,NA,NA,NA,"07","27",NA,NA,NA,NA
"22","2020-12-21 16:11:06-03","MBM","MBM","309571","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Ezcurra, C.","Biganzoli, F.; Peralta, P.; Giallorenzo, A.; Moreno, V.; Peralta, P.; Giallorenzo, A.; Moreno, V.","512","1999","09","19","Southern America","Argentina","Misiones","Libertador General San Martín","Valle del Arroyo Cuña Pirú",NA,NA,NA,"Arbusto;flor lila.","MBM309571","MBM309571",NA,"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:11:06-03","MBM","MBM","243576","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Hatschbach, G.","Hatschbach, G.","69296","1999","10","07","Southern America","Brazil","Paraná","Doutor Ulysses","Ribeirão do Tigre","-49.4197006225586","-24.5680999755859",NA,"Ascendente; flor lilás.; Floresta atlântica.","MBM243576","MBM243576",NA,"2000","32237","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:11:06-03","MBM","MBM","54115","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Wasshausen, D.C.","Hatschbach, G.","40347","1977","10","05","Southern America","Brazil","Paraná","Cerro Azul","Barra do Tigre","-49.261100769043","-24.823600769043",NA,"Flor lilás.; Interior da mata de galeria.","MBM054115","MBM054115",NA,"1979","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:11:06-03","MBM","MBM","141288","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Wasshausen, D.C.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","54440","1990","09","05","Southern America","Brazil","Paraná","Cerro Azul","Mato Preto","-49.261100769043","-24.823600769043",NA,"Erva; flor lilás.; Mata pluvial, entre afloramentos de calcário.","MBM141288","MBM141288",NA,"1992","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:11:06-03","MBM","MBM","36519","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Ezcurra, C.","Hatschbach, G.","5025","1958","09","26","Southern America","Brazil","Paraná","Cerro Azul","Turvo","-49.261100769043","-24.823600769043",NA,NA,"MBM036519","MBM036519",NA,"1992","32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:11:06-03","MBM","MBM","3886","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Ezcurra, C.","Hatschbach, G.","16950","1967","08","24","Southern America","Brazil","Paraná","Cianorte","Fazenda Lagoa, Rio Ivaí.","-52.6049995422363","-23.6632995605469",NA,"Flor lilás.; Interior da mata; margens do rio.","MBM003886","MBM003886",NA,"1967","32009","auto",NA,NA,NA,NA,"08","24",NA,NA,NA,NA
"28","2020-12-21 16:11:06-03","MBM","MBM","391456","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Coraiola, R.","Amadeo, R.M.","s.n.","2013","09","28","Southern America","Brazil","Paraná","Iretama","Vegetação ciliar do Rio Muquilão","-52.1058006286621","-24.423900604248",NA,"Subarbusto semi-ciófilo, ca. 2m. Flores com cálice verde e corola roxa.; Relevo: Ondulado. Vegetação: Floresta Estacional Semidecidual Aluvial.","MBM391456","MBM391456",NA,"2014","27581","auto",NA,NA,NA,NA,"04",NA,NA,NA,NA,NA
"29","2020-12-21 16:11:06-03","MBM","MBM","296361","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Silva, M.G.","Carneiro, J.","1483","2003","10","09","Southern America","Brazil","Paraná","Jundiaí do Sul","Sítio Nossa Senhora Aparecida","-50.247501373291","-23.4367008209229",NA,"Sublenhosa 50cm; flor roxa.; Margem de rio.","MBM296361","MBM296361",NA,"2010","17300","auto",NA,NA,NA,NA,"07","27",NA,NA,NA,NA
"30","2021-02-11 17:17:46-03","UFPR","UPCB","21935","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Ezcurra & Wasshausen","Wasshausen, D.C.","Hatschbach, G.","54440","1990","09","05",NA,"Brasil","Paraná","Cerro Azul","Mato Preto","-49.261100769043","-24.823600769043",NA,"Erva de flor lilás. Mata pluvial. Entre afloramentos de calcário..",NA,NA,NA,"1992","32006","auto",NA,NA,NA,NA,"01","01",NA,NA,NA,NA
"31","2015-04-12 20:29:00-03","MO","MOBOT","2188060","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"E. Kermes","Kermes 197",NA,NA,NA,"South America","Argentina","Misiones",NA,"Puerto Pampa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2009-11-16 06:38:00-02","MO","MOBOT","2188098","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"Eduardo M. Grondona|Rutile A. Spegazzini","Grondona 1374",NA,NA,NA,"South America","Argentina","Misiones","Capital","Garupá, Arroyo Las Tranqueras","-55.83333","-27.48333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2010-05-16 08:12:00-03","MO","MOBOT","2188132","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"Aurelio Schinini","Schinini Cacace 19904",NA,NA,NA,"South America","Argentina","Misiones","Montecarlo","Arroyo Piray guazú y Ruta Nacional 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2011-02-22 06:42:00-03","MO","MOBOT","2406272","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Ezcurra, C.","F. Biganzoli|Paola Peralta|A. Giallorenzo|V. Moreno","Biganzoli 512","1999","9","19","South America","Argentina","Misiones","Libertador General San Martín","Predio UNLP : valle del arroyo Cuña Pirú, picada cerca de la entrada al balneario de A. del Valle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2011-05-03 17:37:00-03","MO","MOBOT","2454229","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"Horacio Quiroga","Quiroga s.n.32",NA,NA,NA,"South America","Argentina","Misiones","San Ignacio","San Igancio","-55.53333","-27.26666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-11-20 06:17:00-02","MO","MOBOT","2456740","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Wasshausen, D. C.","Gert G. Hatschbach|R. Kummrow","Hatschbach 54440","1990","9","5","South America","Brazil","Paraná",NA,"Cerro Azul. Mato Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2009-07-09 17:05:00-03","MO","MOBOT","2456755","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"Gert G. Hatschbach","Hatschbach 5025",NA,NA,NA,"South America","Brazil","Paraná",NA,"Cerro Azul. Cerro Azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2009-12-23 06:58:00-02","MO","MOBOT","2488365","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"Karl Fiebrig","Fiebrig 5372",NA,NA,NA,"South America","Paraguay","Alto Paraná",NA,"In regione fluminis Alto Paraná","-54.61666","-25.43333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2008-05-27 22:02:00-03","MO","MOBOT","3078731","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","C.Ezcurra","Itaipú Binacional","Itaipú Binacional 925","1981",NA,NA,"South America","Brazil","Paraná",NA,"Sotobosque, bosque alto. Simple, opuestam entera, pubesc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2009-11-20 06:16:00-02","MO","MOBOT","3196479","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"Gert G. Hatschbach|R. Kummrow","Hatschbach 54440","1990","9","5","South America","Brazil","Paraná",NA,"Mun. Cerro Azul. Mato Preto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 11:54:33-03","UFPE","UFP","27014","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.","Hatscbach, G","Silva, JM; Poliquesi, CB; Barbosa, E","1965","1997","09","11",NA,"Brasil","Paraná","Tunas",NA,NA,NA,NA,"Ereta, flor lilás. Floresta atlântica.; Ereta, flor lilás. Floresta atlântica.","UFP027014","UFP027014_01",NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-09-12 05:00:02-03","US","US","3290125","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"G. Hatschbach & E. L. Barbosa","59213","1993","10","12","South America","Brazil","Paraná",NA,"Ribeirão do Tigre (mun. Dr. Ulisses).",NA,NA,NA,NA,"US02859931","US02859931_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","2373733","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"G. Hatschbach","8322","1961","9","13","South America","Brazil","Paraná",NA,"Mun. Cerro Azul. Cerro Azul.",NA,NA,NA,NA,"US02859934","US02859934_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"44","2020-09-12 05:00:02-03","US","US","2650145","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"G. Hatschbach","16950","1967","8","24","South America","Brazil","Paraná",NA,"Fda. Lagoa (Mun. Cianorte).",NA,NA,NA,NA,"US02859933","US02859933_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","1158631","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"K. Fiebrig","5372","1909","10",NA,"South America","Paraguay","Alto Paraná",NA,NA,NA,NA,NA,NA,"US00385949",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Isotype",NA,NA
"46","2020-09-12 05:00:02-03","US","US","3238645","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"G. Hatschbach & R. Kummrow","54440","1990","9","5","South America","Brazil","Paraná",NA,"Mato Preto (mun. Cerro Azul).",NA,NA,NA,NA,"US02859929","US02859929_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"47","2020-09-12 05:00:02-03","US","US","3389333","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"J. A. Carneiro","732","1999","8","9","South America","Brazil","Paraná",NA,"Fazenda Monte Verde (Mun. Jundiaí do Sul).",NA,NA,NA,NA,"US02859932","US02859932_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"48","2020-09-12 05:00:02-03","US","US","2851027","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C. Ezcurra & Wassh.",NA,"G. Hatschbach","40347","1977","10","5","South America","Brazil","Paraná",NA,"Barra do Tigre (mun. Cerro Azul).",NA,NA,NA,NA,"US02859930","US02859930_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"49","2019-11-13 11:14:00-03","USP","SPF","73454","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.","Silva, MG","Rodrigues, MA","5","1985","11","27",NA,"Brasil","Mato Grosso do Sul","Campo Grande",NA,"-54.6464004516602","-20.4428005218506",NA,NA,"SPF00073454","SPF00073454",NA,"2010","161190","auto",NA,NA,NA,NA,"08",NA,NA,NA,NA,NA
"50","2019-10-07 09:15:11-03","UEFS","HUEFS","14958","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Acanthaceae","Ruellia","epallocaulos","Ruellia epallocaulos","Leonard ex C.Ezcurra & Wassh.",NA,"Hatschbach, G.","54440","1990","09","05",NA,"Brasil","Paraná","Cerro Azul",NA,"-49.261100769043","-24.823600769043",NA,NA,"HUEFS0014958","HUEFS0014958","Asteranae",NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
