"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","county","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","year","month","day","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"11","2020-02-08 10:26:38-03","NBC","NL-BOTANY","L.1581497","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Hassler E",NA,"Southern America","Paraguay",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1581497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1581497",NA,NA,NA,"Rosales","(Poiss.) Taub.","1913","11","01","Paraguaria Centralis: In regione lacus Ypacaray.",NA,NA,"NL-L1581497",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:26:38-03","NBC","NL-BOTANY","L.1581498","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Meyer T",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1581498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1581498",NA,NA,NA,"Rosales","(Poiss.) Taub.","1941","10","01","Grayanae, Tucuman, province of Tucuman.",NA,NA,"NL-L1581498",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:26:38-03","NBC","NL-BOTANY","L.4222906","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Zenteno F; Cuevas R",NA,"Southern America","Bolivia",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222906",NA,NA,NA,"Rosales","(Poiss.) Taub.","2002","08","14","Depto. La Paz, Prov. J. Bautista Saavedra M., Resina Chico.","-68.566667","-14.4","NL-L4222906",NA,NA,NA,"Magnoliopsidae","-68.566667","-14.4",NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1744292","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Meyer T",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1744292 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1744292",NA,NA,NA,"Rosales","(Poiss.) Taub.","1941","10","01","Grayanae, Tucuman, province of Tucuman.",NA,NA,"NL-U1744292",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753584","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Lillo",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753584",NA,NA,NA,"Rosales","(Poiss.) Taub.","1905","11","01","Provincia Salta, Rosario de la Frontera.",NA,NA,"NL-U1753584",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753585","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Pedersen TM",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753585 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753585",NA,NA,NA,"Rosales","(Poiss.) Taub.","1954","11","02","Estancia,, La Yela', Dep. Empedrado, prov. Corrientes.",NA,NA,"NL-U1753585",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753586","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Pedersen TM",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753586",NA,NA,NA,"Rosales","(Poiss.) Taub.","1954","08","30","Estancia,, La Yela', Dep. Empedrado, prov. Corrientes.",NA,NA,"NL-U1753586",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753587","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Monetti L",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753587",NA,NA,NA,"Rosales","(Poiss.) Taub.","1913","11","21","Provincia Tucuman, Dep Rio Chico, El Potrerillo.",NA,NA,"NL-U1753587",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753588","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Schreiter R",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753588 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753588",NA,NA,NA,"Rosales","(Poiss.) Taub.","1924","10","14","Provincia te Uluman, Dep. Safi, La Hoyada.",NA,NA,"NL-U1753588",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753589","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Lillo M",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753589 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753589",NA,NA,NA,"Rosales","(Poiss.) Taub.","1905","11","05","Provincia Tucuman, Capital.",NA,NA,"NL-U1753589",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753590","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Schreiter R",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753590",NA,NA,NA,"Rosales","(Poiss.) Taub.","1940","10","01","Provincia Salta, Dep. Oran, Zartagal.",NA,NA,"NL-U1753590",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 10:26:38-03","NBC","NL-BOTANY","U.1753591","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Rodriguez",NA,"Southern America","Argentina",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1753591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1753591",NA,NA,NA,"Rosales","(Poiss.) Taub.",NA,NA,NA,"Provincia Salta, Lis Los Píedras.",NA,NA,"NL-U1753591",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-19 10:25:35-03","CPAP","CPAP","17175","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Pott, A.","7942",NA,"Brasil","MS","Aquidauana",NA,NA,"Árvore ereta 15m de altura. FLOR: não vista. FRUTO: não visto. INTERESSE: Florestal. FREQUÊNCIA: Esparsa. AMBIENTE: Florestal com Scheelea. SUBSTRATO: solo siltoso. RELEVO: plano.",NA,"95","95",NA,NA,"(Poiss.) Taub.","1998","04","05","Estância Caiman; Sub-região de Miranda; Pantanal","-56.350556","-19.874444",NA,NA,NA,NA,NA,"56°21'02'' W","19°52'28'' S",NA,NA,NA,NA,NA,NA
"24","2020-11-19 10:25:35-03","CPAP","CPAP","17294","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Pott, A.","8061",NA,"Brasil","MS","Corumbá",NA,NA,"Árvore ereta, tronco claro de secção irregular. FLOR: não vista. FRUTO: não visto. INTERESSE: Florestal. FREQUÊNCIA: Frequente. AMBIENTE: Pastagem cultivada, ex-floresta semidecídua. SUBSTRATO: solo limo-arenoso. RELEVO: plano convexo. <ll>dwc_commonname:</ll> G",NA,"90","90",NA,NA,"(Poiss.) Taub.","1998","05","25","Fazenda Cedro; Sub-região do Paiaguás; Pantanal - ponto 98","-56.088056","-18.689722",NA,NA,NA,NA,NA,"56°05'17'' W","18°41'23'' S",NA,NA,NA,NA,NA,NA
"25","2020-11-19 10:25:35-03","CPAP","CPAP","24454","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Pott, A.","13608",NA,"Brasil","MT","Cáceres",NA,NA,"Árvore 10-20m de altura. FLOR: ausente. FRUTO: palha. INTERESSE: Florestal. FREQUÊNCIA: Frequente. AMBIENTE: Floresta decidual com Phyllostylon rhamnoides, Pisonia zapallo, Attalea phalerata e Caesalpinia pluviosa. . SUBSTRATO: solo arenoso-escuro.. RELE",NA,NA,NA,NA,NA,"(Poiss.) Taub.","2005","11","15","Fazenda Meia, Sub-região de Cáceres, Pantanal.","-58.367222","-16.623056",NA,"A.Pott",NA,NA,NA,"58°22'02W","16°37'23S",NA,NA,NA,NA,NA,NA
"26","2020-11-19 10:25:35-03","CPAP","CPAP","2705","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Pott, A.","2421",NA,"Brasil","MS","Corumbá",NA,NA,"Árvore ereta até 20m de altura, caule lorado esbranquiçado. FLOR: não vista. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: . AMBIENTE: Mata em capão alongado. SUBSTRATO: solo calcimórfico petrocálcico. RELEVO: plano . <ll>dwc_commonname:</ll> Gaiuvira",NA,"90","90",NA,NA,"(Poiss.) Taub.","1986","12","02","Fazenda Sagrado; Sub-região do Abobral; Pantanal","-57","-19.5",NA,"A. Pott",NA,NA,NA,"57°00' W","19°30' S","1997","08",NA,NA,NA,NA
"27","2020-11-19 10:25:35-03","CPAP","CPAP","5947","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Pott, A.","4633",NA,"Brasil","MS","Porto Murtinho",NA,NA,"Árvore 8 m de altura. FLOR: não vista. FRUTO: não visto. INTERESSE: Levantamento florístico. FREQUÊNCIA: Esparsa. AMBIENTE: Mata calcária fechada. SUBSTRATO: solo calcimórfico, drenado. RELEVO: plano.",NA,"100","100",NA,NA,"(Poiss.) Taub.","1989","02","18","Fazenda Oasis, 20 Km E de Porto Murtinho, BR-267","-57.666667","-21.7",NA,"D. E. Prado",NA,NA,NA,"57°40' W","21°42' S","1989","02",NA,NA,NA,NA
"28","2020-11-19 10:25:35-03","CPAP","CPAP","8419","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Silva, M. P. da","18",NA,"Brasil","MS","Corumbá",NA,NA,"Arbóreo, 23m de altura. FLOR: não visto. FRUTO: não visto. INTERESSE: Levantamento florístico. FREQUÊNCIA: Ocasional. AMBIENTE: Mata. SUBSTRATO: argila. RELEVO: plano.",NA,NA,NA,NA,NA,"(Poiss.) Taub.","1989","05","30","Fazenda Primavera, 1km a esquerda da estrada para Forte Coimbra; Pantanal - ponto 1 - planta 1.39","-57.133333","-19.433333",NA,"S. M. Salis",NA,NA,NA,"57°08' W","19°26' S","1991","11",NA,NA,NA,NA
"29","2020-11-19 10:25:35-03","CPAP","CPAP","9232","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Silva, M. P. da","75",NA,"Brasil","MS","Corumbá",NA,NA,"Arbóreo, 12m de altura. FLOR: não vista. FRUTO: não visto. INTERESSE: Levantamento florístico. FREQUÊNCIA: Pouco frequente. AMBIENTE: Mata. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,"100","100",NA,NA,"(Poiss.) Taub.","1989","05","30","Fazenda Primavera, 1km a esquerda da estrada para Forte Coimbra - ponto 1, planta 1.07","-57.466667","-19.45",NA,"S. M. Salis",NA,NA,NA,"57°28' W","19°27' S","1991","11",NA,NA,NA,NA
"30","2020-11-19 10:25:35-03","CPAP","CPAP","21818","PreserverdSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Padilha, D.R.C.","45",NA,"Brasil","MS","Porto Murtinho",NA,NA,"Árvore, 50 m. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Chaco florestado. SUBSTRATO: solo argiloso. RELEVO: com elevações.",NA,NA,NA,NA,NA,"(J.Poiss.) Taub.","2009","11","16","Fazenda Santa Verginia","-57.8824996948242","-21.6989002227783",NA,"D.R.C.Padilha","185577","auto",NA,"57 50'46W","22 03'43S",NA,NA,NA,NA,NA,NA
"31","2015-07-02 14:04:26-03","JBP","HPL","12120","S","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","H. Lorenzi, R. Pimenta & R. Campos","6695",NA,"Brasil","MS","Porto Murtinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009","06","23","Coletado em vegetação do chaco, Fazenda São João.","-57.8825","-21.6989",NA,"H. Lorenzi","185577","auto",NA,NA,NA,"2009","06","23",NA,NA,NA
"32","2021-04-07 11:49:03-03","UFMS","CGMS","31580","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","D.R.C. Padilha","45",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho",NA,NA,NA,"CGMS1061013",NA,NA,NA,NA,"(Poiss.) Taub.","2009","11","16","Fazenda Santa Vergínia.","-57.8333333","-22.0619444",NA,"D.R.C. Padilha",NA,NA,NA,"-57,8333333","-22,0619444","2010",NA,NA,NA,NA,NA
"33","2021-04-07 11:49:03-03","UFMS","CGMS","55037","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","A. Pott; V.J. Pott; M.O.D. Pivari","12760",NA,"Brasil","Mato Grosso do Sul","Corumbá",NA,NA,"Flor ausente. Fruto ausente. Habitat: Capão (ilha de floresta) decidual, não inundável. Solo calcário. Relevo plano convexo. Ocasional. Habito: Árvore 8-20 m altura.","CGMS1085005","90","90",NA,NA,"(Poiss.) Taub.","2005","03","27","Fazenda Boa Sorte, Estrada Parque (MS-184), 24 Km W do Passo do Lontra.","-57.0502778","-19.3388889",NA,NA,NA,NA,NA,"-57,0502778","-19,3388889",NA,NA,NA,NA,NA,NA
"34","2021-04-07 11:49:03-03","UFMS","CGMS","57147","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","F.S. Carvalho; Z.R. Holsback; B.E.M. Pinto","360",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho",NA,NA,"Fruto verde imaturo. Habitat: Savana Estépica Arborizada. Chaco. Habito: Árvore. 10m de altura.","CGMS1087066",NA,NA,NA,NA,"(Poiss.) Taub.","2010","09","28","Fazenda Retiro Conceição Chegando no transecto 05 do lado esquerdo, de frente pra cerca.","57.7788889","-21.6822223",NA,"F.S. Carvalho",NA,NA,NA,"57,7788889","-21,6822223","2010",NA,NA,NA,NA,NA
"35","2021-04-07 11:49:03-03","UFMS","CGMS","28134","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","L.C.S. Magalhães; G.A. Damasceno-Junior","176",NA,"Brasil","Mato Grosso do Sul","Nioaque",NA,NA,"Fruto creme. Habitat: Floresta Estacional Decídua. Habito: Árvore.","CGMS1057580","202","202",NA,NA,"(Poiss.) Taub.","2008","12","06","Assentamento Andalucia.","-55.7513889","-20.7927777",NA,"G.A.Damasceno-Junior",NA,NA,NA,"-55,7513889","-20,7927777","2008","12","06",NA,NA,NA
"36","2021-04-07 11:49:03-03","UFMS","CGMS","72743","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","A. Pott; V.J. Pott; G.A. Damasceno-Junior","15536",NA,"Brasil","Mato Grosso do Sul","Corumbá",NA,NA,"Flor ausente. Habitat: Floresta estacional decidual com Phyllostylon rhamnoides. Solo areno-siltoso. Relevo plano convexo, não inundável. Dominante. Habito: Árvore, 8,00 - 22,00 m de altura.","CGMS1105550","90","90",NA,NA,"(Poiss.) Taub.","2009","07","28","Fazenda Nazaré, área da Mata do Cedro, leque aluvial do Rio Taquari, sub-região de Paiaguás, Pantanal.","-57.1238889","-18.6991666",NA,"A. Pott",NA,NA,NA,"-57,1238889","-18,6991666",NA,NA,NA,NA,NA,NA
"37","2021-04-07 11:49:03-03","UFMS","CGMS","45626","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","A. Pott; V.J. Pott","13523",NA,"Brasil","Mato Grosso","Poconé",NA,NA,"Flor ausente. Habitat: Floresta decidual com Phyllostylon rhamnoides. Solo argiloso. Relevo plano convexo. Habito: Árvore.","CGMS1075595",NA,NA,NA,NA,"(Poiss.) Taub.","2005","11","10","Base de Pesquisa do Ibama. Transpantaneira MT 060, sub-região de Poconé, Pantanal.","-56.9391666","-17.2836111",NA,NA,NA,NA,NA,"-56,9391666","-17,2836111",NA,NA,NA,NA,NA,NA
"38","2021-04-07 11:49:03-03","UFMS","CGMS","45628","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","A. Pott; V.J. Pott","13608",NA,"Brasil","Mato Grosso","Cáceres",NA,NA,"Flor ausente. Fruto palha. Numerosos frutos no solo. Habitat: Floresta decidual com Phyllostylon rhamnoides, Pisonia zapallo, Attalea phalerata e Caesalpinia pluviosa. Solo arenoso. Relevo plano. Habito: Árvore. 10-20m de altura.","CGMS1075597","100","100",NA,NA,"(Poiss.) Taub.","2005","11","15","Fazenda Meia, sub-região de Cáceres, Pantanal.","-58.3672223","-16.6230556",NA,"A. Pott",NA,NA,NA,"-58,3672223","-16,6230556",NA,NA,NA,NA,NA,NA
"39","2021-04-07 11:49:03-03","UFMS","CGMS","49434","PreservedSpecimen","Plantae","Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","A. Pott; C.N. Cunha; V.J. Pott; C.C.F.de Tavares","2421",NA,"Brasil","Mato Grosso do Sul","Corumbá",NA,NA,"Flor não vista. Caule lorado esbranquiçado. Habitat: Mata em capão alongado. Solo calcimórfico petrocálcico. Relevo plano. Dominante. Habito: Árvore ereta. Até 20,00 m de altura.","CGMS1079369","90","90",NA,NA,"(Poiss.) Taub.","1986","12","02","Fazenda Sagrado, Abobral, Pantanal.","-57","-19.5",NA,"A .Pott",NA,NA,NA,"-57","-19,5",NA,NA,NA,NA,NA,NA
"40","2013-04-01 09:19:08-03","IPT","BCTW","16807","S","Plantae",NA,"Phyllostylon","rhamnoides","Phyllostylon rhamnoides",NA,NA,NA,"Bolívia","Tarija",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,"(J. Poiss.) Taub.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"41","2013-04-01 09:19:08-03","IPT","BCTW","16808","S","Plantae",NA,"Phyllostylon","rhamnoides","Phyllostylon rhamnoides",NA,NA,NA,"Bolívia","Tarija",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,"(J. Poiss.) Taub.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"42","2015-09-29 03:58:13-03","MNHN","RECOLNAT_MNHN_P","P00721938","PreservedSpecimen",NA,"Ulmaceae","Phyllostylon","rhamnoides","Phyllostylon rhamnoides","Balansa, B.",NA,NA,"Paraguay",NA,NA,"hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00721938' target='other'> <mi>dwc_moreinfo</mi></a>","P00721938",NA,NA,NA,NA,"(J.Poiss.) Taub.","1875","10",NA,"L'Assomption [Asuncion]",NA,NA,"P00721938_01","Todzia",NA,NA,NA,NA,NA,NA,NA,NA,"holotype","2054",NA
