"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem"
"12","2020-11-04 11:14:06-03","ESALQ","ESA","131261","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Souza, V.C.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36464.0","2013","04","17",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","Fragmento 63 (TAV). Floresta Ombrófila Densa.","-22.6652","-43.5064","101","101",NA,"Liana.","ESA131261","ESA131261","-22.6652","-43.5064","2013",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:31:45-03","MN","R","45430","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A. St.-Hil.) Miers","Ortiz, R.","s.col.","405","1841","02",NA,NA,"Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,"R010054535","R010054535_001",NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:31:45-03","MN","R","7386","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A. St.-Hil.) Miers","Ortiz, R.","Glaziou, A.F.M.","11786","1880","02","01",NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,"Plantas do Brasil Central","R000007386","R000007386_001",NA,NA,"2010",NA,NA,"36524","auto",NA,NA,NA,NA
"15","2020-12-20 21:18:29-03","UFV","VIC","2119","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Kulhmann.;","s.n.","1935",NA,NA,NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"VIC002119","VIC002119",NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA
"16","2021-03-24 17:09:28-03","UFES","SAMES","9708","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Pereira,O.J.; Lemes,B.X.;Penha,J.S.; Firmino, A.","9268","2019","09","03",NA,"Brasil","Espírito Santo","São Mateus","Aldeia do Coco.","-39.8588981628418","-18.716100692749",NA,NA,NA,"Liana. Fruto verde. Folha com face abaxial verde claro.","SAMES09708",NA,"-397530556.0","-187958333.0",NA,NA,NA,"56510","auto",NA,NA,NA,NA
"17","2021-03-24 17:09:28-03","UFES","SAMES","10216","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Pereira, O.J.; Penha, J.S.;Lemes, B.X.","9346","2019","11","12",NA,"Brasil","Espírito Santo","São Mateus","Aldeia do Coco. Restinga Holocênica.","-39.8588981628418","-18.716100692749",NA,NA,NA,"Trepadeira. Fruto verde. Flor esverdeada.","SAMES10216",NA,"-397511111.0","-187972222.0",NA,NA,NA,"56510","auto",NA,NA,NA,NA
"18","2019-08-20 10:20:32-03","UNICAMP","UEC","168525","S","Plantae","Magnoliopsida",NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Melis, J van","Melis, J van","486",NA,NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J, Subparcela 82.","-45.084167","-23.365556","358","395",NA,NA,"UEC035295","UEC035295","-45.084167","-23.365556","2008","01",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:35:41-03","UNICAMP","UEC","67832","S","Plantae","Magnoliopsida",NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Costa, FN","Kim, AC; et al.","30049","1993","11","11",NA,"Brazil","São Paulo","Ubatuba","Praia de Puruba, planície.","-44.966667","-23.35",NA,NA,NA,"Liana. Flores amarelo-claro e pétalas c/ extremidades superiores vermelhas. Bira da Estrada.",NA,NA,"-44.966667","-23.35","1998","04","01",NA,NA,NA,NA,NA,NA
"20","2020-04-22 16:22:04-03","UFPB","JPB","26501","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Del Rei, M","Pereira, MS","245","2000","12","13","Southern America","Brasil","Paraíba","Mamanguape","Reserva Biológica Guaribas, Área I.","-35.142056","-6.741861","181","181",NA,"; DESC: Trepadeira, frutos vinho ou preto.",NA,NA,"-35.142056","-6.741861","2012","01","18",NA,NA,NA,NA,NA,NA
"21","2020-04-22 16:22:04-03","UFPB","JPB","33109","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Gadelha Neto, PC; Veloso, TMG; Pontes, RA","976","2004","03","03","Southern America","Brasil","Paraíba","João Pessoa","Jardim Botânico.","-34.863056","-7.115","47","47",NA,"; DESC: Cipó. Inflorescências caulinares. Flor branca.",NA,NA,"-34.863056","-7.115",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-04-22 16:22:04-03","UFPB","JPB","33207","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Del Rei, M","Barbosa, MR; Lima, RB; Lourenço, AR; Dionísio, GO; Lima, IB; Brasil, RNA; Barros, RB; Camelo","3012","2004","09","03","Southern America","Brasil","Rio Grande do Norte","Baía Formosa","RPPN Mata Estrela","-35.023333","-6.373889",NA,NA,NA,"; DESC: Cipó lenhoso,flores alvo-esverdeadas, sem folhas.",NA,NA,"-35.023333","-6.373889","2013","01","18",NA,NA,NA,NA,NA,NA
"23","2020-04-22 16:22:04-03","UFPB","JPB","34559","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Del Rei, M","Lourenço, AR","74","2005","07","30","Southern America","Brasil","Rio Grande do Norte","Baía Formosa","RPPN Mata Estrela, Mata, Trilha do Pau-Brasil","-35.023558","-6.374122","54","54",NA,"; DESC: Cipó.",NA,NA,"-35.023558","-6.374122","2013","01","18",NA,NA,NA,NA,NA,NA
"24","2020-04-22 16:22:04-03","UFPB","JPB","44321","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Pontes, RA; Pereira, LA","614","2010","10","19","Southern America","Brasil","Rio Grande do Norte","Baía Formosa","RPPN Mata Estrela, Área de tabuleiro no interior da mata","-35.016111","-6.378333","49","49",NA,"; DESC: Liana de grande porte. Folhas orbiculares verdes, coriáceas, geralmente áfila. Flores alvas, diminutas, sem odor. Frutos globosos, verdes-pálidos, velutinos.",NA,NA,"-35.016111","-6.378333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-04-22 16:22:04-03","UFPB","JPB","44796","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","García-González, JD","García-González, JD","1106","2009","08","16","Southern America","Brasil","Pernambuco","Igarassu","Usina São José, Mata de Piedade area protegida propriedade da Usina São José.","-34.993056","-7.828889","78","78",NA,"; HABITAT: Mata Atlântica semidecidual. Floresta aparentemente bem conservada, mas perto da borda. Dossel de 18 metros com emergentes de até 22 metros. Solo muito umido com abundante serrapilheira. Subbosque con abundantes individuos de Arecaceae, Aracea",NA,NA,"-34.993056","-7.828889","2010","03",NA,NA,NA,NA,NA,NA,NA
"26","2020-04-22 16:22:04-03","UFPB","JPB","45972","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","García-González, JD","Alves-Araújo, A; Alves, M; Arruda, T","895","2008","03","14","Southern America","Brasil","Pernambuco","Igarassu","Usina São José, Mata da Zambana. Interior da mata.","-34.986944","-7.725556","130","130",NA,"; HABITAT: Mata Atlântica.; DESC: Trepadeira com frutos verdes.",NA,NA,"-34.986944","-7.725556","2010","05",NA,NA,NA,NA,NA,NA,NA
"27","2020-04-22 16:22:04-03","UFPB","JPB","50013","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Del Rei, M","Lima, IB; Gadelha Neto, PC","1280","2012","02","09","Southern America","Brasil","Rio Grande do Norte","Baía Formosa","RPPN Mata Estrela, Trilha da Gameleira.","-35.020694","-6.379778","65","65",NA,"; DESC: Liana. Frutos negros. [Photo].","JPB0050013",NA,"-35.020694","-6.379778","2013","01","18",NA,NA,NA,NA,NA,NA
"28","2020-04-22 16:22:04-03","UFPB","JPB","52440","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Thomas, WW; Pessoa, MC; Pereira, LA; Silva, FO","16071","2013","02","15","Southern America","Brasil","Rio Grande do Norte","Baía Formosa","RPPN Mata Estrela, 3-4 Km E of Bahia Formosa on road to BR 101. (of Ecoaçucar of Grupo Farías).","-35.013333","-6.373333","55","70",NA,"; HABITAT: Semi-deciduous forest (tabuleiro forest) over Tertiary sands and dunes.&nf;; DESC: Liana, fruit appearing near ground, often far from leaves; leaves almost white beneath; fruit dark purple when ripe, in grape-like clusters. [","JPB0052440",NA,"-35.013333","-6.373333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-04-22 16:22:04-03","UFPB","JPB","7643","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Braga, JMA","Felix, LP; Miranda, CAB de","20","1988","08","19","Southern America","Brasil","Paraíba","Rio Tinto","Mata do Maracujá","-35.080278","-6.803333","11","11",NA,"; HABITAT: Terrestre; DESC: Inflorescência cauliflora. Contem curarina, veneno paraliso-motor e cardio-vascular. Liana. Flor branca.","JPB0007643",NA,"-35.080278","-6.803333","2001","07","27",NA,NA,NA,NA,NA,NA
"30","2019-11-06 09:56:36-03","UFOP","OUPR","11321","PreservedSpecimen","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Krukoff, B.A.","Schwacke, C.A.W.","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Terreno úmido",NA,NA,NA,NA,NA,"Trepadeira lenhosa, flor pálida",NA,NA,NA,NA,"1968",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-04-27 16:10:38-03","UFES","VIES","31683","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Braga, J.M.A.","Dias, H.M.; Ribeiro, R.D.; Sá, C.F.C.; Silca, J.C.; et al.","162","2007","07","03",NA,"Brasil","Bahia","Caravelas",NA,"-39.2658004760742","-17.7318992614746",NA,NA,NA,NA,"VIES031683","VIES031683",NA,NA,"2010","12",NA,"106553","auto",NA,NA,NA,NA
"32","2020-04-27 16:10:38-03","UFES","VIES","33867","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Braga, J.M.A.","Zorzanelli, J.P.F.","1051","2014","07","11",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","RPPN Cafundó.","-41.1128005981445","-20.8488998413086","106","106",NA,NA,"VIES033867","VIES033867",NA,NA,"2014","07","13","35694","auto",NA,NA,NA,NA
"33","2020-04-27 16:10:38-03","UFES","VIES","37077","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Carrijo, T.T.","Carrijo, T.T.; Luber, J.; Martins, K.G.G.; Hollunder, R.K. & Garbin, M.L.","2049","2014","03","17",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual de Mata das Flores.","-41.184700012207","-20.6035995483398",NA,NA,NA,NA,"VIES037077","VIES037077",NA,NA,"2014","04","21","23588","auto",NA,NA,NA,NA
"34","2020-04-27 16:10:38-03","UFES","VIES","37074","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Carrijo, T.T.","Carrijo, T.T.; Luber, J.; Martins, K.G.G.; Hollunder, R.K. & Garbin, M.L.","1661","2013","02","02",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual de Mata das Flores.","-41.184700012207","-20.6035995483398",NA,NA,NA,NA,"VIES037074","VIES037074",NA,NA,"2014","04","21","23588","auto",NA,NA,NA,NA
"35","2020-04-27 16:10:38-03","UFES","VIES","42669","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","B.G. Sossai","Miranda, V.S.; Nepomuceno, A.; Sossai, B. G.; Pena, N. T.; Mendes, B. S.; Melo, B.N.; Drumont, L.; Magnago, R.","259","2019","02","06",NA,"Brasil","Espírito Santo","Conceição da Barra",NA,"-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES042669","VIES042669",NA,NA,"2020","03","10","41644","auto",NA,NA,NA,NA
"36","2020-04-27 16:10:38-03","UFES","VIES","42842","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","B.G. Sossai","Nichio-Amaral, R.; Alves-Araújo, A.; Nepomuceno, A.; Sossai, B. G.; Gurtler, J.; Mendes, B. S. & Mello, B. N.","778","2019","04","30",NA,"Brasil","Espírito Santo","Conceição da Barra","Fragmento da Sede abandonada. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES042842","VIES042842",NA,NA,"2020","03","10","41644","auto",NA,NA,NA,NA
"37","2020-04-27 16:10:38-03","UFES","VIES","42849","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","B.G. Sossai","Nichio-Amaral, R.; Alves-Araújo, A.; Nepomuceno, A.; Sossai, B. G.; Gurtler, J.; Mendes, B. S. & Mello, B. N.","785","2019","04","30",NA,"Brasil","Espírito Santo","Conceição da Barra","Fragmento da Sede abandonada. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES042849","VIES042849",NA,NA,"2020","03","10","41644","auto",NA,NA,NA,NA
"38","2020-04-27 16:10:38-03","UFES","VIES","42913","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","B.G. Sossai","Mello, B.N.; Sossai, B.G.; Dutra, S.C.; Nichio-Amaral, R.; Alves-Araújo, A.","171","2019","05","28",NA,"Brasil","Espírito Santo","Conceição da Barra","Fragmento da Sede abandonada. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES042913","VIES042913",NA,NA,"2020","03","10","41644","auto",NA,NA,NA,NA
"39","2020-04-27 16:10:38-03","UFES","VIES","42506","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","B.G. Sossai","Mello, B.N.; Sossai, B.G.; Nepomuceno, A.; Miranda, V.S.; Mendes, B.S.","136","2019","02","07",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha do Paliteiro (borda). Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES042506","VIES042506",NA,NA,"2020","03","10","41644","auto",NA,NA,NA,NA
"40","2020-04-27 16:10:38-03","UFES","VIES","19855","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Sousa, J.S.","Pereira, O.J.; Deus, Y.S. de","7096","2003","03","14",NA,"Brasil","Espírito Santo","Vitória","Parque Estadual da Fonte Grande.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"VIES019855","VIES019855",NA,NA,"2016","09",NA,"15291","auto",NA,NA,NA,NA
"41","2021-02-12 18:12:15-03","UFES","VIES","41291","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Gurtler, J.; Dutra, S.C.","JAC 564","2018","02","27",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P8).","-40.439722","-18.781111",NA,NA,NA,NA,"VIES041291","VIES041291","40º26'23''W","18º46'52''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-02-12 18:12:15-03","UFES","VIES","41293","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Gurtler, J.; Dutra, S.C.","JAC 566","2018","02","27",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P6).","-40.440556","-18.781111",NA,NA,NA,NA,"VIES041293","VIES041293","40º26'26''W","18º46'52''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-06 19:29:55-03","UFES","VIES","44996","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers",NA,"Assis, A.M.; Cipriano, R.; Santos, R.; Herzog, T. & Lopes, J.C.","3929","2013","07","23",NA,"Brasil","Espírito Santo","Vitória","ArcelorMittal - floresta de tabuleiro (várzea).","-40.229167","-20.223611","20","20",NA,NA,"VIES044996","VIES044996","40º13'45''W","20º13'25''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-04-27 16:10:38-03","UFES","VIES","44264","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Valadares, R.T.","Firmino, A.D.; Xavier, B.L.; Penha,J.; Pereira, O.J.","805","2019","04","08",NA,"Brasil","Espírito Santo","São Mateus","Aldeia dos Cocos, ponto de amostragem 3.","-39.75","-18.783333",NA,NA,NA,NA,"VIES044264","VIES044264","39º45'W","18º47'S","2020","01","16",NA,NA,NA,NA,NA,NA
"45","2020-04-27 16:10:38-03","UFES","VIES","37076","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Carrijo, T.T.","Carrijo, T.T.; Luber, J.; Martins, K.G.G.; Hollunder, R.K. & Garbin, M.L.","1624","2013","01","19",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual de Mata das Flores.","-41.184700012207","-20.6035995483398",NA,NA,NA,NA,"VIES037076","VIES037076",NA,NA,"2014","04","21","23588","auto",NA,NA,NA,NA
"46","2020-04-27 16:10:38-03","UFES","VIES","37075","S","Plantae",NA,NA,"Menispermaceae","Chondrodendron","platiphyllum","Chondrodendron platiphyllum","(A.St.-Hil.) Miers","Carrijo, T.T.","Carrijo, T.T.; Luber, J.; Martins, K.G.G.; Hollunder, R.K. & Garbin, M.L.","1615","2013","01","19",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual de Mata das Flores.","-41.184700012207","-20.6035995483398",NA,NA,NA,NA,"VIES037075","VIES037075",NA,NA,"2014","04","21","23588","auto",NA,NA,NA,NA
