"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","fieldNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"11","2019-02-15 11:50:25-02","IPA","IPA","20948","S","Plantae","Plantae",NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Pires, J.M.","Andrade-Lima","70-5714","1970","02","06","Southern America","Brasil","Pernambuco",NA,"Árvore 12-15m, frequente. Ramos novos e flores ferrugíneas.","IPA0020948","Rio Formoso","Cupe, Praia de Muro Alto. Mata.","-35.1585998535156","-8.66361045837402","21734",NA,"auto","1981","10","30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-04-27 16:11:41-03","UFES","VIES","32524","S","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araújo, M.H.","Folli, D.A.","5968","2008","03","19",NA,"Brasil","Espírito Santo",NA,NA,"VIES032524","Linhares","Povoação.","-40.0722007751465","-19.3910999298096","48094","VIES032524","auto","2011","07","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-04-27 16:11:41-03","UFES","VIES","32476","S","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Menezes, L.F.T.","Menezes, L.F.T.","1090","2003","07","16",NA,"Brasil","Rio de Janeiro",NA,NA,"VIES032476","Mangaratiba","Ilha da Marambaia.","-44.040599822998","-22.9596996307373","17272","VIES032476","auto","2003","07","16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-10-01 05:02:37-03","MNHN","RECOLNAT_MNHN_P","P00649448","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"Constantino, D.|Occhioni, P.",NA,"1926","5","22",NA,"Brésil",NA,"hb","Reçu le 4 mars 1931 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649448' target='other'> <mi>dwc_moreinfo</mi></a>","P00649448",NA,"Rio de Janeiro ad urbem in silvis collinis prope Hortem Botanicum",NA,NA,NA,"P00649448_01",NA,NA,NA,NA,NA,NA,NA,"isolectotype",NA,"22231",NA,NA,NA
"15","2015-09-04 16:09:22-03","MNHN","RECOLNAT_MNHN_P","P04585161","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"Glaziou, A.",NA,"1881","9","23",NA,"Brasil","Rio de Janeiro","hb","donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04585161' target='other'> <mi>dwc_moreinfo</mi></a>","P04585161","São Pedro da Aldeia","São Pedro dos Indioas, prés Cabo Frio","-42.1027984619141","-22.8391990661621","20879","P04585161_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,"12068",NA,NA,NA
"16","2020-08-31 08:55:02-03","INPA","INPA","250450","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araujo, MH","Terra-Araujo, MH","763","2011","06","22","Southern America","Brasil","Rio de Janeiro",NA,NA,"INPA0250450","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, Canteiro 10A, n. 2471.","-43.224667","-22.966472",NA,"INPA0250450 INPA0250450_1 INPA0250450_1e INPA0250450_e",NA,"2011","06","22","-43.224667","-22.966472",NA,NA,NA,NA,NA,NA,NA
"17","2020-08-31 08:55:02-03","INPA","INPA","271982","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araujo, MH","Terra-Araujo, MH","1123","2015","11","06","Southern America","Brasil","Bahia",NA,NA,"INPA0271982","Ilhéus",NA,"-39.235","-14.633611",NA,NA,NA,"2015","11","06","-39.235","-14.633611",NA,NA,NA,NA,"85","85",NA
"18","2020-08-31 08:55:02-03","INPA","INPA","271983","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araujo, MH","Terra-Araujo, MH","1124","2015","11","06","Southern America","Brasil","Bahia",NA,NA,"INPA0271983","Uruçuca",NA,"-39.214722","-14.5275",NA,NA,NA,"2015","11","06","-39.214722","-14.5275",NA,NA,NA,NA,NA,NA,NA
"19","2020-08-31 08:55:02-03","INPA","INPA","250455","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araujo, MH","Terra-Araujo, MH","770","2011","07","06","Southern America","Brasil","Bahia",NA,NA,"INPA0250455","Santa Luzia","BR 101, Sentido Una-Santa Luzia, margem esquerda da estrada.","-39.42125","-15.425361",NA,"INPA0250455 INPA0250455_e",NA,"2011","07","06","-39.42125","-15.425361",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-18 11:41:31-03","UERJ","HRJ","11413","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"?","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,"HRJ00011413","Angra dos Reis","Ilha Grande.","-44.3180999755859","-23.0067005157471","32988",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-09 10:14:02-03","UENF","HUENF","1307","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"Moreno, M.R.; Nascimento, M.T.","82","1997","10","29",NA,"Brasil","Rio de Janeiro",NA,NA,"HUENF00001309","Campos dos Goytacazes","Imbé","-41.796944","-21.846944",NA,NA,NA,NA,NA,NA,"41º47'49''W","21º50'49''S",NA,NA,NA,NA,"38","38",NA
"22","2021-02-09 10:14:02-03","UENF","HUENF","10379","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"Souza, T.P.; Areias, I.O.R.","198","2010","01","26",NA,"Brasil","Rio de Janeiro",NA,"Parcela 14","HUENF00011017","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-09 10:14:02-03","UENF","HUENF","10371","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"Souza, T.P.","1208","2012","09","03",NA,"Brasil","Rio de Janeiro",NA,"Parcela 14","HUENF00011012","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA,NA,NA,NA,NA,NA
"24","2021-02-09 10:14:02-03","UENF","HUENF","10378","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"Souza, T.P.","618","2012","08","28",NA,"Brasil","Rio de Janeiro",NA,"Parcela 7. Casca clara lisa.","HUENF00011016","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA,NA,NA,NA,NA,NA
"25","2021-02-09 10:14:02-03","UENF","HUENF","10311","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"Souza, T.P.; Silva, G.D.F.; Helmo","621","2012","08","28",NA,"Brasil","Rio de Janeiro",NA,"Parcela 7","HUENF00010959","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA,NA,NA,NA,NA,NA
"26","2021-02-25 10:11:52-03","CVRD","CVRD","11110","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","M.H. Terra-Araújo","Folli, D.A.","5968","2008","03","19","América do Sul","BRASIL","ES",NA,"Mata Seca de Restinga <ll>dwc_commonname:</ll> Buraenho","CVRD011110","Linhares","Propriedade do Dr. Paulo Gonçalves","-40.0722007751465","-19.3910999298096","48094",NA,"auto","2011","07","11",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA
"27","2021-02-25 10:11:52-03","CVRD","CVRD","1756","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","M.H. Terra-Araújo","Farias, G.L.","165","1988","03","10","América do Sul","BRASIL","BA",NA,"<ll>dwc_commonname:</ll> Buraenho","CVRD001756","Porto Seguro","Localizada ao lado do Aceiro.","-39.0647010803223","-16.4496994018555","68835",NA,"auto","2011","07","11",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","1518607","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"J. G. Ruhlmann","15812","1920","12","28","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US02706166",NA,"Ad urbem loco Mundo Novo.",NA,NA,NA,"US02706166_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1"
"29","2020-09-12 05:00:02-03","US","US","1517645","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo",NA,"D. Constantino & P. Occhioni","22231","1926","5","22","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,"US00323588",NA,NA,NA,NA,NA,"US00323588_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","Isolectotype",NA,NA,NA,NA,"1"
"30","2019-11-13 11:31:50-03","USP","SPF","191331","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araujo, MH","Paixão, JL","1499","2008","10","22",NA,"Brasil","Bahia",NA,NA,"SPF00191331","Ilhéus",NA,"-39.154444","-14.706667",NA,NA,NA,"2011","07",NA,"-39.154444","-14.706667",NA,NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:31:50-03","USP","SPF","214314","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii","Toledo","Terra-Araujo, MH","Fernandez, V","7","1989","06","16",NA,"Brasil","Rio de Janeiro",NA,NA,"SPF00214314","Rio de Janeiro","Horto Florestal, encosta voltada para o JBRJ. Pedra do Marinheiro.","-43.2075004577637","-22.9027996063232","57442",NA,"auto","2011","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-07-23 12:22:34-03","CEPLAC","CEPEC","42498","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii",NA,"M. H. Terra-Araújo","F. S. Santos","656","1987","10","20",NA,"Brasil","Bahia",NA,"<ll>dwc_commonname:</ll> Buranhem",NA,"SANTA CRUZ CABRÁLIA","Área da Estação Ecológica do Pau-brasil (ESPAB), ca. 16Km a W de Porto Seguro, Rod. BR-367 (Porto Seguro/Eunápolis). Área do arboreto, quadra 11.","-16.383333","-39.133333",NA,NA,NA,NA,NA,NA,"16W23'","39S8'",NA,NA,"05/07/2011",NA,NA,NA,NA
"33","2020-08-04 09:17:58-03","CEPLAC","CEPEC","124529","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii",NA,"M. H. Terra-Araújo","J. L. da Paixão","1499","2008","10","22",NA,"Brasil","Bahia",NA,"<ll>dwc_commonname:</ll> Buranhém",NA,"ILHÉUS","Fazenda Retiro, estrada Ilhéus/Uruçuca, KM 14.","-39.154444","-14.706667",NA,NA,NA,NA,NA,NA,"39W9'16","14S42'24",NA,NA,"05/07/2011",NA,NA,NA,NA
"34","2020-07-23 12:22:34-03","CEPLAC","CEPEC","128334","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii",NA,"Sem Informação","D. Rocha","1082","2010","05","18",NA,"Brasil","Bahia",NA,"Coleta testemunho do inventário na RPPN Serra Bonita (Rocha & Amorim 2011). Indivíduo nº P37-16",NA,"CAMACAN","RPPN Serra Bonita, área da fitossociologia.","-39.566111","-15.395833",NA,NA,NA,NA,NA,NA,"39W33'58","15S23'45",NA,NA,NA,NA,"500","500",NA
"35","2020-08-04 09:17:58-03","CEPLAC","CEPEC","139111","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii",NA,"M. H. Terra-Araújo","J. L. da Paixao","388","2005","04","20",NA,"Brasil","Bahia",NA,NA,NA,"ALMADINA","Rod. Almadina/Ibitupã, entrada ca. 7Km, Serra dos Sete-paus, ca. 12Km da entrada. Faz. Cruzeiro do Sul.","-39.679444","-14.735",NA,NA,NA,NA,NA,NA,"39W40'46","14S44'6",NA,NA,"05/07/2011",NA,NA,NA,NA
"36","2020-07-23 12:22:34-03","CEPLAC","CEPEC","80720","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii",NA,"M. H. Terra-Araújo","M. B. Thomas","562","1998","09","13",NA,"Brasil","Bahia",NA,NA,NA,"PORTO SEGURO","Reserva Indpigena Pataxó. 10Km ao W de Barra Velha ao longo do limte da Rod. Para Monte Pascoal.","-39.25","-16.85",NA,NA,NA,NA,NA,NA,"39W15'","16S51'",NA,NA,"03/11/2015",NA,NA,NA,NA
"37","2020-08-04 09:17:58-03","CEPLAC","CEPEC","45584","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","kuhlmannii","Pradosia kuhlmannii",NA,"M. H. Terra-Araújo","G. L. Farias","165","1988","03","10",NA,"Brasil","Bahia",NA,NA,NA,"PORTO SEGURO","Reserva Florestal de Porto Seguro - CVRD/BA. Est. Municipal Km 0,800, à direita.","-39.0647010803223","-16.4496994018555","68835",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"05/07/2011",NA,NA,NA,NA
