"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","class","verbatimLongitude","verbatimLatitude","sex"
"11","2021-04-08 17:41:48-03","EAO","IAN","14915","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","parvifolius","Lupinus parvifolius",NA,"Oliveira, JE de","s.n.","1940","07","13","Southern America","Brasil","Minas Gerais","Campo pedregoso, serra do Cipó.",NA,NA,NA,"IAN014915","Dicotiledônea",NA,"Gardner","IAN014915 IAN014915_e","Barreto, M",NA,NA,NA,NA,"Jaboticatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:41:48-03","EAO","IAN","99338","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lupinus","parvifolius","Lupinus parvifolius",NA,"Gardner, A","4502",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,"IAN099338","Dicotiledônea",NA,"Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:29:41-03","MN","R","66243","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Gardner, G.","4502",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"Etiq. comum com o nº 4502.",NA,NA,NA,"Gardner",NA,NA,"-43.6002998352051","-18.2493991851807",NA,NA,"Diamantina",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:17:31-03","UFV","VIC","30704","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Guarçoni, E.; Sartori, M.A.","842","2004","07","26",NA,"Brasil","Minas Gerais","Serra do Cabral, Providência, subida ao sopé da serra. Cerrado.",NA,NA,"Subarbusto; caule verde, piloso. Folhas verdes, com tricomas brancos; aponta para o ápice da planta. Sépala verde de margem castanha, pilosa. Pétala roxa; carena com centro branco. Fruto piloso.","VIC030704",NA,NA,"Gardner","VIC030704","Dutra, V.F.","-44.1800003051758","-17.8733005523682",NA,NA,"Buenópolis","2006","42854","auto","05","25",NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:30:49-03","UNICAMP","UEC","137834","S","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Mansanares, ME; Verola, CF","364","2003","08","16",NA,"Brazil","Minas Gerais","Estrada Gouveia, Afloramento à beira da estrada",NA,NA,"Flores alfazema","UEC021995","Magnoliopsida",NA,"Gardner","UEC021995","Devecchi, MF","-43.6002998352051","-18.2493991851807",NA,NA,"Diamantina","2012","101169","auto","10",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:26:58-03","MBM","MBM","260182","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Foster, Mulford B; et al.; et al.","10845","1940","07","13","Southern America","Brazil","Minas Gerais","Serra do Cipó",NA,NA,NA,"MBM260182",NA,NA,"Gardner",NA,"Mello Barreto","-43.7449989318848","-19.513599395752",NA,NA,"Jaboticatubas",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:26:57-03","MBM","MBM","131876","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Menezes, N.L.; et al.; et al.","s.n.","1986","09","09","Southern America","Brazil","Minas Gerais","Pedra Menina",NA,NA,NA,"MBM131876",NA,NA,"Gardner","MBM131876","Planchuelo, A.M.","-43.0092010498047","-18.2936000823975",NA,NA,"Rio Vermelho",NA,"26996","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:26:57-03","MBM","MBM","23176","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Hatschbach, G.","30227",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Conselheiro Mata",NA,NA,NA,"MBM023176",NA,NA,"Gardner",NA,"Barneby, R.","-43.6002998352051","-18.2493991851807",NA,NA,"Diamantina",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-10-20 19:41:56-02","MNHN","RECOLNAT_MNHN_P","P02728325","PreservedSpecimen",NA,"Fabaceae","Lupinus","parvifolius","Lupinus parvifolius","type","Gardner, G.",NA,"1842",NA,NA,NA,"Brésil",NA,"Minas Geraes","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02728325' target='other'> <mi>dwc_moreinfo</mi></a>","P02728325",NA,NA,"Gardner","P02728325_01 P02728325_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4502",NA,NA,NA,NA,NA
"20","2015-09-04 02:20:45-03","MNHN","RECOLNAT_MNHN_P","P02728326","PreservedSpecimen",NA,"Fabaceae","Lupinus","parvifolius","Lupinus parvifolius","type","Gardner, G.",NA,"1842",NA,NA,NA,"Brésil",NA,"Minas Geraes","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02728326' target='other'> <mi>dwc_moreinfo</mi></a>","P02728326",NA,NA,"Gardner","P02728326_01 P02728326_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4502",NA,NA,NA,NA,NA
"21","2020-12-11 11:36:07-03","UFMG","BHCB","66250","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Barreto, HLM; Foster, MB","10845","1940","07","13","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Dicotyledon",NA,"Gardner",NA,NA,"-43.7449989318848","-19.513599395752",NA,NA,"Jaboticatubas",NA,"31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2011-03-08 20:11:00-03","MO","MOBOT","3095488","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius","Isotype","George Gardner","Gardner 4502","1836",NA,NA,"South America","Brazil","Minas Gerais","Minas Gerais.",NA,NA,NA,NA,NA,NA,"Gardner",NA,"D.B. Dunn (UMO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"23","2011-08-18 11:45:00-03","MO","MOBOT","3197849","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"George Gardner","Gardner 4502","1840",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2840179","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"G. Hatschbach","30227","1972","8","12","South America - Neotropics","Brazil","Minas Gerais","Cons. Mata (mun. Diamantina) Minas Gerais",NA,NA,NA,"US02289583",NA,"Rosales","Gardner","US02289583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","2400325","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"B. Maguire, G. Mendes Magalhaes & C. K. Maguire","49175","1960","8","12","South America - Neotropics","Brazil","Minas Gerais","Frequent on sandstone, road between Diamantina and Gouveia",NA,NA,NA,"US02289584",NA,"Rosales","Gardner","US02289584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA,NA
"26","2021-03-15 18:27:54-03","USP","SPF","221316","PreservedSpecimen","Plantae","Leguminosae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Cota, MMT","759","2014","09","03",NA,"Brasil","Minas Gerais","Parque Nacional das Sempre-Vivas, Entrada do distrito de Macacos; trilha próximo ao rio Jequitaí; na divisa com a cidade de Bocaiúva.",NA,NA,"Subarbusto ca. 1;5 m. Frutos imaturos e maduros.; Campo rupestre.","SPF00221316",NA,NA,"Gardner",NA,"Devecchi, MF","-43.870028","-17.929667","1201","1201","Buenópolis","2014",NA,NA,"10",NA,NA,NA,NA,"-43.870028","-17.929667",NA
"27","2019-09-04 18:34:31-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius","Type [status unknown]","G. Gardner","4502","1842",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"28","2015-02-26 09:29:38-03","NHMLondon","NHM-LONDON-BOT","BM000645999","S","Plantae","Leguminosae","Lupinus","parvifolius","Lupinus parvifolius","Isotype","George Gardner; b.1812; d.1849; Gardner","4502",NA,NA,NA,NA,"Brasil",NA,NA,NA,"NHMUK:ecatalogue:4987673",NA,NA,NA,NA,"Gardner",NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA
"29","2019-11-01 14:59:55-03","UnB","UB","142064","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Bautista, HP","643","1982","05","24","Southern America","Brasil","Minas Gerais","Estrada que liga este município ao de Joaquim Felício",NA,NA,"Flores roxas.; Arbusto.; Campo rupestre",NA,"Dicotyledoneae",NA,"Nutt.",NA,"Planchuelo, AM","-44.966667","-17.583333",NA,NA,"Várzea da Palma","2004",NA,NA,NA,NA,NA,NA,NA,"-44.966667","-17.583333",NA
"30","2019-11-01 14:59:55-03","UnB","UB","142065","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Irwin, HS","22413","1969","01","22","Southern America","Brasil","Minas Gerais","Ca. 26km of Diamantina",NA,NA,"Fruit dried.; Virgate, simple or few-branched 2m.; Cerrado",NA,"Dicotyledoneae",NA,"Nutt.",NA,"Incógnito",NA,NA,NA,NA,NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-01 14:59:55-03","UnB","UB","15650","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Hughes, CE","2480","2004","02","06","Southern America","Brasil","Minas Gerais","7km NE of Gouveia, rd towards Diamantina, approx 26km SW of Diamantina, a few 100m W of rd on rocky hills",NA,NA,"Slender upright shrub to 1-2m ht. Stem slender, slightly woody at base, sparsely and irregularly branched, often bifurcating at 60-70cm, the stems with marked nodal swellings or leaf base scars. Leaves crowded and overlapping along top 20-35cm of sho",NA,"Dicotyledoneae",NA,"Nutt.",NA,"Hughes, CE","-43.684444","-18.411389","1350","1350","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,"-43.684444","-18.411389",NA
"32","2019-11-01 14:59:55-03","UnB","UB","142066","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Foster, MB","10845","1940","07","13","Southern America","Brasil","Minas Gerais","Serra do Cipó, Km 131",NA,NA,"Flor azul.; Arbusto 1,5m.; Campo pedregoso",NA,"Dicotyledoneae",NA,"Nutt.",NA,"Monteiro, R","-43.7449989318848","-19.513599395752",NA,NA,"Jaboticatubas","1984","31264","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:10:00-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Gardner, G","4502",NA,NA,NA,"Southern America","Brazil","Minas Gerais","In prov. Minarum districtu Adamantium, in vallibus angustis saxosis prope Cidade Diamantina.",NA,NA,NA,NA,NA,NA,"Gardner",NA,NA,"-43.6003","-18.2494",NA,NA,"Diamantina",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 12:42:00-03","UFRGS","ICN","138609","S","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Hughes, CE","2480","2004","02","06","América do Sul","Brasil","MG","Gouveia 7km NE of Gouveia rd towards Diamantina approx. 26 km SW of Diamantina a few 100 m W of rd on rochy hills",NA,NA,"Slender upright shrub to 1-2 m ht.","ICN00024056","Dicotyledon",NA,"Gardn.","ICN00024056 ICN00024056_1","Hughes, CE","-43.6002998352051","-18.2493991851807","1350","1350","Diamantina",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 10:05:57-03","IBt","SP","68725","S","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Maguire, B; Mendes Magalhães, G; Maguire, CK","49175","1960","08","12",NA,"Brasil","Minas Gerais","Road between Diamantina and Gouveia. Frequent on sandstone",NA,NA,NA,"SP027344",NA,NA,"Gardner","SP027344","Monteiro, R","-43.6002998352051","-18.2493991851807",NA,NA,"Diamantina","1984","101169","auto","04",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:05:57-03","IBt","SP","43745","S","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius",NA,"Foster, MB; Mello Barreto","10845","1940","07","13",NA,"Brasil","Minas Gerais","Serra do Cipó, Km 131. Palácio, Campo pedregoso",NA,NA,"Arbusto 1,5m. Flor azul",NA,NA,NA,"Gardner",NA,"Monteiro, R","-43.7449989318848","-19.513599395752",NA,NA,"Jaboticatubas","1984","31264","auto","04",NA,NA,NA,NA,NA,NA,NA
"37","2011-01-01 17:01:18-02","GH","HU-HERB","GH 00065344","PreservedSpecimen","Plantae","Fabaceae","Lupinus","parvifolius","Lupinus parvifolius","Isotype","George Gardner","4502",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Sheet",NA,NA,NA,NA,NA,"Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4502",NA,NA,NA,NA,"undetermined"
