"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem"
"11","2019-11-21 14:36:24-03","UFJF","CESJ","65390","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A. Matos","B.E. Conde","B.E. Conde","402","América do Sul","Brasil","São Bento, Coletada em Floresta de fronte a casa do Sr. Alberto do Nascimento à 800 m da casa do Sr. Alberto e na trilha de acesso ao capoeirão.",NA,"Arbórea (aprox 12m), flores brancas e madeira de aroma de amendoim. Utilizada localmente para a produção de colheres para angú.","CESJ065390",NA,"2013","06","26","Minas Gerais","Santos Dumont","-43.5525016784668","-21.4566993713379",NA,NA,"25699","auto","2014","07","06",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-19 14:08:04-03","UFRPE","PEUFR","856","PreservedSpecimen","Plantae",NA,NA,"Leguminosae-Pap.","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A. Mattos","A.M. Carvalho","A. Mattos Filho",NA,NA,"Brasil","Jardim Botânico",NA,"Árvore ca. de 20 m de altura próximo ao solo 1,40 m, diâmetro de cerne 0,25 m, espessura do alburne 0,10 m","PEUFR000856",NA,"1944","11",NA,"Goiás","Distrito Federal",NA,NA,NA,NA,NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-10-14 10:01:35-03","FURB","FURB","65626","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","Rizzini, CT","Heringer, EP; et al.","2758",NA,"Brasil","Fazenda Água Limpa - FAL, UnB. Folha cartográfica SD-23-Y-C. Coordenada calculada.",NA,"Árvore ca. 8 m de altura; flores e botões florais alvos, estames 9. Perfumados. Habitat: Área Antropizada Habito: Árvore","FURB65626","FURB65626","1979","11","14","Distrito Federal","Brasília","-47.8877777","-15.7941666",NA,NA,NA,NA,"1980","08","04","Isotipo","-47.8877777","-15.7941666",NA,NA,NA,NA
"14","2020-10-01 14:20:04-03","JBB","HEPH","6211","S","Plantae","Dicotyledon","Fabales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","Rizzini, CM","Heringer, EP","2758","Southern America","Brasil","FAL Fazenda Água Limpa",NA,"plantado em quintal",NA,NA,"1979","11","14","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:35:57-03","UFMG","BHCB","17295","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, et al.",NA,"Heringer, EP; Filgueiras, TS","s.n.","Southern America","Brasil","UNB - Fazenda Água Limpa",NA,NA,NA,NA,"1979","11","14","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2013-05-07 06:03:00-03","MO","MOBOT","3182247","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A. Mattos","A.M. de Carvalho","Ynés Mexia","Mexia 4878","South America","Brazil","Viçosa. Road to São Miguel, near km. 8; Corriga Sujo; streamside.",NA,NA,NA,NA,"1930","7","21","Minas Gerais",NA,NA,NA,"600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2937934","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer & et al.",NA,"E. P. Heringer","15390","South America - Neotropics","Brazil","Brasilia, DF. UnB. Cultivada na Estacao Biologica do Instituto de Biologia, com 10 anos.",NA,NA,"US01238216","US01238216_01 US01238216_02","1976","2","28","Federal District",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"18","2020-09-02 16:27:39-03","Cenargen","CEN","26879","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Faboideae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","A. M. de Carvalho","Taciana Barbosa Cavalcanti","2032",NA,"Brasil","Fazenda Santo Antônio do Fundão, às margens do rio Santo Antônio. Bacia de inundação.","Exsicatas","(Det. in dupl. NY)","CEN00026879","CEN00026879","1996","07","12","GO","IPAMERI","48.5080555","-17.875277",NA,NA,NA,NA,"1999",NA,NA,NA,"48.5080555","-17.875277",NA,"2",NA,NA
"19","2020-05-08 11:12:15-03","UEFS","HUEFS","130967","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Papilionoideae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos",NA,"Cardoso, D.","2217",NA,"Brasil","Arboreto do Jardim Botânico do Rio de Janeiro.",NA,NA,"HUEFS0130967",NA,"2007","11","01","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA
"20","2020-05-08 11:12:15-03","UEFS","HUEFS","254257","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Papilionoideae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos",NA,"Heringer, E.P.","2758",NA,"Brasil","Fazenda Água Limpa.",NA,NA,"HUEFS0254257",NA,"1979","11","14","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto",NA,NA,NA,"Isótipo",NA,NA,"Rosanae",NA,NA,NA
"21","2020-05-08 11:12:15-03","UEFS","HUEFS","48017","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Papilionoideae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","H.C.Lima","Cavalcanti, T.B.","2032",NA,"Brasil","Fazenda Santo Antônio do Fundão; as margens do rio Santo antônio. Bacia de inundação",NA,"Mata de Galeria","HUEFS0048017","HUEFS0048017","1996","07","12","Goiás","Ipameri","-48.1596984863281","-17.7219009399414",NA,NA,"102542","auto","2008","07",NA,NA,NA,NA,"Rosanae",NA,NA,NA
"22","2018-04-04 16:32:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis",NA,"RRC ID Flag","Y. Mexía","4878","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"4878",NA
"23","2020-07-23 12:07:23-03","CEPLAC","CEPEC","38535","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis",NA,"A. M. de Carvalho","L. Krieger",NA,NA,"Brasil","Academia.",NA,NA,NA,NA,"1949","03","03","Minas Gerais","JUIZ DE FORA","-43.3502998352051","-21.7642002105713",NA,NA,"36144","auto",NA,NA,NA,NA,"0*0'0","0*0'0",NA,NA,NA,"30/12/1988"
"24","2020-07-23 12:07:23-03","CEPLAC","CEPEC","38537","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis",NA,"A. M. de Carvalho","H. C. de Lima","11951",NA,"Brasil","Juiz de Fora/Linhares.",NA,NA,NA,NA,"1972","12","03","Minas Gerais","JUIZ DE FORA","-43.3502998352051","-21.7642002105713",NA,NA,"36144","auto",NA,NA,NA,NA,"0*0'0","0*0'0",NA,NA,NA,"30/06/1989"
"25","2019-11-01 14:59:22-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer & al.","Rizzini, CT","Heringer, EP","2758B","Southern America","Brasil","Fazenda Água Limpa",NA,"Árvore de 8 m de altura, flores e botões. Plantada em quintal",NA,NA,"1979","12","14","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto","1980","08","04",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-10 11:27:36-03","IBt","SP","219760","S","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","Carvalho, AM","Heringer, EP","17134",NA,"Brasil","Fazenda Água Limpa, UnB",NA,NA,NA,NA,"1978","09","10","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"70570","auto","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-10 11:27:36-03","IBt","SP","54461","S","Plantae",NA,NA,"Fabaceae","Dalbergia","hortensis","Dalbergia hortensis","Heringer, Rizzini & A.Mattos","Carvalho, AM","Heringer, EP","2397",NA,"Brasil","Fazenda da Boa Ventura",NA,NA,"SP026536","SP026536","1946","07","26","Minas Gerais","Piau","-43.3227996826172","-21.5093994140625",NA,NA,"12556","auto","1988","10","28",NA,NA,NA,NA,NA,NA,NA
