"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","typeStatus"
"12","2021-04-05 14:34:08-03","UNESC","CRI","2544","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Reitz","1983",NA,NA,"R. Reitz","7.412","1970","09","12","Brasil","Santa Catarina","Blumenau",NA,"-49.066389","-26.92","49º3'59''W","26º55'12''S",NA,NA,NA,"CRI009719","CRI009719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:08-03","UNESC","CRI","6829","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Reitz","1983",NA,NA,"R. Reitz","7.412","1970","09","12","Brasil","Santa Catarina","Itajaí",NA,"-48.670833","-26.910556","48º40'15''W","26º54'38''S",NA,NA,NA,"CRI009720","CRI009720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:43:18-03","E","E","106251","PreservedSpecimen","Plantae","Salicaceae","Salix","chilensis","Salix chilensis",NA,NA,NA,NA,NA,"Gardner, Martin F. & Knees, Sabina G.","6041",NA,NA,NA,"CL","Región X [Los Lagos]","Prov. de Osorno","South bank of Lago Llanquihue","-73.033333","-41.166667","-73.033333","-41.166667","100","100","<a href=http://data.rbge.org.uk/herb/E00106251 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106251",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:100714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:43:18-03","E","E","247802","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana",NA,NA,NA,NA,NA,"Carvalho, Douglas A.",NA,"1990","10","27","BR",NA,NA,"Faz. Patrimonio - Madre de Deus.",NA,NA,NA,NA,"80","80","<a href=http://data.rbge.org.uk/herb/E00247802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247802",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:276095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:43:18-03","E","E","96532","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana",NA,NA,NA,NA,NA,"Universidad de Chile, RBG Edinburgh Expedition to Southern Chile (UCEXC)","452","1998","03","09","CL","Región IX [Araucania]","Prov. de Malleco","Cerro Adencul; north bank of Río Traiguén","-72.51","-38.249167","-72.510000","-38.249167","100","100","<a href=http://data.rbge.org.uk/herb/E00096532 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00096532",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:97836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:43:18-03","E","E","96642","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana",NA,NA,NA,NA,NA,"Universidad de Chile, RBG Edinburgh Expedition to Southern Chile (UCEXC)","452","1998","03","09","CL","Región IX [Araucania]","Prov. de Malleco","Cerro Adencul; north bank of Río Traiguén","-72.51","-38.249167","-72.510000","-38.249167","100","100","<a href=http://data.rbge.org.uk/herb/E00096642 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00096642",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:114746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:43:18-03","E","E","182269","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana",NA,NA,NA,NA,NA,"Darwin Chilean Initiative (2002 - 2005)","940","2004","01","25","CL","Región IX [Araucanía]","Provincia de Malleco","Parque Nacional Conguillío, above carpark at laguna Verde","-71.620556","-38.686111","-71.620556","-38.686111","1022","1022","<a href=http://data.rbge.org.uk/herb/E00182269 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00182269",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:193107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1093361","PreservedSpecimen","Plantae","Salicaceae","Salix","chilensis","Salix chilensis","Molina",NA,NA,NA,NA,"M. Sobral","2552","1983","10",NA,"Brazil","Rio Grande do Sul","Rio Pardo","A beirra do Arroio Capivari, Rio Pardo","-52.3781","-29.9897",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1494505' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093361","NY01093361_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","439520","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"G. Jönsson","1210a","1914","10","19","Brazil","Paraná",NA,NA,NA,NA,NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439520","NY00439520_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","88515","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","M. N. Alexiades",NA,NA,NA,"D. E. Williams","1180","1990","12","16","Bolivia","El Beni","José Ballivián","Carmen Florida. Tacana Indian village 7km upstream of Rurrenabaque on Río Beni","-67.5","-14.5",NA,NA,"240","240","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00088515",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","439518","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","50339","1986","01","23","Brazil","Paraná","Antônio Olinto","Rio Agua Amarela (mun. Agua Amarela)","-50.1969","-25.9861",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439518","NY00439518_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","439519","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","23278","1969","11","16","Brazil","Paraná","Sao Mateus do Sul","Rio Iguaçu","-50.3828","-25.8744",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439519","NY00439519_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01142070","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","M. H. Nee",NA,NA,NA,"B. W. Nelson","1246","1982","03","01","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511058' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142070","NY01142070_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01142074","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"K. Kubitzki","82-34","1982","03","18","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142074","NY01142074_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","676582","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"D. C. Daly","11296","2002","03","12","Brazil","Acre","Santa Rosa do Purus","Rio Purus and Igarapés Jurimago [Yurimaguas?] and Tauarí (right-bank tributaries).","-70.5511","-9.5683",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269337' target='other'> <mi>dwc_moreinfo</mi></a>","NY00676582","NY00676582_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01080899","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"A. F. M. Glaziou","16352","1886","12","14","Brazil","Minas Gerais","São João del Rei",NA,"-44.2617","-21.1358",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220993' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080899","NY01080899_01 NY01080899_02","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01142073","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"Y. E. J. Mexia","6066","1931","09","02","Brazil","Pará","Juruti","Near Ilha Santa Rita; Boca das Araras, along Rio Amazonas.","-55.973724","-1.99683",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511080' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142073","NY01142073_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","195387","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","M. N. Alexiades",NA,NA,NA,"M. N. Alexiades","1095","1991","01","15","Peru","Madre de Dios","Tambopata","Rio Tambopata, about 40km upriver from Pto Maldonado","-69.28","-12.83",NA,NA,"260","260","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195387",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","441886","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","S. F. Smith",NA,NA,NA,"A. Kegler","331","2000","04",NA,"Brazil","Rio Grande do Sul","Vale Real",NA,"-51.2533","-29.3983",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441886","NY00441886_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","763520","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"D. C. Daly","10264","2000","11","29","Brazil","Acre","Marechal Thaumaturgo","Basin of Rio Juruá, Rio Tejo.","-72.42014","-9.07681",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763520","NY00763520_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","230204","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","M. H. Nee",NA,NA,NA,"M. H. Nee","47375","1997","12","20","Bolivia","Santa Cruz","Ignacio Warnes","Quebrada El Jipa. 3 km NE from RR crossing on SE side of Warnes, on road NE to Okinawa.","-63.13","-17.4933",NA,NA,"325","325","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230204",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01142072","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"S. Tsugaru","B-872","1987","08","09","Brazil","Amazonas",NA,"River side and small islets of Rio Amazonas within 100 km lower reaches from Manaus.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511065' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142072","NY01142072_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01021505","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"A. F. M. Glaziou","18508","1891",NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101549' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021505","NY01021505_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","439526","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","W. Galiano",NA,NA,NA,"A. Tupayachi H.","801","1988","12","21","Peru","Cusco","Urubamba","Dtto. Huayllabamba. Quebrada de Huayoccari. Laguna de Yanaccocha","-72.0652778","-13.3541667",NA,NA,"2900","3860","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439526",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01142067","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","G. T. Prance",NA,NA,NA,"G. T. Prance","6589","1968","07","30","Brazil","Rondônia",NA,"Basin of Rio Madeira. Vicinity of Cachoeira Madeira, Rio Madeira.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511031' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142067","NY01142067_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","476658","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","S. A. Nicolau",NA,NA,NA,"S. A. Nicolau","2146","1999","12","23","Brazil","São Paulo",NA,"Luiz Antonio: Várzea do Jenipapo-VCP, beira do Rio Mogi-Guaçu",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476658","NY00476658_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","01021506","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"A. F. M. Glaziou","16352","1886","12","14","Brazil","Minas Gerais","São João del Rei",NA,"-44.2617","-21.1358",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101551' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021506",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01142068","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","G. T. Prance",NA,NA,NA,"G. T. Prance","5677","1968","07","06","Brazil","Rondônia",NA,"South bank of Rio Madeira 2 km. above Mutumparaná",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142068","NY01142068_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01142076","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","R. Spruce",NA,NA,NA,"R. Spruce",NA,"1849","12",NA,"Brazil","Pará",NA,"In vicinibus Obidos","-55.5168772","-1.9047014",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142076","NY01142076_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01080898","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"F. Sellow","326",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Sellow #327 according to TROPICOS was collected in 1815. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220991' target='other'> <mi>dwc_moreinfo</mi></a>","NY01080898","NY01080898_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","439524","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","M. H. Nee",NA,NA,NA,"M. H. Nee","46384","1995","12","20","Bolivia","Santa Cruz","Sara","Near Río Asuvicito, 0.5 km N of abandoned railroad line, 15.5 km N of Portachuelo on road to Loma Alta","-64.4083333","-17.22",NA,NA,"260","260","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439524",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-10-19 08:53:00-02","NY","NYBG","439525","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana",NA,NA,NA,NA,NA,"G. S. Bunting","4843A","1975","04","14","Venezuela","Táchira",NA,"Alrededores de San Cristóbal, en la orilla de la barranca que cruza la Avenida Ferrero Tamayo un poco al oeste de Avenida Puebla Nuevo",NA,NA,NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439525",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","01142075","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.",NA,NA,NA,NA,"L. V. Ferreira","145","1992","02","19","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142075","NY01142075_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"45","2016-10-19 08:53:00-02","NY","NYBG","02451505","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana",NA,NA,NA,NA,NA,"S. Lægaard","55250","1985","09","08","Ecuador","Azuay",NA,"N of Cuenca, along river","-78.95","-2.88",NA,NA,"2200",NA,"[GLI review needed] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2633017' target='other'> <mi>dwc_moreinfo</mi></a>","NY02451505","NY02451505_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"46","2016-10-19 08:53:00-02","NY","NYBG","439523","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana",NA,"T. M. Pedersen",NA,NA,NA,"T. M. Pedersen","13643","1983","12","21","Argentina","Corrientes","Concepción","Caabi Arroyo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439523",NA,"South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-15 16:37:00-03","NY","NYBG","01142071","PreservedSpecimen","Plantae","Salicaceae","Salix","humboldtiana","Salix humboldtiana","Willd.","J. A. Kallunki",NA,NA,NA,"G. T. Prance","20933","1974","04","04","Brazil","Amazonas",NA,"Rio Solimôes, at Encontro das Aguas, Manaus",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1511062' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142071","NY01142071_01","South America","sheet",NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA
