"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","county","locality","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"15","2015-09-03 20:47:13-03","MNHN","RECOLNAT_MNHN_P","P02147706","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147706' target='other'> <mi>dwc_moreinfo</mi></a>","P02147706","P02147706_01","1879","5","22","Petrópolis","À la grande rocha de la Maniminha","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","11637",NA,NA
"16","2015-09-03 20:47:13-03","MNHN","RECOLNAT_MNHN_P","P02147707","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147707' target='other'> <mi>dwc_moreinfo</mi></a>","P02147707","P02147707_01","1879","5","24","Petrópolis","A la grande roche de la Maniminha","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","11637",NA,NA
"17","2015-09-03 20:47:13-03","MNHN","RECOLNAT_MNHN_P","P02147708","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147708' target='other'> <mi>dwc_moreinfo</mi></a>","P02147708","P02147708_01","1879","5","24","Petrópolis","A la grande roche de la Maniminha","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","11637",NA,NA
"18","2015-09-03 20:47:13-03","MNHN","RECOLNAT_MNHN_P","P02147705","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147705' target='other'> <mi>dwc_moreinfo</mi></a>","P02147705","P02147705_01","1879","5","24","Petrópolis","Á la grande roche de la Maniminha","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","11637",NA,NA
"19","2015-09-03 20:47:12-03","MNHN","RECOLNAT_MNHN_P","P02147688","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147688' target='other'> <mi>dwc_moreinfo</mi></a>","P02147688","P02147688_01","1886","3","12","Petrópolis","Brésil. Province de Rio Janeiro. Serra dos Orgãos.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","16479",NA,NA
"20","2015-09-03 20:47:12-03","MNHN","RECOLNAT_MNHN_P","P02147689","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147689' target='other'> <mi>dwc_moreinfo</mi></a>","P02147689","P02147689_01","1886","11","12","Petrópolis","Brésil. Rio Jan. Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","16479",NA,NA
"21","2015-09-03 20:47:12-03","MNHN","RECOLNAT_MNHN_P","P02147686","PreservedSpecimen",NA,NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Glaziou, A.",NA,NA,"Brasil","Rio de Janeiro","hb","Reçu le 3 novembre 1897 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147686' target='other'> <mi>dwc_moreinfo</mi></a>","P02147686","P02147686_01","1888","11","12","Petrópolis","Brésil. RJ. Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto","16479",NA,NA
"22","2013-08-23 04:12:00-03","MO","MOBOT","3391333","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Lytocaryum","insigne","Lytocaryum insigne","(Drude) Tol.",NA,"Ludovic Kollmann","Kollmann 40","South America","Brazil","Espírito Santo",NA,NA,NA,NA,"1988","10",NA,NA,"Santa Teresa, cabeceira do Rio Bonito, mata onde esta sendo construido o radar.",NA,NA,"H.Q.B. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23","2008-07-18 03:33:00-03","MO","MOBOT","1777057","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.","Isotype","Auguste F.M. Glaziou","Glaziou 2757","South America","Brazil",NA,NA,NA,NA,NA,"1861",NA,NA,NA,"Est. do Rio Novo Friburgo.",NA,NA,"S.F. Glassman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-28 04:12:00-03","MO","MOBOT","3391338","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"H.Q.B. Fernandes","Fernandes 1967","South America","Brazil","Espírito Santo",NA,NA,NA,NA,"1986","5","7",NA,"Santa Teresa, 25 de Julho, Alto do Julião.",NA,NA,"H.Q.B. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2015-11-05 18:53:00-02","MO","MOBOT","3391339","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"Wilson Boone","Boone 577","South America","Brazil","Espírito Santo",NA,NA,NA,NA,"1985","7","9",NA,"Santa Teresa, Country Club.",NA,NA,"H.Q.B. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"26","2020-07-28 04:12:00-03","MO","MOBOT","3391410","PreservedSpecimen","Plantae",NA,NA,"Arecaceae","Syagrus","insignis","Syagrus insignis","(Drude) Becc.",NA,"H.Q.B. Fernandes","Fernandes 1665","South America","Brazil","Espírito Santo",NA,NA,NA,NA,"1985","11","19",NA,"Santa Teresa, mata acima do country club.",NA,NA,"H.Q.B. Fernandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"27","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","130",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"W. Boone","750",NA,"Brasil","Espírito Santo",NA,"Arbusto com 3m, 4cm de diâmetro, espécie com frutos verdes cobertos com tomento ferrugíneo, espata marrom, ciófila, mata.","MBML000130",NA,"1985","09","11","Santa Teresa","Country Club","-40.635556","-19.925556","H. Q. Boudet Fernandes/1989",NA,NA,NA,"40W38'8","19S55'32",NA,NA,NA,NA,NA,NA,NA
"28","2020-09-17 15:32:39-03","MBML","MBML-HERBARIO","131",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"H. Q. Boudet Fernandes","1665",NA,"Brasil","Espírito Santo",NA,"Arbusto 2m, 4cm de diâmetro, frutos marrons verdes com tomento castanho, heliófila, sobre pedreira acima da cachoeira, capoeirão.","MBML000131",NA,"1985","11","19","Santa Teresa","Mata acima do Country Club (na estrada que liga Vargem Alta à Mata Fria - propriedade de Agnaldo Faqueti)","-40.647778","-19.924444","H. Q. Boudet Fernandes/1987",NA,NA,NA,"40W38'52","19S55'28",NA,NA,NA,NA,NA,NA,NA
"29","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","132",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"J. M. Vimercat","295",NA,"Brasil","Espírito Santo",NA,"Árvore com 6m, estipe com diâmetro de 3,0cm, intervalo entre anéis 1cm, com o lado inferior da folha esbranquiçada, no interior da mata.","MBML000132",NA,"1985","07","09","Santa Teresa","Country Club","-40.635556","-19.925556","H. Q. Boudet Fernandes/1989",NA,NA,NA,"40W38'8","19S55'32",NA,NA,NA,NA,NA,NA,NA
"30","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","133",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"W. Boone","577",NA,"Brasil","Espírito Santo",NA,"Árvore com 4m, estipe com 3,5cm de diâmetro, intervalo entre aneis 1cm, folha com o lado inferior esbranquiçado, em semi-sombra, na mata. ica-açu","MBML000133",NA,"1985","07","09","Santa Teresa","Country Club","-40.635556","-19.925556","H. Q. Boudet Fernandes/1989",NA,NA,NA,"40W38'8","19S55'32",NA,NA,NA,NA,NA,NA,NA
"31","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","134",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"H. Q. Boudet Fernandes","1110",NA,"Brasil","Espírito Santo",NA,"Arbusto 4m, 4cm de diâmetro, pouco aveludado com pequenas fissuras longitudionais, espatas e espádices com tomentos ferrugíneos e marrom, flores femininas amareladas com cálice verde, folhas glauco-prateadas inferiormente, mata, alto d","MBML000134",NA,"1985","04","23","Santa Teresa","Country Club","-40.635556","-19.925556","H. Q. Boudet Fernandes/1989",NA,NA,NA,"40W38'8","19S55'32",NA,NA,NA,NA,NA,NA,NA
"32","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","135",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"W. Boone","403",NA,"Brasil","Espírito Santo",NA,"(ficha original perdida na enchente. Dados retirados do branco de dados)","MBML000135",NA,"1985","04","23","Santa Teresa","Country Club","-40.635556","-19.925556","H. Q. Boudet Fernandes/1989",NA,NA,NA,"40W38'8","19S55'32",NA,NA,NA,NA,NA,NA,NA
"33","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","146",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"H. Q. Boudet Fernandes; W. Boone","1967",NA,"Brasil","Espírito Santo",NA,"Arbusto 2,5m, estipe 1,8m X 4cm, 1cm, entre anéis, folha brancacenta inferiormente, espata com indumento marrom a castanho claro, semi-sombra, capoeirão, alto de encosta.","MBML000146",NA,"1986","05","07","Santa Teresa","25 de Julho, Alto Julião","-40.539722","-19.741667","H. Q. Boudet Fernandes/1989",NA,NA,NA,"40W32'23","19S44'30",NA,NA,NA,NA,NA,NA,NA
"34","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","16110",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"L. Kollmann; et al","5402",NA,"Brasil","Espírito Santo",NA,"Planta de 2m na sombra. Pêlos da espata marrons.","MBML016110",NA,"2002","01","30","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","H.Q. Boudet Fernandes/XI-2003",NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"35","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","17140",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"R.R. Vervloet; et al","592",NA,"Brasil","Espírito Santo",NA,"Planta com 2m de altura, topo de morro, frutos de cor marrom, folhas com 1m de comprimento, parte dorsal prateada, ventral verde, bainha negra.","MBML017140",NA,"2002","07","30","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","H.Q. Boudet Fernandes/XI-2003",NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"36","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","18199",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"R.R. Vervloet; et al","1322",NA,"Brasil","Espírito Santo",NA,"Planta com 2m de altura, frutos de cor verde, bainha e base do pecíolo com tegumento escuro, folhas com 1,5m/75cm, topo de morro, dossel 18m, altitude 875m.","MBML018199",NA,"2002","10","29","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","H.Q. Boudet Fernandes/XI-2003",NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"37","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","19092",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"A. P. Fontana; et al","402",NA,"Brasil","Espírito Santo",NA,"Frutos verdes, 3 metros de altura.","MBML019092",NA,"2002","10","13","Fundão","Goiapaba-Açu","-40.472222","-19.914167","H.Q. Boudet Fernandes/XI-2003",NA,NA,NA,"40W28'20","19S54'51",NA,NA,NA,NA,NA,NA,NA
"38","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","20507",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"R.R. Vervloet; et al","2328",NA,"Brasil","Espírito Santo",NA,"Planta com 3m, flores de cor verde claro. Brácteas e bainha de cor marrom enegrecido. Topo de morro, dossel 6m.","MBML020507",NA,"2003","04","29","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","H.Q. Boudet Fernandes/Maio-03",NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"39","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","21151",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"L. Kollmann; et al","6246",NA,"Brasil","Espírito Santo",NA,"Sombra. Frutos verdes, 5cm de diâmetro, estipe 3m.","MBML021151",NA,"2003","06","24","Santa Maria de Jetibá","Caramuru","-40.676944","-20.096389","H.Q.Boudet Fernandes/VII-2006",NA,NA,NA,"40W40'37","20S5'47",NA,NA,NA,NA,NA,NA,NA
"40","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","22622",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"L. Kollmann; et al","6759",NA,"Brasil","Espírito Santo",NA,"Planta 6m. Inflorescência verde.","MBML022622",NA,"2004","06","12","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","H.Q.Boudet Fernandes/VII-2006",NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA
"41","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","24753",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"L. Kollmann; et al","7962",NA,"Brasil","Espírito Santo",NA,"Planta 2,2m no sol. Flores amarelas.","MBML024753",NA,"2005","07","11","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","H.Q.Boudet Fernandes/VII-2006",NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA,NA,NA
"42","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","25503",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"L. Kollmann; et al","8824",NA,"Brasil","Espírito Santo",NA,"Planta 3m na sombra.","MBML025503",NA,"2006","03","24","Santa Teresa","Santo Anselmo","-40.573056","-19.836944","L. Kollmann/24-03-2006",NA,NA,NA,"40W34'23","19S50'13",NA,NA,NA,NA,NA,NA,NA
"43","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","28676",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"L. F. S. Magnago; V. Demuner, T. Cruz, Elias Bausen","1529",NA,"Brasil","Espírito Santo",NA,"Unicaule. 2,5m de alt. Frutos verdes. Mata.","MBML028676",NA,"2006","10","31","Santa Leopoldina","Bragança, Mata do Tyrol, propr.: Assunta Salvador.","-40.550833","-20.134167","H.Q.Boudet Fernandes/Março-2007",NA,NA,NA,"40W33'3","20S8'3","560","560",NA,NA,NA,NA,NA
"44","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","30037",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3690",NA,"Brasil","Espírito Santo",NA,"Unicaule 3m frutos verdes. Interior de mata.","MBML030037",NA,"2007","04","19","Santa Leopoldina","Bragança, Mata do Tyrol, propr.: Elcio Tomazini","-40.549444","-20.136944","H.Q. Boudet Fernandes/19-02-2008",NA,NA,NA,"40W32'58","20S8'13","600","600",NA,NA,NA,NA,NA
"45","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","36144",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Drude) Tol.",NA,"L. Kollmann; et al","11132",NA,"Brasil","Espírito Santo",NA,NA,"MBML036144",NA,"2008","07","18","Castelo","Parque Estadual do Forno Grande","-41.101667","-20.526944","L. Kollmann/18-07-2008",NA,NA,NA,"41W6'6","20S31'37",NA,NA,NA,NA,NA,NA,NA
"46","2020-07-10 09:48:44-03","MBML","MBML-HERBARIO","5286",NA,"Plantae",NA,NA,"Palmae","Lytocaryum","insigne","Lytocaryum insigne","(Hort. ex Drude) Toledo",NA,"H. Q. Boudet Fernandes","2546",NA,"Brasil","Espírito Santo",NA,"Informações transcritas do banco de dados, material não localizado no inventário de 2010","MBML005286",NA,"1988","09","19","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","H. Q. Boudet Fernandes/1989",NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA
