"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"16","2021-03-15 16:37:00-03","NY","NYBG","4177211","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","R. C. Quevedo S.","1071","1993","07","24","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4500467' target='other'> <mi>dwc_moreinfo</mi></a>","NY04177211","Magnoliophyta","Gentianales","Mart.",NA,"El Beni",NA,NA,"Itenez","Puente de Picacho; con diferentes formaciones en especial de pampas arboladas y algunas islas grandes de bosque alto con paisaje montañoso, muy visible la pampa en las montañas, en la actualidad se destruyen las formaciones mediante quema provocada de los montes ya que se explota oro en la zona","-62.05","-14.42","165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","867645","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","J. M. A. de Souza","142","1989","08","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867645","Magnoliophyta","Gentianales","Mart.",NA,"Acre","NY00867645_01","A. J. M. Leeuwenberg","Rio Branco","Projeto Humaitá, Linha 1, margem direita, aprox. 700 m no ramal a esquerda","-67.63","-9.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","970802","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","G. T. Prance","18937","1973","10","13","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1057534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970802","Magnoliophyta","Gentianales","Mart.",NA,"Mato Grosso","NY00970802_01","W. Marcondes-Ferreira","Chapada dos Guimarães","Chapada dos Guimarães. Road Buriti to Água Fria","-55.7494","-15.4608","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","970639","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","B. Maguire","57104","1963","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970639","Magnoliophyta","Gentianales","Mart.",NA,"Goiás","NY00970639_01","W. Marcondes-Ferreira","Luziânia","Along road to Rio Corumba, 30 km from Gama.","-47.9503","-16.2528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","867644","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","R. Saraiva","85","1989","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867644","Magnoliophyta","Gentianales","Mart.",NA,"Acre","NY00867644_01","W. Marcondes-Ferreira","Rio Branco","Estrada de Porto Acre km 19, Fazenda Humaitá, carreador a esquerda, km 5","-67.63","-9.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","970610","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","J. A. Ratter","R.254","1967","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970610","Magnoliophyta","Gentianales","Mart.",NA,"Mato Grosso","NY00970610_01","J. A. Ratter",NA,"c. 3 km SW of Xavantina.","-52.33","-14.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01172445","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","W. A. Ducke","123",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388989' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172445","Magnoliophyta","Gentianales","Mart.",NA,NA,"NY01172445_01 NY01172445_02","R. E. Woodson Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","970794","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","G. C. G. Argent","6670","1968","08","17","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1056614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970794","Magnoliophyta","Gentianales","Mart.",NA,"Mato Grosso","NY00970794_01",NA,NA,"R. 12. 5 km SW of Base Camp. Expedition Base Camp.","-51.77","-12.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01252781","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","S. A. Mori","15789","1983","09","03","South America","Brazil","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1505089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252781","Magnoliophyta","Gentianales","Mart.",NA,"Amapá","NY01252781_01 NY01252781_02","A. J. M. Leeuwenberg",NA,"Camaipi. EMBRAPA reserve and vicinity","-51.62","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","03231105","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","E. Hassler","10895","1907","11",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3550198' target='other'> <mi>dwc_moreinfo</mi></a>","NY03231105","Magnoliophyta","Gentianales","Mart.",NA,NA,"NY03231105_01 NY03231105_02","W. Marcondes-Ferreira",NA,"In altaplanitie et declivibus Sierra de Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","970637","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","H. S. Irwin","14514","1966","04","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970637","Magnoliophyta","Gentianales","Mart.",NA,"Goiás","NY00970637_01","A. P. Duarte","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01172442","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","M. G. A. Lobo","108",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388985' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172442","Magnoliophyta","Gentianales","Mart.",NA,"Pará","NY01172442_01 NY01172442_02","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","970615","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","E. P. Heringer","10502","1965","08","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970615","Magnoliophyta","Gentianales","Mart.",NA,"Distrito Federal","NY00970615_01","A. P. Duarte","Brasília","Parque Nacional de Brasília.","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","03231107","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","E. Hassler","10575","1907","08",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3550201' target='other'> <mi>dwc_moreinfo</mi></a>","NY03231107","Magnoliophyta","Gentianales","Mart.",NA,NA,"NY03231107_01","W. Marcondes-Ferreira",NA,"In altaplanitie et declivibus Sierra de Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","440824","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","R. Lao Majin","48","1963","03","26","South America","Peru","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440824","Magnoliophyta","Gentianales","Mart.",NA,"Ucayali",NA,"W. Marcondes-Ferreira",NA,"Vivero Forestal Pucallpa, distrito Galleria, Pcia. Cnel. Portillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","440270","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","K. Deguchi","B1688","1987","10","03","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440270","Magnoliophyta","Gentianales","Mart.",NA,"Amambay","NY00440270_01","L. Allorge",NA,"Cerro Cora, Pedro Juan Caballéro",NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","970642","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970642","Magnoliophyta","Gentianales","Mart.",NA,NA,"NY00970642_01","L. Allorge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01172431","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","S. A. Mori","15789","1983","09","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172431","Magnoliophyta","Gentianales","Mart.",NA,"Amapá","NY01172431_01","A. J. M. Leeuwenberg",NA,"Camaipi. EMBRAPA reserve and vicinity","-51.62","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","970793","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","H. S. Irwin","14514","1966","04","07","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1056562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970793","Magnoliophyta","Gentianales","Mart.",NA,"Goiás","NY00970793_01","A. P. Duarte","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","970630","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","W. R. Anderson","7928","1973","03","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970630","Magnoliophyta","Gentianales","Mart.",NA,"Goiás","NY00970630_01 NY00970630_02","A. J. M. Leeuwenberg","São João d'Aliança","7 km by road N of São João da Aliança. Serra Geral do Paraná.","-47.47","-14.63","1070","1070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","440823","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","H. S. Irwin","14729","1966","04","13","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440823","Magnoliophyta","Gentianales","Mart.",NA,"Bahia","NY00440823_01","A. P. Duarte","Sao Desidério","Rio Piaui, ca. 150 km SW of Barreiras","-44.9731","-12.3633","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","970618","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","E. P. Heringer","10698","1965","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970618","Magnoliophyta","Gentianales","Mart.",NA,"Distrito Federal","NY00970618_01","A. P. Duarte","Brasília","Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","970635","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","H. S. Irwin","11926","1966","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970635","Magnoliophyta","Gentianales","Mart.",NA,"Goiás","NY00970635_01","W. Marcondes-Ferreira","Mossâmedes","Serra Dourada, middle slopes of Serra Dourada, ca. 25 km S. of Goiás Velho","-50.1333","-16.15922","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","887261","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","W. R. Anderson","36516","1972","03","03","South America","Brazil","separate fruit",NA,"see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887261","Magnoliophyta","Gentianales","Mart.",NA,"Bahia","NY00887261_01","A. P. Duarte","Barreiras","Serra ca. 30 km W of Barreiras","-44.99","-12.15","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","440263","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","W. R. Anderson","36516","1972","03","03","South America","Brazil","sheet",NA,"see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=559583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440263","Magnoliophyta","Gentianales","Mart.",NA,"Bahia","NY00440263_01","A. P. Duarte","Barreiras","Serra ca. 30 km W of Barreiras","-44.99","-12.15","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","970631","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","macrocarpon","Aspidosperma macrocarpon","W. R. Anderson","8203","1973","04","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970631","Magnoliophyta","Gentianales","Mart.",NA,"Goiás","NY00970631_01","A. J. M. Leeuwenberg","Cristalina","5 km by road E of Cristalina. Serra dos Cristais.","-47.65","-16.8","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
