"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","class","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag"
"12","2020-08-31 08:55:02-03","INPA","INPA","241191","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke, A","812","1941","06","27","Southern America","Brasil","Amazonas","Manaus","Cachoeira Baixa do Tarumã, Rio Tarumã, cachoeira Baixa, mata de terra firme em solo arenoso.","-60.096261","-2.874326",NA,NA,"INPA0241191","isolectotype","INPA0241191 INPA0241191_e",NA,NA,NA,NA,NA,"-60.096261","-2.874326",NA,NA,NA,NA
"13","2021-01-10 20:43:22-03","INPA","INPA","85782","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke","Alves-Araújo, A","Roa Torres, A","715","1977","05","23","Southern America","Colômbia","Amazonas",NA,"Rio Apaporis (limítrofe Amazonas-Vaupés), Rio Apaporis (limítrofe Amazonas - Vaupés).",NA,NA,NA,NA,"INPA0085782",NA,"INPA0085782 INPA0085782_e",NA,NA,"2018","12","05",NA,NA,NA,NA,NA,NA
"14","2021-03-04 11:06:26-03","UFRB","HURB","14049","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Victor Jr., V.","2039","2013","01","16",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,"HURB000014049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33549","auto"
"15","2021-03-04 11:06:26-03","UFRB","HURB","14050","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Victor Jr., V.","594","2013","01","11",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,"HURB000014050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33549","auto"
"16","2021-03-04 11:06:26-03","UFRB","HURB","17319","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Almeida, T.",NA,"2016","03","19",NA,"Brasil","Bahia","Salvador","Ipitanga; APA Joanes","-38.510799407959","-12.9710998535156",NA,"P69 A2. <ll>dwc_commonname:</ll> Sapoti de cotia","HURB000017319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26018","auto"
"17","2021-02-08 13:25:43-03","UFBA-IMS","HVC","4429","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"T.Almeida",NA,"2016","03","19",NA,"Brasil","Bahia","Salvador","Ipitanga.","-38.510799407959","-12.9710998535156",NA,"Sapoti de cotia","HVC00004429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26018","auto"
"18","2020-09-12 05:00:02-03","US","US","2439835","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"A. Ducke","812","1941","6","27","South America - Neotropics","Colombia","Amazônas",NA,"Manáos.",NA,NA,NA,NA,"US00930766","Isolectotype","US00930766_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2250306","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"A. Ducke","812","1941","6","27","South America - Neotropics","Colombia","Amazônas",NA,"Manaos.",NA,NA,NA,NA,"US00323587","Isolectotype","US00323587_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","1834266","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"A. Ducke","812","1941","6","27","South America - Neotropics","Brazil","Amazonas",NA,"Manaos.",NA,NA,NA,NA,"US00113361","Isolectotype","US00113361_01","Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2439847","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"A. Ducke","812","1941","6","27","South America - Neotropics","Colombia","Amazônas",NA,"Manáos.",NA,NA,NA,NA,"US00930767","Isolectotype",NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-09-04 18:21:01-03","F","FMNH-SEEDPLANTS","V0072208F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata",NA,NA,"A. Ducke","812","1941","6","27","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0072208F","Isolectotype","V0072208F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-23 13:23:08-03","MN","R-TIPOS","75082","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke, W.A.","JBRJ - 35544","1937","03","15",NA,"Brasil","Amazonas","Manaus","Cachoeira baixa do Rio Tarumá","-60.0250015258789","-3.10193991661072",NA,NA,"R000075082","Isosyntypus","R000075082_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto"
"24","2021-02-23 13:23:08-03","MN","R-TIPOS","75081","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke, W.A.","812","1941","06","27",NA,"Brasil","Amazonas","Manaus","Cachoeira baixa do Rio Tarumá","-60.0250015258789","-3.10193991661072",NA,NA,"R000075081","Isolectotypus","R000075081_001 R000075081_002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto"
"25","2021-03-08 15:44:10-03","MN","R-TIPOS","75052","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke, W.A.","JBRJ - 22145","1929","09","17",NA,"Brasil","Amazonas","Manaus","Cachoeira do Tarumá Mirim","-60.0250015258789","-3.10193991661072",NA,NA,"R000075052","Isosyntypus","R000075052_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto"
"26","2021-02-23 13:23:08-03","MN","R-TIPOS","54690","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke, W.A.","JBRJ - 35545","1937","05","15",NA,"Brasil","Amazonas","Manaus","Rio Tarumá","-60.0250015258789","-3.10193991661072",NA,NA,"R000054690","Isosyntypus","R000054690_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto"
"27","2019-03-19 19:36:11-03","UFMT","UFMT","11211","S","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke, A.","812","1941","06","27",NA,"Brasil","Amazonas","Manaus","Rio Tarumã, cachoeira baixa.","-60.0250015258789","-3.10193991661072",NA,"árvore media, flores verdes.; mata de terra firme, solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto"
"28","2019-11-21 10:19:14-03","IBt","SP","487664","S","Plantae",NA,NA,"Sapotaceae","Pradosia","subverticillata","Pradosia subverticillata","Ducke",NA,"Ducke, A","812","1941","06","27",NA,"Brasil","Amazonas","Manaus","Rio Taruma, cachoeira Baixa","-60.0250015258789","-3.10193991661072",NA,NA,"SP003463","Syntype","SP003463",NA,NA,NA,NA,NA,NA,NA,NA,NA,"138090","auto"
