"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","class","order","infraspecificEpithet","scientificNameAuthorship","country","stateProvince","recordedBy","recordNumber","year","month","day","continentOcean","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber"
"11","2021-03-31 13:40:48-03","MN","R","35637","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Pabst, G.F.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.",NA,NA,"Pierri, A.",NA,"1922","11","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:40:48-03","MN","R","35652","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Hoehne, F.C.",NA,NA,NA,NA,"Commissão Rondon",NA,NA,NA,NA,"Lindl.","Brasil","Minas Gerais","Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:40:48-03","MN","R","43779","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Espírito Santo","Hans, D.","140","1946","11","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-31 13:40:48-03","MN","R","32234","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Rio de Janeiro","Sampaio, A.J.","1484","1915","12","17",NA,"Campos dos Goytacazes",NA,"-41.3244018554688","-21.7541999816895",NA,NA,NA,NA,NA,"62761","auto",NA,NA,NA
"15","2019-02-15 11:46:52-02","IPA","IPA","653","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata",NA,NA,NA,NA,NA,"Cultivada.; Mata.","Plantae",NA,NA,NA,"Lindl.","Brasil","Pernambuco","S/C","s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,"IPA0000653",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-02-15 11:46:52-02","IPA","IPA","45971","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Ataide, M.","1988","09","24",NA,NA,"Plantae",NA,NA,NA,"Lindl.","Brasil","Pernambuco","Andrade-Lima","81-8985","1981","02","18","Southern America","Brejo da Madre de Deus",NA,"-36.3711013793945","-8.14583015441895",NA,"IPA0045971",NA,NA,NA,"34231","auto",NA,NA,NA
"17","2019-02-15 11:46:52-02","IPA","IPA","3622","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Pickel, B.",NA,NA,NA,NA,"Epidendra e cultivada.; Mata.","Plantae",NA,NA,NA,"Lindl.","Brasil","Pernambuco","Pickel, B.","657","1923","12",NA,"Southern America","Timbauba",NA,"-35.3182983398438","-7.50528001785278",NA,"IPA0003622",NA,NA,NA,"17951","auto",NA,NA,NA
"18","2019-02-15 11:46:55-02","IPA","IPA","14080","S","Plantae","Orchidaceae","Leochilus","labiatus","Leochilus labiatus","Pabst, G.","1966","12","28",NA,"Epífita em Terminalia catarpa (castanhola).","Plantae",NA,NA,NA,"(Sw.) Kuntze","Brasil","Pernambuco","Ferreira, P.","18","1966","12","28","Southern America","Recife","Dois Irmãos","-34.8810997009277","-8.05389022827148",NA,"IPA0014080",NA,NA,NA,"18865","auto",NA,NA,NA
"19","2019-08-27 13:26:31-03","IAP","PACA-AGP","2875","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata var. marneri","Pabst",NA,NA,NA,NA,"Habitat: Culta Fenofase: flor","Magnoliophyta","Liliatae","Orchidales","var. marneri","O'Brien","Brasil","RS","C. Orth SJ",NA,"1937","11","15",NA,"Porto Alegre",NA,"-51.2299995422363","-30.0331001281738",NA,"PACA002875",NA,NA,NA,"29946","auto",NA,NA,NA
"20","2020-12-20 21:18:43-03","UFV","VIC","005136","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata",NA,NA,NA,NA,NA,"Como o H 50, mas tem cores mais claras no labelo, a mancha lilás escura torna-se quase um rajado de lilás purpureo, fauce é bem clara. Folhagem verde, cultivada em xaxim, floração10.",NA,NA,NA,NA,"Lindl.","Brasil","Minas Gerais","Shimoya; Alunos do curso de agronomia.","52H","1962","10","15",NA,"Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,"VIC005136","VIC005136",NA,NA,"13937","auto",NA,NA,NA
"21","2020-12-20 21:18:43-03","UFV","VIC","004319","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata",NA,NA,NA,NA,NA,"Tépalas çlilás, labélo purpúreo com orla lilás estreita, fauce amarela, inflorescência de 2 a 5 flores verde escura, floração em maio.",NA,NA,NA,NA,"Lindl.","Brasil","Minas Gerais","Pabst","s.n.","1962","05","21",NA,"Viçosa","Jardim Botânico da ESA","-42.8819007873535","-20.7539005279541",NA,"VIC004319","VIC004319",NA,NA,"13937","auto",NA,NA,NA
"22","2016-07-05 11:14:16-03","FFCLRP","LBMBP","112","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-07-05 11:14:16-03","FFCLRP","LBMBP","115","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-07-05 11:14:16-03","FFCLRP","LBMBP","127","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Pernambuco","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-07-05 11:14:16-03","FFCLRP","LBMBP","140","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Pernambuco","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-07-05 11:14:16-03","FFCLRP","LBMBP","300","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-07-05 11:14:16-03","FFCLRP","LBMBP","362","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-07-05 11:14:16-03","FFCLRP","LBMBP","367","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-07-05 11:14:16-03","FFCLRP","LBMBP","414","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-07-05 11:14:16-03","FFCLRP","LBMBP","415","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-07-05 11:14:16-03","FFCLRP","LBMBP","56","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-07-05 11:14:16-03","FFCLRP","LBMBP","571","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-07-05 11:14:16-03","FFCLRP","LBMBP","572","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-07-05 11:14:16-03","FFCLRP","LBMBP","622","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-07-05 11:14:16-03","FFCLRP","LBMBP","67","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Espírito Santo","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-07-05 11:14:16-03","FFCLRP","LBMBP","79","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Brasil","Ceará","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-27 13:51:17-03","UFS","ASE","15739","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Nascimento - Júnior, JE","2009","10",NA,NA,"Pétalas lilás, pedicelo rosa.; Pétalas lilás, pedicelo rosa.; Brejo de altitude","Magnoliophyta",NA,NA,NA,"Lindl.","Brasil","Sergipe","Prata, AP; Machado, WJ; Silva, EJ","1645","2009","04","25","Southern America","Poço Redondo","Serra da Guia","-37.684167","-9.805278",NA,"ASE0011946","ASE0011946",NA,NA,NA,NA,"-37.684167","-9.805278",NA
"38","2019-11-27 13:51:17-03","UFS","ASE","9249","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Pessoa, E","2009","08","18",NA,"Epífita.; Epífita.; Campo de altitude","Magnoliophyta",NA,NA,NA,"Lindl.","Brasil","Sergipe","Lemos, IC; Prata, AP; Costa, SM; Silva, AC","79","2006","08","26","Southern America","Poço Redondo","Serra da Guia","-37.87","-9.981944",NA,"ASE0011923","ASE0011923",NA,NA,NA,NA,"-37.87","-9.981944",NA
"39","2019-11-27 13:51:17-03","UFS","ASE","15866","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Santos, LAS","2010","03","27",NA,"Flor lilás, erva epífita.; Flor lilás, erva epífita.; Mata.","Magnoliophyta",NA,NA,NA,"Lindl.","Brasil","Sergipe","Santos, LAS; Machado, WJ; Suzart, FB","139","2010","03","27","Southern America","Poço Redondo","Serra da Guia, Brejo de altitude no topo da serra","-37.4103","-9.4819",NA,"ASE0011949","ASE0011949",NA,NA,NA,NA,"-37.4103","-9.4819",NA
"40","2019-11-27 13:51:18-03","UFS","ASE","32166","PreservedSpecimen","Plantae","Orchidaceae","Leochilus","labiatus","Leochilus labiatus","Santana, JP","2014","09","04",NA,"Epífita. Labelo amarelo, pétalas com máculas marrons. Fruto imaturo, tipo cápsula, externamente verde, consistência externa seco e internamente com polpa. Coordenadas UTM: E (0645616m), N (8731162m). Número de conglomerado: 175.","Magnoliophyta",NA,NA,NA,"(Sw.) Kuntze","Brasil","Sergipe","Santos, LAS","946","2014","04","04","Southern America","Umbaúba",NA,"-37.657778","-11.373889",NA,"ASE0003344","ASE0003344",NA,NA,NA,NA,"-37.657778","-11.373889",NA
"41","2019-11-27 13:51:18-03","UFS","ASE","37728","PreservedSpecimen","Plantae","Orchidaceae","Leochilus","labiatus","Leochilus labiatus",NA,"2016","04",NA,NA,"Hemiepifita. 2m de altura, frutos imaturos verdes do tipo cápsula. Folhas verdes, carnosas. Presença de bulbo. Coletada fixa a espécie Chomelia sp (Rubiaceae), próximo a trilhas.; Mata Atlântica.","Magnoliophyta",NA,NA,NA,"(Sw.) Kuntze","Brasil","Sergipe","Santana, JP","605","2016","04","17","Southern America","Nossa Senhora do Socorro","Floresta Nacional do Ibura","-37.1944","-11.0429",NA,"ASE0038806","ASE0038806",NA,NA,NA,NA,"-37.1944","-11.0429",NA
"42","2019-11-27 13:51:18-03","UFS","ASE","37727","PreservedSpecimen","Plantae","Orchidaceae","Leochilus","labiatus","Leochilus labiatus",NA,"2016","04",NA,NA,"Hemiepifita. 2m de altura, frutos imaturos verdes do tipo cápsula. Folhas verdes, carnosas. Presença de bulbo. Coletada fixa a espécie Chomelia sp (Rubiaceae), próximo a trilhas.; Mata Atlântica.","Magnoliophyta",NA,NA,NA,"(Sw.) Kuntze","Brasil","Sergipe","Santana, JP","604","2016","04","17","Southern America","Nossa Senhora do Socorro","Floresta Nacional do Ibura","-37.1944","-11.0429",NA,"ASE0038805","ASE0038805",NA,NA,NA,NA,"-37.1944","-11.0429",NA
"43","2019-11-27 13:51:18-03","UFS","ASE","33413","PreservedSpecimen","Plantae","Orchidaceae","Leochilus","labiatus","Leochilus labiatus","Santana, JP","2014","05","02",NA,"Semi-epífita, 1m. Flores vináceas, com 1 petala amarela.; Mata Atlântica.","Magnoliophyta",NA,NA,NA,"(Sw.) Kuntze","Brasil","Sergipe","Santana, JP","282","2014","04","02","Southern America","Nossa Senhora do Socorro","Floresta Nacional do Ibura","-37.0733","-10.5118",NA,"ASE0033251","ASE0033251",NA,NA,NA,NA,"-37.0733","-10.5118",NA
"44","2019-11-27 13:51:18-03","UFS","ASE","31156","PreservedSpecimen","Plantae","Orchidaceae","Leochilus","labiatus","Leochilus labiatus","Santos, LAS","2016","11","16",NA,"Epifita, com ca. 10 cm. Frutos imaturos verdes.; Mata Atlântica.","Magnoliophyta",NA,NA,NA,"(Sw.) Kuntze","Brasil","Sergipe","Freire, GS; Oliveira, R; Santos, E","207","2014","05","20","Southern America","Riachão do Dantas","Fazenda de Dr. Belmiro","-37.441049","-11.20473",NA,"ASE0002423","ASE0002423",NA,NA,NA,NA,"-37.441049","-11.20473",NA
"45","2019-11-27 13:51:18-03","UFS","ASE","32166A","PreservedSpecimen","Plantae","Orchidaceae","Leochilus","labiatus","Leochilus labiatus","Santos, LAS","2017","03","10",NA,"Epífita, com cerca de 15 cm. Frutos imaturos verdes e flores amarelas. Preseça de bulbo.; Mata Atlântica.","Magnoliophyta",NA,NA,NA,"(Sw.) Kuntze","Brasil","Sergipe","Santos, LAS","912","2017","03","26","Southern America","Umbaúba",NA,"-37.4236","-11.2306",NA,"ASE0039491",NA,NA,NA,NA,NA,"-37.4236","-11.2306",NA
"46","2021-03-01 16:20:06-03","UNICAMP","UEC","151088","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata",NA,NA,NA,NA,NA,"Epífita, flores alvas, muito perfumada, planta cultivada, variedade alba.","Liliopsida",NA,NA,NA,"Lindl.","Brazil",NA,"Mayer, JLS","s.n.",NA,NA,NA,NA,NA,"Nordeste.",NA,NA,NA,"UEC064610","UEC064610",NA,NA,NA,NA,NA,NA,NA
"47","2019-08-20 10:00:37-03","UNICAMP","UEC","140344","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata",NA,NA,NA,NA,NA,"Data de floração: 05/VI/04. Cultivado no Orquidário da ESALQ (doação).","Liliopsida",NA,NA,NA,"Lindl.","Brazil","São Paulo","s/ coletor","s.n.",NA,NA,NA,NA,"Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,"UEC064609","UEC064609",NA,NA,"44778","auto",NA,NA,NA
"48","2020-04-22 16:26:35-03","UFPB","JPB","27500","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Felix, LP","2001","01","14",NA,"; DESC: Epifita frutificação passada.","Angiosperma",NA,"Monocotyledon",NA,"Lindl.","Brasil","Pernambuco","Silva, AG da; Nascimento, LM; Pimentel, DS","108","1999","06","18","Southern America","Brejo da Madre de Deus","Fazenda Bituri, Mata do cassenge","-36.414278","-8.208417",NA,NA,NA,"962","1020",NA,NA,"-36.414278","-8.208417",NA
"49","2020-04-22 16:26:35-03","UFPB","JPB","52737","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Pessoa, EM","2012","07",NA,NA,"; HABITAT: Floresta Estacional Semidecidual.; DESC: Epífita sobre Vitex sp. (Lamiaceae) a ca. 2,0 m alt. Folhas suculentas, levemente discolores, verde-claras. Brácteas vináceas; cálice e corola lilás-claros; labelo com máculas branca","Angiosperma",NA,"Monocotyledon",NA,"Lindl.","Brasil","Alagoas","Costa-Lima, JL; Amorim, BS; Pereira, LA; Chagas, MA","673","2012","04","24","Southern America","Quebrangulo","Reserva Biológica da Pedra Talhada, na Pedra Talhada.","-36.426667","-9.254722",NA,"JPB0052737",NA,"777","777",NA,NA,"-36.426667","-9.254722",NA
"50","2020-04-22 16:26:35-03","UFPB","JPB","5628","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Felix, LP",NA,NA,NA,NA,"; DESC: Ornamental. Hemiparasita. Planta epifita, folha mais ou menos suculentas. Flores zigomorfas. Fruto capsula.","Angiosperma",NA,"Monocotyledon",NA,"Lindl.","Brasil","Paraíba","Sousa, MA","2019","1983","09","19","Southern America","João Pessoa",NA,"-34.863056","-7.115",NA,NA,NA,"47","47",NA,NA,"-34.863056","-7.115",NA
"51","2020-04-22 16:26:35-03","UFPB","JPB","34069","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Gadelha Neto, PC","2004","11","27",NA,"; DESC: Epífita. Flores não visualizadas. Raizes esbranquiçadas, folhas carnosas, vegeyando no alto de árvores.","Angiosperma",NA,"Monocotyledon",NA,"Lindl.","Brasil","Paraíba","Gadelha Neto, PC; Dantas, DHM; Emeri, WWS","1317","2004","11","27","Southern America","Natuba",NA,"-35.5499992370605","-7.64138984680176",NA,NA,NA,NA,NA,"24999","auto",NA,NA,NA
"52","2019-11-06 09:56:49-03","UFOP","OUPR","9632","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Badini, J.","1937",NA,NA,NA,"Sobre arvores. Erva. Flores roseas",NA,NA,NA,NA,"Lindl.","Brasil","Minas Gerais","s.col.","s.n.",NA,NA,NA,NA,"Ponte Nova",NA,"-42.9085998535156","-20.4164009094238",NA,NA,NA,NA,NA,"16921","auto",NA,NA,NA
"53","2019-01-17 11:24:01-02","PUCRS","MPUC","16594","S","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata autumnalis","T.M. Burdulis",NA,NA,NA,"1",NA,NA,"Magnoliopsida","Asparagales","autumnalis","Lindl.","Brasil","RS",NA,NA,"1982","08","28","South America","Uruguaiana",".","-57.0880556","-29.755",NA,NA,NA,NA,NA,NA,NA,"-57.0880556000","-29.7550000000",NA
"54","2021-03-21 19:40:17-03","UFC","EAC","50557","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Lima-Verde, L.W.","2003","10","07",NA,"Herbáceo, epífito.; Mata úmida - mata seca","Monocotyledon",NA,NA,NA,"Lindl.","Brasil","Ceará","Lima-Verde, L.W.; et al.","2577","2003","10","07","Southern America","Maranguape","Síio Corélia, Barlavento da Sa. Maranguape.","-38.6856002807617","-3.89083003997803",NA,"EAC0050557","EAC0050557","680","680","40608","auto",NA,NA,NA
"55","2021-03-21 19:40:17-03","UFC","EAC","50584","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Lima-Verde, L.W.","2003","10","07",NA,"Herbáceo, epífito.; Mata seca - mata úmida","Monocotyledon",NA,NA,NA,"Lindl.","Brasil","Ceará","Lima-Verde, L.W.; et al.","2575","2003","10","07","Southern America","Maranguape","Sítio Corélia, Vertente a barlavento da Sa. de Maranguape","-38.815111","-3.895611",NA,"EAC0050584","EAC0050584","700","700",NA,NA,"-38.815111","-3.895611",NA
"56","2021-03-21 19:40:17-03","UFC","EAC","49550","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","labiata","Cattleya labiata","Lima-Verde, L.W.","2007","10","10",NA,"Epífita, herbáceo.; Mata ombrófila","Monocotyledon",NA,NA,NA,"Lindl.","Brasil","Ceará","Lima-Verde, L.W.","3415","2007","10","10","Southern America","Baturité","Sítio Taveira","-38.919556","-4.298417",NA,"EAC0049550","EAC0049550",NA,NA,NA,NA,"-38.919556","-4.298417",NA
