"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","eventTime","sex"
"21","2021-03-15 16:37:00-03","NY","NYBG","386741","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg",NA,"J. G. F. Riedel","1822","08",NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00386741","NY00386741_01","Itahype p. Almada",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337642' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.","South America","sheet",NA,"Magnoliophyta","Myrtales","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-27 07:45:00-03","NY","NYBG","561496","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus",NA,"D. R. Brunner","E. M. Zardini","1987","10","23","Paraguay","Cordillera",NA,NA,NA,NA,NA,"NY00561496",NA,"Cerro Tobatí.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337636' target='other'> <mi>dwc_moreinfo</mi></a>","3616","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","386740","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg",NA,"J. S. Blanchet",NA,NA,NA,"Brazil","Bahia",NA,"-39.039072","-15.159747",NA,NA,"NY00386740","NY00386740_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337641' target='other'> <mi>dwc_moreinfo</mi></a>","2340","South America","sheet",NA,"Magnoliophyta","Myrtales","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","561495","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","riedelianus","Calycorectes riedelianus","O.Berg","J. Mattos","A. Sehnem","1972","01","05","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00561495","NY00561495_01","Pouso Novo - Reserva Turvo Tenente Portela.",NA,NA,"Stamped on label: PAGA 71026 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337637' target='other'> <mi>dwc_moreinfo</mi></a>","12698","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","557756","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","psidiiflora","Eugenia psidiiflora","O.Berg","B. K. Holst","R. Reitz","1953","08","12","Brazil","Santa Catarina","Brusque","-48.910147","-27.126635",NA,NA,"NY00557756","NY00557756_01","Azambuja, Brusque","100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460484' target='other'> <mi>dwc_moreinfo</mi></a>","933","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01095765","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","psidiiflora","Eugenia psidiiflora","O.Berg","B. K. Holst","R. Callejas Posada","1983","11","03","Brazil","Bahia","Itamarajú","-39.5308","-17.0394",NA,NA,"NY01095765","NY01095765_01","Rodovia Itamaraju-Teixeira de Freitas, 3 km de Itamaraju. (BR 101). Fazenda Chapadao",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479841' target='other'> <mi>dwc_moreinfo</mi></a>","1625","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","594901","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","psidiiflora","Eugenia psidiiflora","O.Berg","B. K. Holst","M. Kirizawa","1982","03","17","Brazil","Paraná","Guairá","-54.2556","-24.08",NA,NA,"NY00594901","NY00594901_01","Parque Nacional da Sete Quedas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479357' target='other'> <mi>dwc_moreinfo</mi></a>","689","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1551156","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","psidiiflora","Eugenia psidiiflora","O.Berg","M. Sobral","M. P. M. de Lima","1993","11","09","Brazil","Rio de Janeiro","Itatiaia","-44.65833","-22.35833",NA,NA,"NY01551156","NY01551156_01","Parque Nacional de Itatiaia. Trilha do Hotel Simon para o Três Picos.","1050",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911984' target='other'> <mi>dwc_moreinfo</mi></a>","234","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","557757","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subterminalis","Eugenia subterminalis","DC.","M. A. D. de Souza","M. A. de Souza","1995","08","10","Brazil","Amazonas",NA,NA,NA,NA,NA,"NY00557757","NY00557757_01","Reserva Florestal Ducke, Manaus-Itacoatiara, km. 26. Igarapé do Acará, junto ao limite W, banho Campinha",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460483' target='other'> <mi>dwc_moreinfo</mi></a>","78","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","557758","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subterminalis","Eugenia subterminalis","DC.","B. K. Holst","A. Dik","1994","02","24","Ecuador","Napo",NA,"-76.32","-0.82",NA,NA,"NY00557758","NY00557758_01","Aguarico. Reserva Etnica Huaorani. Carretera y oleoducto de Maxus en construcción, km 77-78","250","250","FRUTOS APARTE <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460486' target='other'> <mi>dwc_moreinfo</mi></a>","1068","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","557759","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subterminalis","Eugenia subterminalis","DC.","B. K. Holst","A. H. Gentry","1980","08","01","Peru","Loreto","Maynas","-72.97","-4.08",NA,NA,"NY00557759","NY00557759_01","Caseria Alianza, Río Tamshiyacu. Trail toward Río Manití","140","140","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=460485' target='other'> <mi>dwc_moreinfo</mi></a>","29293","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-08 11:09:35-03","UNESP-IBB","BOTU","22127","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subterminalis","Eugenia subterminalis","DC.",NA,"Bicudo, L.R.H.","1998","10","17","Brasil","São Paulo","Margem do Rio Paraná, a montante da barragem de Porto Primavera","-52.888056","-22.461944","52°53'17w","22°27'43s","BOTU022127",NA,NA,NA,NA,"Planta de 1,5 m de altura, fritos verdes","248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-24 17:10:53-03","UTFPR","DVPR","6061","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subterminalis","Eugenia subterminalis","DC.","Silva, DR","Silva, DR; Tcatch, BG; Piva, J","2018","07","23","Brasil","Paraná","Capitão Leonidas Marques","-53.3921","-25.3021","-53.3921","-25.3021","DVPR006061",NA,"Futuro reservatório da UHE Baixo Iguaçu, ca. 250 m da Barra do Monteiro.","231","231","Árvore 6 m de altura. Folhas cartáceas, glabras, verde-discolores. Inflorescências axilares, com flores brancas. Ponto 116.; Fragmento de Floresta Estacional Semidecidual em estágio avançado de sucessão secundária, solo argiloso. Asso","401",NA,NA,NA,"Magnoliophyta",NA,NA,"2018","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-24 17:10:53-03","UTFPR","DVPR","6071","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","subterminalis","Eugenia subterminalis","DC.","Silva, DR","Silva, DR; Dama, VJ; Moura, AP","2018","07","23","Brasil","Paraná","Capanema","-53.3909","-25.3105","-53.3909","-25.3105","DVPR006071",NA,"Futuro reservatório da UHE Baixo Iguaçu, estrada do bota-fora.","251","251","Árvore 5 m de altura. Folhas cartáceas, verde-discolores. Flores brancas. Ponto 068.; Remanescente em área de pastagem. Associação entre Latossolo e Nitossolo Vermelhos.","405",NA,NA,NA,"Magnoliophyta",NA,NA,"2018","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
