"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified","class","minimumElevationInMeters","maximumElevationInMeters"
"11","2019-11-13 11:17:49-03","USP","SPF","73146","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Mattos, J","12762","1965","10","28",NA,"Brasil","São Paulo","Santo André","Reserva Biológica Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,"SPF00073146",NA,"Prance, GT","27258","auto",NA,"1998","03",NA,NA,NA
"12","2019-11-13 11:17:49-03","USP","SPF","165358","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Garcia, RJF","1398","1997","11","16",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar","-46.6300010681152","-23.5400009155273",NA,NA,"SPF00165358",NA,"Prance, GT","53584","auto",NA,"2000","02",NA,NA,NA
"13","2019-10-07 09:29:59-03","UEFS","HUEFS","247334","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Kuhlmann","4328","1958","01","30",NA,"Brasil","São Paulo","Paranapiacaba","Mata da Estação Biológica.",NA,NA,NA,NA,"HUEFS0247334","HUEFS0247334",NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"14","2019-09-04 19:41:33-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii",NA,"Holotype","A. Glaziou","4946",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"15","2019-01-23 09:57:59-02","F","FMNH-SEEDPLANTS","V0053912F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii",NA,"Isolectotype","A. Glaziou","4946",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0053912F","V0053912F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"16","2019-01-23 09:54:36-02","F","FMNH-SEEDPLANTS","V0360012F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii",NA,"Isolectotype","A. Glaziou","4946",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0360012F","V0360012F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"17","2021-02-23 13:22:02-03","MN","R-TIPOS","8797","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.","Isolectotypus","Glaziou, A.F.M.","4946","1871","11","07",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Alto do Pico da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"R000008797","R000008797_001",NA,"57442","auto",NA,NA,NA,NA,NA,NA
"18","2021-03-04 15:43:03-03","IF","SPSF","31800","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii",NA,NA,"R.J.F. Garcia","1398","1997","11","16","América do Sul","Brasil","SP","São Paulo","P.E.Serra do Mar, Núcleo Curucutu","-46.6300010681152","-23.5400009155273",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,"53584","auto",NA,NA,NA,"Magnoliopsida",NA,NA
"19","2021-02-08 12:39:18-03","UFRGS","ICN","002654","S","Plantae","Dicotyledon",NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Markgraf; Brade","3096","1938","10","28","América do Sul","Brasil","RJ","Rio de Janeiro","Pico da Tijuca","-43.2075004577637","-22.9027996063232",NA,"Pequena árvore, flores alvescentes.",NA,NA,NA,"57442","auto",NA,NA,NA,NA,"900","900"
"20","2019-11-21 10:03:12-03","IBt","SP","58626","S","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Kuhlmann, M","4328","1958","01","30",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"Prance, GT","27258","auto",NA,"1969","03",NA,NA,NA
"21","2019-11-21 10:03:12-03","IBt","SP","1119","S","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Hoehne, FC","s.n.","1917","12","19",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,"Árvore pequena, flores amareladas",NA,NA,"Prance, GT","27258","auto",NA,"1969","03",NA,NA,NA
"22","2019-11-21 10:03:12-03","IBt","SP","115552","S","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Mattos, JR; Moura, C","12762","1965","10","28",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, via férrea São Paulo-Santos","-46.5299987792969","-23.6599998474121",NA,"Na mata virgem, pequena árvore",NA,NA,NA,"27258","auto",NA,NA,NA,NA,NA,NA
"23","2020-10-08 08:52:33-03","IBt","SP","333321","S","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","glaziovii","Hirtella glaziovii","Taub.",NA,"Garcia, RJF","1673","1998","12","02",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA
