"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified"
"11","2019-11-13 11:27:21-03","USP","SPF","41414","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","Anônimo","Santos, TS","301","1968","12","12",NA,"Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878",NA,NA,"SPF00041414",NA,NA,NA,"paratype","36070","auto",NA,NA,NA,NA
"12","2020-07-23 12:16:30-03","CEPLAC","CEPEC","24948","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"M. Sobral","J. L. Hage","1364","1981","09","22",NA,"Brasil","Bahia","ILHÉUS","Área do CEPEC. CEPLAC. KM 22 da Rod. Ilhéus/Itabuna.","-39.0494003295898","-14.7889003753662",NA,"<ll>dwc_commonname:</ll> Murta",NA,NA,NA,NA,"Paratipo","61245","auto","30/12/1994",NA,NA,NA
"13","2020-07-23 12:16:30-03","CEPLAC","CEPEC","53036","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"M. Sobral","W. W. Thomas","7298","1991","07","01",NA,"Brasil","Bahia","URUÇUCA","7.3Km ao N de Serra Grande Rod. p/ Itacaré. Fazenda Lagoa. Parcela 10. Árvore #369.","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2002","39W1'","14S25'",NA
"14","2020-07-23 12:16:30-03","CEPLAC","CEPEC","54006","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"M. Sobral","W. W. Thomas","8370","1999","07","01",NA,"Brasil","Bahia","URUÇUCA","7.3Km ao N de Serra Grande Rod. p/ Itacaré. Fazenda Lagoa. Parcela 35. Árvore # 1651.","-39.016667","-14.416667",NA,"<ll>dwc_commonname:</ll> Murta",NA,NA,NA,NA,NA,NA,NA,"30/12/2002","39W1'","14S25'",NA
"15","2020-07-23 12:16:30-03","CEPLAC","CEPEC","55493","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"M. Sobral","W. W. Thomas","9170","2000","05","08",NA,"Brasil","Bahia","URUÇUCA","7.3Km ao N de Serra Grande Rd. para Itacaré. Área de estudo.","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995","39W1'","14S25'",NA
"16","2020-07-23 12:16:30-03","CEPLAC","CEPEC","52410","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"A. Stadnik","A. M. Amorim","440","1991","11","20",NA,"Brasil","Bahia","ubaitaba","Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4Km do loteamento da Marambaia.","-39.323299407959","-14.3125",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"27575","auto",NA,NA,NA,NA
"17","2020-07-23 12:16:30-03","CEPLAC","CEPEC","5090","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"M. Sobral","T. S. dos Santos","301","1968","12","12",NA,"Brasil","Bahia","UNA","Faz. São Rafael.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,"Paratipo","36070","auto","30/12/1994",NA,NA,NA
"18","2020-07-23 12:16:30-03","CEPLAC","CEPEC","25092","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"M. Sobral","J. L. Hage","1464","1981","10","14",NA,"Brasil","Bahia","ILHÉUS","Quadra F do CEPEC. CEPLAC.","-39.0494003295898","-14.7889003753662",NA,"<ll>dwc_commonname:</ll> Araçá-vermelho",NA,NA,NA,NA,"Isótipo","61245","auto","30/12/1995",NA,NA,NA
"19","2020-07-23 12:16:30-03","CEPLAC","CEPEC","3242","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"M. Sobral","R. S. Pinheiro","316","1967","10","26",NA,"Brasil","Bahia","UNA","Faz. São Rafael, ramal p/ Faz. Bernardino.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,"Holótipo","36070","auto","30/12/1994",NA,NA,NA
"20","2020-07-23 12:16:30-03","CEPLAC","CEPEC","52411","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata",NA,"A. Stadnik","A. M. Amorim","439","1991","11","20",NA,"Brasil","Bahia","ubaitaba","Ramal a esquerda na estrada Ubaitaba/Itacaré, a 4Km do Loteamento da Marambaia.","-39.323299407959","-14.3125",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"27575","auto",NA,NA,NA,NA
"21","2019-11-21 10:12:34-03","IBt","SP","38408","S","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","Sobral, M","Bondar, G","2356","1937","04","23",NA,"Brasil","Bahia","Água Preta",NA,NA,NA,NA,NA,"SP001888","SP001888",NA,NA,"Paratype",NA,NA,NA,NA,NA,"1995"
"22","2019-11-21 10:12:34-03","IBt","SP","38408a","Carpo","Plantae",NA,NA,"Myrtaceae","Plinia","muricata","Plinia muricata","Sobral","Sobral, M","Bondar, G","2356","1937","04","23",NA,"Brasil","Bahia","Água Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1995"
