"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"21","2020-11-13 09:20:21-03","UFRJ","RFA","10486","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brevipedunculata","Eugenia brevipedunculata","Kiaersk.","D. Legrand","1967",NA,NA,"G.G. Hatschbach","14517","1966","07","26","Brasil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"Arvoreta de flor alva","RFA10395",NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"22","2020-06-29 11:31:37-03","UFRJ","RFA","20011","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","riedeliana","Eugenia riedeliana","O.Berg","M. Sobral","2001",NA,NA,"P. Occhioni","8949","1979","05","30","Brasil","Rio de Janeiro","Rio de Janeiro","Saracuruna, próximo a Caxias","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Arbusto de 4 - 5 m de altura; flor creme","RFA46594",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"23","2020-06-29 11:31:37-03","UFRJ","RFA","6633","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana","O. Berg","C. D. Legrand","1958",NA,NA,"E. Reitz; R. Klein","5111","1957","10","11","Brasil","Santa Catarina","Vidal Ramos","Sabiá","-49.3558006286621","-27.3918991088867",NA,NA,"600","600","Arvoreta de 5 m de altura, fruto maduro roxo escuro","RFA46572",NA,NA,NA,NA,NA,NA,"21797","auto",NA,NA,NA,NA,NA
"24","2020-11-24 17:10:53-03","UTFPR","DVPR","4703","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","verticillata","Eugenia verticillata","(Vell.) Angely","Brotto, ML","2013","10","02","Engels, ME","1577","2013","09","02","Brasil","Paraná","Guaratuba","Serra do Mar, Linha de transmissão elétrica Curitiba a Joinville","-48.5635","-25.5255","-48.5635","-25.5255","800","800","Arbórea,Caule castanho. Folhas verdes. Frutos verdes, apt esféricos.; Floresta Ombrófila Densa","DVPR004703",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:45:53-03","EAO","IAN","23294","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","riedeliana","Eugenia riedeliana","O.Berg",NA,NA,NA,NA,"Riedel, L","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN023294",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:45:53-03","EAO","IAN","23295","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","riedeliana","Eugenia riedeliana","O.Berg",NA,NA,NA,NA,"Riedel, L","s.n.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN023295",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:21:17-03","UFBA","ALCB","133428","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","riedeliana","Eugenia riedeliana","O. Berg",NA,NA,NA,NA,"Sobral, M; Gianotti, A","7481",NA,NA,NA,"Brasil","São Paulo","Peruíbe","Estação da Juréia.","-46.9900016784668","-24.3199996948242",NA,NA,NA,NA,"mata ombrófila densa","ALCB053294","ALCB053294","Dicotyledon",NA,"Southern America",NA,NA,"21922","auto",NA,NA,NA,NA,NA
"28","2019-10-09 11:21:18-03","UFBA","ALCB","10382","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","verticillata","Eugenia verticillata","(Vell.) Angely","Sobral, M","2012","03",NA,"Queiroz, LP de; Faria, LSS","481","1983","01","29","Brasil","Rio Grande do Sul","Gramado",NA,"-50.873889","-29.378611","-50.873889","-29.378611","825","825","com mais ou menos 8,0m, com folhas membranáceas, discolor, face adaxial vede brilhante e abaxial mais clara. Botões verdes e frutos maduroscor de vinho.","ALCB058331",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:06:08-03","NBC","NL-BOTANY","L.2503937","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","brevipedunculata","Eugenia brevipedunculata","Kiaersk.",NA,NA,NA,NA,"Hatschbach GG",NA,"1966","07","26","Brazil",NA,NA,"Est. Parana. Mun. Paranagua. Pontal do Sul.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2503937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2503937","NL-L2503937",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"30","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515527","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana","O.Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1958","03","27","Brazil","Santa Catarina",NA,"Plantas de Santa Catarina, estrada Dona Francisca, Joinville.","-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515527 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2515527","NL-L2515527",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"31","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U 0294172","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana","O.Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1958","03","27","Brazil","Santa Catarina",NA,"Plantas de Santa Catarina, estrada Dona Francisca, Joinville.","-53.733333","-26.533333","-53.733333","-26.533333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200294172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0294172",NA,NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae","Uw6908",NA,NA,NA
"32","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U.1442631","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","schuchiana","Eugenia schuchiana","O.Berg",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1958","03","27","Brazil",NA,NA,"Plantas da Santa Catarina, Estrada Dona Fransisca, Joinvile. Mata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442631 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442631","NL-U1442631",NA,"Myrtales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
