"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","typeStatus","fieldNumber","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","603419","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","A. E. Burkart",NA,NA,NA,"E. Sesmero","1945","01","14","Argentina","Misiones","Apóstoles",NA,NA,NA,NA,"NY00603419",NA,"Apóstoles",NA,NA,"286","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687766' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","603412","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","H. Poppendieck",NA,NA,NA,"L. B. Smith","1956","12","31","Brazil","Santa Catarina","Dionísio Cerqueira","-53.6394","-26.255",NA,NA,"NY00603412","NY00603412_01","By Rio Peperí-guaçu, 15 km south of Dionísio Cerqueira","800","800","9668","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687770' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","603415","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","H. Poppendieck",NA,NA,NA,"G. G. Hatschbach","1965","12","17","Brazil","Paraná","Laranjeiras do Sul","-52.4158","-25.4081",NA,NA,"NY00603415","NY00603415_01","Nova Laranjeiras",NA,NA,"13375","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=687769' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:10:42-03","UTFPR","DVPR","2859","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","Tozzi, AMGA","1999",NA,NA,"Medri, C; Kinupp, VF; Francisco, EM","1997","12","06","Brasil","Paraná","Sapopema","-50.5802993774414","-23.9108009338379",NA,NA,"DVPR002859",NA,"Rio Lageado Liso",NA,NA,"555","Árvore 7m, flores lilases.; Mata ciliar do Passo do Meio.","Magnoliophyta",NA,NA,NA,"21990","auto",NA,NA,NA,NA,NA
"15","2021-04-08 17:41:46-03","EAO","IAN","2422","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Sellow, F",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"IAN002422","IAN002422_f",NA,NA,NA,"1059",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:13:24-03","NBC","NL-BOTANY","U.1249866","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Klein RM","1950","01","25","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1249866","NL-U1249866","Plantas de Santa Catarina. Mata S. Pedro, Brusque. Árvore.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-02-08 09:13:24-03","NBC","NL-BOTANY","U.1249868","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Reitz R","1958","01","23","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1249868","NL-U1249868","Plantas de Santa Catarina. Dionisio Corqueira, Ghapecó.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1249868 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"18","2020-02-08 09:13:24-03","NBC","NL-BOTANY","U.1315775","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Huidobro AMR","1947","01","16","Argentina",NA,NA,NA,NA,NA,NA,"NL-U1315775","NL-U1315775","Provincia Corrientes. Rio Aguarey.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1315775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"19","2020-02-08 09:13:24-03","NBC","NL-BOTANY","U.1315776","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Rodriquez","1913","01","21","Argentina",NA,NA,NA,NA,NA,NA,"NL-U1315776","NL-U1315776","Misiones. Santa Ana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1315776 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"20","2020-02-08 09:13:24-03","NBC","NL-BOTANY","U.1315777","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Rodriquez","1913","01","10","Argentina",NA,NA,NA,NA,NA,NA,"NL-U1315777","NL-U1315777","Misiones. Santa Ana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1315777 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"21","2020-02-08 09:13:24-03","NBC","NL-BOTANY","U.1315778","PreservedSpecimen","Plantae","Leguminosae-Pap.","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Lillo M","1913","04","16","Argentina",NA,NA,NA,NA,NA,NA,"NL-U1315778","NL-U1315778","Misiones. Salto Iguarzi.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1315778 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"22","2020-11-04 11:09:44-03","ESALQ","ESA","62162","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel)Benth.","Silva,M.J.","2010","09","10","Sampaio, D. et al.","1999","01","12","Brasil","São Paulo","Sete Barras","-47.9199981689453","-24.3799991607666",NA,NA,"ESA062162",NA,NA,NA,NA,"169.0",NA,"Magnoliophyta",NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA
"23","2020-11-04 11:09:44-03","ESALQ","ESA","107765","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus",NA,"Keller, H.A.","2006",NA,NA,"Keller, H.A.","2006","01","11","Argentina","Misiones","Guarani",NA,NA,NA,NA,"ESA107765","ESA107765",NA,NA,NA,"3315.0",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:09:44-03","ESALQ","ESA","39861","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","Pinto, R.B.",NA,NA,NA,"Jarenkow, J.A.","1996","12","26","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.9063987731934","-27.4617004394531",NA,NA,"ESA039861",NA,NA,NA,NA,"3350.0",NA,"Magnoliophyta",NA,NA,NA,"18635","auto",NA,NA,NA,NA,NA
"25","2021-01-14 15:29:40-03","MN","R","66061","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","Azevedo-Tozzi, A.M.G.","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:29:40-03","MN","R","121027","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","Poppendieck, H.H.","1991","08","06","Smith, L.B.; Reitz, R. & Pereira, D.","1956","12","31","Brasil","Santa Catarina","Dionísio Cerqueira","-53.6397018432617","-26.2549991607666",NA,NA,NA,NA,NA,"800","800","9668",NA,NA,NA,NA,NA,"28536","auto",NA,NA,NA,NA,NA
"27","2019-08-27 13:29:31-03","IAP","PACA-AGP","85589","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","R. M. Senna",NA,NA,NA,"J. Spanholi","2000","06","16","Brasil","RS","Barracão","-51.4606018066406","-27.6716995239258",NA,NA,"PACA085589",NA,"encosta do Rio Pelotas",NA,NA,NA,"HAS 37143.","Magnoliophyta","Fagales",NA,NA,"28327","auto","Magnoliatae",NA,NA,NA,NA
"28","2019-08-27 13:29:31-03","IAP","PACA-AGP","34467","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","Irm. Augusto","1946","12","16","Brasil","RS","Cerro Largo","-54.7380981445312","-28.1485996246338",NA,NA,"PACA034467",NA,NA,NA,NA,NA,"conf. A.M.G.Azevedo-Tozzi, 1989 Habitat: in silva riparia Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"13082","auto","Magnoliatae",NA,NA,NA,NA
"29","2019-08-27 13:29:31-03","IAP","PACA-AGP","47900","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","Sehnem, A.","1947","01","04","Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"PACA047900",NA,"Kappesberg",NA,NA,"2443","conf. A.M.G.Azevedo-Tozzi, 1989 Habitat: in silva ad rivum Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"21601","auto","Magnoliatae",NA,NA,NA,NA
"30","2019-08-27 13:29:31-03","IAP","PACA-AGP","36085","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","A. Spies","1947","02",NA,"Brasil","RS","Santa Rosa","-54.4813995361328","-27.8708000183105",NA,NA,"PACA036085",NA,"Campinas",NA,NA,NA,"SEM MATERIAL Habitat: in silva riparia Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"19818","auto","Magnoliatae",NA,NA,NA,NA
"31","2019-08-27 13:29:31-03","IAP","PACA-AGP","99611","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","J. Larocca",NA,NA,NA,"J. Larocca","2004","12",NA,"Brasil","RS","Veranópolis","-51.5494003295898","-28.9361000061035",NA,NA,"PACA099611",NA,"Rio das Antas",NA,NA,NA,"HASU 17301","Magnoliophyta","Fagales",NA,NA,"16670","auto","Magnoliatae",NA,NA,NA,NA
"32","2019-08-27 13:29:31-03","IAP","PACA-AGP","99605","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","J. Larocca",NA,NA,NA,"J. Larocca","2004","12",NA,"Brasil","RS","Veranópolis","-51.5494003295898","-28.9361000061035",NA,NA,"PACA099605",NA,"Rio dos Antas",NA,NA,NA,"HASU 17300","Magnoliophyta","Fagales",NA,NA,"16670","auto","Magnoliatae",NA,NA,NA,NA
"33","2019-08-27 13:29:31-03","IAP","PACA-AGP","49919","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","Rambo, B.","1951","02","06","Brasil","SC","Itapiranga","-53.7122001647949","-27.1693992614746",NA,NA,"PACA049919",NA,"ad flumen Uruguay",NA,NA,NA,"conf. A.M.G.Azevedo-Tozzi, 1989 Habitat: in silva riparia Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"18767","auto","Magnoliatae",NA,NA,NA,NA
"34","2019-08-27 13:29:31-03","IAP","PACA-AGP","47944","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","b. Rambo","1954","08","15","Sehnem, A.","1948","12","20","Brasil","RS","Cerro Largo","-54.7380981445312","-28.1485996246338",NA,NA,"PACA047944",NA,NA,NA,NA,"3540","Habitat: in silva secundaria/arbor ad viam Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"13082","auto","Magnoliatae",NA,NA,NA,NA
"35","2019-08-27 13:29:31-03","IAP","PACA-AGP","57889","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1957","05","12","Pivetta","1953","12","20","Brasil","RS","Ijuí","-53.9146995544434","-28.3878002166748",NA,NA,"PACA057889",NA,"Dr. Pestana",NA,NA,"1053","SEM MATERIAL Habitat: in silva Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"36807","auto","Magnoliatae",NA,NA,NA,NA
"36","2019-08-27 13:29:31-03","IAP","PACA-AGP","11035","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","E. Friderichs SJ","1943","01",NA,"Brasil","RS","Marcelino Ramos","-51.9063987731934","-27.4617004394531",NA,NA,"PACA011035",NA,"ad fl. Uruguay",NA,NA,NA,"conf. A.M.G.Azevedo-Tozzi, 1989 Habitat: in silva riparia Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"18635","auto","Magnoliatae",NA,NA,NA,NA
"37","2019-08-27 13:29:31-03","IAP","PACA-AGP","33059","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","A. Strieder SJ","1946","01",NA,"Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"PACA033059",NA,"ad flumen Caí",NA,NA,NA,"conf. E. E. Neubert 05.03.1946 Habitat: in silva riparia Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"21601","auto","Magnoliatae",NA,NA,NA,NA
"38","2019-08-27 13:29:31-03","IAP","PACA-AGP","35565","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","Henz, E.","1946","12","20","Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"PACA035565",NA,"Kappesberg",NA,NA,NA,"conf. A.M.G.Azevedo-Tozzi, 1989 Habitat: in silva Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"21601","auto","Magnoliatae",NA,NA,NA,NA
"39","2019-08-27 13:29:31-03","IAP","PACA-AGP","39979","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","Rambo, B.","1949","01","19","Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"PACA039979",NA,"Linha Bonita",NA,NA,NA,"SEM MATERIAL Habitat: ad rivum in silva Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"21601","auto","Magnoliatae",NA,NA,NA,NA
"40","2019-08-27 13:29:31-03","IAP","PACA-AGP","73053","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","B. Rambo",NA,NA,NA,"Sehnem, A.","1947","01","04","Brasil","RS","Montenegro","-51.4611015319824","-29.6886005401611",NA,NA,"PACA073053",NA,"São Salvador",NA,NA,"2442","Habitat: in silvatico Hábito: arbustum","Magnoliophyta","Fagales",NA,NA,"21601","auto","Magnoliatae",NA,NA,NA,NA
"41","2019-08-27 13:29:31-03","IAP","PACA-AGP","28100.1","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","Rambo, B.","1945","03",NA,"Brasil","RS","Nonoai","-52.7714004516602","-27.3617000579834",NA,NA,"PACA028100-1",NA,"ad flumen Uruguay superius",NA,NA,NA,"conf. A.M.G.Azevedo-Tozzi, 1989 Fenofase: fruto","Magnoliophyta","Fagales",NA,NA,"35080","auto","Magnoliatae",NA,NA,NA,NA
"42","2019-08-27 13:29:31-03","IAP","PACA-AGP","99612","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","J. Larocca",NA,NA,NA,"J. Larocca","2004","05","02","Brasil","RS","Nova Roma do Sul","-51.4081001281738","-28.9902992248535",NA,NA,"PACA099612",NA,NA,NA,NA,NA,"HASU 17294","Magnoliophyta","Fagales",NA,NA,"9715","auto","Magnoliatae",NA,NA,NA,NA
"43","2019-08-27 13:29:31-03","IAP","PACA-AGP","1386","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","Rambo, B.","1933","09","20","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,"PACA001386",NA,"Vila Manresa",NA,NA,NA,"conf. A.M.G.Azevedo-Tozzi, 1989 Habitat: ad rivum in silva Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"29946","auto","Magnoliatae",NA,NA,NA,NA
"44","2019-08-27 13:29:31-03","IAP","PACA-AGP","47342","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","Benth.","Emrich-Rambo","1954","08","15","A. Spies","1947","02",NA,"Brasil","RS","Santa Rosa","-54.4813995361328","-27.8708000183105",NA,NA,"PACA047342",NA,"Campinas",NA,NA,NA,"conf. A.M.G.Azevedo-Tozzi, 1989 Habitat: in silva secundaria Fenofase: flor","Magnoliophyta","Fagales",NA,NA,"19818","auto","Magnoliatae",NA,NA,NA,NA
"45","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0023060","PreservedSpecimen","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","H. H. Poppendick",NA,NA,NA,"G. Hatschbach","1975","1","7","Brazil","Parana",NA,"-52.868627","-25.103942",NA,NA,NA,NA,"Rio Guarani (mun. Guaraniacu).",NA,NA,"37929","Arvore 6 m, flor rosado escuro, mata.","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-08-20 10:13:57-03","UNICAMP","UEC","107757","S","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.","Oliveira, A; Maltez, HM","1999","01",NA,"Sampaio, D; Maltez, HM; Silva, C; Almeida, A; Silva, MMR","1999","01","12","Brazil","São Paulo","Sete Barras","-48.214167","-24.225278","-48.214167","-24.225278",NA,NA,"Núcleo Saibadela (Intervales), na trilha",NA,NA,"169","flor, Árvore 8m, pétalas lilás. Floresta Ombrófila Densa. Floresta de terras baixas (relevo pouco declivoso).","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-01 16:30:45-03","UNICAMP","UEC","158239","S","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Rosenngurtt, B","1942","01","28","Uruguay",NA,NA,NA,NA,NA,NA,"UEC015363","UEC015363","Paysandú. Islã Queguay en el Rio Uruguai.",NA,NA,"3223","Árbol hasta 8 mts. alto, flor celste.","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-01 16:30:45-03","UNICAMP","UEC","189056","S","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD","2015","02","09","Brazil","São Paulo","São Miguel Arcanjo","-47.999167","-24.065278","-47.999167","-24.065278","UEC119394","UEC119394","Parque Estadual Carlos Botelho","800","800","248","Árvore, 8 m de altura e 7,6 cm de DAP; Floresta Ombrófila Densa","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-08-20 10:13:57-03","UNICAMP","UEC","107985","S","Plantae","Fabaceae","Lonchocarpus","nitidus","Lonchocarpus nitidus","(Vogel) Benth.",NA,NA,NA,NA,"Ferreira, JA; Pavão, OC","1998","11","29","Brazil","Paraná","Ortigueira","-50.9494018554688","-24.2082996368408",NA,NA,NA,NA,"Fazenda Estância do Sol.",NA,NA,"s.n.","flor, Árvore 7m, botões verdes.","Magnoliopsida",NA,NA,NA,"46016","auto",NA,NA,NA,NA,NA
