"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","fieldNumber","preparationType","individualCount"
"11","2020-10-14 10:03:52-03","FURB","FURB","20502","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Mancinelli, WS","2011","01","10","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1075","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.5852777","-26.7275","-49.5852777","-26.7275000",NA,"785","785","Florística IFFSC e801a (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: terrícola; flor laranja",NA,NA,"FURB34463","FURB34463",NA,NA,NA
"12","2020-10-14 10:03:52-03","FURB","FURB","9238","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Engels, ME","2014",NA,NA,"Gasper, A.L. de; Brogni, E.","1468","2008","02","23","Brasil","Santa Catarina","Mirim Doce","Alto Volta Grande.","-50.2177778","-27.1825","-50.2177778","-27.1825000",NA,NA,NA,"Florística IFFSC 507. Habitat: Floresta Ombrófila Densa; Habito: terrícola; flor laranja",NA,NA,"FURB02681","FURB02681",NA,NA,NA
"13","2021-03-16 17:50:18-03","UCS","HUCS","28319","PreservedSpecimen","Plantae","Angiospermae",NA,"Asparagales","Orchidaceae","Erythrodes","commelinoides","Erythrodes commelinoides","(Barb. Rodr.) Ames","Menino Neto, L.","2005",NA,NA,"Hatschbach, G.","52804","1989","03","21","Brasil","Santa Catarina","Mandirituba","Barranco",NA,NA,NA,NA,NA,NA,NA,"flor amarelo-ocre, labelo amarelo mais claro; encosta de pequeno morro, junto a blocos de rocha no interior da mata",NA,NA,NA,NA,NA,NA,NA
"14","2020-04-27 16:10:56-03","UFES","VIES","33866","S","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Zorzanelli, J.P.F.","2014","05","23","Zorzanelli, J.P.F.","1032","2014","05","23","Brasil","Espírito Santo","Castelo","Caxixe Frio.","-41.184700012207","-20.6035995483398",NA,NA,"23588","1122","1122",NA,"auto",NA,"VIES033866","VIES033866",NA,NA,NA
"15","2020-04-27 16:10:56-03","UFES","VIES","30218","S","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Zorzanelli, J.P.F.","2013","07","10","Zorzanelli, J.P.F.; Couto, D.R.; Carrijo, T.T. & Tuler, A.C.","364","2012","04","19","Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803",NA,NA,"32198",NA,NA,NA,"auto",NA,"VIES030218",NA,NA,NA,NA
"16","2019-08-16 08:40:23-03","UTFPR","HCF","26552","S","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","L. Menini Neto","2005",NA,NA,"G. Hatschbach","52804","1989","03","21","Brasil","PR","Mandirituba","Barranco","-49.326099395752","-25.7789001464844",NA,NA,"20385",NA,NA,"encosta de pequeno morro, junto a blocos de rocha no interior da mata. Flor amarelo-ocre, labelo amarelo mais claro.","auto",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:38:13-03","MBM","MBM","388314","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","Engels, M.E.","2014","04","11","Brotto, M.L.","1552","2014","03","02","Brazil","Paraná","Piraquara","pico Alvorada 1","-48.943161","-25.482922","-48.943161","-25.482922",NA,"1326","1326","Erva terrícola; flores amarelas (tom de gema de ovo).; Interior de Floresta Ombrófila Densa Altomontana (matinha nebular), local bem sombreado.",NA,"Southern America","MBM388314",NA,NA,NA,NA
"18","2020-12-21 16:38:13-03","MBM","MBM","316078","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","Menini Neto, L.","2008","01","15","Ribas, O.S.; Cordeiro, J.; Silva, J.M.; Marinero, F.; Cordeiro, J.; Silva, J.M.; Marinero, F.","7201","2006","04","10","Brazil","Paraná","Campina Grande do Sul","Serra Ibitiraquire, trilha para o Pico Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,"55154",NA,NA,"Terrícola, flor alaranjada. Encosta do morro; floresta atlântica da Serra do Mar","auto","Southern America","MBM316078","MBM316078",NA,NA,NA
"19","2020-12-21 16:38:13-03","MBM","MBM","49616","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","Pabst, G.",NA,NA,NA,"Hatschbach, G.","16115","1967","03","09","Brazil","Paraná","Piên","Trigolândia","-49.42919921875","-26.0981006622314",NA,NA,"19924",NA,NA,NA,"auto","Southern America","MBM049616","MBM049616",NA,NA,NA
"20","2015-09-05 10:45:56-03","MNHN","RECOLNAT_MNHN_P","P00331258","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Ormerod",NA,NA,NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,NA,"Province de Saint-Paul",NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00331258' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P00331258","P00331258_01","C2 1628","hb",NA
"21","2014-04-22 15:12:02-03","MNHN","RECOLNAT_MNHN_P","P00750206","PreservedSpecimen",NA,NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Ormerod",NA,NA,NA,"Glaziou, A.",NA,"1888","3","5","Brésil",NA,NA,"Alto Macahé",NA,NA,NA,NA,NA,NA,NA,"[P00331263 et P00750206 sur la meme part] <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00750206' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P00750206","P00750206_01","12204","hb",NA
"22","2020-12-11 11:44:19-03","UFMG","BHCB","147876","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay",NA,"2017","11","30","Fernandes, R; Chaves, C; Hattori, EKO; Vale, AA","808","2011","03","16","Brasil","Minas Gerais","Delfim Moreira","Serra da Mantiqueira, Fazenda Boa Esperança, trilha da cachoeira.","-45.322028","-22.575111","-45.322028","-22.575111",NA,"1401","1401","Floresta ombrófila densa, planta terrestre, herbácea, flores laranjadas a avermelhadas, coletada à margem do rio.",NA,"Southern America","BHCB044936",NA,NA,NA,NA
"23","2020-12-11 11:44:19-03","UFMG","BHCB","82147","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay",NA,NA,NA,NA,"Mota, RC da; Viana, PL","2012","2003","03","19","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo","-43.577667","-19.099694","-43.577667","-19.099694",NA,NA,NA,"Planta coletada em mata de galeria; erva terrestre; corola amarelada e cálice castanho-amarelado com uma listra longitudinal castanha em cada peça; esporão verde.",NA,"Southern America","BHCB000920","BHCB000920",NA,NA,NA
"24","2020-12-11 11:44:19-03","UFMG","BHCB","105376","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay",NA,NA,NA,NA,"Mota, RC da","3354","2007","02","22","Brasil","Minas Gerais","Catas Altas","Serra do Caraça","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"Planta coletada em mata semidecidua; erva terrestre; sépalas e cálcar castanho-amarelados , corola amarelo alaranjada.","auto","Southern America",NA,NA,NA,NA,NA
"25","2021-02-11 17:20:53-03","UFPR","UPCB","73286","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Mancinelli, W.S.","2010","05","06","Cadorin, T.J.","1075","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.585","-26.7275","-49.585","-26.7275",NA,"785","785","Epífita. IFFSC e801a. Floresta ombrófila densa. Flor laranja..",NA,NA,NA,NA,NA,NA,NA
"26","2021-02-11 17:20:53-03","UFPR","UPCB","73332","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Mancinelli, W.S.","2010","04","14","Korte, A.","2054","2010","02","25","Brasil","Santa Catarina","Rio do Campo","Tamanduá.","-50.129167","-26.908611","-50.129167","-26.908611",NA,"733","733","Terrícola. IFFSC 682. Floresta ombrófila densa. Flor branca..",NA,NA,NA,NA,NA,NA,NA
"27","2021-02-11 17:20:53-03","UFPR","UPCB","73355","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Mancinelli, W.S.","2011","02","15","Verdi, M.","3497","2010","01","30","Brasil","Santa Catarina","Treviso","Nova Brasília.","-49.498611","-28.443611","-49.498611","-28.443611",NA,"555","555","Epífita. IFFSC 74. Floresta ombrófila densa. Flor amarela..",NA,NA,NA,NA,NA,NA,NA
"28","2021-02-11 17:20:53-03","UFPR","UPCB","90003","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","Santos, T.F.","2017",NA,NA,"Santos, T.F. | Cardoso, A.","266","2017","02","22","Brasil","Paraná","Tijucas do Sul","Vossoroca","-49.1988983154297","-25.9281005859375",NA,NA,"25228",NA,NA,NA,"auto",NA,"UPCB0028286","UPCB0028286",NA,NA,NA
"29","2021-02-04 10:29:36-03","UFRPE","HST","6856","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay",NA,NA,NA,NA,"L.P.Félix; et L.H.C.Andrade","s.n.","1995","07",NA,"Brasil","Pernambuco","Bonito","Reserva Biológica","-35.7285995483398","-8.47027969360352",NA,NA,"20932",NA,NA,"Humícola; folhas com nervura superior prateadas e superfície verde escuro; flores alvas com mancha castanha nas sépalas e petalas.","auto",NA,"HST006856",NA,NA,NA,NA
"30","2020-09-02 16:34:31-03","Cenargen","CEN","71803","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","L. B. Bianchetti","2006","03",NA,"Ernestino de S. Gomes Guarino","973","2006","02","10","Brasil","SC","CAPÃO ALTO","Fragmento de FOM, à aproximadamente 3 km da sede do município de C. Alto, acesso por estrada vicinal à esquerda.","-50.5119018554688","-27.9368991851807",NA,NA,"41668","1000","1000","Políneas amarelo.","auto",NA,"CEN00071803","CEN00071803",NA,"Exsicatas","2"
"31","2019-12-09 17:30:34-03","UFPR","EFC","13995","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Miller, D.Z.","2015","04","08","Miller, D.Z.; Ribeiro, C.L.","94",NA,NA,NA,"Brasil","Santa Catarina","Monte Castelo","BR 116 Km 108+ 900 m - Serra de Monte Castelo","-50.3404","-26.756","-50,3404","-26,756",NA,"1132","1132","Erva 40 cm alt., flores alaranjadas.",NA,NA,"EFC013995",NA,NA,NA,NA
"32","2019-12-09 17:30:34-03","UFPR","EFC","13740","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Vieira, R.S.","2015","04","02","Vieira, R.S.","691","2015","04","02","Brasil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire - trilha para o morro Taipabuçú","-48.8334","-25.2369","-48.8334","-25.2369",NA,"1530","1530","Herbácea com 30 cm, na encosta do morro. Com flores alaranjadas.",NA,NA,"EFC013740",NA,NA,NA,NA
"33","2019-10-07 09:19:59-03","UEFS","HUEFS","117364","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Asparagales","Orchidaceae","Erythrodes","commelinoides","Erythrodes commelinoides","(Barb.Rodr.) Ames",NA,NA,NA,NA,"Hatschbach, G.","52804","1989","03","21","Brasil","Paraná","Mandirituba","Barranco.","-49.326099395752","-25.7789001464844",NA,NA,"20385",NA,NA,NA,"auto",NA,"HUEFS0117364","HUEFS0117364",NA,NA,NA
"34","2019-11-01 15:15:23-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Orchidaceae","Erythrodes","commelinoides","Erythrodes commelinoides","(Barb. Rodr.) Ames","Menini, LN","2005",NA,NA,"Hatschbach, G; Silva, JM","52804","1989","03","21","Brasil","Paraná ","Mandirituba","Barranco","-49.326099395752","-25.7789001464844",NA,NA,"20385",NA,NA,"Flor amarelo-ocre, labelo amarelo mais claro; Encosta de pequeno morro, junto a blocos de rochas no interior da mata","auto","Southern America","UB0018265","UB0018265",NA,NA,NA
"35","2020-08-20 14:54:42-03","UFSC","FLOR","48811","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Bianchetti, L.B.","2006","03",NA,"Guarino, E.S.G.; et alii","973","2006","02","10","Brasil","Santa Catarina","Capão Alto","Fragmento de FOM, à aproximadamente 3 km da sede do município de C. Alto, acesso por estrada vicinal à esquerda.","-50.524722","-27.947222","50º31'29''W","27º56'50''S",NA,"1000","1000","erva terrestre, flor branca. Políneas amarelo. Frequência Comum",NA,NA,"FLOR0048811",NA,NA,NA,NA
"36","2017-09-11 17:12:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Physurus","commelinoides","Physurus commelinoides","Barb.Rodr.",NA,NA,NA,NA,"Regnell, AF","ser. III.2027",NA,NA,NA,"Brazil","Minas Gerais","Caldas","in eadem prov. loco haud indicato","-46.3861","-21.9236",NA,NA,"25710",NA,NA,"Floret Februario-Aprili","auto","Southern America",NA,"P03P4N0054",NA,NA,NA
"37","2017-09-11 17:12:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Physurus","commelinoides","Physurus commelinoides","Barb.Rodr.",NA,NA,NA,NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Caldas","montis Pico la Pedra Branca prope Caldas","-46.3861","-21.9236",NA,NA,"25710",NA,NA,"Floret Februario-Aprili; in humo locis umbrosis ad cacumen; HABITAT: in humo locis umbrosis ad cacumen","auto","Southern America",NA,"P03P4N0054",NA,NA,NA
"38","2021-02-08 12:52:10-03","UFRGS","ICN","140418","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","Waechter, JL",NA,NA,NA,"Inácio, CD","4","2004","05","29","Brasil","RS","Derrubadas","Parque Estadual do Turvo","-53.8608016967773","-27.2646999359131",NA,NA,"18158","440","440","Erva ereta.; Interior de floresta, solo argiloso.","auto","América do Sul","ICN00039170",NA,NA,NA,NA
"39","2021-02-08 12:52:10-03","UFRGS","ICN","140414","S","Plantae","Monocotyledon",NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb. Rodr.) Garay","Waechter, JL",NA,NA,NA,"Inácio, CD","60","2005","03","11","Brasil","RS","Derrubadas","Parque Estadual do Turvo","-53.8608016967773","-27.2646999359131",NA,NA,"18158","440","440","Erva; Interior de floresta, solo argiloso.","auto","América do Sul","ICN00039169",NA,NA,NA,NA
"40","2019-11-21 10:12:52-03","IBt","SP","5451","S","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Mamede, MCH","2011","03","07","Zikán","s.n.","1921","04","06","Brasil","Minas Gerais","Passa Quatro","Sul de Minas","-44.9667015075684","-22.3903007507324",NA,NA,"17293",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:12:52-03","IBt","SP","388272","S","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay","Engels, ME","2014",NA,NA,"Hatschbach, G; Silva, JM","52804","1989","03","21","Brasil","Paraná","Mandirituba","Barranco","-49.326099395752","-25.7789001464844",NA,NA,"20385",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:12:52-03","IBt","SP","68354","S","Plantae",NA,NA,NA,"Orchidaceae","Aspidogyne","commelinoides","Aspidogyne commelinoides","(Barb.Rodr.) Garay",NA,NA,NA,NA,"Bockermann, W","54","1951","03","06","Brasil","Rio de Janeiro","Itatiaia","Serra do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"19648","1500","1500",NA,"auto",NA,NA,NA,NA,NA,NA
