"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"11","2015-09-04 06:05:10-03","MNHN","RECOLNAT_MNHN_P","P02410317","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Brésil. Province. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb",". s.d. Reçu le 10 janvier 1875 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410317' target='other'> <mi>dwc_moreinfo</mi></a>","P02410317","P02410317_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,"4055",NA,NA
"12","2015-09-04 06:05:10-03","MNHN","RECOLNAT_MNHN_P","P02410318","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Glaziou, A.",NA,"1870","1",NA,"Brasil","Rio de Janeiro","Brésil. Versant de Copacabana an Morro de S. João. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410318' target='other'> <mi>dwc_moreinfo</mi></a>","P02410318","P02410318_01","Nakajima","26",NA,NA,NA,NA,NA,NA,NA,"4055",NA,NA
"13","2015-09-04 06:27:44-03","MNHN","RECOLNAT_MNHN_P","P02807630","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Guillemin",NA,"1839","3",NA,"Brasil",NA,"Brésil Méridional. M. Babylonia. Brasil, América do Sul",NA,NA,"hb",". . Cat. n. 716 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02807630' target='other'> <mi>dwc_moreinfo</mi></a>","P02807630","P02807630_01",NA,"1",NA,NA,NA,NA,NA,NA,NA,"716",NA,NA
"14","2015-09-04 09:30:49-03","MNHN","RECOLNAT_MNHN_P","P04374466","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Copacabana, au Morro de S. João. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","hb","Plantae Brasiliae centralis a Glaziou lectae. Dec - Jan. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04374466' target='other'> <mi>dwc_moreinfo</mi></a>","P04374466","P04374466_01","Nakajima",NA,"Rio de Janeiro",NA,NA,"57442","auto",NA,NA,"4055",NA,NA
"15","2015-09-04 06:05:10-03","MNHN","RECOLNAT_MNHN_P","P02410309","PreservedSpecimen",NA,NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Riedel",NA,"1832","2",NA,"Brasil","Rio de Janeiro","Corcovado et alibi pr. R. Jan. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02410309' target='other'> <mi>dwc_moreinfo</mi></a>","P02410309","P02410309_01","Nakajima","1","Rio de Janeiro",NA,NA,"57442","auto",NA,NA,"210",NA,NA
"16","2020-06-15 15:28:50-03","UNESP-RC","HRCB","20315","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M. King & H. Rob.",NA,"Leitão-Filho",NA,NA,NA,NA,"Brasil","São Paulo","Núcleo Caverna do Diabo","-48.392083","-24.646639",NA,NA,NA,NA,"R. Esteves",NA,"Eldorado Paulista",NA,NA,NA,NA,"48º23'31.5W","24º38'47.9S",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2725925","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M. King & H. Rob.","Isotype","L. Riedel","s.n.",NA,NA,"South America - Neotropics","Brazil","Distrito Federal","Brasilia.",NA,NA,NA,NA,"US00146317","US00146317_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"18","2020-09-12 05:00:02-03","US","US","3119018","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M. King & H. Rob.",NA,"D. Araujo & T. C. Plowman","6665",NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro","Mun. de Cabo Frio, Búzios, próx. à Brava",NA,NA,NA,NA,"US01663951","US01663951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"19","2020-09-12 05:00:02-03","US","US","2027514","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M. King & H. Rob.",NA,"A. C. Brade, -- Altamiro & -. Apparicio","18438","1946","5","South America - Neotropics","Brazil","Espírito Santo","Municipio de Itaguassú - Jatiboca",NA,NA,NA,NA,"US01663950","US01663950_01",NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"20","2020-09-02 16:21:16-03","Cenargen","CEN","66180","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Aécio Amaral-Santos","2637","2005","08",NA,"Brasil","SC","Estrada que liga a vila Petry - Balsa, Anita - Pinhal da Serra.","-51.1300010681152","-27.6891994476318","Exsicatas","Área de influência indireta.","CEN00066180","CEN00066180","J. B. Bringel","31","ANITA GARIBALDI","2005","08","23768","auto",NA,NA,NA,NA,"4"
"21","2019-05-06 11:53:24-03","UFU","HUFU","75793","S","Plantae",NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Santos, A.A.; et al.","2637","2005","08",NA,"Brasil","Santa Catarina","Estrada que liga a vila Petry - balsa, Anita Pinhal - da Serra.","-51.1300010681152","-27.6891994476318",NA,"Arvoreta com cerca de 3,5m de altura. Flor branca.; Mata Ombrófila Mista. Relevo plano no local. Solo argiloso.","HUFU00073858","HUFU00073858","Bringel Jr, J.B.A.","31","Anita Garibaldi","2005","08","23768","auto",NA,NA,NA,NA,NA
"22","2019-11-21 10:00:45-03","IBt","SP","278659","S","Plantae",NA,NA,"Asteraceae","Idiothamnus","pseudorgyalis","Idiothamnus pseudorgyalis","R.M.King & H.Rob.",NA,"Leitão Filho, HF; Rodrigues, RR; Rozza, A; Sposito, T; Santos, K; Vieira, AP","33132","1995","02",NA,"Brasil","São Paulo","Parque Estadual de Jacupiranga, Eldorado Paulista, Núcleo Caverna do Diabo, em trilha de cachoeira","-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"Esteves, RL","09","Eldorado","2000","03","38804","auto",NA,NA,NA,NA,NA
