"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","coordinatePrecision","geoFlag","relatedCatalogItem"
"11","2019-10-07 09:34:10-03","UEFS","HUEFS","111841","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","K.F.Rodrigues","Santos, A.K.A.","862","2006","08","18",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Próximo ao riacho após a mata do Campo do Queiroz, no caminho para o Pico das Almas.(Margem esquerda do riacho, em área sombreada.)","-41.956667","-13.524167","1556","1556",NA,NA,"HUEFS0111841","HUEFS0111841","2011","01","41W57'24''","13S31'27''","Rosanae",NA,NA,NA,NA,NA
"12","2019-10-07 09:34:10-03","UEFS","HUEFS","113499","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins",NA,"Santos, A.K.A.","887","2006","10","13",NA,"Brasil","Bahia","Abaíra","Catolés trilha para o Guarda Mor.","-41.858056","-13.303056","1247","1247",NA,NA,"HUEFS0113499","HUEFS0113499",NA,NA,"41W51'29''","13S18'11''","Rosanae",NA,NA,NA,NA,NA
"13","2019-10-07 09:34:10-03","UEFS","HUEFS","28714","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","A.K.A.Santos","Hind, D.J.N.","PCD4077","1996","11","05",NA,"Brasil","Bahia","Piatã","Pai Inacio, três morros.","-41.886389","-13.060556","1300","1300",NA,"Cerrado arbóreo aberto, substrato gramíneo-lenhoso com árvores esparsas ou em aglomerados arbóresos. Solo de textura arenosa.","HUEFS0028714","HUEFS0028714","2002","05","41W53'11''","13S3'38''","Rosanae",NA,NA,NA,NA,NA
"14","2019-10-07 09:34:10-03","UEFS","HUEFS","72746","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins",NA,"Nunes, T.S.","78A","1999","09","19",NA,"Brasil","Bahia","Abaíra","Distrito de Catolés: Água Limpa, próximo ao córrego.","-41.8775","-13.291667","1180","1180",NA,"Campo rupestre, área degradada.","HUEFS0072746","HUEFS0072746 HUEFS0072746_01",NA,NA,"41W52'39''","13S17'30''","Rosanae",NA,NA,NA,NA,NA
"15","2019-10-07 09:34:10-03","UEFS","HUEFS","75460","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","A.K.A.Santos","Correia, C.","299","2003","07","23",NA,"Brasil","Bahia","Abaíra","Catolés - Guarda Mó.","-41.85","-13.316667","1354","1354",NA,NA,"HUEFS0075460","HUEFS0075460","2004","01","41W51'","13S19'","Rosanae",NA,NA,NA,NA,NA
"16","2019-10-07 09:34:10-03","UEFS","HUEFS","14526","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","A.K.A.Santos","Ganev, W.","1939","1993","07","24",NA,"Brasil","Bahia","Rio do Pires",NA,"-42.483333","-13.9","1500","1500",NA,NA,"HUEFS0014526","HUEFS0014526","2002","05","42W29'","13S54'","Rosanae",NA,NA,NA,NA,NA
"17","2019-10-07 09:34:10-03","UEFS","HUEFS","46393","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B.Martins","A.K.A.Santos","Conceição, A.S.","340","1999","07","11",NA,"Brasil","Bahia","Abaíra","Catolés, Campo do Tijuquinho, próximo ao córrego.","-41.6636009216309","-13.2496995925903",NA,NA,NA,"Campo rupestre, solo argiloso.","HUEFS0046393","HUEFS0046393","2002","12",NA,NA,"Rosanae",NA,NA,"26531","auto",NA
"18","2020-07-23 12:12:40-03","CEPLAC","CEPEC","16865","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii",NA,"A. B. Martins","S. A. Mori","12528","1979","07","24",NA,"Brasil","Bahia","RIO DE CONTAS","Pico das Almas, a 18Km ao SNW da cidade.","-41.95","-13.55",NA,NA,NA,NA,NA,NA,NA,NA,"41W57'0","13S33'0",NA,NA,"Holótipo",NA,NA,"30/12/1984"
"19","2020-07-23 12:12:40-03","CEPLAC","CEPEC","74724","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii",NA,"J. F. A. Baumgratz","N. Hind","4077","1998","11","07",NA,"Brasil","Bahia","PIATÃ","Pai Inácio. Três Morros.","-41.886389","-13.060833",NA,NA,NA,NA,NA,NA,NA,NA,"41W53'11","13S3'39",NA,NA,NA,NA,NA,"30/12/1998"
"20","2021-02-08 12:43:33-03","UFRGS","ICN","196543","S","Plantae","Dicotyledon",NA,"Melastomataceae","Cambessedesia","hermogenesii","Cambessedesia hermogenesii","A.B. Martins","Rodrigues, KF","Hind, DJN; et al.","4077","1996","11","05","América do Sul","Brasil","BA","Piatã","Chapada Diamantina: Pai Inácio, Três Morros","-41.883333","-13.05","1300","1300",NA,"ALCB: 041469; Arbusto: de aproximadamente 90 cm. Folhas membranáceas a papiráceas. Frutos maduros castanhos. Ocasional; Cerrado arbóreo aberto: Substrato gramíneo-lenhoso, com árvores esparsas ou aglomerados arbóreos. Arenoso",NA,NA,"2011","01","-41.883333","-13.05",NA,NA,NA,NA,NA,NA
