"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","1921341","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. Sobral","W. Hoehne","1964","10","24","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY01921341","NY01921341_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2271724' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","5868","Guanabara, Km. 5, Estrada Rio Santos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1017345","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. L. Kawasaki","L. Riedel",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","-43.0406","-22.6531",NA,NA,"NY01017345","NY01017345_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206380' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","s.n.","Mandiocca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1017346","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"L. Riedel","1833","07",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY01017346","NY01017346_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206381' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","1031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1017351","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G. G. Hatschbach","G. G. Hatschbach","1977","08","10","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY01017351","NY01017351_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206389' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","40164","Rio S. Joãozinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1017350","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G. M. Barroso","Pessoal do Horto Florestal","1929","09",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY01017350","NY01017350_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1206388' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","s.n.","Guanabara, Gávea, mata do Horto Florestal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","558056","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G. G. Hatschbach","G. G. Hatschbach","1965","08","09","Brazil","Paraná","Paranaguá","-48.365093","-25.575152",NA,NA,"NY00558056","NY00558056_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479634' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","12745","Pontal do Sul","3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","25023","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","Castro, E.R.","Castro, E.R.","2003","12","09","Brasil","São Paulo","Cananéia",NA,NA,"9999","9999","BOTU025023",NA,NA,NA,NA,NA,NA,NA,"310",NA,NA,NA,"2005","02","02",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 11:31:38-03","UFRJ","RFA","28351","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. C. Souza","H. M. Dias; A. de C. Borges","2003","04","06","Brasil","Rio de Janeiro","Rio de Janeiro","-43.373056","-23.029444","43º22'23''W","23º1'46''S","RFA53503",NA,NA,NA,NA,"Arbutos de mais ou menos 1,6m de altura; folhas pequenas opostas com estípulas; ramos novos avermelhados; heliófilo; frequente na comunidade; estéril. Coletada como dados estruturais para monografia de bacharelado do coletor principal.",NA,NA,"20","Restinga da Marambaia. As margens da estrada que leva à linha 2, na área do Exército.",NA,NA,"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 11:31:38-03","UFRJ","RFA","39502","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"R. Finotti; J. Caruzo",NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","-42.909444","-22.536944","42º54'34''W","22º32'13''S","RFA24457",NA,NA,NA,NA,"Árvore de 8 metros de altura e PAP de 29,8cm",NA,NA,"41","Interior de fragmento florestal localizado na propriedade do sr. Renato Cozzolino","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-13 09:20:23-03","UFRJ","RFA","8255","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G.G. Hatschbach","G.G. Hatschbach","1963","09","21","Brasil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,"RFA27452",NA,NA,NA,NA,"Árvore de flor alva",NA,NA,"10243","Localidade de Guaratuba",NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:31:38-03","UFRJ","RFA","22950","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,NA,"1986","10","18","Brasil","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"RFA18816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA
"22","2020-06-29 11:31:37-03","UFRJ","RFA","22948","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,NA,"1987","09","30","Brasil","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"RFA46542",NA,NA,NA,NA,"N°35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:31:37-03","UFRJ","RFA","22949","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,NA,"1987","09","30","Brasil","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"RFA18813",NA,NA,NA,NA,"N° 40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:31:37-03","UFRJ","RFA","21427","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G. M. Barroso","P. Nunes","1979","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA17719",NA,NA,NA,NA,"Arbusto 1,5 m",NA,NA,NA,"Barra da Tijuca",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:31:38-03","UFRJ","RFA","8833","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G. M. Barroso","P. Occhioni","1969","03","00","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA27757",NA,NA,NA,NA,"Arbusto",NA,NA,"3755","Restinga da Tijuca",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"26","2020-06-29 11:31:38-03","UFRJ","RFA","5053","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. Sobral","E. Pereira; P. Occhioni 1973","1958","09","23","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA25450",NA,NA,NA,NA,"Arbusto de flores alvas",NA,NA,"4308","Restinga de Jacarepaguá",NA,NA,"2001",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:31:37-03","UFRJ","RFA","15541","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. Sobral","P. Occhioni","1974","10","10","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA46539",NA,NA,NA,NA,"Arbusto de 3 m de altura",NA,NA,"6369","Serra dos Órgãos","800","800","2001",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"28","2020-11-13 09:20:23-03","UFRJ","RFA","9087","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","D. Legrand","G.G. Hatschbach","1965","11","01","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,"RFA27892",NA,NA,NA,NA,"Arvoreta, flor alvacente Habitat: Mata pluvial da encosta de morro",NA,NA,"13069","Caiobá, Morro do Boi",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"29","2020-11-13 09:20:23-03","UFRJ","RFA","- Carpo 22949","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,NA,"1987","09","30","Brasil","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"RFA-Carpo43220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA
"30","2020-06-29 11:31:38-03","UFRJ","RFA","23402","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,NA,"1987","09","30","Brasil","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"RFA19061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA
"31","2020-11-13 09:20:23-03","UFRJ","RFA","21673","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","G.M. Barroso","E.M. Occhioni; A.A.M. Barroso; C.P. Bove 15","1986","08","28","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA17886",NA,NA,NA,NA,"Arvoreta de ca. 2,5 m de altura. Flores brancas com botão ramificado desde a base",NA,NA,"545","Ilha da Marambaia - Praia Grande",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"32","2020-11-13 09:20:23-03","UFRJ","RFA","21942","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"E.M. Occhioni; C.M. Rizzini (401); A.A.M. de Barros (182)","1987","11","20","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA18143",NA,NA,NA,NA,"Arbusto ca. 2,5 - 3 m de altura. Flores esverdeadas, início de frutificação",NA,NA,"586","Ilha da Marambaia, Praia Grande",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"33","2020-06-29 11:31:38-03","UFRJ","RFA","5562","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"P. Occhioni","1958","07","01","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA25778",NA,NA,NA,NA,"Arbusto, flores alvas",NA,NA,"1677","Restinga de Jacarepaguá",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"34","2020-06-29 11:31:37-03","UFRJ","RFA","15532","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. Sobral","P. Occhioni","1974","10","04","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA46537",NA,NA,NA,NA,"Arbusto, flor esverdeada",NA,NA,"6314","Serra dos Órgãos, Dedode Deus","800","800","2001",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"35","2020-06-29 11:31:37-03","UFRJ","RFA","15317","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","M. Sobral","P. Occhioni","1974","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"RFA46541",NA,NA,NA,NA,"Arbusto de flor creme",NA,NA,"6145","Serra dos Órgãos, próximo a Guapimirim",NA,NA,"2001",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"36","2020-10-27 11:22:00-03","PUCPR","HUCP","22925","S","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring. ex Mart.","Bonaldi, R","Bonaldi, R","2012","11","26","Brasil","Paraná","Pontal do Paraná","-48.511100769043","-25.6735992431641",NA,NA,"HUCP00015261","HUCP00015261",NA,NA,NA,NA,"Eudicotiledonea",NA,"595",NA,NA,NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:21:18-03","UFBA","ALCB","68812","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","Sobral, M","Hatschbach, G; Barbosa, E; Lorenzi, H","2001","11","28","Brasil","Paraná","Guaraqueçaba","-48.316667","-25.3","-48.316667","-25.3","ALCB058281",NA,"Southern America",NA,NA,"4 m. Flor alva.; próxima do manguezal.","Dicotyledon",NA,"72730","Paruquara",NA,NA,"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:21:18-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.","Sobral, M","Hatschbach, G; Barbosa, E; Lorenzi, H","2001","11","28","Brasil","Paraná","Guaraqueçaba","-48.316667","-25.3","-48.316667","-25.3",NA,NA,"Southern America",NA,NA,"4 m. Flor alva.; próxima do manguezal.","Dicotyledon",NA,"72730","Paruquara",NA,NA,"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-08 21:32:50-03","UFBA","ALCB","11757","PreservedSpecimen","Plantae","Myrtaceae","Stenocalyx","sulcatus","Stenocalyx sulcatus latifolius","(Spring ex Mart.) O. Berg",NA,"s.col.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"ALCB015448","ALCB015448","Southern America",NA,NA,NA,"Dicotyledon",NA,"s/n","Das matas altas do sul e leste do Brasil",NA,NA,NA,NA,NA,NA,NA,"latifolius",NA,NA,NA,NA,NA
"40","2021-02-08 21:32:50-03","UFBA","ALCB","11758","PreservedSpecimen","Plantae","Myrtaceae","Stenocalyx","sulcatus","Stenocalyx sulcatus latifolius","(Spring ex Mart.) O. Berg",NA,"s.col.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"ALCB015449","ALCB015449","Southern America",NA,NA,NA,"Dicotyledon",NA,"s/n","Das matas da Serra dos Órgãos e de outros lugares do sul e oriente do Brasil",NA,NA,NA,NA,NA,NA,NA,"latifolius",NA,NA,NA,NA,NA
"41","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515571","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"Hatschbach GG","1959","10","30","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2515571","NL-L2515571","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Parana, Paranagua, Entre Caiobá e Matinhos.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"42","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515572","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"Hatschbach GG; Guimarães OA","1966","09","20","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2515572","NL-L2515572","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Paraná, Quatro Barras, Morro Mãe Catira.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"43","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515573","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"Duarte AP","1959","09","14","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2515573","NL-L2515573","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Distrito Federal, Restinga de Jacarepaguá.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"44","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U 0007940","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"Beyrich",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NL-U0007940","NL-U0007940","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","syntype","165199 B",NA,NA
"45","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U.1442594","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"Hatschbach GG","1962","09","29","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1442594","NL-U1442594","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442594 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Est. Parana. Loc. Serra da Prata. Mun. Paranagua.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"46","2020-02-08 10:06:31-03","NBC","NL-BOTANY","WAG.1115689","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"Hatschbach GG","1977","08","10","Brazil",NA,NA,NA,NA,NA,NA,"NL-WAG1115689","NL-WAG1115689","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1115689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Rio S. Joãozinho (mun. Antonina) Paraná.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"47","2020-02-08 10:06:31-03","NBC","NL-BOTANY","WAG.1115690","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,"Kummrow R","1975","11","12","Brazil",NA,NA,NA,NA,NA,NA,"NL-WAG1115690","NL-WAG1115690","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1115690 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Ilha do Malha (mun. Morretes) Paraná.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"48","2020-02-08 10:06:31-03","NBC","NL-BOTANY","L.2515574","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","sulcata","Eugenia sulcata ligustrina",NA,NA,"Riedel L",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NL-L2515574","NL-L2515574","Southern America",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2515574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Myrtales",NA,"Rio Janeiro.",NA,NA,NA,NA,NA,NA,NA,"ligustrina","Magnoliopsidae",NA,NA,NA,NA
