"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus","class","sex"
"11","2020-10-14 10:04:10-03","FURB","FURB","31168","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, WS","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2515","2010","05","29",NA,"Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","770","770",NA,"Epífita IFFSC e1025b (Acima de 4m) - sobre forófito 4 Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: epífita; flor amarela clara","FURB35502","FURB35502",NA,NA,"-49.1400000","-26.2800000",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-10-14 10:04:10-03","FURB","FURB","31329","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, WS","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1818","2010","03","30",NA,"Brasil","Santa Catarina","Biguaçu","Amâncio.","-48.78","-27.36","440","440",NA,"Epífita IFFSC e429b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor amarelo claro","FURB35500","FURB35500","2013","11","-48.7800000","-27.3600000","14",NA,NA,NA,NA,NA,NA,NA
"13","2020-10-14 10:04:10-03","FURB","FURB","31353","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Mancinelli, WS; Engels, ME; Smidt, EC","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1868","2010","04","06",NA,"Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27","569","569",NA,"Epífita IFFSC e466b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; flor lilás claro","FURB35503","FURB35503","2012","04","-49.2300000","-27.2700000",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-10-14 10:04:10-03","FURB","FURB","41901","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Siqueira, CE","Korte, A.; Kniess, A.","7256","2010","05","21",NA,"Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí.","-49.2308334","-27.09",NA,NA,NA,NA,"FURB35508","FURB35508","2011","10","-49.2308334","-27.0900000","11",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:38:35-03","MBM","MBM","49739","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.) Ames","Pabst, G.","Leinig, R.","s.n.","1965","04","17","Southern America","Brazil","Paraná","Guaratuba","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM049739","MBM049739",NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"16","2020-12-21 16:38:35-03","MBM","MBM","15760","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.) Ames","Pabst, G.","Hatschbach, G.","24037","1970","03","17","Southern America","Brazil","Paraná","Morretes","Colônia Floresta","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM015760","MBM015760",NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA
"17","2020-12-21 16:38:35-03","MBM","MBM","397424","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.) Ames","Ariati, V.","Ariati, V.","835","2013","01","14","Southern America","Brazil","Santa Catarina","Joinville","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2","-48.8456001281738","-26.3043994903564",NA,NA,NA,"Flor rosa transparente, labelo e coluna amarelos, borda do labelo rosa, 2 linhas de flores. Cultivada até florir.; Floresta Ombrófila Densa.","MBM397424","MBM397424",NA,NA,NA,NA,NA,"37150","auto",NA,NA,NA,NA,NA
"18","2020-12-21 16:38:35-03","MBM","MBM","49738","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.) Ames","Pabst, G.","Hatschbach, G.","3237","1953","10","15","Southern America","Brazil","Paraná","Paranaguá","Rio Perequê","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"MBM049738","MBM049738",NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"19","2020-12-21 16:38:35-03","MBM","MBM","397421","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.) Ames","Ariati, V.","Ariati, V.","855","2013","01","14","Southern America","Brazil","Santa Catarina","Joinville","Resgate de flora LT 230 kv Joinville Norte - Curitiba C2","-48.8456001281738","-26.3043994903564",NA,NA,NA,"Flor rosa transparente, labelo coluna amarela, borda do labelo rosa, 2 linhas de flores.; Floresta Ombrófila Densa. Cultivada até florir.","MBM397421",NA,NA,NA,NA,NA,NA,"37150","auto",NA,NA,NA,NA,NA
"20","2020-08-24 09:45:51-03","MNHN","RECOLNAT_MNHN_P","P00492952","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Dunsterville","Steyermark, J.A.",NA,"1965","5","12",NA,"Venezuela",NA,NA,"Estado Bolivar. Cumbre de la parte norte de la sección sur: a lo largo del Río Churún al pie de Second Wall de arenisca, desde el campamento norte, 5 km hacia el noreste",NA,NA,"1660",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00492952' target='other'> <mi>dwc_moreinfo</mi></a>","P00492952","P00492952_01",NA,NA,NA,NA,NA,NA,NA,"93778",NA,NA,NA,NA
"21","2021-02-11 17:20:58-03","UFPR","UPCB","83297","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Toscano de Brito, A.L.V.","Toscano de Brito, A.L.V.","3346","2015","03","16",NA,"Brasil",NA,NA,"Sem localidade.",NA,NA,NA,NA,NA,"Flores róseo-alvacentas, translúcidas; labelo pardacento, amarelado; antera branca.. Cultivada por Maria R. Cabral, fl. cult. 16/03/2015.",NA,NA,"2015","07",NA,NA,"28",NA,NA,NA,NA,NA,NA,NA
"22","2021-02-11 17:20:58-03","UFPR","UPCB","86951","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","Toscano de Brito, A.L.V.","Toscano de Brito, A.L.V.","3556","2016","07","11",NA,"Brasil","Santa Catarina","Pomerode",NA,"-49.1768989562988","-26.7406005859375",NA,NA,NA,"Coletada por M. Klingelfus s.n., em novembro de 2011. Amostra conservada em solução de glicerina com álcool..",NA,NA,"2016","09",NA,NA,"15","14075","auto",NA,NA,NA,NA,NA
"23","2021-02-11 17:20:58-03","UFPR","UPCB","83136","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","Toscano de Brito, A.L.V.","Toscano de Brito, A.L.V.","2912","2011","10","07",NA,"Brasil","Santa Catarina","Pomerode",NA,"-49.1768989562988","-26.7406005859375",NA,NA,NA,"Coletada e cultivada por M.L. Klingelfus s.n., fl. cult. 07/10/2011.",NA,NA,"2015","05",NA,NA,"20","14075","auto",NA,NA,NA,NA,NA
"24","2012-10-29 10:00:00-02","MO","MOBOT","100536916","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Alexander Hirtz","Hirtz 7058","1999","10","22","South America","Ecuador","Morona-Santiago",NA,"Road Limón-R'io Zamora, along Río Yanguza.",NA,NA,"1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"25","2012-10-29 10:04:00-02","MO","MOBOT","100536920","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Carl A. Luer|Jane Luer|P. Jesup|A. Jesup|Alexander Hirtz|Santiago Ortega","Luer 13941","1989","1","16","South America","Ecuador","Morona-Santiago",NA,"Epiphytic in forest along the new road west of Macas toward Guamote.",NA,NA,"1900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"26","2012-10-29 10:16:00-02","MO","MOBOT","100536932","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Carl A. Luer|Jane Luer|P. Jesup|A. Jesup|Alexander Hirtz|Santiago Ortega","Luer 13942","1989","1","16","South America","Ecuador","Morona-Santiago",NA,"Epiphytic in forest along the new road west of Macas toward Guamote.",NA,NA,"1900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"27","2019-12-16 15:30:00-03","MO","MOBOT","101169467","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","fide Soto Arenas et al.","H. Wagener","Wagener s.n.",NA,NA,NA,"South America","Venezuela","Distrito Federal",NA,"Jaji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Holotype",NA,NA
"28","2012-04-13 08:57:00-03","MO","MOBOT","2481936","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Roberto M. Klein|A. Bresolin","Klein 9198","1971","4","30","South America","Brazil","Santa Catarina",NA,"Pântano do Sul",NA,NA,"300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2012-10-25 14:45:00-02","MO","MOBOT","2756442","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","Fide: Luer","Carl A. Luer","Luer 13049","1988","4","6","South America","Colombia","Antioquia","Santo Domingo",NA,NA,NA,"2000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"30","2009-11-14 07:55:00-02","MO","MOBOT","2825181","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","C.A. Luer","Julian A. Steyermark|Paul E. Berry|Franciso Delascio C.","Steyermark 130136","1984","2","24","South America","Venezuela","Amazonas",NA,"Departamento Río Negro: piedra ignea, Cerro Aratitlyope, 70 km al SSW de Ocamo, con riachuelos afluente al río Maniopitare.","-65.56666","2.16666","990.00000000","1670.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2012-04-13 16:48:00-03","MO","MOBOT","2825767","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","C.A. Luer","Julian A. Steyermark|Paul E. Berry|Franciso Delascio C.","Steyermark 130097","1984","2","24","South America","Venezuela","Amazonas",NA,"Departamento Río Negro: Poedra ígnea, Cerro Aratitiyope, 70 km al SSW de Ocamo, con riachuelos afluente al río Manipitare.","-65.5666667","2.1666667","990.00000000","1670.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"32","2017-11-03 08:52:00-02","MO","MOBOT","2825842","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Julian A. Steyermark|Bassett Maguire|Charles Brewer-Carías|Victor Carreño E.","Steyermark 123974","1981","1","11","South America","Venezuela","Bolívar","Heres","Cerro Marutani. Distrito Heres: cumbre, afloramiento de piedra arenisca en la altiplanicie a lo largo del río Carla, afluente de las cabeceras del río Pargua.","-63.0166667","3.7","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"33","2009-07-17 17:34:00-03","MO","MOBOT","2825905","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","Pabst","Per Dusén","Dusén 16323","1915","1","11","South America","Brazil","Paraná",NA,"Tacarehy in silva primaeva set lone illuminata Strunesos arborum reg. lit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-02-20 12:55:00-02","MO","MOBOT","2826030","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","G. Carnevali","Ángel Fernández|Gerardo Aymard","Fernández 4780","1988","10",NA,"South America","Venezuela","Bolívar",NA,"Municipio Raul Leoni Macizo Guaiquinima, Cerro Camarón, parte No. Arbustal en areniscas del Grupo Roraima.","-64.11666","5.65","650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2008-05-27 22:02:00-03","MO","MOBOT","658787","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"D. D'Alessandro","D'Alessandro 102","1981","9","23","South America","Ecuador","Loja",NA,"Vilcabamba.","-79.25","-4.25","2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","659438","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Stig Dalström","Dalström 497","1983","2","17","South America","Ecuador","Loja",NA,"San Pedro-Vilcabamba.","-79.25","-4.25","2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2008-05-27 22:02:00-03","MO","MOBOT","661236","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Stig Dalström","Dalström 518","1983","2","17","South America","Ecuador","Loja",NA,"San Pedro-Vilcabamba.","-79.25","-4.25","2200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2008-05-27 22:02:00-03","MO","MOBOT","663482","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"D. D'Alessandro","D'Alessandro 140","1982","2","13","South America","Ecuador","Loja",NA,"Vilcabamba.","-79.25","-4.25","2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2012-10-29 10:23:00-02","MO","MOBOT","664118","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"Alexander Hirtz|et al.","Hirtz 4133","1989","1","19","South America","Ecuador","Morona-Santiago",NA,NA,NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","664846","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","G.Carnevali & I.Ramirez (FVG 2003)","Ronald L. Liesner","Liesner 17701","1985","2","19","South America","Venezuela","Amazonas",NA,"Atabapo. Slope of Cerro de Marahuaca, Río Yameduaka arriba.","-65.46666","3.63333","1225.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85-5","1",NA,NA,NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","668510","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames","G. Carnevali (MO)","Ronald L. Liesner|Julian A. Steyermark|Bruce K. Holst","Liesner 21148","1986","5","27","South America","Venezuela","Bolívar",NA,"Piar. Amaruay-Tepui. Summit, center of western side. Small savanna surrounded by dwarf forest. Alt. 1030 m. 5º55'N, 62º15'W.","-62.25","5.91666","1030.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86-38","2",NA,NA,NA
"42","2008-05-27 22:02:00-03","MO","MOBOT","669169","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb. f.) Ames",NA,"D. D'Alessandro","D'Alessandro 591","1986","4","16","South America","Ecuador","Zamora-Chinchipe",NA,"Valladolid.","-79.133333","-4.55","1600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","12360",NA,"Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","L. Kollmann//06-04-2000","L. Kollmann; et al","2830","2000","04","06",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Mata baixa. Solo de areia. Epifita na meia sombra. Flores amarronzadas.","MBML012360","MBML012360",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","12361",NA,"Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","L. Kollmann//13-04-2000","L. Kollmann; et al","2833","2000","04","13",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Mata de encosta. Sepalos e petalos transparentes. Labelo amarelado.","MBML012361","MBML012361",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","13763",NA,"Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","L. Kollmann/Nov.2000","L. Kollmann","3262","2000","11","14",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Flores rosadas.","MBML013763","MBML013763",NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","21003",NA,"Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","A. P. Fontana/27-03-2004","A. P. Fontana; et al","564","2003","05","03",NA,"Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167",NA,NA,NA,"Epífita, flores verde limão, labelo amarelado.","MBML021003","MBML021003",NA,NA,"40W28'20","19S54'51",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","24290",NA,"Plantae",NA,NA,"Orchidaceae","Lepanthopsis","floripecten","Lepanthopsis floripecten","(Rchb.f.) Ames","A. P. Fontana/24-03-2005","A. P. Fontana; et al","1198","2005","03","22",NA,"Brasil","Espírito Santo","Santa Teresa","Penha, Propriedade do Tabajará","-40.5625","-19.951667",NA,NA,NA,"Epífita, flores cremes.","MBML024290","MBML024290",NA,NA,"40W33'45","19S57'6",NA,NA,NA,NA,NA,NA,NA,NA
