"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","year","month","day","stateProvince","phylum","order","infraspecificEpithet","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","relationshipType","eventTime","fieldNumber","individualCount"
"11","2016-09-27 03:12:00-03","NY","NYBG","731073","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. Sesmero","42","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731073","Candelaria.","1944","05","22","Misiones","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,"S. D. Knapp","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","669539","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"J. R. Pirani","3427","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669539","Rodovia Marilândia-Rio Bananal; ca. 1km N de Marilândia. Junto á Cerâmica Floresta.","1994","12","06","Espírito Santo","Magnoliophyta","Solanales",NA,"Vell.","-40.5417","-19.4131",NA,"M. H. Nee","Marilândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01101311","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"W. W. Thomas","13718","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796939' target='other'> <mi>dwc_moreinfo</mi></a>","NY01101311","Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.","2004","01","31","Minas Gerais","Magnoliophyta","Solanales",NA,"Vell.","-39.9214","-16.0286",NA,"M. H. Nee","Salto da Divisa","495","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","669558","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"G. G. Hatschbach","15846","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669558","Perola.","1967","01","23","Paraná","Magnoliophyta","Solanales",NA,"Vell.","-53.49","-23.7361","NY00669558_01","S. D. Knapp","Xambrê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01101336","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"W. W. Thomas","13742","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797022' target='other'> <mi>dwc_moreinfo</mi></a>","NY01101336","Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.","2004","01","31","Minas Gerais","Magnoliophyta","Solanales",NA,"Vell.","-39.9214","-16.0286",NA,"M. H. Nee","Salto da Divisa","495","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01806822","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"L.A. Gomes","386","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2221837' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806822","Capela, RVS Mata do Junco.","2012","04","19","Sergipe","Magnoliophyta","Solanales",NA,"Vell.","-37.0633","-10.5361","NY01806822_01","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","669554","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. Pereira","4856","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669554","Jacarepaguá, Boiuna.","1958","12","14","Rio de Janeiro","Magnoliophyta","Solanales",NA,"Vell.",NA,NA,NA,"S. D. Knapp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","669575","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"S. A. Mori","10747","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239802' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669575","Ca. 5km a W de Itamaraju. Folha SE-24 (17-40d).","1978","09","20","Bahia","Magnoliophyta","Solanales",NA,"Vell.","-39.5308","-17.0394",NA,"S. D. Knapp","Itamarajú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00829374","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"A. M. Amorim","4426","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00829374","Camacã: Fazenda Serra Bonita, RPPN SERRA BONITA, 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","2004","12","08","Bahia","Magnoliophyta","Solanales",NA,"Vell.","-39.5653","-15.3917",NA,"S. D. Knapp","Camacan","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-27 02:11:00-03","NY","NYBG","731070","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"J. E. Montes","27363","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=848474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731070","2 de Mayo.","1957","04","22","Misiones","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,"S. D. Knapp","San Pedro","510","510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","731106","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"A. Schinini","33290","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731106","Reserva Natural del Bosque Mbaracayú. Rumbo norte.","1997","12","05","Canindeyú","Magnoliophyta","Solanales",NA,"Vell.",NA,NA,NA,"A. Schinini",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","731076","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"A. Schinini","24980","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731076","Colonia Independencia.","1986","12","20","Guairá","Magnoliophyta","Solanales",NA,"Vell.","-56.22","-25.75","NY00731076_01",NA,NA,"250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","669567","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"L. Riedel","400","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669567","Brasilia","1821",NA,NA,NA,"Magnoliophyta","Solanales",NA,"Vell.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","731126","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","21713","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731126","Compañia Río Negro, N of Vapor Cué.","1990","07","07","Cordillera","Magnoliophyta","Solanales",NA,"Vell.","-56.67","-25.25",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","731085","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","34300","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731085","Estero del Ypoá. Villeta - Puerto Guyrati. 11 km S of Villeta, east of trail to Villa Oliva.","1992","12","16","Central","Magnoliophyta","Solanales",NA,"Vell.","-57.58","-25.6",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","731080","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"A. Krapovickas","41154","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731080","Ea. Santa Rita. Isleta de selva con urunday próxima al río Paraná.","1987","03","05","Corrientes","Magnoliophyta","Solanales",NA,"Vell.","-56.7","-27.5",NA,"S. D. Knapp","Ituzaingó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","669552","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"P. W. Lund","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239805' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669552",NA,NA,NA,NA,"Rio de Janeiro","Magnoliophyta","Solanales",NA,"Vell.",NA,NA,NA,"S. D. Knapp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","731129","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","8801","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731129","Cordillera de Ybytyruzú. Cerro Peró, 1 km W of Destacamento Tororo. Along western slopes.","1988","12","17","Guairá","Magnoliophyta","Solanales",NA,"Vell.","-56.25","-25.92",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","731134","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","12162","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731134","Cordillera de Ybytyruzú. Road Melgarejo - Antena, 5 kms S of Melgarejo.","1989","05","28","Guairá","Magnoliophyta","Solanales",NA,"Vell.","-56.25","-25.92",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-02-01 13:47:00-02","NY","NYBG","731090","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"A. L. Bernardi","18708","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731090","Ad oram silvestrim Isla Alta, Tebicuary.","1978","11","17","Paraguarí","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,"S. D. Knapp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","669561","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"Grupo Pedra do Cavalo","131","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669561","Vale dos Rios, Paraguaçu e Jacuipe. Estaçao da EMBASA. Crescendo à margem do Paraguaçu.","1980","06",NA,"Bahia","Magnoliophyta","Solanales",NA,"Vell.","-39.08","-12.53",NA,NA,"Cachoeira","40","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00722571","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"T. M. Pedersen","14021","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00722571","General Garay","1984","11","19","Guairá","Magnoliophyta","Solanales",NA,"Vell.",NA,NA,NA,"A. Schinini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","669543","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Francisco","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239780' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669543","Fazenda Conquista.","1999","04","06","Paraná","Magnoliophyta","Solanales",NA,"Vell.","-51.3692","-23.3097",NA,"J. R. Stehmann","Rolândia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","731113","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","19284","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731113","Western side of Río Piribebuy basin, 27 km W of Arroyos y Esteros.","1990","02","25","Cordillera","Magnoliophyta","Solanales",NA,"Vell.","-57.3","-25.13",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","731115","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","22207","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731115","Río Piribebuy, 27 km W of Arroyos y Esteros.","1990","07","21","Cordillera","Magnoliophyta","Solanales",NA,"Vell.","-57.3","-25.13",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","731132","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","25750","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731132","Río Piribebuy basin, 17 km W of Arroyos y Esteros.","1991","01","11","Cordillera","Magnoliophyta","Solanales",NA,"Vell.","-57.3","-25.13",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1018813","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"H. G. Dantas","131","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262511' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018813","Armação dos Búzios, Alto da Praia Brava.","2004","02","18","Rio de Janeiro","Magnoliophyta","Solanales",NA,"Vell.","-41.88","-22.7358","NY01018813_01","J. R. Stehmann","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","669551","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"G. H. von Langsdorff","s.n.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669551",NA,NA,NA,NA,"Rio de Janeiro","Magnoliophyta","Solanales",NA,"Vell.",NA,NA,NA,"S. D. Knapp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","731127","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","36300","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731127","Estero del Ypoá: Puerto Guyrati - Villa Oliva, 4.5 km S of Puerto Guyrati on trail to Paraguay River.","1993","06","22","Central","Magnoliophyta","Solanales",NA,"Vell.","-57.62","-25.63",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-02-01 13:47:00-02","NY","NYBG","731089","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"A. L. Bernardi","19088","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869511' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731089","In relictis silvanis trans rivulum Akidaban, Cerro Corá.","1978","12","10","Amambay","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,"S. D. Knapp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","731124","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","17276","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731124","Western side of Río Piribebuy basin, 27 km W of Arroyos y Esteros.","1989","12","23","Cordillera","Magnoliophyta","Solanales",NA,"Vell.","-57.3","-25.13",NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","731102","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. M. Zardini","4153","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731102","Parque Nacional Cerro Corá. En el límite oeste del Parque.","1988","01","07","Amambay","Magnoliophyta","Solanales",NA,"Vell.",NA,NA,NA,"M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-02-01 13:47:00-02","NY","NYBG","731094","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"E. Hassler","1370","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=869517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00731094","Cordillera de Altas.","1885","10",NA,"Cordillera","Magnoliophyta","Solanales",NA,NA,NA,NA,NA,"S. D. Knapp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","669548","PreservedSpecimen","Plantae","Solanaceae","Solanum","caavurana","Solanum caavurana",NA,"T. S. dos Santos","3322","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239808' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669548","Km 6-8 da Rod. BA 001, trecho Alcobaça/Caravelas. Folha SE-24 (18-39a).","1978","09","16","Bahia","Magnoliophyta","Solanales",NA,"Vell.","-39.19","-17.5194",NA,"M. H. Nee","Alcobaça","10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
