"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","continentOcean","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","dayIdentified"
"11","2020-12-11 11:41:42-03","UFMG","BHCB","104869","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Fregonezi, J","s.n.","2006","11","30","Brasil","Santa Catarina","Urubici","Estrada Urubici-Serra do Corvo Branco, ponto 29","-49.408489","-28.042969","-49.408489","-28.042969",NA,"BHCB022980",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:41:42-03","UFMG","BHCB","104877","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Fregonezi, J","s.n.","2006","11","30","Brasil","Santa Catarina","Urubici","Estrada Serr Corvo Branco-Cpo dos Padres, barranco na estrada da Pousada Rio Canoas a 4km d pto 26","-49.3725","-28.025556","-49.3725","-28.025556",NA,"BHCB022978",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:41:42-03","UFMG","BHCB","192526","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Augsten, M; Stehmann, JR","1128","2018","11","02","Brasil","Santa Catarina","Urubici","Estrada para Serra do Corvo Branco","-49.409444","-28.043333","-49.409444","-28.043333","PLANTA PRENSADA EM ÁLCOOL; Flores rosas","BHCB192526",NA,NA,NA,"Southern America",NA,NA,"960","960",NA,NA,NA
"14","2020-12-11 11:41:42-03","UFMG","BHCB","80079","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Stehmann, JR; Lorenz, AP; Castro, IB; Heller, AA","3343","2002","12","04","Brasil","Santa Catarina","Urubici","estrada para a Serra do Corvo branco","-49.409731","-28.043422","-49.409731","-28.043422","Subarbusto decubente; flores com corola magenta, fauce amarela; afloramento rochoso","BHCB022981",NA,NA,NA,"Southern America",NA,NA,"991","991",NA,NA,NA
"15","2020-12-11 11:41:42-03","UFMG","BHCB","99783","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Stehmann, JR; Mentz, LA; Fregonezi, JN; Teles, AM","4402","2005","11","26","Brasil","Santa Catarina","São Joaquim","Estrada para a Serra do Corvo Branco","-49.9317016601562","-28.2938995361328",NA,NA,"Erva, pendente em barranco na beira da estrada; flores magenta, com fauce amarela, com listras escuras. material preservado em alcool antes da secagem.; Erva; flores magenta com fauce amarela, com litras escuras; Pendente em barranco","BHCB001983","BHCB001983","48290","auto","Southern America",NA,NA,"948","948",NA,NA,NA
"16","2020-12-11 11:41:42-03","UFMG","BHCB","116967","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Fregonezi, J; Ramos, A","38","2007","11","16","Brasil","Santa Catarina","Bom Jardim da Serra","Pto9","-49.624698638916","-28.3369007110596",NA,NA,"Arbusto ca. 4 m altura. Folhas verdes na face superior e face inferior mais clara. Flores esverdeada","BHCB022487",NA,"32577","auto","Southern America",NA,NA,NA,NA,NA,NA,NA
"17","2019-08-08 04:35:00-03","MO","MOBOT","2282381","PreservedSpecimen","Plantae",NA,"Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,"Isotype","J.R. Stehmann|J. H. A. Dutilh","Stehmann 1534","1994","11","4","Brazil","Santa Catarina",NA,"Urubici. Estrada da Serra do Corvo Branco em direcão a Urubici (após subida da Serra).",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"18","2019-10-07 09:18:05-03","UEFS","HUEFS","75253","PreservedSpecimen","Plantae","Angiospermae","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"Stehmann, J.R.","3343","2002","12","04","Brasil","Santa Catarina","Urubici","Estrada para serra do Corvo Branco.","-49.409722","-28.043333","49W24'35''","28S2'36''",NA,"HUEFS0075253","HUEFS0075253",NA,NA,NA,NA,NA,"991","991","Asteranae","Solanales",NA
"19","2020-08-20 20:42:12-03","UFSC","FLOR","64327","PreservedSpecimen","Plantae",NA,"Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir","Lozano, E.D.",NA,"Lozano, E.D.; Engels, M.E.","2300","2013","12","12","Brasil","Paraná","Candói","Fazenda Capão Redondo.","-51.803333","-25.423611","51º48'12''W","25º25'25''S","Subarbusto, 50cm, flores lilases","FLOR0064327","FLOR0064327",NA,NA,NA,"2015",NA,NA,NA,NA,"Solanales",NA
"20","2021-02-08 12:45:29-03","UFRGS","ICN","184916","S","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir",NA,NA,"John, AL W; Mäder, G","ALWJ4","2015","11","19","Brasil","SC","Urubici",NA,"-49.405833","-28.042222","-49.405833","-28.042222","barranco rochoso","ICN00032980",NA,NA,NA,"América do Sul","2015","11",NA,NA,NA,NA,"19"
"21","2021-02-08 12:45:29-03","UFRGS","ICN","147466","S","Plantae","Dicotyledon","Solanaceae","Calibrachoa","eglandulata","Calibrachoa eglandulata","Stehmann & Semir","Stehmann, JR",NA,"Vendruscolo, GS","585","2006","10","17","Brasil","SC","Urubici","estrada secundária para a Pousada Rio Canoas","-49.5917015075684","-28.0149993896484",NA,NA,"Erva com 0,3 m de altura, flores roxas.; Região de Estepe, beira da estrada.","ICN00033041",NA,"30102","auto","América do Sul",NA,NA,"1400","1400",NA,NA,NA
