"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","class","fieldNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","coordinatePrecision","geoFlag","infraspecificEpithet","relatedCatalogItem","yearIdentified","monthIdentified"
"11","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","35891",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A. DC.","L. Kollmann/28-07-2011","L. Kollmann; A.P. Fontana, D.Couto, C. Fraga & M. Simonelli","10364","2008","01","20",NA,"Brasil","Espírito Santo","Monte Cristo",NA,"Erva escandente rupícola, esteril.","MBML035891","MBML035891","Alegre","-41.398611","-20.681111",NA,NA,NA,"41W23'55","20S40'52","500","500",NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","44759",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A. DC.","L. Kollmann/26-02-2013","L. Kollmann","12089","2010","11","10",NA,"Brasil","Espírito Santo","São João de Viçosa",NA,"Planta escandente, radicante, 7 m na meia sombra, caule verde de apice avermelhado, folha verde, peciolo avermelhado, inflorescencia verde, flores brancas, estames e estilete amarelo, frutos verdes","MBML044759","MBML044759_1 MBML044759_2 MBML044759_3","Venda Nova do Imigrante","-41.213333","-20.319444",NA,NA,NA,"41W12'48","20S19'10","765","765",NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","52449",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A. DC.",NA,"L. Kollmann; Lukas Daneu","13438","2017","10","24",NA,"Brasil","Bahia","RPPN Serra Bonita",NA,"Liana na meia sombra. Flores brancas.","MBML052449","MBML052449","Camacan","-39.565","-15.391667",NA,NA,NA,"39W33'54","15S23'30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","2967104","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A. DC.",NA,"R. P. Belém & R. S. Pinheiro","2629","1966","9","22","South America - Neotropics","Brazil","Bahia","Rodovia, s enapolis",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2991924","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A. DC.",NA,"R. Callejas, A. M. Carvalho & L. M. Silva","1568","1983","10","28","South America - Neotropics","Brazil","Bahia","Jucari Palmeira, Fazenda Sto Anronio, Mata Higrofila Sul Baiana.",NA,NA,"US01008666","US01008666_01","Itabuna","-39.2803001403809","-14.7855997085571",NA,"Dicotyledonae",NA,NA,NA,"300",NA,"1","30592","auto",NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3016612","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A. DC.",NA,"J. L. Hage & E. B. Santos","1311","1981","9","8","South America - Neotropics","Brazil","Bahia","Area do cepec (centro de pesquisas do cacau), km 22 da rodovia ilheus/itabuna (br 415), regiao de mato higrofila sul baiana",NA,NA,"US00324365","US00324365_01","Ilhéus","-39.0494003295898","-14.7889003753662",NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1","61245","auto",NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3669947","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia differens","L.B. Sm. ex S.F. Sm. & Wassh.","Smith, S. F.","A. Salino, R. Mota, P. Melo & N. F. O. Mota","9127","2003","10","7","South America - Neotropics","Brazil","Bahia","Mata do Boi Rajado, a cerca 14 km da sede da Bandeira, na divisa (Mun. Itarantim) Bahia.",NA,NA,"US01308696","US01308696_01","Itarantim","-40.065601348877","-15.6597003936768",NA,"Dicotyledonae",NA,NA,NA,"620","800","1","42570","auto","differens",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2960394","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia differens","L.B. Sm. ex S.F. Sm. & Wassh.",NA,"T. S. Santos, L. A. Mattos Silva & C. B. Thompson","3383","1978","11","9","South America - Neotropics","Brazil","Bahia","Faz. Beija-Flor, ramal c/ entrada no km 3 da Rod. Almadina/floresata Azul Final do Ramal.",NA,NA,"US00324367","US00324367_01","Almadina","-39.6371994018555","-14.7053003311157","Holotype","Dicotyledonae",NA,NA,NA,NA,NA,"1","14289","auto","differens",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","3669947","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia differens","L.B. Sm. ex S.F. Sm. & Wassh.","Smith, S. F.","A. Salino, R. Mota, P. Melo & N. F. O. Mota","9127","2003","10","7","South America - Neotropics","Brazil","Bahia","Mata do Boi Rajado, a cerca 14 km da sede da Bandeira, na divisa (Mun. Itarantim) Bahia.",NA,NA,"US01308696","US01308696_01","Itarantim","-40.065601348877","-15.6597003936768",NA,"Dicotyledonae",NA,NA,NA,"620","800","1","42570","auto","differens",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2960394","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia differens","L.B. Sm. ex S.F. Sm. & Wassh.",NA,"T. S. Santos, L. A. Mattos Silva & C. B. Thompson","3383","1978","11","9","South America - Neotropics","Brazil","Bahia","Faz. Beija-Flor, ramal c/ entrada no km 3 da Rod. Almadina/floresata Azul Final do Ramal.",NA,NA,"US00324367","US00324367_01","Almadina","-39.6371994018555","-14.7053003311157","Holotype","Dicotyledonae",NA,NA,NA,NA,NA,"1","14289","auto","differens",NA,NA,NA
"21","2019-10-07 09:24:04-03","UEFS","HUEFS","192770","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"Jacques, E.L.","803","1998","11","07",NA,"Brasil","Bahia","Rodovia Jussari - Palmeiras, ca. 7,5 Km de Jussari, Fazenda Teimoso, Reserva Particular do Patrimônio Nacional (RPPN), Serra do Teimoso.",NA,"Mata mesófila.","HUEFS0192770","HUEFS0192770","Jussari","-39.528611","-15.158056",NA,"Rosanae",NA,"39W31'43''","15S9'29''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-09-04 18:46:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia",NA,NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339","Type [status unknown]","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-07-23 11:59:47-03","CEPLAC","CEPEC","103206","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia",NA,"B.S.Gregorio","Thomas, W.W.","14164","2004","09","19",NA,"Brasil","Bahia","Serra Corcovado, 9,8 km SW of Coaraci on road to Almadina, then N into Faz. São José.",NA,NA,NA,NA,"ALMADINA","-39.603333","-14.705833",NA,NA,NA,"39W36'12","14S42'21","650","650",NA,NA,NA,NA,NA,NA,NA
"24","2020-07-23 11:59:47-03","CEPLAC","CEPEC","8699","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia",NA,"B. de S. Gregório","R. S. Pinheiro","1905","1972","08","11",NA,"Brasil","Bahia","Fazenda Beija-Flor, Serra da Pancadinha, entrada a Km 1 da Rod. Almadina/Floresta Azul.",NA,NA,NA,NA,"ALMADINA","-39.6371994018555","-14.7053003311157",NA,NA,NA,NA,NA,NA,NA,NA,"14289","auto",NA,"18/04/2012",NA,NA
"25","2020-07-23 11:59:47-03","CEPLAC","CEPEC","24816","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia",NA,"B. de S. Gregório","J. L. Hage","1311","1981","09","08",NA,"Brasil","Bahia","Quadra I' do CEPEC.",NA,NA,NA,NA,"ILHÉUS","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,"19/03/2013",NA,NA
"26","2020-07-23 11:59:47-03","CEPLAC","CEPEC","148271","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia",NA,"Brade","Brade, A.C.","19403",NA,NA,NA,NA,"Brasil","Espírito Santo",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"CACHOEIRO DE ITAPEMIRIM","-41.1128005981445","-20.8488998413086",NA,NA,NA,NA,NA,NA,NA,NA,"35694","auto",NA,NA,NA,NA
"27","2020-07-23 11:59:47-03","CEPLAC","CEPEC","14869","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia differens",NA,"B. de S. Gregório","T. S. dos Santos","3383","1978","11","09",NA,"Brasil","Bahia","Faz. Beija-flor, ramal com entrada no Km 3 Rod. Almadina/Floresta Azul. Final do ramal.",NA,NA,NA,NA,"ALMADINA","-39.6371994018555","-14.7053003311157","Isótipo",NA,NA,NA,NA,NA,NA,NA,"14289","auto","differens","19/03/2013",NA,NA
"28","2020-07-23 11:59:47-03","CEPLAC","CEPEC","14869","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia differens",NA,"B. de S. Gregório","T. S. dos Santos","3383","1978","11","09",NA,"Brasil","Bahia","Faz. Beija-flor, ramal com entrada no Km 3 Rod. Almadina/Floresta Azul. Final do ramal.",NA,NA,NA,NA,"ALMADINA","-39.6371994018555","-14.7053003311157","Isótipo",NA,NA,NA,NA,NA,NA,NA,"14289","auto","differens","19/03/2013",NA,NA
"29","2019-11-01 14:54:56-03","UnB","UB","118067","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.","Smith, SF","Belém, RP","2629","1966","09","22","Southern America","Brasil","Bahia","Rodovia BR-5, 10km S Eunápilis",NA,"Flores brancas, estames amarelas; Epífita; Mata virgem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1994","03"
"30","2017-09-11 17:08:45-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat in Brasilia orientali",NA,"in hb. reg. Berol.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:08:45-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Begoniaceae","Begonia","polygonifolia","Begonia polygonifolia","A.DC.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat in Brasilia orientali",NA,"in hb. Fl. Bras. n. 928 (hb. reg. Monac. et Berol.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
