"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber"
"11","2020-10-14 10:02:35-03","FURB","FURB","9926","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum. ex C. Takeuchi & G.L. Esteves","Verdi, M.; Dreveck, S. & Godoy, M.B.","2007","11","23",NA,"Brasil","Santa Catarina","Itaiópolis","Colônia Becker.","-49.9063987731934","-26.3363990783691",NA,"Florística IFFSC 944 (ponto descartado). Habitat: Floresta Ombrófila Mista; Estágio Inicial Habito: arbustiva; flor pétalas branca, estames amarelos e sépalas verdes","FURB04749","FURB04749","Takeuchi, C","37",NA,NA,"2013","10","04","51919","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:32:59-03","MBM","MBM","280233","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Krapovickas, A.; et al.; et al.","1973","02","15","Southern America","Brazil","Paraná",NA,"Rod. BR-373, 50km N de Bocaiúva do Sul",NA,NA,NA,NA,"MBM280233","MBM280233","Krapovickas, A.","23274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:32:59-03","MBM","MBM","280234","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Krapovickas, A.; et al.; et al.","1973","02","01","Southern America","Brazil","Paraná",NA,"Rod. BR-468, 2km N do Htel Montecarlo",NA,NA,NA,NA,"MBM280234","MBM280234","Krapovickas, A.","23083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:32:59-03","MBM","MBM","280235","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Krapovickas, A.; et al.; et al.","1973","02","03","Southern America","Brazil","Paraná",NA,"Rod. BR-116, 43km N de Curitiba",NA,NA,NA,NA,"MBM280235","MBM280235","Krapovickas, A.","23153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:32:59-03","MBM","MBM","280236","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Krapovickas, A.","1968","05","29","Southern America","Brazil","Paraná",NA,"Rod. BR-116, km 339, Rio Saltinho",NA,NA,NA,NA,"MBM280236","MBM280236","Krapovickas, A.","14369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:32:59-03","MBM","MBM","280237","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Krapovickas, A.","1968","05","29","Southern America","Brazil","São Paulo",NA,"Rod. BR-116, km 300, São Paulo - Curitiba",NA,NA,NA,NA,"MBM280237","MBM280237","Krapovickas, A.","14370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:32:59-03","MBM","MBM","280238","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Krapovickas, A.","1968","05","29","Southern America","Brazil","Paraná",NA,"Rod. BR-116, 58km N de Curitiba, Rio Lapinha",NA,NA,NA,NA,"MBM280238","MBM280238","Krapovickas, A.","14367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:32:59-03","MBM","MBM","364666","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Silva, A.R.; et al.; et al.","2008","04","20","Southern America","Brazil","Paraná","Camo Magro","Estrada do Cerne","-49.597222","-25.240583",NA,"Arbusto heliófito, ca. 4m. Flores alvas.; Na orla de remanescente florestal. Relevo ondulado.","MBM364666","MBM364666","Grings, M.","672",NA,NA,"2019","10","07",NA,NA,"-49.597222","-25.240583","708","708",NA,NA
"19","2020-12-21 16:32:59-03","MBM","MBM","390648","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Brotto, M.L.; Silva, J.M.; Santos, T.F.; Silva, J.M.; Santos, T.F.","2014","07","09","Southern America","Brazil","Paraná","Campina Grande do Sul","Rio Capivari, Barra da Cruz","-48.798333","-25.069167",NA,"Arbusto de 2m; flor com corola amarelo-clara.; Floresta Ombrófila Densa Montana.","MBM390648","MBM390648","Grings, M.","1740",NA,NA,"2019","10","07",NA,NA,"-48.798333","-25.069167","686","686",NA,NA
"20","2020-12-21 16:32:59-03","MBM","MBM","414492","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Motta, J.T.","2018","09","13","Southern America","Brazil","Paraná","Curitiba","Jardim Botânico Municipal, coleção dos Arbustos dos Campos do Paraná","-49.240278","-25.442222",NA,"Arbusto, 2 m, flores creme, cultivado.","MBM414492","MBM414492","Motta, J.T.","4807",NA,NA,"2018","09","13",NA,NA,"-49.240278","-25.442222","916","916",NA,NA
"21","2020-12-21 16:32:59-03","MBM","MBM","146812","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Hatschbach, G.; Guimarães, D.; Guimarães, D.","1991","07","16","Southern America","Brazil","Paraná","Antonina","Rio Conceição","-48.7118988037109","-25.4286003112793",NA,"Arbusto, 2m, flor creme. Clareiras da mata pluvial","MBM146812","MBM146812","Takeuchi, C.","55626",NA,NA,"2010","10","22","38300","auto",NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:32:59-03","MBM","MBM","41425","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Hatschbach, G.","1960","12","20","Southern America","Brazil","Paraná","Bocaiúva do Sul","Ouro Fino","-49.1150016784668","-25.2061004638672",NA,"Planta 1,50m, flor alva da capoeira. Comum","MBM041425","MBM041425","Takeuchi, C.","7609",NA,NA,"2010","06","22","61623","auto",NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:32:59-03","MBM","MBM","12142","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Hatschbach, G.","1969","10","31","Southern America","Brazil","Paraná","Bocaiúva do Sul","Rio Putunã","-49.1150016784668","-25.2061004638672",NA,NA,"MBM012142","MBM012142","Krapovickas, A.","22768",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:32:59-03","MBM","MBM","162885","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Poliquesi, C.B.; Ribas, O.S.; Ribas, O.S.",NA,NA,NA,"Southern America","Brazil","Paraná","Bocaiúva do Sul","Rodovia para o Parque das Lauráceas, próximo a Colônia João VI","-49.1150016784668","-25.2061004638672",NA,NA,"MBM162885","MBM162885","Krapovickas, A.","174",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:32:59-03","MBM","MBM","57690","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Hatschbach, G.","1977","10","04","Southern America","Brazil","Paraná","Bocaiúva do Sul","Tunas","-49.1150016784668","-25.2061004638672",NA,NA,"MBM057690","MBM057690","Krapovickas, A.","40211",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:32:59-03","MBM","MBM","223329","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Hatschbach, G.; Lange, R.; Lange, R.","1959","07","14","Southern America","Brazil","Paraná","Campina Grande do Sul","Ribeirão da Capoeira","-49.0553016662598","-25.3055992126465",NA,NA,"MBM223329",NA,"Grings, M.","6152",NA,NA,"2019","10","11","55154","auto",NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:32:59-03","MBM","MBM","104734","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Cordeiro, J.; Silva, J.M.; Silva, J.M.","1985","08","14","Southern America","Brazil","Paraná","Campina Grande do Sul","Rio Capivari","-49.0553016662598","-25.3055992126465",NA,NA,"MBM104734","MBM104734","Krapovickas, A.","83",NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:32:59-03","MBM","MBM","131320","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Nicolack, V.; Ribas, O.S.; Ribas, O.S.","1989","08","24","Southern America","Brazil","Paraná","Campina Grande do Sul","Rod. BR-116, km 23","-49.0553016662598","-25.3055992126465",NA,NA,"MBM131320","MBM131320","Krapovickas, A.","15",NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:32:59-03","MBM","MBM","41403","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Hatschbach, G.","1963","08","04","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra da Lapinha","-49.0553016662598","-25.3055992126465",NA,NA,"MBM041403","MBM041403","Krapovickas, A.","10201",NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:32:59-03","MBM","MBM","234418","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Carneiro, J.","1998","07","26","Southern America","Brazil","Paraná","Campina Grande do Sul","Terra Boa","-49.0553016662598","-25.3055992126465",NA,"Arbusto 2m, flores alvas.; Capoeira das margens do rio.","MBM234418","MBM234418","Grings, M.","536",NA,NA,"2019","10","07","55154","auto",NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:32:59-03","MBM","MBM","209349","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Svolenski, A.C.; Tiepolo, G.; Tiepolo, G.","1996","07","23","Southern America","Brazil","Paraná","Campo Magro","Caverna do Sumidouro","-49.4514007568359","-25.3686008453369",NA,"Arvoreta, flores brancas.; Floresta Ombrófila Mista Montana.","MBM209349","MBM209349","Grings, M.","222",NA,NA,"2019","10","07","24260","auto",NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:32:59-03","MBM","MBM","239786","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Souza, L.R.M.; et al.; et al.","1998","07","23","Southern America","Brazil","Paraná","Castro","BR Castro - Carambeí","-50.0119018554688","-24.7910995483398",NA,"Arbusto 3,5m alt.; botões florais verdes e flores brancas; Arbusto 3,5m alt.; botões florais verdes e flores brancas.","MBM239786","MBM239786","Grings, M.","s.n.",NA,NA,"2019","10","07","50779","auto",NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:32:59-03","MBM","MBM","28914","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Hatschbach, G.","1973","07","11","Southern America","Brazil","Paraná","Cerro Azul","Tigre","-49.261100769043","-24.823600769043",NA,"Arbusto 2m.; Capoeira.","MBM028914","MBM028914","Grings, M.","32224",NA,NA,"2019","10","07","32006","auto",NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:32:59-03","MBM","MBM","223328","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Dombrowski, L.T.","1980","06",NA,"Southern America","Brazil","Paraná","Curitiba","Campo Comprido","-49.2731018066406","-25.4277992248535",NA,"Beira de estrada.","MBM223328",NA,"Grings, M.","13274",NA,NA,"2019","10","11","25180","auto",NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:32:59-03","MBM","MBM","223330","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Dombrowski, L.T.","1979","05",NA,"Southern America","Brazil","Paraná","Lapa",NA,"-49.7158012390137","-25.7696990966797",NA,"Beira de estrada.","MBM223330",NA,"Grings, M.","13490",NA,NA,"2019","10","11","49965","auto",NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:32:59-03","MBM","MBM","305282","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Ribas, O.S.; Wasum, R.; Scur, L.; Barbieri, L.; Wasum, R.; Scur, L.; Barbieri, L.","2005","01","28","Southern America","Brazil","Paraná","Paulo Frontin",NA,"-50.8358001708984","-26.0396995544434",NA,"Arbusto, 2m, flor alva. Área antropizada. Margem da Floresta Ombrófila Mista. Unicata","MBM305282","MBM305282","Takeuchi, C.","5194",NA,NA,"2010","06","22","20486","auto",NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:32:59-03","MBM","MBM","148362","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Abrão, H.R.S.; et al.; et al.",NA,NA,NA,"Southern America","Brazil","Paraná","Pinhão","Rio Divisa","-51.6596984863281","-25.6956005096436",NA,"Floresta Estacional Semidecidual. Árvore. frequente. Relevo fortemente inclinado.","MBM148362","MBM148362","Takeuchi, C.","21",NA,NA,"2010","06","21","37408","auto",NA,NA,"540","540",NA,NA
"38","2020-12-21 16:32:59-03","MBM","MBM","370467","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Britez, R.M.","1987","05","06","Southern America","Brazil","Paraná","Pinhão","Salto Segredo","-51.6596984863281","-25.6956005096436",NA,"Arbusto de flores alvacentas.; Beira do Rio Iguaçu.","MBM370467","MBM370467","Grings, M.","1498",NA,NA,"2019","10","09","37408","auto",NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:32:59-03","MBM","MBM","298435","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Dunaiski Jr.; A.; A.; et al.; et al.","2002","07","12","Southern America","Brazil","Paraná","Rio Branco do Sul","Rio Branco do Sul","-49.3142013549805","-25.1900005340576",NA,NA,"MBM298435","MBM298435","Krapovickas, A.","1862",NA,NA,NA,NA,NA,"37352","auto",NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:32:59-03","MBM","MBM","214792","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.","1997","09","18","Southern America","Brazil","Paraná","Tijucas do Sul","Matulão, Rio do Fojo","-49.1988983154297","-25.9281005859375",NA,NA,"MBM214792","MBM214792","Krapovickas, A.","1967",NA,NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:32:59-03","MBM","MBM","241287","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Cruz, J.M.; Abe, L.M.; Abe, L.M.",NA,NA,NA,"Southern America","Brazil","Paraná","Tunas do Paraná","Antinhas","-49.0858001708984","-24.9743995666504",NA,NA,"MBM241287","MBM241287","Krapovickas, A.","129",NA,NA,NA,NA,NA,"41885","auto",NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:32:59-03","MBM","MBM","277505","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Ribas, O.S.; Abe, L.M.; Abe, L.M.","2002","06","27","Southern America","Brazil","Paraná","Tunas do Paraná","Marques de Abrantes","-49.0858001708984","-24.9743995666504",NA,"Arbusto, 2m, flor alva. Orla da Floresta Ombrófila Mista","MBM277505","MBM277505","Takeuchi, C.","4732",NA,NA,"2010","06","22","41885","auto",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:32:59-03","MBM","MBM","234430","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Cruz, J.M.; Abe, L.M.; Abe, L.M.",NA,NA,NA,"Southern America","Brazil","Paraná","Tunas do Paraná","Parque Estadual de Campinhos","-49.0858001708984","-24.9743995666504",NA,NA,"MBM234430","MBM234430","Krapovickas, A.","96",NA,NA,NA,NA,NA,"41885","auto",NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:32:59-03","MBM","MBM","275023","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K. Schum. ex C. Takeuchi & G.L. Esteves","Esteves, G.L.; et al.; et al.","2000","10","20","Southern America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar","-45.4099998474121","-23.6200008392334",NA,NA,"MBM275023","MBM275023","Esteves, G.L.","2760",NA,NA,NA,NA,NA,"30093","auto",NA,NA,NA,NA,NA,NA
"45","2015-09-05 12:33:29-03","MNHN","RECOLNAT_MNHN_P","P00697171","PreservedSpecimen",NA,NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum. ex Baker f.","Glaziou, A.","1886","12","12",NA,"Brésil",NA,NA,"São João del Rei",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00697171' target='other'> <mi>dwc_moreinfo</mi></a>","P00697171","P00697171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type","15837"
"46","2015-09-05 06:56:06-03","MNHN","RECOLNAT_MNHN_P","P04642356","PreservedSpecimen",NA,NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum. ex Baker f.","Esteves, G.L.|Bianchini, R.S.|Souza, F.O.|Bonfim, F.","2000","10","20",NA,"Brasil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, nucleo Caraguatatuba, Estrada da Petrobrás.","-45.4099998474121","-23.6200008392334","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04642356' target='other'> <mi>dwc_moreinfo</mi></a>","P04642356","P04642356_01",NA,NA,NA,NA,NA,NA,NA,"30093","auto",NA,NA,NA,NA,NA,"2760"
"47","2020-12-11 11:37:45-03","UFMG","BHCB","70905","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum.","Hatschbach, G",NA,NA,NA,"Southern America","Brasil","Paraná","Bocaiúva do Sul",NA,"-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,NA,"40211",NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA
"48","2021-02-11 17:19:29-03","UFPR","UPCB","51695","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","K.Schum. ex Bak.f.","Possette, R.F.S.","2005","06","08",NA,"Brasil","Paraná","Colombo",NA,"-49.2242012023926","-25.2917003631592",NA,"Floresta ombrófila mista. Alt.: 950m s.n.m..",NA,NA,"Possette, R.F.S. & Cordeiro, J.","481",NA,NA,"2005","07",NA,"13536","auto",NA,NA,NA,NA,NA,NA
"49","2021-02-11 17:19:29-03","UFPR","UPCB","51756","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Abutilon","costicalyx","Abutilon costicalyx","Schumann ex Takeuchi & Esteves","Dunaiski Jr., A.","2002","07","12",NA,"Brasil","Paraná","Rio Branco do Sul",NA,"-49.3142013549805","-25.1900005340576",NA,"Arbusto 2,5m, flor amarela..",NA,NA,"Grings, M.","1862",NA,NA,"2019","10","10","37352","auto",NA,NA,NA,NA,NA,NA
