"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"11","2020-06-29 11:29:52-03","UFRJ","RFA","29332","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","C.M.B. Correia","382","1993","10","19",NA,"Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, trilha Rodolfo Norte, caminho para Pelonia","-42.25","-22.5",NA,NA,NA,"Subarbusto com 2 m de altura. Látex esverdeado. Folhas concolores verdes. frutos imaturos com epicarpo verdes sementes com arilo coral","RFA40935","C.M.B. Correia",NA,NA,NA,NA,NA,NA,"42º15'W","22º30'S",NA,NA,NA,NA
"12","2020-06-29 11:29:52-03","UFRJ","RFA","25062","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","A. Quinet",NA,"2000","08","18",NA,"Brasil","Rio de Janeiro","Nova Friburgo","5º Distrito","-43.45","-22.3675","600","600",NA,"Árvore 3,5 m de altura, 13 cm de DAP. Folha verde discolor, abundante no local","RFA36087","C.M. Vieira",NA,NA,NA,"2000","09","04","43º26'60''W","22º22'3''S",NA,NA,NA,NA
"13","2020-06-29 11:29:52-03","UFRJ","RFA","28023","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","C.M.B. Correia","372","1993","10","08",NA,"Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, estrada para Juturnaíba, próximo a casa da Cíntia","-42.25","-22.5",NA,NA,NA,"Subarbusto com 2 m de altura. Folhas concolores. frutos imaturos de cor verde, deiscente quando maduros, mostrando endocarpo vermelho sangue. sementes com arilo coral. Látex esverdeado","RFA40936","C.M.B. Correia",NA,NA,NA,NA,NA,NA,"42º15'W","22º30'S",NA,NA,NA,NA
"14","2020-06-29 11:29:52-03","UFRJ","RFA","24068","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","F.M. Pereira; G. Souza; J.A.F. Nogueira; M.R. Gomes; A. Campbell","99","2000","02","26",NA,"Brasil","Rio de Janeiro","Guapimirim","Fazenda do Portinho - Fazendas consorciadas","-41.899722","-22.555833",NA,NA,NA,"Árvore, heliófila 7 m de altura; 2,5 m de diâmetro, DAP 10 cm, rara no local","RFA36084","C.M. Vieira",NA,NA,NA,NA,NA,NA,"41º53'59''W","22º33'21''S",NA,NA,NA,NA
"15","2020-11-13 09:19:22-03","UFRJ","RFA","25070","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","A. Quinet","(474) 3/28","2000","08","18",NA,"Brasil","Rio de Janeiro","Nova Friburgo","5º Distrito","-42.284167","-22.376111","600","600",NA,"Arbusto 3 m de altura, 17 cm de DAP. Folha verde discolor, comum no local","RFA36088","C.M. Vieira",NA,NA,NA,"2000","09","29","42º17'3''W","22º22'34''S",NA,NA,NA,NA
"16","2020-11-13 09:19:22-03","UFRJ","RFA","25709","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","A. Quinet","26/54","2000","11","26",NA,"Brasil","Rio de Janeiro","Magé","Distrito de Piabetá","-43.124444","-22.573333","200","200",NA,"Arbusto 1,5 m de altura, DAP 7 cm, comum no local","RFA36089","C.M. Vieira",NA,NA,NA,"2001","10","24","43º7'28''W","22º34'24''S",NA,NA,NA,NA
"17","2020-11-13 09:19:22-03","UFRJ","RFA","25974","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","A. Quinet","24/58","2000","12","17",NA,"Brasil","Rio de Janeiro","Magé","Piabetá, estrada do Matão nº 100 - Cachoeira Grande","-43.121667","-22.568889","290","290",NA,"Árvore 3 m de altura, 10 cm de DAP. Folha discolor verde, fruto verde, comum no local","RFA36090","C.M. Vieira",NA,NA,NA,"2001","07","24","43º7'18''W","22º34'8''S",NA,NA,NA,NA
"18","2020-11-13 09:19:22-03","UFRJ","RFA","27791","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","F.B. Pereira","jun-90","2001","04","26",NA,"Brasil","Rio de Janeiro","Silva Jardim","Fazenda Novo Horizonte","-42.486667","-22.538889","29","29",NA,"Arbusto 4 m de altura, 3 cm de DAP. Folha verde, rara no local","RFA36085","C.M. Vieira",NA,NA,NA,"2001","11","05","42º29'12''W","22º32'20''S",NA,NA,NA,NA
"19","2020-06-29 11:29:52-03","UFRJ","RFA","31329","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","C.M. Vieira; M.A. Louzada; I. Aximoff; J.C. Gomes","1482","2003","02","19",NA,"Brasil","Rio de Janeiro","Silva Jardim","REBIO Poço das Antas, proximidades da trilha para a Pelonha.","-42.3917007446289","-22.6508007049561",NA,NA,NA,"Coletas da amostragem fitossociológica. Parcela : A; Ind.: 122 / Altura: 8m; CAP: 20 cm .","RFA20518","C.M. Vieira","29995",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-12 15:31:38-03","UFABC","HUFABC","000767","PreservedSpecimen","Plantae","Angiospermas",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Planch. & Triana","Moraes, A P","179","2018","05","04",NA,"Brasil","São Paulo","Botucatu","Área de restauração para compensação ambiental do, Condomínio Residencial Laguna","-48.434611","-22.957833",NA,NA,NA,"Terrestre, folhas opostas, inflorescência terminal.","HUFABC000767","Calixto, L; Motta, G",NA,"HUFABC000767",NA,"2018","05",NA,"-48.434611","-22.957833",NA,NA,NA,NA
"21","2020-02-08 09:53:53-03","NBC","NL-BOTANY","U.1209312","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Planch. & Triana","Maas PJM; Martinelli G",NA,"1977","10","21","Southern America","Brazil",NA,NA,"Edo. Rio de Janeiro, Mun. Terezopolis, parque Nacional da Serra dos Orgaos, Subsede do Parque, secondary forest.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1209312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1209312",NA,NA,"NL-U1209312",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"22","2020-11-04 10:55:23-03","ESALQ","ESA","142122","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata",NA,"Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","247.0","2015","09","09",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","-44.813889","-23.140278","1800","1800",NA,"Árvore, ca. 5 m alt., frutos verdes.","ESA142122",NA,NA,NA,NA,NA,NA,NA,"44°48'50W","23°08'25S",NA,NA,NA,NA
"23","2020-11-04 11:04:58-03","ESALQ","ESA","34105","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Ferretti, A.R. et al.","112.0","1996","12","16",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034105","Bittrich, V.","38855","ESA034105","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:04:58-03","ESALQ","ESA","22209","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Tamashiro, J.Y. et al.","804.0","1995","04","11",NA,"Brasil","São Paulo","Joanópolis",NA,"-46.2700004577637","-22.9300003051758",NA,NA,NA,NA,"ESA022209","Bittrich, V.","22329","ESA022209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:04:58-03","ESALQ","ESA","3700","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Spreng.","Gonzaga, L.",NA,"1937","10","01",NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"ESA003700","Bittrich, V.","53584","ESA003700","auto","2003","01","01",NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:04:58-03","ESALQ","ESA","75090","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","184.0","2001","04","17",NA,"Brasil","São Paulo","Itanhaém","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana e Montana no entorno do Vale dos Rios Mambu e dos Macacos.","-46.7799987792969","-24.1800003051758","30","30",NA,"Árvore, ca. 18m alt. Frutos imaturos verdes. Latescente.","ESA075090","Bittrich, V.","26998","ESA075090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 10:55:23-03","ESALQ","ESA","141731","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Triana & Planch.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2116.0","2015","11","27",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Campo de altitude, próximo a torre de transmissão.","-44.7131004333496","-23.2178001403809",NA,NA,NA,"Árvore ca. 3m de alt. Frutos imaturos verdes, látex amarelo.","ESA141731","Souza, V.C.","34470",NA,"auto","2019","02","12",NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:04:58-03","ESALQ","ESA","34067","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Ferretti, A.R. et al.","59.0","1996","12","13",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034067","Bittrich, V.","38855","ESA034067","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:04:58-03","ESALQ","ESA","101127","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata",NA,"Pessoa, S.V.A.","645.0","1993","01","14",NA,"Brasil","Rio de Janeiro","Silva Jardim",NA,"-42.3917007446289","-22.6508007049561",NA,NA,NA,NA,"ESA101127",NA,"29995","ESA101127","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:04:58-03","ESALQ","ESA","3006","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Couto, M.T.",NA,"1985","10","31",NA,"Brasil","São Paulo","Mairiporã",NA,"-46.5800018310547","-23.3099994659424",NA,NA,NA,NA,"ESA003006","Bittrich, V.","15840","ESA003006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:27:02-03","MN","R","218157","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Leal, D.O.; Sá, B. 236","29","2012","07","22",NA,"Brasil","Rio de Janeiro","Silva Jardim",NA,"-42.304033","-22.542883",NA,NA,NA,NA,NA,"Leal, D.O.",NA,NA,NA,"2012","07","22","42º 18' 242''W","22º 32' 573''S",NA,NA,NA,NA
"32","2021-01-14 15:27:02-03","MN","R","218158","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Leal, D.O.; Sá, B. 237","30","2012","07","22",NA,"Brasil","Rio de Janeiro","Silva Jardim",NA,"-42.3039","-22.543033",NA,NA,NA,NA,NA,"Leal, D.O.",NA,NA,NA,"2012","07","22","42º 18' 234''W","22º 32' 582''S",NA,NA,NA,NA
"33","2021-01-14 15:27:02-03","MN","R","7587","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Glaziou, A.F.M.","12466","1881","03","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007587",NA,NA,"R000007587_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-07-02 14:01:27-03","JBP","HPL","6979","S","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","R. Tsuji, H. Lorenzi et al.","1558","2007","01","30",NA,"Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada, lado direito..","-42.5686","-19.3636",NA,NA,NA,NA,NA,"R. Tsuji","17033",NA,"auto","2008","10","17",NA,NA,NA,NA,NA,NA
"35","2019-08-27 13:33:40-03","IAP","PACA-AGP","100191","PreservedSpecimen","Plantae","Magnoliophyta","Theales","Guttiferae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","R. Guedes","2290","1933","02","04",NA,"Brasil","RJ","Silva Jardim","Reserva Biológica de Poço das Antas, Trilha do Morro do Calcário, ponto 900.","-42.3917007446289","-22.6508007049561",NA,NA,NA,"Jardim Botânico do Rio de Janeiro - RB 300001. Látex amarelo, ramos pardo-alaranjados, flores verdes discolores, botões florais, cálice verde e corola alvo esverdeados.","PACA100191",NA,"29995",NA,"auto",NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA
"36","2020-12-20 21:16:39-03","UFV","VIC","19524","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Vieira, C.M.; et al.","234","1993","02","11",NA,"Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço D'Anta, Trilha do Morro do calcário ponto 700.","-42.3917007446289","-22.6508007049561",NA,NA,NA,NA,"VIC019524",NA,"29995",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-20 21:16:39-03","UFV","VIC","19523","PreservedSpecimen","Plantae",NA,NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","Vieira, C.M.; et al.","231","1993","02","11",NA,"Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço D'Anta, Trilha do Morro do calcário ponto 700.","-42.3917007446289","-22.6508007049561",NA,NA,NA,NA,"VIC019523",NA,"29995",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0039765","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","Planch. & Triana","E. Barbosa; L. M. L. M. Abe","405","1999",NA,"18",NA,"Brazil","Parana",NA,"Pacas, arredores (Mun. Tunas do Parana).","-49.1","-24.9667",NA,NA,NA,"Arvore, 10m, flor creme, fruto imaturo verde.",NA,"V. Bittrich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-21 14:33:25-03","UFJF","CESJ","49048","PreservedSpecimen","Plantae","Angiosperma",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","N.F.O. Mota; G.S. França","430","2005","11","05","América do Sul","Brasil","Minas Gerais","Carandaí","Pedra do Sino Hotel Fazenda, BR 040, Km 6: Trilha do Sagui. ALT.: 1000 - 1200m m.","-43.8064002990723","-20.9535999298096",NA,NA,NA,"Árvore, 12 - 13m alt., em interior de mata. Cálice verde, corola creme, látex amarelo.","CESJ049048","N.F.O. Mota","23079",NA,"auto","2006",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 14:33:25-03","UFJF","CESJ","31009","PreservedSpecimen","Plantae","Angiosperma",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","F.R.G. Salimena; P.C.L. Faria; L.D. Meireles; P.C. Zampa; F. Magalhães; P.O. Costa","s.n.","2000","01","16","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,"Árvore, flores solitárias com pétalas alvas e estames amarelos, antera alaranjada.","CESJ031009","V.Bittrich","11991",NA,"auto","2002","05",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 14:33:25-03","UFJF","CESJ","49056","PreservedSpecimen","Plantae","Angiosperma",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","N.F.O. Mota; P.L. Viana","356","2005","08","27","América do Sul","Brasil","Minas Gerais","Carandaí","Pedra do Sino Hotel Fazenda, BR 040, Km 6: Trilha do Sagui. ALT.: 1000 - 1200m m.Lat.> 20º 58'04,6S; Lon.43º48'55,8W.","-43.8064002990723","-20.9535999298096",NA,NA,NA,"Árvore com látex amarelo, próximo de mata. Frutos vermelhos internamente e verdes externamente. Sementes com arilo laranja vivo.","CESJ049056","N.F.O. Mota","23079",NA,"auto","2005",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 14:33:25-03","UFJF","CESJ","31404","PreservedSpecimen","Plantae","Angiosperma",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","F.R.G. Salimena; S.M.S. Verardo; P.C. Zampa","s.n.","2000","09","30","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,"Árvore, 4m alt, flores em botão, em interior de mata.","CESJ031404","R.C. Forzza","11991",NA,"auto","2002","05",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 14:33:25-03","UFJF","CESJ","31484","PreservedSpecimen","Plantae","Angiosperma",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","L.D. Meireles; P.Siranka; L.F.Fazza; L. Fernandes","s.n.","2000","11","18","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,"Arvoreta, 3m alt., folhas levemente discolores, botões florais verde claro, em local sob influência da água.","CESJ031484","R.C. Forzza","11991",NA,"auto","2002","05",NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 14:33:25-03","UFJF","CESJ","31502","PreservedSpecimen","Plantae","Angiosperma",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","L.D. Meireles; P.Siranka; L.F.Fazza; L. Fernandes","s.n.","2000","11","19","América do Sul","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,"Arvoreta, em local inclinado, flores creme, estames amarelos.","CESJ031502","R.C. Forzza","11991",NA,"auto","2002","05",NA,NA,NA,NA,NA,NA,NA
"45","2020-06-30 18:32:06-03","UFJF","CESJ","66944","PreservedSpecimen","Plantae","Angiosperma",NA,"Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","(Spreng.) Planch. & Triana","B. Moreira; F.R.G. Salimena; P.H. Nobre; M. Alvez","113","2014","12","13","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás das casas dos gestores","-43.9075","-21.715278","1340","1340",NA,"Árvore, ca. 3m, flor branca, borda de mata","CESJ066944","B. Moreira",NA,NA,NA,"2015","01","10","-43.9075","-21.715278",NA,NA,NA,NA
