"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","class","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"11","2017-04-12 08:35:00-03","NY","NYBG","00925698","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana",NA,"C. B. Clarke","A. F. M. Glaziou","22330",NA,NA,NA,"Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925698","NY00925698_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","569118","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"R. M. Harley","22899","1980","05","31","Brazil","Bahia",NA,"Morro do Chapeu. Rio do Ferro Doido, 19.5 km SE of Morro do Chapeu on the BA 052 highway to Mundo Novo.","-41.03","-11.63",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569118","NY00569118_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02282614","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","R. Trevisan","H. S. Irwin","8946","1965","10","04","Brazil","Distrito Federal","Brasília","Ca. 15 km. E. of Brasília, near Planaltina","-47.83071","-15.68385",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2256895' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282614","NY02282614_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-03-23 11:02:00-03","NY","NYBG","00925699","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana",NA,"E. R. Guaglianone","G. Davidse","11511","1976","03","29","Brazil","Minas Gerais",NA,"ca. 22 km S of Padre Paraíso along Highway BR-116.","-41.48439","-17.2729889",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925699","NY00925699_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02103949","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","M. S. González-Elizondo","L. Nusbaumer","3870","2014","04","11","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada, localité de Quebrangulo.","-36.435015","-9.244547",NA,NA,"690",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511784' target='other'> <mi>dwc_moreinfo</mi></a>","NY02103949","NY02103949_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-04-12 08:35:00-03","NY","NYBG","00925697","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana",NA,"J. M. de Rezende","J. M. de Rezende","455","1996","05","04","Brazil","Distrito Federal","Brasília","Samambaia. Parque Boca da Mata.","-48.05","-15.87",NA,NA,"1150","1150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925697","NY00925697_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","622427","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","M. S. González-Elizondo","T. M. Koyama","13797","1970","03","02","Brazil","Paraná",NA,"On highway to Ponta Grossa. Lago Seca.","-51.925602","-25.447968",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622427","NY00622427_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-27 03:45:00-03","NY","NYBG","636919","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana",NA,"H. K. Svenson","G. Herter","42","1924","11",NA,"Uruguay","Montevideo",NA,"Santiago Vasquez.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636919",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","622432","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"L. P. de Queiroz","667","1983","06","30","Brazil","Bahia",NA,"Município de Caeté-Açú: Cachoeira Glass.","-41.48","-12.62",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622432","NY00622432_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","622431","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","E. R. Guaglianone","G. Davidse","11945","1976","04","04","Brazil","Bahia",NA,"Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapéu.",NA,NA,NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622431","NY00622431_01",NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","636917","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","H. K. Svenson","A. S. Hitchcock","17026","1919","11","29","Guyana",NA,NA,"East Coast Water Conservancy, southeast of Georgetown; Breakfast B__ab.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148314' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636917",NA,NA,NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-08 11:08:00-03","UNESP-IBB","BOTU","29858","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"Machado, S.R.","41","2002","12","12","Brasil","São Paulo","Pratânia",NA,"-49.5725","-23.910278","49°34'21w","23°54'37s",NA,NA,NA,"BOTU029858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:30:01-03","UFRJ","RFA","38615","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"N. C. Machado; T. U. P. Konno","210","2010","05","21","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba, próximo a lagoa Piri-piri. Poça 05 (ex. linda)","-41.241944","-22.103611","41º14'31''W","22º6'13''S",NA,NA,"Erva, inflorescência elipsóide","RFA33891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:30:01-03","UFRJ","RFA","40564","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"Konno, T.U.P.; Machado, N.C.","1467","2011","05","28","Brasil","Rio de Janeiro","Quissamã","PARNA Restinga de Jurubatiba.","-41.241944","-22.103611","41º14'31''W","22º6'13''S",NA,NA,NA,"RFA32998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-19 15:45:21-03","UNEB","HUNEB","7738","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth.","A.Gil","Jesus, N.G.","1710PC 586","2003","02","19","Brasil","Bahia","Alagoinhas","Campus II / UNEB","-38.4192008972168","-12.1356000900269","38W24'81''","12S10'68''",NA,NA,"Floresta ombrófila densa em estágio avançado de regeneração.","HUNEB0007738",NA,"2005","02",NA,"Angiospermae","Florideophycidae",NA,NA,"Monocotyledoneae","24621","auto",NA,NA,NA,NA,NA,NA
"26","2019-11-19 15:45:21-03","UNEB","HUNEB","6023","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"França, F.","1049","1994","05","30","Brasil","Bahia","Cravolândia","2 Km W do Povoado de Três Braços(Ilha Formosa). Ao longo de Rio Preto.","-39.814998626709","-13.3585996627808",NA,NA,NA,NA,NA,"HUNEB0006023",NA,NA,NA,NA,"Angiospermae","Florideophycidae",NA,NA,"Monocotyledoneae","21331","auto",NA,NA,NA,NA,NA,NA
"27","2021-04-08 17:44:52-03","EAO","IAN","154143","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Maciel-Silva, JF","Ribeiro, BGS; Pinheiro, GS","1776","1976","02","12","Brasil","Maranhão",NA,"Estudo ecológico dos campos de Perizes.",NA,NA,NA,NA,NA,NA,"Capim, flor creme.","IAN154143",NA,NA,NA,NA,"Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-08 17:44:52-03","EAO","IAN","154143","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Maciel-Silva, JF","Ribeiro, BGS; Pinheiro, GS","1776","1976","02","12","Brasil","Maranhão",NA,"Estudo ecológico dos campos de Perizes.",NA,NA,NA,NA,NA,NA,"Capim, flor creme.","IAN154143",NA,NA,NA,NA,"Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:52:01-03","EAO","IAN","60656","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Maciel-Silva, JF","Dusén, PKH","6053",NA,NA,NA,"Patagonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN060656","IAN060656 IAN060656_e IAN060656_e1 IAN060656_e2 IAN060656_f","2015","10","14","Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:52:01-03","EAO","IAN","99479","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Maciel-Silva, JF","Silva, NT da","515","1958","09","18","Brasil","Pará","Bragança","Campo de Cima. No campo seco.","-46.7655982971191","-1.05360996723175",NA,NA,NA,NA,NA,"IAN099479",NA,"2015","10","14","Monocotiledônea",NA,"Southern America",NA,NA,"56429","auto",NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:52:01-03","EAO","IAN","55374","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Svenson, HK","Zagatto, O","4781","1939","08","04","Brasil","São Paulo","Campinas","Estufa Instituto Agronômico.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"Herbácea.","IAN055374",NA,"1941","06",NA,"Monocotiledônea",NA,"Southern America",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA
"32","2019-12-04 15:26:29-03","PUCPR","HUCP","15602","S","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Selusniaki, M","Carvalho, FR","s.n.","2004","03","16","Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00003692","HUCP00003692",NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"33","2019-12-04 15:26:29-03","PUCPR","HUCP","25424","S","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Cervi, AC","Alves, SCS; Bona, C; Padial, AA","600","2011","10","07","Brasil","Parana","Piraquara","Reservatório Piraquara I","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Presente em banco de macrófitas. Hábito de vida emergente.","HUCP00025424","HUCP00025424",NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"34","2019-12-04 15:26:29-03","PUCPR","HUCP","25423","S","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Cervi, AC","Alves, SCS; Bona, C; Padial, AA","113","2012","02","02","Brasil","Parana","Piraquara","Reservatório Piraquara I","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Presente em banco de macrófitas. Hábito de vida emergente.","HUCP00025423","HUCP00025423",NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"35","2019-12-04 15:26:29-03","PUCPR","HUCP","25443","S","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Alves, SCS","Bona, C; Alves, SCS; Padial, AA","117","2012","02","02","Brasil","Parana","Piraquara","Reservatório Piraquara I","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Presente em bancos de macrófitas. Hábito de vida Anfíbia.","HUCP00025443","HUCP00025443",NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"36","2019-12-04 15:26:29-03","PUCPR","HUCP","25422","S","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Cervi, AC","Alves, SCS; Bona, C; Padial, AA","88","2012","02","01","Brasil","Parana","Piraquara","Reservatório Piraquara II","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Presente em banco de macrófitas. Hábito de vida emergente.","HUCP00025422","HUCP00025422",NA,NA,NA,"Monocotiledonea",NA,NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"37","2021-03-29 18:02:02-03","CPAN-UFMS","COR","6982","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Damasceno-Júnior, G. A.","Moura, M. A. D.; De Paula, L. H. F","12","2000","11","18","Brasil","Mato Grosso do Sul","Corumbá","Passo do Lontra; UFMS/BEP - Base de Estudos do Pantanal","-57.018889","-19.576944","57º1'8''W","19º34'37''S","90","90","Erva; flor alva; daninha Habito: Erva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:27:54-03","UFBA","ALCB","16330","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Noblick, LR","Noblick, LR; Britto, IC; Castro, CA","2250","1982","12","01","Brasil","Bahia","Camaçari","radial 120§","-38.3241996765137","-12.6975002288818",NA,NA,NA,NA,"crescendo em colônias. Frequente.; área alagada.","ALCB016304","ALCB016304","1983","05",NA,"Monocotyledon",NA,"Southern America",NA,NA,"37124","auto",NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:27:54-03","UFBA","ALCB","005797","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Bertels, A","Lordêlo, RP","56-184","1956","02",NA,"Brasil","Bahia","São Felipe","Recôncavo Sul, Fazenda Mucambo","-39.083333","-12.833333","-39.083333","-12.833333",NA,NA,NA,"ALCB016303","ALCB016303","1956","09",NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:27:54-03","UFBA","ALCB","64698","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Guedes, ML","Magalhães, LO; Meyer, LMN; Bispo, RB; Guedes, ML; Loureiro, DM","28","2003","12","21","Brasil","Bahia","Igrapiúna","Litoral Sul, Rodotec - Comunidade Vargido","-39.133333","-13.816667","-39.133333","-13.816667",NA,NA,"15cm. Inflorescência no ápice, esverdeadas.; Campo sujo - estádio de regeneração inicial.","ALCB016305","ALCB016305","2004","01",NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:27:54-03","UFBA","ALCB","71250","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Guedes, ML; Santana, JS","Santana, JS; Guedes, ML; Valadão, RM","31","2006","03","18","Brasil","Bahia","Itacaré","Litoral Sul, Fazenda das Bromélias","-38.983333","-14.266667","-38.983333","-14.266667",NA,NA,"cespitosa, com grande número de caules, com altura de 10-30cm. Lâminas ausentes. Bainha membranácea muito fina envolvendo a parte inferior do caule. Espiguetas compacta.; Arbustiva","ALCB016306","ALCB016306","2006","04",NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:27:54-03","UFBA","ALCB","73773","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth","Guedes, ML","Valadão, RM; R., M; Santos, JS; Guedes, ML; Santana, FA; Nogueira, T; Carvalho, G; Sousa, DC de","60","2006","06","15","Brasil","Bahia","Miguel Calmon","Piemonte da Diamantina","-40.520278","-11.386111","-40.520278","-11.386111","1169","1169","Altura ca. 15cm. Folhas lineares. Espigueta.","ALCB016307","ALCB016307","2006","09",NA,"Monocotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.1390763","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"Pedersen TM",NA,"1967","10","09","Paraguay",NA,NA,"Estancia ''Carumbé'', Distr. Lima, Dep. San Pedro.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1390763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1390763","NL-L1390763",NA,NA,NA,NA,"Poales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.1390764","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"Pedersen TM",NA,"1969","04","24","Argentina",NA,NA,"Estancia,,Garruchos'', Dep. Santo Tomé, Prov. Corrientes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1390764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1390764","NL-L1390764",NA,NA,NA,NA,"Poales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.1390765","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"Pedersen TM",NA,"1967","12","07","Argentina",NA,NA,"Estancia ''San Juan'', Dep. Mburucuyá, Prov. Corrientes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1390765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1390765","NL-L1390765",NA,NA,NA,NA,"Poales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-02-08 10:13:57-03","NBC","NL-BOTANY","L.3759100","PreservedSpecimen","Plantae","Cyperaceae","Eleocharis","sellowiana","Eleocharis sellowiana","Kunth",NA,"Pedersen TM",NA,"1986","09","17","Argentina",NA,NA,"Carambola. Dep. Concepción. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3759100 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3759100","NL-L3759100",NA,NA,NA,NA,"Poales","Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
