"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet"
"11","2016-09-29 20:57:00-03","NY","NYBG","00862143","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis",NA,"G. Gardner","3546","1836",NA,NA,"South America","Brazil","Goiás","Goyaz",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862143","NY00862143_01","J. E. Ebinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","763458","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","J. S. Blanchet","s.n.","1831",NA,NA,"South America","Brazil","Bahia","In Brasilia intratropica, circa Bahia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763458","NY00763458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00862120","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","E. P. Heringer","6552","1981","03","17","South America","Brazil","Distrito Federal","Brasília, Reserva Ecológica do IBGE","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862120","NY00862120_01","T. de S. Filgueiras","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","884745","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","C. E. F. von Glocker","s.n.","1842",NA,NA,"South America","Brazil","Bahia",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884745","NY00884745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00862147","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Eiten","3941","1962","03","29","South America","Brazil","Maranhão","Ilha de Balsas region, between the Rios Balsas and Parnaiba. About 40 km. south of Lorêto. Near place called Picada","-45.12","-7.43","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862147","NY00862147_01","J. R. Swallen","Loreto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00862145","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","E. P. Heringer","6709","1981","04","02","South America","Brazil","Distrito Federal","Brasília, Reserva Ecológica do IBGE","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862145","NY00862145_01","T. de S. Filgueiras","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00862146","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Eiten","10308","1970","01","15","South America","Brazil","Maranhão","Outskirts of Barra do Corda, ca. 1 km south of center of city. At Sítio dos Ingleses school grounds, on east slope of Rio Corda River Valley.","-45.25","-5.52",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862146","NY00862146_01","G. Davidse","Barra do Corda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00862149","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","C. E. F. von Glocker","216","1842",NA,NA,"South America","Brazil",NA,"Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862149","NY00862149_01","E. J. Judziewicz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00862121","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Eiten","3823B","1962","03","25","South America","Brazil","Maranhão","Ilhas de Balsa region, between the rios Balsas and Parnaíba. About 40km south of Lorêto. Near place called Picada, about 450 m. S of the creek, Riacho da Picada.","-45.12","-7.43",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862121","NY00862121_01","J. R. Swallen","Lorêto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1100020","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","B. V. Rabelo","3093",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399774' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100020","NY01100020_01 NY01100020_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00862141","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","H. S. Irwin","10989","1965","12","03","South America","Brazil","Goiás","Serra dos Pirineus, ca. 5 km S. of Corumbá de Goiás","-48.8086","-15.96878","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862141","NY00862141_01","G. Davidse","Corumbá de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1075226","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. T. Prance","11964","1971","04","15","South America","Brazil","Acre","Estrada Alemanha","-72.58","-7.62",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572398' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075226","NY01075226_01","E. C. Tenório","Cruzeiro do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","763462","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","W. D. Clayton","4544","1965","02","06","South America","Brazil","São Paulo","Estaçao Florestal de Paraguaçu Paulista (6 km N of city on road to Bora)","-50.57","-22.28","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763462","NY00763462_01",NA,"Paraguaçú Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","763456","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","A. P. Duarte","5170","1959","11",NA,"South America","Brazil","Rio de Janeiro","Lagôa Rodrigo de Freitas","-43.207919","-22.973835",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763456","NY00763456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01048836","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","M. A. Chase","7648","1924","11","11","South America","Brazil","Pernambuco","Vicinity of Pernambuco. Olinda",NA,NA,"5","6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194671' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048836","NY01048836_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1100014","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","L. Coradin","739",NA,NA,NA,"South America","Brazil","Roraima",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401020' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100014","NY01100014_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1100015","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. T. Prance","7220","1968","09","11","South America","Brazil","Amazonas","Manaus-Itacoatiara road, Km 18. Capoeira by stream.","-59.9419212","-2.8551503",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401334' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100015","NY01100015_01 NY01100015_02","T. R. Soderstrom","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","763457","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","C. Gay","s.n.","1828",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763457","NY00763457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","763461","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Eiten","1594","1959","12","16","South America","Brazil","São Paulo","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 3.4 km. NNW of Padua Sales. (27 km. NW of city of Moji-Mirim.)","-47.13","-22.28","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763461","NY00763461_01","E. Cavalheiro","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00862148","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","W. D. Clayton","4834","1965","02","24","South America","Brazil","Distrito Federal","Universidade de Brasília.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862148","NY00862148_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-29 20:57:00-03","NY","NYBG","00862117","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis",NA,"G. Gardner","1868",NA,NA,NA,"South America","Brazil",NA,"Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862117","NY00862117_01","J. E. Ebinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00862118","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","J. R. Swallen","4436","1934","04","30","South America","Brazil","Ceará","Baturité to Guaramirango",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862118","NY00862118_01","J. E. Ebinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","763468","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","F. E. Drouet","2669","1935","11","02","South America","Brazil","Ceará","Barra do Ceará","-38.5431","-3.7172",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763468","NY00763468_01","J. R. Swallen","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","884746","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","B. Luschnath","s.n.",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884746","NY00884746_01","J. E. Ebinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","763466","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","R. Reitz","2881","1956","03","22","South America","Brazil","Santa Catarina","Braço Joaquim, Luis Alves, Itajaí","-48.941177","-26.748537","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763466","NY00763466_01","J. R. Swallen","Luiz Alves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","763459","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Davidse","11848","1976","04","03","South America","Brazil","Bahia","Ca. 2 km E of Mundo Novo as measured from the intersection of Highways BA-435 and BA-052",NA,NA,"690","690","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763459","NY00763459_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1100018","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. A. Black","49-8390",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100018","NY01100018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00862122","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","G. Eiten","4082","1962","04","06","South America","Brazil","Maranhão","Ilha de Balsas region, between the Rios Balsas and Parnaíba. About 30 km. south of Loreto. About 0.5 km. N of main house of Fazenda Sao Raimundo on trail to fazenda Santa Rita","-45.125","-7.317","200","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862122","NY00862122_01","J. R. Swallen","Loreto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00862119","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","D. Philcox","3420","1968","12","06","South America","Brazil","Mato Grosso","Base Camp","-51.77","-12.82",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862119","NY00862119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00862144","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","Collector unspecified","s.n.",NA,NA,NA,"South America","Brazil",NA,"Brésil.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862144","NY00862144_01","J. E. Ebinger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1100021","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","M. H. Nee","42298","1992","01","22","South America","Brazil","Amazonas","Distrito Agropecuário da SUFRAMA, Rodovia BR 174, Km 64, then 23 Km east on ZF3, Fazenda Esteio. Former tropical evergreen forest, weeds around camp Colosso, on hard-packed clay, mostly unshaded.","-59.8885828","-2.4292245",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401336' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100021","NY01100021_01","G. Davidse","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","1100019","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","J. J. Strudwick","3400","1981","07","22","South America","Brazil","Pará","Macau airstrip, 1 1/2 hrs. upstream from Lageira airstrip, on rio Maicuru. Short cut-over vegetation, domestic area near airstrip.","-54.433333","-0.916667","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400252' target='other'> <mi>dwc_moreinfo</mi></a>","NY01100019","NY01100019_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","763463","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","W. D. Clayton","4542","1965","02","06","South America","Brazil","São Paulo","Estaçao Forestal de Paraguaçu Paulista (6 km N of city on road to Bora)","-50.57","-22.28","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187901' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763463","NY00763463_01",NA,"Paraguaçú Paulista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00862123","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","J. Jangoux","73","1978","11","29","South America","Brazil","Maranhão","Rio Alto Turiaçu, Nova Esperança","-45.75","-2.92",NA,"100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862123","NY00862123_01","M. de N. do C. Bastos","Pinheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","763455","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","horizontalis","Digitaria horizontalis","Willd.","M. Weddell",NA,"1843",NA,NA,"South America","Brazil","Rio de Janeiro","Environs de Rio-Janeiro","-43.448386","-22.913514",NA,NA,"sheet","[Collector number unclear; see specimen label] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763455","NY00763455_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
