"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","coordinatePrecision","geoFlag","maximumElevationInMeters","yearIdentified","monthIdentified","fieldNumber","dayIdentified","verbatimLongitude","verbatimLatitude","class"
"11","2021-03-01 16:36:10-03","UNICAMP","UEC","85548","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Baitello, JB","445","1994","03","28",NA,"Brazil","São Paulo","Cunha","Parque estadual da Serra do Mar, Estrada de acesso ao núcleo","-44.9599990844727","-23.0699996948242",NA,NA,"Árvore mediana, frutos claros esverdeados","UEC055413","UEC055413","Ibrahim, M","paratypus","38855","auto",NA,"2010","03",NA,NA,NA,NA,NA
"12","2020-12-21 16:36:22-03","MBM","MBM","276912","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Stehmann, J.R.; et al.; et al.","3132","2002","09","13","Southern America","Brazil","Minas Gerais","Camanducaia","Estrada para Gonçalves","-46.1446990966797","-22.7553005218506",NA,NA,NA,"MBM276912","MBM276912",NA,NA,"22140","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-03-09 17:11:54-03","MNHN","RECOLNAT_MNHN_P","P00848668","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Vasconcelos, T.N.C.|Faria, J.E.Q.",NA,"2014","11","2",NA,"Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","Estrada entre Monlevade e São Gonçalo do Rio Abaixo","-43.32278","-19.83917","765","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00848668' target='other'> <mi>dwc_moreinfo</mi></a>","P00848668","P00848668_01",NA,NA,NA,NA,NA,NA,NA,"472",NA,NA,NA,NA
"14","2020-12-11 11:39:03-03","UFMG","BHCB","36688","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Brina, AE; Costa, LVC","s.n.","1995","10","30","Southern America","Brasil","Minas Gerais","Matozinhos","APA Carste de Lagoa Santa. Fazenda Cauaia","-44.0814018249512","-19.5578002929688",NA,NA,"Próximo a afloramentos. Mata semidecídua.",NA,NA,NA,NA,"20503","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:39:03-03","UFMG","BHCB","150298","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Arzolla, FARDP","453","2004","01","28","Southern America","Brasil","São Paulo","Cunha","Estrada de acesso ao Núcleo, margens do Rio Paraibuna","-44.9599990844727","-23.0699996948242",NA,NA,"Árvore, 8m de altura, com frutos imaturos verdes. Gabiroba","BHCB003142",NA,NA,NA,"38855","auto",NA,"2004","02",NA,"06",NA,NA,NA
"16","2020-12-11 11:39:03-03","UFMG","BHCB","65168","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Stehmann, JR; Castro, IB","2996","2001","10","22","Southern America","Brasil","Minas Gerais","Camanducaia","Estrada pra São Mateus.","-46.1446990966797","-22.7553005218506",NA,NA,"Plantas do Brasil.; Árvore, ca. 5m. Folhas novas.; Mata, próxima ao rio.",NA,NA,NA,NA,"22140","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:39:03-03","UFMG","BHCB","46479","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Tameirão Neto, E","2664","1997","12","18","Southern America","Brasil","Minas Gerais","Mariana","UHE Fumaça.","-43.4160995483398","-20.377799987793",NA,NA,"Arbóreo.; Floresta Semidecidual.",NA,NA,NA,NA,"33524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2014-11-06 21:08:00-02","MO","MOBOT","1909065","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L. Kawas.","Mirtha Ortiz","Ortiz 956","1988","12","21","South America","Paraguay","Caazapá",NA,"Tavai. En bosque","-55.33333","-26.16666",NA,NA,NA,NA,NA,"L. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-11-24 14:11:42-02","UFLA","ESAL","16120","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Vilela, EA; Carvalho, DA","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Careaçu","Margem da Fernão Dias","-45.6991996765137","-22.0431003570557",NA,NA,"arvoreta; 4.00m; creme;; floresta",NA,NA,"M.Sobral",NA,"15274","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-11-24 14:11:42-02","UFLA","ESAL","15971","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Agnaldo D. F. de Carvalho","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Toledo",NA,"-46.371898651123","-22.7430992126465","1",NA,"árvore; 6.00m; ; amarelo",NA,NA,"M.Sobral",NA,"12773","auto","1",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-13 11:26:38-03","USP","SPF","185543","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Cardim, RH","38","2006","10","05",NA,"Brasil","São Paulo","Pedra Bela",NA,"-46.399167","-22.745","1103",NA,NA,"SPF00185543",NA,"Faria, JEQ",NA,NA,NA,"1103","2012","10",NA,NA,"-46.399167","-22.745",NA
"22","2019-11-13 11:26:38-03","USP","SPF","160888","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Stehmann, JR","2996","2001","10","22",NA,"Brasil","Minas Gerais","Camanducaia",NA,"-46.1446990966797","-22.7553005218506",NA,NA,NA,"SPF00160888",NA,"Sobral, M",NA,"22140","auto",NA,"2004",NA,NA,NA,NA,NA,NA
"23","2019-11-13 11:26:38-03","USP","SPF","156764","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Stehmann, JR","3132","2002","09","13",NA,"Brasil","Minas Gerais","Camanducaia","coordenadas UTM&nf;23K&nf;0382402 S&nf;7403259 W","-46.1446990966797","-22.7553005218506","1000",NA,NA,"SPF00156764",NA,"Anônimo",NA,"22140","auto","1000",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-13 11:26:38-03","USP","SPF","67636","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Mello-Silva, R","92","1989","10","22",NA,"Brasil","Minas Gerais","Cristina",NA,"-45.2641983032227","-22.2119007110596",NA,NA,NA,"SPF00067636",NA,"Faria, JEQ","paratype","13513","auto",NA,"2012","10",NA,NA,NA,NA,NA
"25","2019-11-13 11:26:38-03","USP","SPF","155566","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Mello-Silva, R","1985","2002","11","08",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,NA,"SPF00155566",NA,"Stadnik, A; Melo, JDO",NA,"57119","auto",NA,"2019","07",NA,NA,NA,NA,NA
"26","2019-10-07 09:35:08-03","UEFS","HUEFS","83425","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","França, F.","4873","2004","01","30",NA,"Brasil","São Paulo","Santo Antônio do Pinhal","Pousada Champagny.","-45.7","-22.8","980",NA,"Mata com Araucária.","HUEFS0083425","HUEFS0083425","M.Ibrahim",NA,NA,NA,"980","2011","12",NA,NA,"45W42'","22S48'","Rosanae"
"27","2019-10-07 09:35:08-03","UEFS","HUEFS","162626","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Souza, M.C.","467","2006","10","27",NA,"Brasil","São Paulo","Cunha","Estrada para Pedra da Marcela.","-44.9599990844727","-23.0699996948242",NA,NA,NA,"HUEFS0162626","HUEFS0162626",NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA,"Rosanae"
"28","2019-09-04 18:21:21-03","F","FMNH-SEEDPLANTS","V0064890F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans",NA,"G. F. Arbocz","890","1994","10","8","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0064890F","V0064890F_01",NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"29","2019-02-27 14:02:38-03","UFSJ","HUFSJ","5949","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Sobral, M","15594","2013","12","28",NA,"Brasil","Minas Gerais","Barbacena","Pinheiro","-43.709278","-21.190722","102",NA,"Árvore 3-4 m, em resto de mata junto à BR-265; casca rugosa; flores fenecidas; frutos imaturos.","HUFSJ005949",NA,"Sobral, M",NA,NA,NA,"102","2013",NA,NA,NA,"-43.709278","-21.190722",NA
"30","2019-02-27 14:02:38-03","UFSJ","HUFSJ","6695","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Faria, JEQ","3128","2012","12","03",NA,"Brasil","Minas Gerais",NA,"Margem da BR-381 entre João Monlevade e São Gonçalo do Rio Abaixo",NA,NA,NA,NA,"Árvore ca. 5 m de altura, caule soltando placas de ritidoma, botão floral verde","HUFSJ006695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-02-27 14:02:38-03","UFSJ","HUFSJ","6024","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Sobral, M","15669","2014","01","08",NA,"Brasil","Minas Gerais","Ouro Preto","Itatiaia","-43.621528","-20.499028","107",NA,"Árvore 5 m, em interior de mata junto à MG-129; casca rugosa; flores fecundadas; cálices creme.","HUFSJ006024",NA,"Sobral, M",NA,NA,NA,"107","2014",NA,NA,NA,"-43.621528","-20.499028",NA
"32","2020-11-12 17:01:50-03","UEL","FUEL","39088","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Arzolla, FARDP","377","2003","12","23",NA,"Brasil","São Paulo","Cunha","Estrada de acesso ao Núcleo","-44.9599990844727","-23.0699996948242",NA,NA,NA,"FUEL008265",NA,"Aguiar, OT",NA,"38855","auto",NA,"2004","01",NA,"15",NA,NA,NA
"33","2019-11-01 15:05:16-03","UnB","UB","187474","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L. Kawas.","Mello-Silva, R; et al.","92","1989","10","22","Southern America","Brasil","Minas Gerais","Cristina","Saída da cidade, próxima a entrada para Carmo de Minas","-45.2641983032227","-22.2119007110596",NA,NA,"Árvore 7m. Ritidoma avermelhado. Botões verdes com corola creme.; Interior e orla de mata","UB0040065","UB0040065","Faria, JEQ","isoparatype","13513","auto",NA,"2012","10",NA,NA,NA,NA,NA
"34","2019-11-01 15:05:16-03","UnB","UB","169110","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L. Kawas.","Souza, MC; Sobral, M; Salgueiro, F","467","2006","10","27","Southern America","Brasil","São Paulo","Cunha","Estrada para Pedra da Marcela.","-44.96","-23.07",NA,NA,"Arbusto de 3 metros de altura com flores.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-44.96","-23.07",NA
"35","2019-11-01 15:05:16-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L. Kawas.","Nogales, T; Faria, JEQ","472","2014","11","02","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","Estrada entre Monlevade e São Gonçalo do Rio Abaixo.","-43.322778","-19.839167","765",NA,NA,NA,NA,NA,NA,NA,NA,"765",NA,NA,NA,NA,"-43.322778","-19.839167",NA
"36","2019-11-01 15:05:16-03","UnB","UB","199185","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L. Kawas.","Faria, JEQ","3128","2012","12","03","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","Margem da BR-381 entre João Monlevade e São Gonçalo do Rio Abaixo","-43.3622016906738","-19.826099395752",NA,NA,"Árvore ca. 5 m de altura, caule soltando placas de ritidoma, botão floral verde; Floresta ombrófila perturbada",NA,NA,"Faria, JEQ",NA,"17525","auto",NA,"2012","12",NA,NA,NA,NA,NA
"37","2021-03-04 15:45:14-03","IF","SPSF","32865","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans",NA,"F.A.R.D.P.Arzolla","377","2003","12","23","América do Sul","Brasil","SP","Cunha","estrada de acesso ao Núcleo","-44.9599990844727","-23.0699996948242",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"38","2021-03-04 15:45:14-03","IF","SPSF","33018","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","simulans","Campomanesia simulans",NA,"F.A.R.D.P.Arzolla","453","2004","01","28","América do Sul","Brasil","SP","Cunha","Parque Estadual, trilha do rio Bonito","-44.9599990844727","-23.0699996948242",NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: margens do rio Paraibuna&nf;;",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"39","2019-11-21 10:11:13-03","IBt","SP","488223","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Sobral, M","15594","2013","12","28",NA,"Brasil","Minas Gerais","Barbacena","Pinheiro Grosso","-43.709167","-21.190833","1028",NA,NA,"SP056424","SP056424","Sobral, M",NA,NA,NA,"1028","2013",NA,NA,NA,"-43.709167","-21.190833",NA
"40","2019-11-21 10:11:13-03","IBt","SP","338939","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Mello-Silva, R; Pirani, JR; Simão Bianchini, R; Fernandes, JB; Ferreira, AG","92","1989","10","22",NA,"Brasil","Minas Gerais","Cristina","Mata a saida da cidade, próxima a estrada para Carmo de Minas.","-45.2641983032227","-22.2119007110596",NA,NA,"Árvore 7m alt., no interior e orla da mata. Ritidoma avermelhado, botões verdes com corola creme.","SP001882","SP001882","Kawasaki, ML","Paratype","13513","auto",NA,"2000",NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:11:13-03","IBt","SP","339081","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Tameirão Neto, E","2664","1997","12","18",NA,"Brasil","Minas Gerais","Mariana","Floresta semidecidual. UHE Fumaça.","-43.4160995483398","-20.377799987793",NA,NA,"Hábito arbóreo.","SP001883","SP001883","Kawasaki, ML","Paratype","33524","auto",NA,"2000",NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:11:13-03","IBt","SP","269931","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Wajntal, A","s.n.","1994","01","16",NA,"Brasil","Santa Catarina","Pinhalzinho","Entre Bragança Paulista e Socorro","-52.9919013977051","-26.8481006622314",NA,NA,"Árvore em mata secundária, frutos verdes procurados por bugios","SP056423","SP056423","Kawasaki, ML",NA,"11281","auto",NA,"2000",NA,NA,NA,NA,NA,NA
"43","2019-11-21 10:11:13-03","IBt","SP","334059","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Baitello, JB","445","1994","03","28",NA,"Brasil","São Paulo","Cunha","Parque Estadual da Serra do Mar, Estrada de acesso ao núcleo","-44.9599990844727","-23.0699996948242",NA,NA,"Árvore mediana, frutos claros esverdeados","SP056425","SP056425","Kawasaki, ML",NA,"38855","auto",NA,"2000",NA,NA,NA,NA,NA,NA
"44","2019-11-21 10:11:13-03","IBt","SP","334058","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Árbocz, GF","890","1994","10","08",NA,"Brasil","São Paulo","Socorro","Estrada das guabirobas","-46.5200004577637","-22.5900001525879",NA,NA,"Árvore ca. 7 m alt. Flores brancas","SP000117","SP000117","Kawasaki, ML","Holotype","17674","auto",NA,"2000",NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:11:13-03","IBt","SP","334050","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","simulans","Campomanesia simulans","M.L.Kawas.","Árbocz, GF","3","1993","10","21",NA,"Brasil","São Paulo","Socorro","Mata semidecídua, local seco, livre de inundações, solo LVA","-46.5200004577637","-22.5900001525879",NA,NA,"Árvore ca. 6m alt., flores brancas, frutos verde-amarelados, sementes avermelhadas","SP056426","SP056426","Kawasaki, ML",NA,"17674","auto",NA,"2000",NA,NA,NA,NA,NA,NA
