"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","relatedCatalogItem"
"11","2020-12-21 16:25:52-03","MBM","MBM","70194","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","Barneby, R.C.","Hatschbach, G.","42886","1980","03","22","Southern America","Brazil","Minas Gerais","Grão Mogol","Serra do Pipiri","-42.8897018432617","-16.5594005584717",NA,"arbusto 1m, muito ramoso e compacto. Flor amarela.; Campo rupestre.","MBM070194","MBM070194","ISOTYPE","1981","67219","auto","1050","1050",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:35:48-03","UFMG","BHCB","113659","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby",NA,"Souza, DT","306","2007","08","16","Southern America","Brasil","Minas Gerais","Grão Mogol","Fazenda São Francisco., Trecho de sondagem da SAM (Votoramtim)","-42.901683","-16.599167",NA,"Arbusto. Frutos imaturos marrons.; Cerrado.","BHCB013029",NA,NA,"2015",NA,NA,NA,NA,"05","10","-42.901683","-16.599167",NA,NA,NA
"13","2020-12-11 11:35:48-03","UFMG","BHCB","6804","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby",NA,"Martinelli, G; et al.","11206","1985","07","20","Southern America","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,"Arbusto, 2,2m. Heliófila. Frequente. Folhas discolores. Frutos imaturos verdes e quando maduros vinosos. Com glândulas (pelos) viscosos; Cerrado aberto.","BHCB013041",NA,NA,"2015","67219","auto","600","800","05","10",NA,NA,NA,NA,NA
"14","2020-12-11 11:35:48-03","UFMG","BHCB","100722","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby",NA,"Vidal, CV","194","2006","04","13","Southern America","Brasil","Minas Gerais","Grão Mogol","Parque Estadual de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,"Arbustivo (1,50 m); Campo rupestre.","BHCB010986",NA,NA,"2013","67219","auto",NA,NA,"11","14",NA,NA,NA,NA,NA
"15","2020-08-31 08:51:22-03","INPA","INPA","109932","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","Irwin, HS; Barneby, RC","Hatschbach, GG","42886","1980","03","22","Southern America","Brasil","Minas Gerais","Grão Mogol","Serra do Pipiri. Campo rupestre.","-42.8897018432617","-16.5594005584717",NA,NA,"INPA0109932","INPA0109932 INPA0109932_e","isotype",NA,"67219","auto","1050","1050",NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3034582","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum",NA,NA,"G. Hatschbach","46341","1983","5","13","South America - Neotropics","Brazil","Minas Gerais","Águas Vermelhas","Rod. br-116; 5 km s da divisa alegre","-41.4599990844727","-15.747200012207",NA,NA,"US00373194","US00373194_01",NA,NA,"36450","auto",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"17","2019-11-13 11:21:56-03","USP","SPF","226210","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","Cota, MMT","Verdi, M","7048","2014","06","24",NA,"Brasil","Minas Gerais","Grão Mogol","Parque Estadual de Grão Mogol, Serra do Curiacá, a partir da floresta no início dos campos rupestres até o ponto georreferenciado (meio encosta).","-42.878611","-16.358611",NA,NA,"SPF00226210",NA,NA,"2019",NA,NA,"1116","1116","09",NA,"-42.878611","-16.358611",NA,NA,NA
"18","2019-11-13 11:21:56-03","USP","SPF","22945","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","Mello-Silva, R","Rossi, L","CFCR1019","1981","04","16",NA,"Brasil","Minas Gerais",NA,"Estrada de Grão Mogol a Montes Claros.",NA,NA,NA,NA,"SPF00022945",NA,NA,"1986",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA
"19","2019-11-13 11:21:56-03","USP","SPF","33846","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","Barneby, RC","Hatschbach, G","46341","1983","05","13",NA,"Brasil","Minas Gerais","Águas Vermelhas",NA,"-41.4599990844727","-15.747200012207",NA,NA,"SPF00033846",NA,NA,"1983","36450","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-05-08 11:09:27-03","UEFS","HUEFS","221669","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","L.P.Queiroz","Verdi, M.","7048","2014","06","24",NA,"Brasil","Minas Gerais","Grão Mogol","Parque Estadual de Grão Mogol. Serra do Curiacá, a partir da floresta no início dos campos rupestres até o ponto georreferenciado (meio encosta).","-42.878611","-16.358611",NA,"Campo rupestre.","HUEFS0221669","HUEFS0221669",NA,"2018",NA,NA,"1116","1116","10",NA,"42W52'43''","16S21'31''","Rosanae",NA,NA
"21","2020-05-08 11:09:27-03","UEFS","HUEFS","31044","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby",NA,"Rossi, L.","1019","1981","04","16",NA,"Brasil","Minas Gerais",NA,"Estrada de Grão-Mogol a Montes claros (cerrado) beira da estrada.",NA,NA,NA,NA,"HUEFS0031044","HUEFS0031044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"22","2020-05-08 11:09:27-03","UEFS","HUEFS","113400","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","fodinarum","Chamaecrista fodinarum","H.S.Irwin & Barneby","M.Cota","Vidal, C.V.","194","2006","04","13",NA,"Brasil","Minas Gerais","Grão Mogol","Parque Estadual de Grão Mogol.","-42.8897018432617","-16.5594005584717",NA,NA,"HUEFS0113400","HUEFS0113400",NA,"2017","67219","auto",NA,NA,"02",NA,NA,NA,"Rosanae",NA,NA
"23","2020-07-23 12:01:46-03","CEPLAC","CEPEC","51082","PreservedSpecimen","Plantae",NA,NA,"Caesalpiniaceae","Chamaecrista","fodinarum","Chamaecrista fodinarum",NA,"R. C. Barneby","G. Hatschbach","46341","1983","05","13",NA,"Brasil","Minas Gerais","ÁGUAS VERMELHAS","BR-116, 5Km ao S da Divisa Alegre-MG.","-41.4599990844727","-15.747200012207",NA,NA,NA,NA,NA,NA,"36450","auto",NA,NA,NA,NA,"0*0'0","0*0'0",NA,NA,"30/12/1983"
