"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","typeStatus","class","infraspecificEpithet","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","00925821","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","annua","Fimbristylis annua","(All.) Roem. & Schult.","G. Davidse",NA,"W. L. Balée","1987","06","29","Brazil","Maranhão","Monçao","P.I. Guajá,Rio Turiaçu. Guajá Indians","-46.08","-3.12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=723732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925821","NY00925821_01",NA,NA,"3502",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00925822","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"Y. E. J. Mexia","1930","02","22","Brazil","Minas Gerais","Viçosa","Agricultural College lands; lawn east of Director's house.","-42.868031","-20.7613428",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925822","NY00925822_01",NA,NA,"4383","680","680","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00925799","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"H. S. Irwin","1969","03","09","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 10 km south of Cavalcante","-47.5","-13.89039",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925799","NY00925799_01",NA,NA,"24126","1000","1000","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","602353","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","R. Kral",NA,"F. C. Hoehne","1931","04","01","Brazil","São Paulo",NA,"Parque do Estado, S.Paulo.","-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602353","NY00602353_01",NA,NA,"27409",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-11-01 14:28:00-02","NY","NYBG","568877","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma",NA,"A. P. do N. Prata",NA,"M. Alves","2000","06","15","Brazil","Sergipe","Santa Luzia do Itanhi","Estrada em direçao ao distrito de Crasto, a 1 Km, Fazenda do Sr. Jorge após o coqueiral - Mata do Fundao.","-37.4033","-11.3511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=204267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568877","NY00568877_01",NA,NA,"2056",NA,"50","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","755411","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"G. T. Prance","1968","10","01","Brazil","Acre","Sena Madureira","Trail to Rio Iaco from km 7 of road from Sena Madureira to Rio Branco","-68.6567","-9.0658",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00755411","NY00755411_01",NA,NA,"7702",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01405575","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","O. Kosovsky",NA,"J. M. Schunke-Vigo","2002","03","20","Peru","Ucayali","Purús","Dtto. Purús. Al este del Aeropuerto de Puerto Esperanza.","-70.95","-10.2",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2958044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405575","NY01405575_01",NA,NA,"S15121","190","190","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","602314","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"R. M. Harley","1974","03","26","Brazil","Bahia",NA,"Belmonte, on S.W. outskirts of town.","-38.88","-15.87",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602314","NY00602314_01",NA,NA,"17458",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-10-28 15:20:00-02","NY","NYBG","00925819","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma",NA,NA,NA,"L. O. Williams","1945","03","12","Brazil","Minas Gerais","Belo Horizonte","Swampy stream within city.","-43.9378","-19.9208",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925819","NY00925819_01",NA,NA,"5945","1000","1000","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-11-01 11:49:00-02","NY","NYBG","602352","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma",NA,NA,NA,"L. R. de M. Baptista","1972","07","10","Brazil","Rio Grande do Sul",NA,"Parque de Torres-Baixada N atrás dunas prim.",NA,NA,NA,NA,"Série 1.46 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602352","NY00602352_01",NA,NA,"ICN28208",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01177065","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"G. T. Prance","1968","10","28","Brazil","Amazonas","Lábrea","2-3 km. SW of lábrea. Forest on terra firme.","-64.8142187","-7.2810813",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412227' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177065","NY01177065_01",NA,NA,"8014",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","602350","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","E. R. Guaglianone",NA,"G. Martinelli","1985","05","19","Brazil","Bahia","Ilhéus","Estrada Olivença-Marium, entre os kms 7-10, restinga arbórea.","-39.0549722","-14.9889625",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602350","NY00602350_01",NA,NA,"11109","50","50","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","602347","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","W. W. Thomas",NA,"O. dos S. Ribas","1996","02","11","Brazil","Santa Catarina","Curitibanos","Rod. BR-470, km 209.","-50.5842","-27.2831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602347","NY00602347_01",NA,NA,"1221",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","02618575","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"J. A. Steyermark","1976","08","26","Brazil",NA,NA,"Terr. Rio Branco. Pakaraima Camp of Brazilian-Venezuelan Comision Mixta de Fronteras, by La Linea, 0.5 km. south of the Venezuelan-Brazilian frontier.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2920832' target='other'> <mi>dwc_moreinfo</mi></a>","NY02618575","NY02618575_01",NA,NA,"112409","850",NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01177068","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"G. S. Pinheiro","1974","04","06","Brazil","Pará",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412346' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177068","NY01177068_01",NA,NA,"299",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00925800","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"H. S. Irwin","1969","03","14","Brazil","Goiás","Cavalcante","Ca. 40 km north of Veadeiros. Chapada dos Veadeiros.","-47.51669","-13.75517",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925800","NY00925800_01",NA,NA,"24347","1000","1000","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01405427","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","O. Kosovsky",NA,"J. M. Schunke-Vigo","2002","03","12","Peru","Ucayali","Purús","Dtto. Purús. Fundo ganadero L. & G., 8 km. Abajo del Puerto Esperanza, margen derecho del Río Purús","-70.95","-10.2",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2958045' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405427","NY01405427_01",NA,NA,"S15017","150","190","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","602326","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"R. Reitz","1952","12","22","Brazil","Santa Catarina",NA,"Palhoça.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602326","NY00602326_01",NA,NA,"5070","5","5","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","636962","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"A. F. M. Glaziou","1871","11","02","Brazil","Rio de Janeiro",NA,"S. Christorao.","-43.223622","-22.897149",NA,NA,"Reçu le 10 Janvier 187_ <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636962","NY00636962_01",NA,NA,"s.n.",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-10-28 15:20:00-02","NY","NYBG","00925826","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma",NA,NA,NA,"S. L. M. Moore","1891",NA,NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925826","NY00925826_01",NA,NA,"743",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00925815","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"K. Mizoguchi","1978","03","11","Brazil","Mato Grosso do Sul","Dourados","Fazenda de Caranba. Estrada Maracaju 35 km N from Dourados.","-54.8056","-22.2211",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001696' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925815","NY00925815_01",NA,NA,"523","650","700","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01177069","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"G. S. Pinheiro","1974","04","07","Brazil","Pará",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412348' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177069","NY01177069_01",NA,NA,"554",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00925807","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"H. S. Irwin","1971","01","14","Brazil","Minas Gerais",NA,"Serra do Espinhaço, near base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.676328","-19.820266",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925807","NY00925807_01",NA,NA,"30368","1600","1600","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00925811","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"E. P. Heringer","1976","01","03","Brazil","Goiás","Caldas Novas","Cia Termas do Rio Quente.","-48.6247","-17.7419",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925811","NY00925811_01",NA,NA,"15255",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","602324","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl",NA,NA,"R. M. Klein","1961","11","26","Brazil","Santa Catarina",NA,"Avenida Vasconcelos Drumond, Itajaí.","-48.661316","-26.91978",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602324","NY00602324_01",NA,NA,"2851","5","5","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00925794","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","R. Kral",NA,"T. M. Koyama","1970","02","07","Brazil","Minas Gerais",NA,"Road between Varginha to Elói Mendes.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925794","NY00925794_01",NA,NA,"13710",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-29 15:11:00-03","NY","NYBG","636969","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma",NA,"E. R. Guaglianone",NA,"F. O. Zuloaga","1996","04","16","Argentina","Misiones","General Manuel Belgrano","Ruta Nac. 14, de Piñalito a Bernardo de Irigoyen, 5 km de Dos Hermanas.","-53.73","-26.32",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563648' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636969",NA,NA,NA,"5597","780","780","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","602320","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"S. A. Mori","1979","04","02","Brazil","Bahia","Ilhéus","CEPEC, km 22 da Rodovia Ilhéus/Itabuna. Quadra E'.","-39.2273659","-14.771874",NA,NA,"A coleta é testemunha para um estudo de plantas invasoras. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602320","NY00602320_01",NA,NA,"11648",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01177070","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"G. S. Pinheiro","1974","04","07","Brazil","Pará",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1412351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177070","NY01177070_01",NA,NA,"605",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","602337","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"J. P. Lanna Sobrinho","1965","02","28","Brazil","Rio de Janeiro",NA,"Angra dos Reis, de Juçaral a Ferro Velho.","-44.273896","-22.940546",NA,NA,"Centro de Pesquisas Florestais e Conservaçao da Natureza Tijuca - Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602337","NY00602337_01",NA,NA,"815",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00925793","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"W. R. Anderson","1973","04","30","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia.","-51.81666667","-17.0566",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925793","NY00925793_01",NA,NA,"9521","860","860","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","602331","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"R. P. Belém","1965","07","08","Brazil","Bahia",NA,"Margem do Rio Cachoeira. CEPEC, Ilhêus.","-39.2264351","-14.7874296",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=563613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602331","NY00602331_01",NA,NA,"1346",NA,NA,"Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00925806","PreservedSpecimen","Plantae","Cyperaceae","Fimbristylis","dichotoma","Fimbristylis dichotoma","(L.) Vahl","T. M. Koyama",NA,"H. S. Irwin","1970","02","04","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 5 km N.W. of Paracatú","-46.8727778","-17.22555",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925806","NY00925806_01",NA,NA,"29606","800","800","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
