"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","yearIdentified","monthIdentified","dayIdentified"
"11","2020-02-08 09:04:40-03","NBC","NL-BOTANY","U.1593435","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"Krukoff BA",NA,"1933","07","05","Southern America","Brazil",NA,NA,"Brazilian amazonia, basin of rio jurua, state of amazonas: near mouth of rio embira ( tributary of rio tarauaca).","-70.25","-7.5",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1593435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1593435","NL-U1593435",NA,"Magnoliopsidae","-70.25","-7.5",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:04:34-03","NBC","NL-BOTANY","U 0006672","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"Krukoff BA",NA,"1933","07","01","Southern America","Brazil","Amazonas",NA,"Basin of Rio JuruaState of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006672","NL-U0006672","isotype","Magnoliopsidae","-70.25","-7.5","20455 A",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:04:34-03","NBC","NL-BOTANY","U 0006671","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"Krukoff BA",NA,"1933","07","01","Southern America","Brazil","Amazonas",NA,"Basin of Rio JuruaState of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006671","NL-U0006671","isotype","Magnoliopsidae","-70.25","-7.5","20454 A",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:04:34-03","NBC","NL-BOTANY","L.1081668","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"Krukoff BA",NA,"1933","07","01","Southern America","Brazil","Amazonas",NA,"Basin of Rio JuruaState of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1081668 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1081668","NL-L1081668","isotype","Magnoliopsidae","-70.25","-7.5","Uw19776",NA,NA,NA,NA,NA,NA,NA
"15","2011-04-22 13:11:00-03","MO","MOBOT","1523181","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","M. J. Macía","Manuel J. Macía|A.P. Yanez|Comunidad Huaorani de Tiputini","Macía 1067","1997","8","11","South America","Ecuador","Orellana",NA,"Parque Nacional Yasuní. Carretera Pompeya Sur-Iro, Tierra firme Km. 41. Plot # 2.","-76.4294445","-0.6658333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"250.00000000","300.00000000","1",NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","3321146","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","T.D. Pennington","C.A. Cid Ferreira","Cid Ferreira 10805","1992","3","14","South America","Brazil","Acre",NA,"Mun de Cruzeiro do Sul, alto rio Juruá, margem esquerda, localidade Tapauna, seringal São João. Mata de terra firme, solo arenoso.","-72.23333","-9.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-06-08 12:20:00-03","MO","MOBOT","3378340","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","T. Pennington","Manuel Rimachi Y.","Rimachi Y. 3106","1977","6","20","South America","Peru","Loreto","Maynas","Iquitos. Río nanay, upland across river from Bellavista.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-01-31 23:48:00-02","MO","MOBOT","3378365","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","T. D. Pennington","Douglas C. Daly|M. Silveira|R.S. Saraiva|F.C. Walthier|D. Silva|M. de Pardo","Daly 8002","1993","11","2","South America","Brazil","Acre",NA,"Porto Acre. Flat terrain not flooded or only shallowly and briefly. Discontinuous canopy @ 25m, understory vegetation dense.","-67.63333","-9.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-01-28 05:47:00-02","MO","MOBOT","406986","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","A. Rudas (COL)","Agustin Rudas L.|Adriana Prieto","Rudas Lleras 3137","1991","9","23","South America","Colombia","Amazonas",NA,"Municipio de Leticia. Parque Nacional Natural Amacayacu. Centro Administrativo Mata-matá; alrededores de la cabaña, en zone de várzea.","-70.25","-3.78333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000",NA,"5","60",NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","408143","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","A. Rudas (COL)","John James Pipoly, III","Pipoly 15360","1991","4","13","South America","Colombia","Amazonas",NA,"Parque Nacional Natural Amacayacu. Cantro Adminstrativo Amacayacu INDERENA; a la orilla del Río Amacayacu. Bosque alto sobre maduro sobre suelos arcillosos. Várzea.","-70.25","-3.78333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000",NA,"6","29",NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","408162","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","A. Rudas (COL)","John James Pipoly, III","Pipoly 15370","1991","4","13","South America","Colombia","Amazonas",NA,"Parque Nacional Natural Amacayacu. Cantro Adminstrativo Amacayacu INDERENA; a la orilla del Río Amacayacu. Bosque alto sobre maduro sobre suelos arcillosos. Várzea.","-70.25","-3.78333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000",NA,"10","29",NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","408272","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","T.D. Pennington (K)","John James Pipoly, III|et al.","Pipoly 13132","1991","2","20","South America","Peru","Loreto","Maynas","Region de Amazonas, Dtto. Las Amazonas. Explornapo Camp. Inventario MacArthur; cerca de Sucusari, a lo largo del río Napo. Bosque primario en terra firme. PARCELA A","-72.91666","-3.33333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000","140.00000000","4","32",NA,NA,NA
"23","2018-12-29 04:34:00-02","MO","MOBOT","713144","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","A. Rudas (COL)","Agustin Rudas L.|Adriana Prieto|C. Rodríguez","Rudas Lleras 5457","1992","7","13","South America","Colombia","Amazonas","Tarapacá","Corregimiento de Tarapacá. Parque Nacional Natural Amaycayacu. Sector Lorena (R. Cotuhé) bosque de terra-firme. Parcela permanente #2. Cuadrado U15.","-70","-3.03333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000",NA,"4","222",NA,NA,NA
"24","2009-10-30 07:48:00-02","MO","MOBOT","2131960","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","T.D. Pennington","Boris A. Krukoff","Krukoff 5122","1933","7","1","South America","Brazil","Amazonas",NA,"Near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,NA,NA,NA,"Type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2009-10-30 07:48:00-02","MO","MOBOT","3378546","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","T. D. Pennington","Boris A. Krukoff","Krukoff 5201","1933","7","5","South America","Brazil","Amazonas",NA,"On varzea land (restinga alta). Near mouth of Rio Embira (tributary of Rio Tarauaca). Basin of Rio Jurua.","-70.25","-7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2011-04-22 12:40:00-03","MO","MOBOT","1523199","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.","M. J. Macía","Manuel J. Macía|A.P. Yanez|comunidad Huaorani de Dicaro","Macía 869","1997","8","1","South America","Ecuador","Orellana",NA,"Parque Nacional Yasuní. Carretera Pompeya Sur-Iro, Plano inundable Km. 84,7. Plot # 21.","-76.2786111","-0.8641667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"250.00000000","300.00000000","1",NA,NA,NA,NA
"27","2020-08-31 08:54:55-03","INPA","INPA","230993","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.","Pennington, TD","Daly, DC","8002","1993","11","02","Southern America","Brasil","Acre","Porto Acre","Reserva Florestal de Humaitá, Rio Acre, basin of Rio Purus, Reserva Florestal de Humaitá, 4 hours downstream from Rio Branco by inboard-engine boat","-69.216667","-9.75",NA,NA,"INPA0230993","INPA0230993 INPA0230993_e",NA,NA,"-69.216667","-9.75",NA,NA,NA,NA,NA,"1995","01","01"
"28","2020-09-12 05:00:02-03","US","US","3659461","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.",NA,"J. J. Pipoly","15370","1991","4","13","South America - Neotropics","Colombia","Amazônas",NA,"Parque Nacional Natural Amacayacu. Cantro Administrativo Amacayacu INDERENA; a la orilla del Río Amacayacu","-70.25","-3.78",NA,NA,"US02702223","US02702223_01",NA,"Dicotyledonae",NA,NA,NA,"100",NA,"1",NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","1662844","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.",NA,"B. A. Krukoff","5122","1933","7","1","South America - Neotropics","Brazil","Amazonas",NA,"Near mouth of Rio Embira, tributary of Rio Tarauaca.","-70.25","-7.5",NA,NA,"US00588740","US00588740_01","Isotype","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","3673305","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.",NA,"J. J. Pipoly","15370","1991","4","13","South America - Neotropics","Colombia","Amazônas",NA,"Parque Nacional Natural Amacayacu. Cantro Administrativo Amacayacu INDERENA; a la orilla del Río Amacayacu","-70.25","-3.78",NA,NA,"US02702222",NA,NA,"Dicotyledonae",NA,NA,NA,"100",NA,"1",NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","1662878","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D. Penn.",NA,"B. A. Krukoff","5201","1933","7","5","South America - Neotropics","Brazil","Amazonas",NA,"Brazilian Amazonia, Basin of Jurua, On varzea land (restinga alta) near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,NA,"US02702224","US02702224_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"32","2018-04-04 16:32:25-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala",NA,"RRC ID Flag","B. A. Krukoff","5201",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"5201",NA,NA,NA
"33","2019-09-04 18:29:20-03","F","FMNH-SEEDPLANTS","V0072173F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala",NA,NA,"B. A. Krukoff","5122","1933","7","1","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0072173F","V0072173F_01","Isotype","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-04-16 14:20:21-03","F","FMNH-SEEDPLANTS","V0325204F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0325204F","V0325204F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-04-16 14:20:22-03","F","FMNH-SEEDPLANTS","V0325205F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0325205F","V0325205F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-06-11 13:05:06-03","F","FMNH-SEEDPLANTS","V0389396F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala",NA,"RRC ID Flag","M. Rimachi Y.","3106","1977","6","20","South America","Peru","Loreto",NA,NA,"-75","-4",NA,NA,"V0389396F","V0389396F_01 V0389396F_02",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"3106",NA,NA,NA
"37","2019-06-11 13:04:10-03","F","FMNH-SEEDPLANTS","V0389397F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala",NA,"RRC ID Flag","J. Schunke V.","2838","1968","12","9","South America","Peru","Huánuco",NA,NA,"-75.8333","-9.5",NA,NA,"V0389397F","V0389397F_01 V0389397F_02",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"2838",NA,NA,NA
"38","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","nudipetala","Pouteria nudipetala","(Mart. ex Miq.) Ducke",NA,"Walthier, F","4",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","nudipetala","Pouteria nudipetala","(Mart. ex Miq.) Ducke",NA,"Veloso, AOD","117",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","nudipetala","Pouteria nudipetala","(Mart. ex Miq.) Ducke",NA,"Ferreira, L","75",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","nudipetala","Pouteria nudipetala","(Mart. ex Miq.) Ducke",NA,"Cid Ferreira, CA","9551",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","nudipetala","Pouteria nudipetala","(Mart. ex Miq.) Ducke",NA,"Cid Ferreira, CA","9549",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","nudipetala","Pouteria nudipetala","(Mart. ex Miq.) Ducke",NA,"Daly, DC","8303",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-09-18 09:32:40-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Laurales","Siparunaceae","Pouteria","nudipetala","Pouteria nudipetala","(Mart. ex Miq.) Ducke",NA,"Dias, ATG","158",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-12 16:59:12-03","UEL","FUEL","32470","PreservedSpecimen","Plantae","Tracheophyta","Ericales","Sapotaceae","Pouteria","nudipetala","Pouteria nudipetala","T.D.Penn.",NA,"C.A. Cid Ferreira; et al.","10805","1992","03","14",NA,"Brasil","Acre","Cruzeiro do Sul","Tapauna, seringal São João, mata de terra firme, solo arenoso, alto do rio Juruá, margem esquerda","-72.233333","-9.2",NA,NA,NA,NA,NA,NA,"-72.233333","-9.2",NA,NA,NA,NA,NA,NA,NA,NA
