"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","barcode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","year","month","day","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","individualCount","preparationType","dayIdentified"
"11","2020-12-21 16:40:07-03","MBM","MBM","25806","PreservedSpecimen","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steudel) Ekman","Hatschbach, G.","66","Southern America","Brazil","Paraná","Florestal","MBM025806","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,"= 197311","MBM025806","Parodi, L.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:40:07-03","MBM","MBM","197311","PreservedSpecimen","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steudel) Ekman","Hatschbach, G.","66","Southern America","Brazil","Paraná","Piraquara","MBM197311","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,NA,NA,NA,NA,"= 25806",NA,"Clayton, W.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2011-03-16 21:53:00-03","MO","MOBOT","2476038","PreservedSpecimen","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees) Ekman","Bernardo Rosengurtt|Osvaldo Del Puerto","Rosengurtt 8984","South America","Brazil","Rio Grande do Sul","campo entre Panambi y Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-06-29 12:11:00-03","MO","MOBOT","101053107","PreservedSpecimen","Plantae",NA,"Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees) Matthei","Liliana Essi|José F.M. Valls|A. Guglieri|Sonia Hefler","Essi Li101","South America","Brazil","Rio Grande do Sul","BR 386, Km 252, próximo do arroio Tatim, antes do Parque das Tuias.",NA,"Soledade","-52.4476666","-28.8471666",NA,NA,NA,NA,"2003","11","20",NA,NA,"L. Essi",NA,NA,NA,"640.00000000",NA,NA,"1",NA,NA
"15","2020-09-02 16:36:22-03","Cenargen","CEN","51225","PreservedSpecimen","Plantae",NA,"Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","José Francisco Montenegro Valls","14947",NA,"Brasil","RS","Pouco adiante do Arroio Tatim, na chegada a Soledade desde Porto Alegre, a leste da rodovia.","CEN00051225","SOLEDADE","-52.5102996826172","-28.8183002471924","42411","auto",NA,NA,"2003","11","20","Erva débil, com poucos afilhos. Outras plantas da mesma população foram coletadas na mesma oportunidade por Liliana Essi, para estudos evolutivos, sob número L. Essi 101.","CEN00051225","L. Essi","2014","-5244833.0","-2884694.0","620","620","10","5","Exsicatas",NA
"16","2020-08-20 14:59:33-03","UFSC","FLOR","17389","PreservedSpecimen","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","Nees ex Steud.","Daltrini, C.","s.n.",NA,"Brasil","Paraná","BR-376 (norte).","FLOR0017389","São José dos Pinhais","-49.2064018249512","-25.5347003936768","45291","auto",NA,"Poales","2011","12","21","erva, 0,35m altura, flor branca","FLOR0017389","Daltrini, C.","2012",NA,NA,NA,NA,"01",NA,NA,"02"
"17","2020-08-20 20:41:23-03","UFSC","FLOR","38414","PreservedSpecimen","Plantae",NA,"Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Essi, L.; Valls, J.F.M.; Guglieri, A. & Hefler, S.M.","Li101",NA,"Brasil","Rio Grande do Sul","Próximo ao Arroio Tatim, antes do Parque das Tuias.","FLOR0038414","Soledade","-52.447778","-28.846944",NA,NA,NA,"Poales","2003","11","20","local com boa diversidade de famílias botânicas. Testemunho de análise molecular.","FLOR0038414","Essi, L.","2003","52º26'52''W","28º50'49''S","640","640",NA,NA,NA,NA
"18","2021-02-08 12:53:02-03","UFRGS","ICN","051983","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Rosengurt, B","s.n.","América do Sul","Brasil","RS","Campo entre Panambi e Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,"1962","11","03",NA,NA,"Longhi-Wagner, HM","2016",NA,NA,NA,NA,"02",NA,NA,NA
"19","2021-02-08 12:53:02-03","UFRGS","ICN","146809","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Longhi-Wagner, HM; Pellegrini, CA","10201","América do Sul","Brasil","RS","Estrada para Várzea do Cedro",NA,"Jaquirana","-50.3577995300293","-28.8847007751465","31282","auto",NA,NA,"2006","10","06",NA,NA,"Longhi-Wagner, HM","2016",NA,NA,NA,NA,"02",NA,NA,NA
"20","2021-02-08 12:53:02-03","UFRGS","ICN","069192","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Swallen, JR","7238","América do Sul","Brasil","RS","Instituto Agronômico do Sul",NA,"Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,"1945","10","30","Terra pobre e arenosa",NA,"Longhi-Wagner, HM","2016",NA,NA,NA,NA,"02",NA,NA,NA
"21","2021-02-08 12:53:02-03","UFRGS","ICN","053701","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Winge, H","1634","América do Sul","Brasil","RS","Estrada Vacaria-Porto Alegre, Km 205",NA,"Vacaria","-50.9338989257812","-28.5121994018555","63451","auto",NA,NA,"1981","12","06","Em encosta basáltica",NA,"Longhi-Wagner, HM","2016",NA,NA,NA,NA,"02",NA,NA,NA
"22","2021-02-08 12:53:02-03","UFRGS","ICN","033226","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Rosengurt, B","8984","América do Sul","Brasil","RS","Campo entre Panambi e Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,"1962","11","03",NA,NA,"Longhi-Wagner, HM","2016",NA,NA,NA,NA,"02",NA,NA,NA
"23","2021-02-08 12:53:02-03","UFRGS","ICN","132600","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Essi, L; Valls, JFM; Guglieri, A; Hefler, S","101","América do Sul","Brasil","RS","BR 386 Km 252 próximo do arroio Tatim antes do Parque das Tuias S28°50'49 8 W052°26'51 6",NA,"Soledade","-52.4475","-28.846944",NA,NA,NA,NA,"2003","11","20","Testemunho de análise molecular.; Campo natural em beira de estrada, com boa diversidade de famílias botânicas",NA,"Essi, L",NA,"-52.4475","-28.846944","640","640",NA,NA,NA,NA
"24","2021-02-08 12:53:02-03","UFRGS","ICN","180277","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","da Silva, LN; Essi, L","LNS622","América do Sul","Brasil","RS","BR386, km 252, próximo ao Arroio Tatim, beira de estrada",NA,"Soledade","-52.448056","-28.8475",NA,NA,NA,NA,"2014","10","11","folhas de 17 indivíduos coletadas em sílica para genética de populações e molecular; planta rara, ameaçada de extinção; campo seco, graminoso, com rochas",NA,"da Silva, LN","2014","-52.448056","-28.8475","636","636","10",NA,NA,"11"
"25","2021-02-08 12:53:02-03","UFRGS","ICN","180289","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","da Silva, LN; Tacuatiá, LO","LNS686","América do Sul","Brasil","RS","Estrada de chão para acesso a Jaquirana pela RS 439",NA,"Jaquirana","-50.398333","-28.911944",NA,NA,NA,NA,"2014","11","24","testemunho de análise de genética de populações; planta rara, ameaçada de extinção; beira de estrada e barranco, com campo seco e pedregoso",NA,"da Silva, LN","2014","-50.398333","-28.911944","834","834","11",NA,NA,"24"
"26","2021-02-08 12:53:02-03","UFRGS","ICN","186809","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","da Silva, LN; Essi, L; Scheffer, J","LNS695","América do Sul","Brasil","RS","Estrada de chão entre Antônio Prado e Campestre da Serra",NA,"Campestre da Serra","-51.198611","-28.781944",NA,NA,NA,NA,"2015","10","23","testemunho de análise de genética de populações; abundante no local, individuos vegetando entre Eryngium e/ou em fendas de afloramentos basálticos; campo pedregoso, de encosta, próximo a córrego e floresta com Araucaria angustifolia, com afloramentos",NA,"da Silva, LN","2015","-51.198611","-28.781944","755","755","10",NA,NA,"23"
"27","2021-02-08 12:53:02-03","UFRGS","ICN","201630","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","da Silva, LN; Valduga, E; Valls, JFM","LNS1094","América do Sul","Brasil","RS","BR116, para Vacaria",NA,"Campestre da Serra","-51.064722","-28.679444",NA,NA,NA,NA,"2018","11","21","rara no local.; em barranco basáltico, junto a campo com alta diversidade vegetal;",NA,"da Silva, LN","2018","-51.064722","-28.679444","782","782","11",NA,NA,"21"
"28","2021-02-08 12:53:02-03","UFRGS","ICN","186810","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","da Silva, LN; Essi, L; Scheffer, J","LNS698","América do Sul","Brasil","RS","BR285, entre Vacaria e Muitos Capões",NA,"Vacaria","-51.0975","-28.370278",NA,NA,NA,NA,"2015","10","24","testemunho de análise de genética de populações; população pequena, com 3 indivíduos em flor, vegetando próximo a afloramentos de basalto em campo com pastejo intenso; campo pastejado, com morros sem pastejo e afloramentos basálticos",NA,"da Silva, LN","2015","-51.0975","-28.370278","883","883","10",NA,NA,"24"
"29","2021-02-08 12:53:02-03","UFRGS","ICN","023235","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Valls, J; et al.","2433","América do Sul","Brasil","RS","BR-116, Km 205",NA,"Vacaria","-50.9338989257812","-28.5121994018555","63451","auto",NA,NA,"1972","11","15","Planta pouco frequente no local",NA,"Longhi-Wagner, HM","2016",NA,NA,NA,NA,"02",NA,NA,NA
"30","2021-02-08 12:53:02-03","UFRGS","ICN","009682","S","Plantae","Monocotyledon","Poaceae","Chascolytrum","scabrum","Chascolytrum scabrum","(Nees ex Steud.) Matthei","Valls, J","1578","América do Sul","Brasil","RS","Rodovia BR-116, Km 205",NA,"Vacaria","-50.9338989257812","-28.5121994018555","63451","auto",NA,NA,"1971","09","16","Vegetação de maior porte, em campo com relevo movimentado",NA,"Longhi-Wagner, HM","2016",NA,NA,NA,NA,"02",NA,NA,NA
"31","2019-11-21 10:14:59-03","IBt","SP","22329","S","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steud.) Ekman","Ihering, H","252",NA,"Brasil","Rio Grande do Sul",NA,"SP041616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP041616","Chase, A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:14:59-03","IBt","SP","23093","S","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steud.) Ekman","Hoehne, FC","s.n.",NA,"Brasil","Paraná",NA,"SP041618","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,"1928","10","19",NA,"SP041618","Chase, A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:14:59-03","IBt","SP","23221","S","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steud.) Ekman","Hoehne, FC","s.n.",NA,"Brasil","Paraná",NA,"SP041617","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,"1928","11","01",NA,"SP041617","Chase, A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:14:59-03","IBt","SP","51235","S","Plantae",NA,"Poaceae","Briza","scabra","Briza scabra","(Nees ex Steud.) Ekman","Orth, C; Hitchcoch, I","s.n.",NA,"Brasil","Rio Grande do Sul","M. da Glória.","SP041615","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,"1931","10","01",NA,"SP041615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
