"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class"
"11","2021-03-01 16:35:19-03","UNICAMP","UEC","100446","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Goldenberg, R; Shepherd, GJ; Belinello, R; Galvão, JC; Santos, MV","417","1997","02",NA,"Brazil","São Paulo","Queluz","Crista da montanha vizinha à Pedra da Mi","-44.834167","-22.431389","2500","2500",NA,"Arbusto 60 cm, flores com pétalas brancas e anteras púrpuras.; Vegetação subarbustiva e herbácea sobre pedras.","UEC060287","UEC060287","18",NA,NA,NA,NA,NA,"-44.834167","-22.431389",NA,NA,NA,NA
"12","2021-03-01 16:35:19-03","UNICAMP","UEC","155515","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Goldenberg, R; Shepherd, GJ; Belinello, R; Galvão, JC; Santos, MV","415","1997","02",NA,"Brazil","São Paulo","Queluz","Vale do Ruah, Logo abaixo da Pedra da Mina.","-44.846389","-22.408333","2400","2400",NA,"Campo de altitude. Arbusto 0,5m, com flores pêndulas, pétalas brancas, estames com anteras purpúreas, escuras, conectivo amarelo claro e filetes brancos, estilete rosado.","UEC070137","UEC070137","17",NA,NA,NA,NA,NA,"-44.846389","-22.408333",NA,NA,NA,NA
"13","2020-12-21 16:35:11-03","MBM","MBM","409688","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Meyer, F.S.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","1267","2016","09","Southern America","Brazil","São Paulo","Queluz","Serra Fina, região da Pedra da Mina","-44.823611","-22.433056","2480","2480",NA,"Subarbusto 0,3 m alt, formando pequena população em vegetação herbácea de topo de morro; frutos marrons.; Refúgio Vegetacional Altomontano.","MBM409688","MBM409688","05","2017","06","09",NA,NA,"-44.823611","-22.433056",NA,NA,NA,NA
"14","2020-12-21 16:35:11-03","MBM","MBM","24581","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Wurdack, J.J.","Torgo, F.","s.n.",NA,NA,"Southern America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Abrigo Rebouças","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"MBM024581","MBM024581",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:35:11-03","MBM","MBM","5606","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Lindeman, J.; Haas, H.; Haas, H.","4150","1967","02","Southern America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Abrigo Rebouças","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"MBM005606","MBM005606","02",NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:35:11-03","MBM","MBM","353421","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Santos Filho, L.A.F.","Braga, J.M.A.; et al.; et al.","2858","1995","09","Southern America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Trilha para o Pico das Agulhas Negras","-44.5633010864258","-22.4960994720459","2500","2500",NA,"Arbusto, ca. 0,5m de altura, heliófilo. Folhas cartáceas. Frutos maduros castanho-amarelados. Campo de altitude","MBM353421","MBM353421","27","2009",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"17","2018-01-09 10:41:34-02","MNHN","RECOLNAT_MNHN_P","P05315855","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Glaziou, A.",NA,"1873","1",NA,"Brasil","Rio de Janeiro","Itatiaia","Campos de la Itatiaia.","-44.5633010864258","-22.4960994720459",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05315855' target='other'> <mi>dwc_moreinfo</mi></a>","P05315855","P05315855_01","22",NA,NA,NA,"19648","auto",NA,NA,"6529",NA,NA,NA
"18","2015-09-04 21:01:02-03","MNHN","RECOLNAT_MNHN_P","P05315854","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Glaziou, A.",NA,"1873","1",NA,"Brasil","Rio de Janeiro","Itatiaia","Près des roches.","-44.5633010864258","-22.4960994720459",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05315854' target='other'> <mi>dwc_moreinfo</mi></a>","P05315854","P05315854_01","22",NA,NA,NA,"19648","auto",NA,NA,"6529",NA,NA,NA
"19","2021-02-11 17:20:23-03","UFPR","UPCB","88381","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Meyer, F.S.","Meyer, F.S. | Reginato, M.","1135","2012","02",NA,"Brasil","Rio de Janeiro/Minas Gerais","Itatiaia/Itamonte","Limite entre os municípios. Parque Nacional do Itatiaia, parte alta","-44.666996","-22.383105",NA,NA,NA,"Arbusto 50cm alt., em campo de altitude. Flores voltadas para baixo, com pétalas brancas. Anteras truncadas no ápice..","UPCB0032097","UPCB0032097","16","2016","01",NA,NA,NA,"-44.666996","-22.383105",NA,NA,NA,NA
"20","2021-02-11 17:20:23-03","UFPR","UPCB","74598","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Meyer, F.S.","Bünger, M.O.","471","2010","03",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Trilha Pico da Bandeira - Terreirão.","-41.795833","-20.434722","2890","2890",NA,"Arbusto ca 1,2m, flores com pétalas brancas, com base rosa-claro, anteras arroxeadas, com conectivo amarelo, filete branco. Campo sobre afloramento..","UPCB0017537","UPCB0017537","09","2011","06","28",NA,NA,"-41.795833","-20.434722",NA,NA,NA,NA
"21","2021-02-11 17:20:23-03","UFPR","UPCB","88505","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Meyer, F.S.","Meyer, F.S. | Reginato, M.","1132","2012","02",NA,"Brasil","Rio de Janeiro/Minas Gerais","Itatiaia/Itamonte","Limite entre os municípios. Parque Nacional do Itatiaia, parte alta","-44.666996","-22.383105",NA,NA,NA,"Arbusto 50 cm alt., em campo de altitude. Flores voltadas para baixo, com pétalas brancas..","UPCB0032089","UPCB0032089","16","2016","01",NA,NA,NA,"-44.666996","-22.383105",NA,NA,NA,NA
"22","2020-07-21 08:55:00-03","MO","MOBOT","101208430","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","itatiaiae","Pleroma itatiaiae","(Wawra) P.J.F. Guim. & Michelang.","fide Guimarães et al.","Heinrich Wawra","Wawra von Fernsee II-416","1879",NA,"South America","Brazil","Minas Gerais",NA,"Hügel um die Facenda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA
"23","2020-06-22 14:18:51-03","UNESP-IBILCE","SJRP","26741","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Paulo Guimarães","Gottsberger G.",NA,NA,NA,"América do Sul","Brasil","Rio de Janeiro","Serra da Mantiqueira","Maciço de Itatiaia",NA,NA,NA,NA,NA,"Remnants of forest, signs of burning;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"24","2020-07-10 09:47:36-03","MBML","MBML-HERBARIO","857",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Brade","A. C. Brade",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Resende","Itatiaia","-44.4467010498047","-22.468900680542",NA,NA,NA,"Ex. Herb. Secretaria da Agricultura, Terras e Colonização ES.","MBML000857","MBML000857",NA,NA,NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","2623761","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"-- Brade","15649","1937","11","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Pedra Assentada","-44.5633010864258","-22.4960994720459","2300",NA,NA,NA,"US01904414","US01904414_01 US01904414_02",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,"1","Dicotyledonae"
"26","2020-09-12 05:00:02-03","US","US","2270797","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"L. Emygdio de Mello Filho","1422","1957","4","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Pedras fronteira ao Abrigo Rebouças.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"US01904412","US01904412_01 US01904412_02","20",NA,NA,NA,"19648","auto",NA,NA,NA,NA,"1","Dicotyledonae"
"27","2020-09-12 05:00:02-03","US","US","2623760","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"L. Lanstyak","245","1939","1","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Pedra do Altar.","-44.5633010864258","-22.4960994720459","2300",NA,NA,NA,"US01904413","US01904413_01 US01904413_02",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,"1","Dicotyledonae"
"28","2020-09-12 05:00:02-03","US","US","2342814","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"O. Barth","I166","1960","2","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Parque Nacional de Itatiaia",NA,NA,NA,NA,NA,NA,"US01904411","US01904411_01 US01904411_02","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"29","2020-09-12 05:00:02-03","US","US","2649756","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"J. C. Lindeman & J. H. Haas","4150","1967","2","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, planalto near Abrigo Rebouças","-44.5633010864258","-22.4960994720459","2350",NA,NA,NA,"US01904409","US01904409_01 US01904409_02","2",NA,NA,NA,"19648","auto",NA,NA,NA,NA,"1","Dicotyledonae"
"30","2020-09-12 05:00:02-03","US","US","2531271","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"S. Vogel","715","1965","3","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Palanto auf dem Itatiaia-Massiv nahe Rebouças; Serra de Mantiqueira","-44.5633010864258","-22.4960994720459","2300",NA,NA,NA,"US01904410","US01904410_01 US01904410_02","8",NA,NA,NA,"19648","auto",NA,NA,NA,NA,"1","Dicotyledonae"
"31","2018-05-14 17:26:21-03","F","FMNH-SEEDPLANTS","V0180063F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae",NA,"RRC ID Flag","A. C. Brade","15649",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"V0180063F","V0180063F_01 V0180063F_02",NA,NA,NA,NA,NA,NA,NA,NA,"15649",NA,NA,"Dicotyledoneae"
"32","2020-07-23 12:13:42-03","CEPLAC","CEPEC","130482","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae",NA,"L. A. F. Santos-Filho","J. M. A. Braga","2858",NA,NA,NA,"Brasil","Rio de Janeiro","ITATIAIA",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"33","2020-08-20 14:58:08-03","UFSC","FLOR","40933","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Guimarães, P.; Carvalho Junior, A. de & Salazar, Y.M.","310","2007","10",NA,"Brasil","Rio de Janeiro","Itatiaia","Prateleiras.","-44.672778",NA,"2400","2400",NA,"arbustivo, Fruto Maduro, , 50cm altura. Duplicatas RB, NY, UPCB.","FLOR0040933",NA,"10",NA,NA,NA,NA,NA,"44º40'22''W","22º23'80''S",NA,NA,NA,NA
"34","2020-08-20 20:40:19-03","UFSC","FLOR","40932","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Santos Filho, L.A.F.","Braga, J.M.A.","2858","1995","09",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, trilha para o pico das Agulhas Begras.","-44.5633010864258","-22.4960994720459","2500","2500",NA,"arbusto, Fruto Maduro, castanho-amarelado, 0,5m altura. Folhas cartáceas.Campo de altitude.","FLOR0040932",NA,"27","2009",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:11:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Glaziou, AFM","6529",NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Habitat in rupibus ad Campos de Itatiaia prov. MInas Geraes.",NA,NA,NA,NA,NA,NA,NA,"P14P3N0093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:11:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Wawra, H","416",NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Habitat in rupibus ad Campos de Itatiaia prov. MInas Geraes.",NA,NA,NA,NA,NA,NA,NA,"P14P3N0093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:11:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Wawra, H","s.n.",NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Habitat in rupibus ad Campos de Itatiaia prov. MInas Geraes.",NA,NA,NA,NA,NA,NA,NA,"P14P3N0093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-12-12 11:31:21-02","CAS","CAS-BOT","573172","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Maas, P. J. M.; Martinelli, G.","3174","1977","10","South America","Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia, Abrigo Rebouças",NA,NA,"2300",NA,NA,"Small shrub, 0.5 m tall, fruit brown.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida"
"39","2019-11-21 10:10:39-03","IBt","SP","312693","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Goldenberg, R; Shepherd, GJ; Belinello, R; Galvão, JC; Santos, MV","415","1997","02",NA,"Brasil","São Paulo","Queluz","Vale do Ruah, logo abaixo da Pedra da Mina","-44.846389","-22.408333","2400","2400",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,"-44.846389","-22.408333",NA,NA,NA,NA
"40","2019-11-21 10:10:39-03","IBt","SP","442324","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.","Meyer, FS","Almeida, RF; Adachi, SA; Hora, BR","449","2011","11",NA,"Brasil","Espírito Santo","Dores do Rio Preto","Parque Nacional do Caparaó, Distrito de Pedra Menina. Trilha da Casa Queimada ao Pico da Bandeira","-41.815278","-20.463444","2181","2181",NA,NA,NA,NA,"18","2014","05","29",NA,NA,"-41.815278","-20.463444",NA,NA,NA,NA
"41","2019-11-21 10:10:39-03","IBt","SP","312695","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","itatiaiae","Tibouchina itatiaiae","Cogn.",NA,"Goldenberg, R; Shepherd, GJ; Belinello, R; Galvão, JC; Santos, MV","417","1997","02",NA,"Brasil","São Paulo","Queluz","Crista da Montanha vizinha à Pedra da Mina","-44.834167","-22.431389","2500","2660",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,"-44.834167","-22.431389",NA,NA,NA,NA
