"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","typeStatus","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount"
"14","2021-03-01 16:37:18-03","UNICAMP","UEC","167429","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","et al.; Cordeiro, I","Hatschbach, G; Kummrow, R","1984","10","14",NA,"Brazil","Mato Grosso do Sul","Cel. Sapucaia, Area Militar. &nf;Campo limpo.","-55.320619","-23.118472",NA,"Xilopodifera, flor amarela.","UEC091480","UEC091480","48477","Amambai",NA,NA,"1990",NA,NA,NA,NA,NA,"-55.320619","-23.118472",NA,NA
"15","2021-03-01 16:37:18-03","UNICAMP","UEC","183850","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Yamamoto, K","Ganev, W","1992","08","13",NA,"Brazil","Bahia","Brasil, estado da Bahia, município de Mucugê: Estrada Mucugê-Abaíra, ca. 42 km de Mucugê, próximo ao Brejo de Cima. Campo rupestre com solo areno-argiloso.","-41.566667","-13.3",NA,"Arbusto de até 1,5m. Folhas verdes, brácteas castanhas, pedicelo e cálice verde amarelado, pétalas amarelas, estames amarelo escuro, estilete amarelo claro.; Campo rupestre.","UEC104898","UEC104898","840","Mucugê","1200","1200","1999","09",NA,NA,NA,NA,"-41.566667","-13.3","29",NA
"16","2021-03-01 16:37:18-03","UNICAMP","UEC","183880","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto",NA,"Fraga, CN; Mota, NFO","2011","06","06",NA,"Brazil","Minas Gerais","Vale do Rio Itambiruçu",NA,NA,NA,"Arbusto decumbente. Folhas verde discolores, nervuras amarelas, estípulas castanhas. Flores com sépalas verde amareladas.","UEC104477","UEC104477","3368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:37:18-03","UNICAMP","UEC","167427","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Yamamoto, K","Zappi, DC; Mello-Silva, R; Giulietti, AM; Meguro, M; Gonçalves, JCC; Giulietti, N","1986","07","23",NA,"Brazil","Minas Gerais","Córrego Escurinha.","-43.392542","-16.856944",NA,"Arbusto de 80 cm alt., em solo arenoso. Flores amarelo-ouro.","UEC091481","UEC091481","s.n.","Grão Mogol","740","740","1990",NA,NA,NA,NA,NA,"-43.392542","-16.856944",NA,NA
"18","2020-12-21 16:37:52-03","MBM","MBM","409950","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K. Yamam.",NA,"Hatschbach, G.","1978","07","22","Southern America","Brazil","Minas Gerais","Arredores","-42.8897018432617","-16.5594005584717",NA,"Arbusto, 1m, ramoso, flores amarelas.; Solo arenoso da planície entre a base do morro e o rio.","MBM409950","MBM409950","41472","Grão Mogol",NA,NA,NA,NA,"67219","auto",NA,"HOLOTYPE",NA,NA,NA,NA
"19","2020-10-01 14:22:57-03","JBB","HEPH","28518","S","Plantae","Dicotyledon","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Chacon, RG","Faria, JEQ","2011","09","23","Southern America","Brasil","Minas Gerais","Saída da cidade de Grão Mogol, na estrada para o rio Ventania, próximo a torre de TV","-42.878611","-16.560556",NA,NA,NA,NA,"1764","Grão Mogol","953","953","2012","10",NA,NA,NA,NA,"-42.878611","-16.560556",NA,NA
"20","2020-10-01 14:22:57-03","JBB","HEPH","29979","S","Plantae","Dicotyledon","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Moreira, HJC","2011","12","10","Southern America","Brasil","Minas Gerais","Margem da rodovia na chegada de Grão Mogol, próximo a rotatoria para Cristália","-42.932222","-16.601667",NA,NA,NA,NA,"2217","Grão Mogol","728","728","2011","12",NA,NA,NA,NA,"-42.932222","-16.601667",NA,NA
"21","2020-12-22 12:08:14-03","JBB","HEPH","37247","S","Plantae","Dicotyledon","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Kuhlmann, MP","2017","11","18","Southern America","Brasil","Minas Gerais","Margem da estrada sentido Grão Mogol/Cristália, ca. 800 m depois da ponte do rio Itacambiruçu","-42.895556","-16.593889",NA,NA,NA,NA,"8394","Cristália","660","660","2017","11",NA,NA,NA,NA,"-42.895556","-16.593889",NA,NA
"22","2020-12-22 12:08:14-03","JBB","HEPH","37248","S","Plantae","Dicotyledon","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Kuhlmann, MP","2017","11","18","Southern America","Brasil","Minas Gerais","Margem da estrada sentido Grão Mogol/Cristália, ca. 800 m depois da ponte do rio Itacambiruçu","-42.895556","-16.593889",NA,NA,NA,NA,"8397","Cristália","660","660","2017","11",NA,NA,NA,NA,"-42.895556","-16.593889",NA,NA
"23","2020-12-22 12:08:14-03","JBB","HEPH","37250","S","Plantae","Dicotyledon","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Kuhlmann, MP","2017","11","18","Southern America","Brasil","Minas Gerais","Margem da estrada sentido Grão Mogol/Cristália, ca. 800 m depois da ponte do rio Itacambiruçu","-42.895556","-16.593889",NA,NA,NA,NA,"8399","Cristália","660","660","2017","11",NA,NA,NA,NA,"-42.895556","-16.593889","18",NA
"24","2020-12-11 11:39:47-03","UFMG","BHCB","26794","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:39:47-03","UFMG","BHCB","26794","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:39:47-03","UFMG","BHCB","42649","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:39:47-03","UFMG","BHCB","43886","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"Hatschbach, G","1978","10","22","Southern America","Brasil","Minas Gerais","10 Km NO de Grão Mogol","-42.8897018432617","-16.5594005584717",NA,"Arbustos de ramos decumbentes, flores amarelas, frutos pretos.; Encosta rochosa de morro.","BHCB005657","BHCB005657","41645","Grão Mogol",NA,NA,NA,NA,"67219","auto",NA,"Paratypus",NA,NA,NA,NA
"28","2021-02-11 17:20:49-03","UFPR","UPCB","32726","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamamoto",NA,"Hatschbach, G.","1978","07","22",NA,"Brasil","Minas Gerais","Arredores","-42.8897018432617","-16.5594005584717",NA,"Arbusto, 1m, ramoso, flor amarela. Solo arenoso da planície entre a base do morro e o rio..","UPCB0002323","UPCB0002323","41472","Grão Mogol",NA,NA,NA,NA,"67219","auto",NA,"Isotype",NA,NA,NA,NA
"29","2020-08-31 09:04:09-03","INPA","INPA","201106","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"Hatschbach, GG","1978","10","22","Southern America","Brasil","Minas Gerais","Rio Aracá just above Igarapé Sauadaua, 10 km NO de Grão Mogol. Encosta rochosa de morro.","-68.5","0.5",NA,NA,"INPA0201106","INPA0201106 INPA0201106_e INPA0201106_e1","41645",NA,NA,NA,NA,NA,NA,NA,NA,"possible type ?","-68.5","0.5",NA,NA
"30","2020-07-10 09:48:04-03","MBML","MBML-HERBARIO","48225",NA,"Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"C. N. de Fraga; N.F.O. Mota","2011","06","06",NA,"Brasil","Minas Gerais","Vale do Rio Itacambiruçu, estrada vicinal antes do trevo. Campo Rupestre","-42.896389","-16.588333",NA,"Arbusto decumbente. Folhas verde discolores, nervuras amarelas, estípulas castanhas. Flores com sépalas verde amareladas","MBML048225","MBML048225","3368","Minas Gerais","660","660",NA,NA,NA,NA,NA,NA,"42W53'47","16S35'18",NA,NA
"31","2020-09-02 16:34:17-03","Cenargen","CEN","71225","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","K. Yamamoto","Adonias P. de Araújo","1978","06","22",NA,"Brasil","BA",NA,"-41.503888","-13.488333","Exsicatas","Vegetação Campo (gerais). Caule cinza, folhas verdes, botão esverdeado, corola amarela cálice verde. Folha SD 24- VC. Ponto n°23. Doação do Jardim Botânico do Rio de Janeiro, RB- 200025.","CEN00071225","CEN00071225","17","IBIQUERA",NA,NA,"1999","10",NA,NA,NA,NA,"-41.503888","-13.488333",NA,"1"
"32","2019-11-13 11:27:33-03","USP","SPF","124633","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Yamamoto, K","Pirani, JR","1990","09","05",NA,"Brasil","Minas Gerais","Vale do Rio Itacambiruçu","-42.916667","-16.6",NA,NA,"SPF00124633",NA,"CFCR13246","Grão Mogol","670","670","1993",NA,NA,NA,NA,NA,"-42.916667","-16.6",NA,NA
"33","2019-11-13 11:27:33-03","USP","SPF","43732","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Yamamoto, K","Zappi, DC","1986","07","23",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"SPF00043732",NA,"CFCR9830",NA,"740","740","1995",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-13 11:27:33-03","USP","SPF","64698","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Yamamoto, K","Cordeiro, I","1987","11","05",NA,"Brasil","Minas Gerais","Vale do Rio Itacambiruçu","-42.91","-16.596667",NA,NA,"SPF00064698",NA,"CFCR11584","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,"paratype","-42.91","-16.596667",NA,NA
"35","2019-11-13 11:27:33-03","USP","SPF","79861","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Anônimo","Pirani, JR","1989","12","10",NA,"Brasil","Minas Gerais","Vale do Rio Itacambiruçu","-42.916667","-16.5",NA,NA,"SPF00079861",NA,"CFCR12422","Grão Mogol","750","750",NA,NA,NA,NA,NA,"paratype","-42.916667","-16.5",NA,NA
"36","2019-11-13 11:27:33-03","USP","SPF","88191","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Yamamoto, K","Ganev, W","1992","04","13",NA,"Brasil","Bahia","Catolés","-41.55","-13.1",NA,NA,"SPF00088191",NA,"126","Abaíra","1100","1100","1999","09",NA,NA,NA,NA,"-41.55","-13.1",NA,NA
"37","2019-11-13 11:27:33-03","USP","SPF","88474","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Amaral, MCE","Ganev, W","1992","06","12",NA,"Brasil","Bahia",NA,"-41.7728004455566","-13.1519002914429",NA,NA,"SPF00088474",NA,"478","Piatã",NA,NA,"1998",NA,"41184","auto",NA,NA,NA,NA,NA,NA
"38","2019-11-13 11:27:33-03","USP","SPF","44642","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Yamamoto, K","Cordeiro, I","1986","09","06",NA,"Brasil","Minas Gerais",NA,"-42.8897018432617","-16.5594005584717",NA,NA,"SPF00044642",NA,"CFCR10177","Grão Mogol","1000","1000","2003",NA,"67219","auto",NA,NA,NA,NA,NA,NA
"39","2021-03-23 11:51:26-03","USP","SPF","126134","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"Hatschbach, G","1978","07","22",NA,"Brasil","Minas Gerais","Arredores.","-42.8897018432617","-16.5594005584717",NA,"Arbusto, 1 m, ramoso, flores amarelas. Solo arenoso da planície entre a base do morro e o rio.","SPF00126134","SPF00126134","41472","Grão Mogol",NA,NA,NA,NA,"67219","auto",NA,"holotype",NA,NA,NA,NA
"40","2019-11-13 11:27:33-03","USP","SPF","44586","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Yamamoto, K","Cordeiro, I","1986","09","05",NA,"Brasil","Minas Gerais","Vale do Rio Itacambiruçu","-42.8897018432617","-16.5594005584717",NA,NA,"SPF00044586",NA,"CFCR10121","Grão Mogol","700","700","1994",NA,"67219","auto",NA,NA,NA,NA,NA,NA
"41","2019-10-07 09:32:17-03","UEFS","HUEFS","34094","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"Hatschbach, G.","1978","07","22",NA,"Brasil","Minas Gerais","Grão Mogol, arredores.","-42.8897018432617","-16.5594005584717",NA,"Solo arenoso da planície entre a base do morro e o rio.","HUEFS0034094","HUEFS0034094","41472","Grão Mogol",NA,NA,NA,NA,"67219","auto","Rosanae","Isótipo",NA,NA,NA,NA
"42","2019-11-01 15:07:11-03","UnB","UB","170918","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Chacon, RG","Faria, JEQ","2011","09","23","Southern America","Brasil","Minas Gerais","Saída da cidade de Grão Mogol, na estrada para o rio Ventania, próximo a torre de TV","-42.878611","-16.560556",NA,"Arbusto ca. 1,5 m de altura, receptáculo vermelho e frutos imaturos verdes; Mata seca de pequeno porte em encosta rochosa",NA,NA,"1763","Grão Mogol","953","953","2018","11",NA,NA,NA,NA,"-42.878611","-16.560556",NA,NA
"43","2019-11-01 15:07:11-03","UnB","UB","170919","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Chacon, RG","Faria, JEQ","2011","09","23","Southern America","Brasil","Minas Gerais","Saída da cidade de Grão Mogol, na estrada para o rio Ventania, próximo a torre de TV","-42.878611","-16.560556",NA,"Arbusto ca. 1,5 m de altura, receptáculo vermelho e frutos imaturos verdes; Mata seca de pequeno porte em encosta rochosa",NA,NA,"1764","Grão Mogol","953","953","2018","11",NA,NA,NA,NA,"-42.878611","-16.560556",NA,NA
"44","2019-11-01 15:07:11-03","UnB","UB","185491","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.",NA,"Zappi, DC; Silva, RM; Giulietti, AM; Meguro, M; Gonçalves, JCC; Giulietti, N","1986","07","23","Southern America","Brasil","Minas Gerais","Córrego Escurinha.","-42.89","-16.56",NA,"Arbusto de 80 cm de alt., em solo arenoso. Flores amarelo-ouro.; Em solo arenoso.",NA,NA,"CFRC9830","Grão Mogol","740","740",NA,NA,NA,NA,NA,NA,"-42.89","-16.56",NA,NA
"45","2019-11-01 15:07:11-03","UnB","UB","191429","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Moreira, HJC","2011","12","10","Southern America","Brasil","Minas Gerais","Margem da rodovia na chegada de Grão Mogol, próximo a rotatoria para Cristália","-42.932222","-16.601667",NA,"Arbusto prostrado ca. 0,8 m de altura, estéril; Ambiente rupestre",NA,NA,"2217","Grão Mogol","728","728","2011","12",NA,NA,NA,NA,"-42.932222","-16.601667",NA,NA
"46","2019-11-01 15:07:11-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Kuhlmann, M","2017","11","18","Southern America","Brasil","Minas Gerais","Magem da estrada sentido Grão Mogol/Cristália, ca. 800 m depois da ponte do rio Itacambiruçu","-42.895556","-16.593889",NA,"Arbusto ca. 1,3 m de altura, frutos imaturos verde oliva com receptáculo vináceo; Cerrado rupestre em solo arenoso",NA,NA,"8399","Cristália","660","660","2017","11",NA,NA,NA,NA,"-42.895556","-16.593889",NA,NA
"47","2019-11-01 15:07:11-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Kuhlmann, M","2017","11","18","Southern America","Brasil","Minas Gerais","Magem da estrada sentido Grão Mogol/Cristália, ca. 800 m depois da ponte do rio Itacambiruçu","-42.895556","-16.593889",NA,"Arbusto bastante ramificado, ca. 1 m de altura, frutos imaturos verde oliva, receptáculo vináceo; Cerrado rupestre em solo arenoso",NA,NA,"8394","Cristália","660","660","2017","11",NA,NA,NA,NA,"-42.895556","-16.593889",NA,NA
"48","2019-11-01 15:07:11-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Ochnaceae","Ouratea","hatschbachii","Ouratea hatschbachii","K.Yamam.","Faria, JEQ","Faria, JEQ; Zanatta, MRV; Kuhlmann, M","2017","11","18","Southern America","Brasil","Minas Gerais","Magem da estrada sentido Grão Mogol/Cristália, ca. 800 m depois da ponte do rio Itacambiruçu","-42.895556","-16.593889",NA,"Arbusto bastante ramificado, ca. 1,3 m de altura, frutos imaturos verde oliva com receptáculo vináceo; Cerrado rupestre em solo arenoso",NA,NA,"8397","Cristália","660","660","2017","11",NA,NA,NA,NA,"-42.895556","-16.593889",NA,NA
