"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"11","2019-08-27 13:30:01-03","IAP","PACA-AGP","44764","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Rambo, B.",NA,"Brasil",NA,NA,"sem material Habitat: ad silvam primaevam scandens Fenofase: flor","PACA044764","Magnoliophyta","Geraniales","(Hook. & Arn.) Niedenzu",NA,"1949","12","14","RS","Osório","Lagoa dos Barros","-50.2696990966797","-29.8866996765137",NA,NA,NA,"Emrich-Rambo","1954","08","21",NA,NA,"27350","auto","Magnoliatae",NA,NA,NA
"12","2021-04-07 11:45:36-03","UFMS","CGMS","49535","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","A. Francener; V. Leobina; G.O. Silva",NA,"Brasil",NA,NA,"Fruto imaturo verde e maduro amarelo. Folhas verdes membranáceas. Habitat: Floresta ciliar. Habito: Liana. 3,00m de altura.","CGMS1079467",NA,NA,"(Hook. & Arn.) Nied.","1181","2012","10","22","Mato Grosso do Sul","Dourados","Rio Dourados emFloresta Ciliar.","-54.7822223","-22.4047222","327","327",NA,"A. Francener","2012","10","22","-54,7822223","-22,4047222",NA,NA,NA,NA,NA,NA
"13","2019-08-16 08:39:53-03","UTFPR","HCF","9670","S","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","M.G. Caxambu",NA,"Brasil",NA,NA,"subarbusto escandente, semi-ciófilo. Flores amarelas.",NA,NA,NA,"(Hook. & Arn.) Nied.","3442","2011","09","09","PR","Tuneiras do Oeste","Reserva Biológica das Perobas - estrada","-52.76475","-23.8345","532","532",NA,"R.F. Almeida","2013","06","10","52°45'53,1 W","23°50'04,2 S",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:32:45-03","MBM","MBM","148210","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Pedersen, T.M.","Southern America","Paraguay",NA,NA,NA,"MBM148210",NA,NA,"(Hook. & Arn.) Niedenzu","15059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM148210","Anderson, W.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:32:45-03","MBM","MBM","163968","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Anderson, W.R.","Southern America","Paraguay",NA,NA,NA,"MBM163968",NA,NA,"(Hook. & Arn.) Niedenzu","6565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM163968","Anderson, W.R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:32:45-03","MBM","MBM","99265","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Hatschbach, G.","Southern America","Brazil",NA,NA,NA,"MBM099265",NA,NA,"(Hook. & Arn.) Niedenzu","48489",NA,NA,NA,"Mato Grosso do Sul","Amambai","Rio Amambai","-55.2257995605469","-23.1042003631592",NA,NA,"MBM099265","Anderson, W.R.",NA,NA,NA,NA,NA,"73676","auto",NA,NA,NA,NA
"17","2015-09-05 06:29:48-03","MNHN","RECOLNAT_MNHN_P","P04769406","PreservedSpecimen",NA,"Malpighiaceae","Heladena","multiflora","Heladena multiflora","Schulz, A.G.",NA,"Argentina","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769406' target='other'> <mi>dwc_moreinfo</mi></a>","P04769406",NA,NA,"Nied.",NA,NA,NA,NA,NA,NA,"prov. Corrientes, dep. San Cosme, Paso de la Patria.",NA,NA,NA,NA,"P04769406_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7639",NA,NA
"18","2015-09-05 06:29:48-03","MNHN","RECOLNAT_MNHN_P","P04769404","PreservedSpecimen",NA,"Malpighiaceae","Heladena","multiflora","Heladena multiflora","Krapovickas, A.|Schinini, A.|Cristobal, C.L.|Tressens, S.G.|Quarin, C.",NA,"Argentina","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769404' target='other'> <mi>dwc_moreinfo</mi></a>","P04769404",NA,NA,"Nied.",NA,"1974","4","12",NA,NA,"Prov. Corrientes, Dep. Santo Tomé, Garruchos, Costa rio Uruguay.",NA,NA,NA,NA,"P04769404_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25026",NA,NA
"19","2015-09-05 06:29:48-03","MNHN","RECOLNAT_MNHN_P","P04769405","PreservedSpecimen",NA,"Malpighiaceae","Heladena","multiflora","Heladena multiflora","Balansa, B.",NA,"Paraguai","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769405' target='other'> <mi>dwc_moreinfo</mi></a>","P04769405",NA,NA,"Nied.",NA,"1874","9","9",NA,NA,"Environs de Villa-Rica.",NA,NA,NA,NA,"P04769405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2403",NA,NA
"20","2015-11-07 02:11:31-02","MNHN","RECOLNAT_MNHN_P","P02429190","PreservedSpecimen",NA,"Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","Saint-Hilaire, A. de",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02429190' target='other'> <mi>dwc_moreinfo</mi></a>","P02429190",NA,NA,"A.Juss.",NA,"1816",NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,"P02429190_01","Anderson",NA,NA,NA,NA,NA,NA,NA,NA,"B1 1766","isotype",NA
"21","2015-09-05 06:29:48-03","MNHN","RECOLNAT_MNHN_P","P04769407","PreservedSpecimen",NA,"Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","Balansa, B.",NA,"Paraguai","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769407' target='other'> <mi>dwc_moreinfo</mi></a>","P04769407",NA,NA,"A.Juss.",NA,"1874","9","9",NA,NA,"Environs de Villa-Rica.",NA,NA,NA,NA,"P04769407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2403",NA,NA
"22","2015-09-05 09:04:59-03","MNHN","RECOLNAT_MNHN_P","P00646263","PreservedSpecimen",NA,"Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","Saint-Hilaire, A. de",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646263' target='other'> <mi>dwc_moreinfo</mi></a>","P00646263",NA,NA,"Juss.",NA,NA,NA,NA,"Minas Gerais",NA,"Province de Minas Geraes, Contendas",NA,NA,NA,NA,"P00646263_01","Schwacke",NA,NA,NA,NA,NA,NA,NA,NA,"659",NA,NA
"23","2015-09-26 08:50:02-03","MNHN","RECOLNAT_MNHN_P","P00646264","PreservedSpecimen",NA,"Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","Saint-Hilaire, A. de",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646264' target='other'> <mi>dwc_moreinfo</mi></a>","P00646264",NA,NA,"Juss.",NA,NA,NA,NA,"Minas Gerais",NA,"Province de Minas Geraes, Contendas",NA,NA,NA,NA,"P00646264_01","Saint-Hilaire",NA,NA,NA,NA,NA,NA,NA,NA,"659",NA,NA
"24","2015-09-26 05:38:58-03","MNHN","RECOLNAT_MNHN_P","P00646265","PreservedSpecimen",NA,"Malpighiaceae","Hiraea","bunchosioides","Hiraea bunchosioides","Saint-Hilaire, A. de",NA,"Brésil","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646265' target='other'> <mi>dwc_moreinfo</mi></a>","P00646265",NA,NA,"Juss.",NA,NA,NA,NA,"Minas Gerais",NA,"Province de Minas Geraes, Contendas",NA,NA,NA,NA,"P00646265_01","Saint-Hilaire",NA,NA,NA,NA,NA,NA,NA,NA,"659",NA,NA
"25","2020-12-11 11:37:36-03","UFMG","BHCB","167268","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Paula, LFA; Azevedo, L; Fernandes, R; Siriani-Oliveira, S","Southern America","Brasil",NA,NA,"Arbórea, 2m. Flores amarelas; Em borda de mata margeando afloramento granítico","BHCB050840","Dicotyledon",NA,"(Hook. & Arn.) Nied.","647","2013","10","28","Minas Gerais","Teófilo Otoni","lado esquerdo da MG418, cerca de 30Km norte de Teófilo Otoni","-41.260833","-17.856111","560","560",NA,NA,"2019",NA,NA,"-41.260833","-17.856111",NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:37:36-03","UFMG","BHCB","83300","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Magalhães, M","Southern America","Brasil",NA,NA,"Trepadeira, flor amarela; lugar alto, na margem de rio","BHCB050818","Dicotyledon",NA,"(Hook. & Arn.) Nied.","4677","1951","09","22","Minas Gerais","Pirapora","Margem do rio das Velhas","-44.9418983459473","-17.3449993133545",NA,NA,NA,NA,"2019",NA,NA,NA,NA,"25004","auto",NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","1004284","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Elsa M. Zardini|F. Garcete","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Zardini 43358","1995","8","23","San Pedro",NA,"Yaguareté forest (Sustainable Forest Systems Site). Trail to Río Aguaray. Tall forest.","-55.98833","-23.77",NA,NA,NA,"W.R. Anderson (MICH)",NA,NA,NA,NA,NA,NA,NA,NA,"1024",NA,"4"
"28","2017-05-08 15:20:00-03","MO","MOBOT","100696118","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Peter Clausen","South America","Brazil",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Clausen s.n.",NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","1"
"29","2016-08-01 10:10:00-03","MO","MOBOT","1156749","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Troels M. Pedersen","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Pedersen 15059","1988","9","19","Caaguazú",NA,"Yhu",NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"30","2016-08-01 10:08:00-03","MO","MOBOT","1156882","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Pedro Jörgensen","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Jörgensen 3829","1928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"31","2008-05-27 22:02:00-03","MO","MOBOT","1307962","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Elsa M. Zardini|Isabelino Chaparro","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Zardini 49340","1998","10","30","Canindeyú",NA,"Mbaracayú Natural Reserve, administered by Fundación Moisés Bertoni. Around Jejui Mi. Tall forest.","-55.52805","-24.13361","100.00000000",NA,NA,"W.R. Anderson (MICH)",NA,NA,NA,NA,NA,NA,NA,NA,"1158",NA,"4"
"32","2008-05-27 22:02:00-03","MO","MOBOT","132938","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","William J. Hahn","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Hahn 2381","1984","4","29","Paraguarí",NA,"35 km N of Caapucu. Arroyo Apichapa. Riparian forest.","-57.16666","-26.16666",NA,NA,NA,"W.R. Anderson (MICH)",NA,NA,NA,NA,NA,NA,NA,NA,"84-23",NA,"3"
"33","2019-04-25 09:47:00-03","MO","MOBOT","1409569","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Elsa M. Zardini|S. Ramírez B.","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Zardini 51279","1999","9","23","Canindeyú",NA,"Mbaracayú Natural Reserve administered by Fundación Moisés Bertoni: Aguará Ñú.","-55.28","-24.1836111",NA,NA,NA,"W.R. Anderson (MICH)",NA,NA,NA,NA,NA,NA,NA,NA,"1178",NA,"4"
"34","2008-05-27 22:02:00-03","MO","MOBOT","1513978","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Elsa M. Zardini|Idilfo Franco","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Zardini 54850","2000","8","26","Canindeyú",NA,"Around Jejui-Mí. Tall forest and inundated forest.","-55.52805","-24.13305",NA,NA,NA,"W.R. Anderson (MICH)",NA,NA,NA,NA,NA,NA,NA,NA,"1213",NA,"4"
"35","2012-04-19 10:36:00-03","MO","MOBOT","2229706","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","E.L. Holmberg","South America","Argentina",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Holmberg 115","1900","2","12","Misiones","San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2018-05-17 05:28:00-03","MO","MOBOT","2253389","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","María E. Múlgura|F. Biganzoli|Paola Peralta|M.A. Romero","South America","Argentina",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Múlgura 2093","2000","9","19","Misiones","San Ignacio","Finca Osonunú, mirador nº4","-55.56666","-27.26666","150.00000000",NA,NA,"Múlgura de Romero, M. E., 09/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2012-10-08 15:42:00-03","MO","MOBOT","2290125","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Sara G. Tressens|M. Silvia Ferrucci|Anita Radovancich","South America","Argentina",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Tressens 3942","1991","2","16","Corrientes","Ituzaingó","Ea. Santa Rita","-56.0666667","-27.3333333",NA,NA,NA,"Ferrucci, M. S., //",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","2009-10-18 08:03:00-02","MO","MOBOT","2429870","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","F. M. Rodríguez","South America","Argentina",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Rodríguez 618","1912","9","16","Misiones","Candelaria","Santa Ana","-55.58333","-27.38333",NA,NA,NA,"Lourteig, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2012-04-19 10:36:00-03","MO","MOBOT","2439206","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","E.L. Holmberg","South America","Argentina",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Holmberg 82","1900","2","24","Misiones","Capital","Posadas","-55.9","-27.3833333",NA,NA,NA,"Lourteig, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2009-07-10 17:57:00-03","MO","MOBOT","2855636","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Troels M. Pedersen","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Pedersen 6565","1962","9","25","Misiones",NA,"Edge of woodland, moist ground at the foot of a hill.",NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2012-05-02 08:51:00-03","MO","MOBOT","2855689","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","F. Javier Fernández Casas|J. Molero","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Fernández Casas 3516","1980","9","12",NA,NA,"Entre Carapeguá y Acahay, en bosquete junto al río, en un claro soleado.",NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"42","2009-08-24 12:06:00-03","MO","MOBOT","2855784","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","Itaipú Binacional","South America","Paraguay",NA,NA,NA,NA,NA,NA,"(Hook. & Arn.) Nied.","Itaipú Binacional 1135","1985","9","23","Alto Paraná",NA,"Rva. Itabó, Datos del Sitio bosque explotado.",NA,NA,NA,NA,NA,"W.R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-30 17:35:02-03","MBML","MBML-HERBARIO","44874",NA,"Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","A. M. Assis; M. D. S. Demuner",NA,"Brasil",NA,NA,"Liana. Frutos jovens verdes","MBML044874",NA,NA,"(Hook. & Arn.) Nied.","2613","2010","12","01","Espírito Santo","Boa Esperança","Bela Vista - fragmento de floresta de tabuleiro","-40.219639","-18.555917","115","115",NA,"P.H.D. Barros/Maio-2019",NA,NA,NA,"40W13'10,7","18S33'21,3",NA,NA,NA,NA,NA,NA
"44","2020-11-30 17:35:02-03","MBML","MBML-HERBARIO","50833",NA,"Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","L. Kollmann; C.N.Fraga, C.Fraga e M.F.O.Siva",NA,"Brasil",NA,NA,"Arbusto 2m, frutos verdes","MBML050833",NA,NA,"(Hook. & Arn.) Nied.","13218","2016","12","13","Espírito Santo","Santa Teresa","estrada do 25 de julho","-40.612647","-19.844444",NA,NA,NA,"P.H.D. Barros/Maio-2019",NA,NA,NA,"40W36'45,53","19S50'40",NA,NA,NA,NA,NA,NA
"45","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","9454",NA,"Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","L. Kollmann; E. Bausen & W. Pizziolo",NA,"Brasil",NA,NA,"Trepadeira. Frutos verdes.","MBML009454",NA,NA,"(Hook. & Arn.) Nied.","1215","1998","12","03","Espírito Santo","Santa Teresa","Beira da estrada p/ o 25 de Julho","-40.615","-19.861111",NA,NA,"MBML009454","P.H.D. Barros/04-10-2019",NA,NA,NA,"40W36'54","19S51'40",NA,NA,NA,NA,NA,NA
"46","2020-11-30 17:35:02-03","MBML","MBML-HERBARIO","35211",NA,"Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","L. Kollmann; M. Simonelli, L. Magnago e V. Mansano",NA,"Brasil",NA,NA,"Liana no sol, flores amarelas.","MBML035211",NA,NA,"(Hook. & Arn.) Nied.","10205","2007","12","16","Espírito Santo","Boa Esperança",NA,"-40.2957992553711","-18.5400009155273",NA,NA,"MBML035211","W.R. Anderson/2009",NA,NA,NA,NA,NA,"25415","auto",NA,NA,NA,NA
"47","2020-09-12 05:00:02-03","US","US","3088824","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","G. Hatschbach & R. Wasum","South America - Neotropics","Brazil",NA,NA,NA,"US01876875",NA,"Polygalales","(Hook. & Arn.) Nied.","48489","1984","10","15","Amambai",NA,"Rio Amambai",NA,NA,NA,NA,"US01876875_01 US01876875_02",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"48","2020-09-12 05:00:02-03","US","US","1483677","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","P. Jörgensen","South America","Paraguay",NA,NA,NA,"US03327274",NA,"Polygalales","(Hook. & Arn.) Nied.","3829","1929","11","4",NA,NA,"Common on thickets, V. Rica.",NA,NA,NA,NA,"US03327274_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"49","2020-09-12 05:00:02-03","US","US","3106340","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora","E. Bordas","South America","Paraguay",NA,NA,NA,"US03327273",NA,"Polygalales","(Hook. & Arn.) Nied.","5675","1983","9","27","Guaira",NA,"Dpto. Guaira, Villarica, on a hill, near cemetery, outskirts of Mbocayaty, 7 km from Villarica.",NA,NA,"200","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"50","2015-03-07 08:37:31-03","F","FMNH-SEEDPLANTS","V0222186F","PreservedSpecimen","Plantae","Malpighiaceae","Heladena","multiflora","Heladena multiflora",NA,"South America","Paraguay",NA,NA,NA,"V0222186F","Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
