"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-02-08 09:08:30-03","NBC","NL-BOTANY","U 0272746","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"Maguire B",NA,"1944","01","01","Southern America","Surinam",NA,NA,"Savanne VIII",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200272746 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0272746",NA,NA,"Magnoliopsidae","Uw2458",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:08:30-03","NBC","NL-BOTANY","U.1260082","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"Marcano-Berti L; Pinto LA; Peña I",NA,"1981","01","24","Southern America","Venezuela",NA,NA,"Carretera El Dorado, Santa Elena de Uairen entre Piedra de La Virgen y el Salto Danto. Edo. Bolivar Venezuela.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1260082 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1260082","NL-U1260082",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:08:30-03","NBC","NL-BOTANY","U.1260100","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes",NA,"Campbell DG; Ongley JC; Ramos JF",NA,"1974","04","07","Southern America","Brazil",NA,NA,"Plants of Brazilian Amazonia, State of Amazonas. 5km upstream from junction of Rios Cuieiras and Branquinho.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1260100 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1260100","NL-U1260100",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-12-12 16:25:35-02","MNHN","RECOLNAT_MNHN_P","P01818489","PreservedSpecimen",NA,NA,NA,"Fabaceae","Pithecellobium","villiferum","Pithecellobium villiferum","Ducke",NA,"Ducke, A.",NA,"1936","2","23",NA,"Brésil",NA,NA,"Rio Curicuriary (affl. R. Negro, civit. Amazonas), super cataractas, ad ripas inundatas",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818489' target='other'> <mi>dwc_moreinfo</mi></a>","P01818489","P01818489_01",NA,NA,NA,NA,NA,NA,"isotype","35534",NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1368073","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W. Grimes","R.C.Barneby, J.W.Grimes,&P.E.Berry(FVG,2001)","Ronald L. Liesner","Liesner 8861","1980","1","29","South America","Venezuela","Amazonas",NA,"Cano de Cholo, 16 km NE of San Carlos de Rio Negro, 4 km SW of Solano. Seasonally flooded forest.","-66.96666","1.93333","120.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"178",NA,NA,NA
"16","2020-08-31 09:14:26-03","INPA","INPA","158849","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes","Iganci, JRV","Guillaumet, JL","5728","1986","04","02","Southern America","Brasil","Amazonas",NA,"Rio Cueiras (50 km na boca), af do Rio Negro, Rio Cueiras (50 km da boca), af. do Rio Negro, Am.",NA,NA,NA,NA,NA,"INPA0158849","INPA0158849 INPA0158849_e",NA,NA,NA,"2010","09",NA,NA,NA,NA,NA,NA
"17","2020-08-31 09:14:26-03","INPA","INPA","45862","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes","Grimes, JW; Barneby, RC","Campbell, DG","P21922","1974","04","07","Southern America","Brasil","Amazonas",NA,"Rios Cuieiras & Branqinh, 5 km up from junction of, 5 km upstream from junction of Rios Cuieiras and Branquinho.","-60.29","-2.525",NA,NA,NA,"INPA0045862","INPA0045862 INPA0045862_e INPA0045862_e1",NA,NA,NA,"1990",NA,NA,NA,NA,"-60.29","-2.525",NA
"18","2020-09-12 05:00:02-03","US","US","3029331","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W. Grimes",NA,"D. G. Campbell, J. C. Ongley & J. F. Ramos","P21922","1974","4","7","South America - Neotropics","Brazil","Amazonas",NA,"Brazilian Amazonia, 5 km upstream from junction of Rios Cuieiras and Branquinho",NA,NA,NA,NA,NA,"US02192599","US02192599_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","2281728","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W. Grimes","Barneby, R. C.; Grimes, J. W.","J. J. Wurdack & L. S. Adderley","43351","1959","7","8","South America - Neotropics","Venezuela","Amazonas",NA,"Río Guainia, between Communidad and Santa Rita",NA,NA,"120",NA,NA,"US00860433",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","2020-09-12 05:00:02-03","US","US","2963588","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W. Grimes","Barneby, R. C.; Grimes, J. W.","R. L. Liesner","8861","1980","1","29","South America - Neotropics","Venezuela","Amazonas",NA,"San Carlos de Río Negro, 16 km NE of; Caño de Cholo, 4 km SW of Solano","-66.96","1.93","120",NA,NA,"US00860434","US00860434_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","2020-09-12 05:00:02-03","US","US","1740713","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Pithecellobium","villiferum","Pithecellobium villiferum","Ducke",NA,"A. Ducke","35534","1936","2","23","South America - Neotropics","Brazil","Amazonas",NA,"Rio Curicuriary, Rio Negro.",NA,NA,NA,NA,NA,"US00000428","US00000428_01",NA,"Dicotyledonae",NA,NA,NA,NA,"Isotype",NA,NA,NA,"1"
"22","2020-09-12 05:00:02-03","US","US","USw17963","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Pithecellobium","villiferum","Pithecellobium villiferum","Ducke",NA,"J. J. Wurdack & L. S. Adderley","43351",NA,NA,NA,"South America - Neotropics","Venezuela","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"23","2019-11-13 11:21:23-03","USP","SPF","140991","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J.W.Grimes","Iganci, JRV","Lohmann, LG","306","1999","06","03",NA,"Brasil","Amazonas",NA,"Rio Negro, Igarapé da Cachoeira.","-60.296111","-2.688333",NA,NA,NA,"SPF00140991",NA,NA,NA,NA,"2014","12",NA,NA,NA,"-60.296111","-2.688333",NA
"24","2015-03-07 01:39:14-03","F","FMNH-SEEDPLANTS","V0116860F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Abarema","villifera","Abarema villifera",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0116860F","V0116860F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2014-09-23 10:57:37-03","G","G","G00364433","S","Plantae",NA,NA,"Fabaceae","Abarema","villifera","Abarema villifera","(Ducke) Barneby & J. W. Grimes","?","Ducke, A.","35534","1936","02","23","AMERIQUE DU SUD","Brazil","Amazonas",NA,NA,"-65.08583333","-4.14444444",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=266965&base=img&lang=en","G00364433","G00364433",NA,NA,NA,NA,NA,NA,"ISOTYPUS of Pithecellobium villiferum Ducke",NA,"-65.08583333","-4.14444444",NA
