"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude"
"11","2016-02-02 14:37:45-02","BGBM","B","B 10 0247007","S","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","Engl.",NA,"E. H. G. Ule","7171","Brazil",NA,NA,"in feuchten Felsschluchten der Serra da Lagoa; Estado de Piauhy.",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247007 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,"1907","01",NA,"Middle and South America",NA,NA,NA,"B100247007","B100247007",NA,"type",NA,NA
"12","2016-02-02 14:37:45-02","BGBM","B","B 10 0247008","S","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","Engl.",NA,"E. H. G. Ule","7171","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100247008 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,"Middle and South America",NA,NA,NA,"B100247008","B100247008",NA,"type",NA,NA
"13","2019-02-15 11:33:17-02","IPA","IPA","30562","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, S.J.","Emperaire, L.","558","Brasil","Piauí",NA,"Serra da Capivara",NA,NA,NA,NA,NA,NA,"1990","02","1979",NA,NA,"Southern America",NA,NA,NA,"IPA0030562",NA,"01",NA,NA,NA
"14","2019-07-26 11:39:22-03","IPA","IPA","66610","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Pontes, T.A.","Santos, S.A.","66610","Brasil","Rio Grande do Norte","Tibau do Sul","PIPA - SEP. Pracinha.","-35.0918998718262","-6.18666982650757","13790",NA,NA,"auto","2009","01","1999","08","06","Southern America",NA,NA,NA,"IPA0066610",NA,"26",NA,NA,NA
"15","2019-02-15 11:33:17-02","IPA","IPA","14280","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, S.J.","Tenório, E.","109","Brasil","Pernambuco","São Caetano","Fazenda Bonfim. Parte leste, lugar frequentemente mais úmido.",NA,NA,NA,NA,"Planta tuberosa. O seu caule se assemelha a pele de cobra.",NA,"1990","02","1966","04","24","Southern America",NA,NA,NA,"IPA0014280",NA,"01",NA,NA,NA
"16","2019-02-15 11:33:17-02","IPA","IPA","16401","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, S.J.","Andrade-Lima","68-5204","Brasil","Ceará",NA,"Serra do Ibiapaba, Estrada Ubajara-Guaraciaba do Norte.",NA,NA,NA,NA,NA,NA,"1990","02","1968","01","29","Southern America",NA,NA,NA,"IPA0016401",NA,"01",NA,NA,NA
"17","2019-02-15 11:33:17-02","IPA","IPA","8307","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, S.J.","Pickel, B.","2472","Brasil","Pernambuco",NA,"Tapera. Valado sêco.",NA,NA,NA,NA,"Em frutificação.",NA,"1990","02","1930","09","06","Southern America",NA,NA,NA,"IPA0008307",NA,"01",NA,NA,NA
"18","2019-02-15 11:33:17-02","IPA","IPA","89833","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Gallindo, F.","Oliveira, M.","5782","Brasil","Paraíba","Barra de Santana","LT GAR-CG3, próximo a T 153-3.","-36.055","-7.577917",NA,NA,"Erva rupícola. Inflorescência amarronzada. Frutos esverdeados. Ocasional.; Caatinga arbustiva-arbórea; solo argilo-pedregoso, com afloramentos rochosos.",NA,"2016","12","2014","05","13","Southern America",NA,NA,NA,"IPA0089833",NA,"07",NA,"-36.055","-7.577917"
"19","2019-02-15 11:33:17-02","IPA","IPA","42224","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, S.J.","Lima, G.C.","103","Brasil","Pernambuco","Ouricuri","Fazenda Estaca.","-40.0816993713379","-7.88250017166138","56078",NA,NA,"auto","1990","02","1984","02","28","Southern America",NA,NA,NA,"IPA0042224",NA,"01",NA,NA,NA
"20","2019-07-26 11:39:22-03","IPA","IPA","8306","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, S.J.","Vasconcellos Sobrinho","8306","Brasil","Pernambuco","Recife","Parque do IPA.","-34.8810997009277","-8.05389022827148","18865",NA,NA,"auto","1990","02","1936","09","17","Southern America",NA,NA,NA,"IPA0008306",NA,"01",NA,NA,NA
"21","2019-07-26 11:39:22-03","IPA","IPA","135","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, S.J.","Vasconcellos Sobrinho","135","Brasil","Pernambuco","Recife","Parque do IPA. Terrenos úmidos, sombreados.","-34.8810997009277","-8.05389022827148","18865",NA,"Tuberculos com substância cáustica; utilizado raspado, para curar bicheiras. Venenoso.","auto","1990","02","1936","04","17","Southern America",NA,NA,NA,"IPA0000135",NA,"01",NA,NA,NA
"22","2019-02-15 11:33:17-02","IPA","IPA","43022","S","Plantae","Plantae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Pontes, T.A.","Martins, M.L.L.","245","Brasil","Rio Grande do Norte","Tibau do Sul","Santuário Ecológico de Pipa, Praia de PIPA.","-35.0918998718262","-6.18666982650757","13790",NA,"Terrestre.","auto","2009","01","1994","05","29","Southern America",NA,NA,NA,"IPA0043022",NA,"26",NA,NA,NA
"23","2019-08-27 13:25:12-03","IAP","PACA-AGP","28217","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Arales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","J. L. Waechter","Rambo, B.",NA,"Brasil","RS","Nonoai","Ad fl. Uruguai superius.","-52.7714004516602","-27.3617000579834","35080",NA,"Habitat: In silva primaeva. Fenofase: estéril","auto","1993","01","1945","03","03",NA,NA,NA,NA,"PACA028217",NA,"15",NA,NA,NA
"24","2019-08-27 13:25:12-03","IAP","PACA-AGP","1546","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Arales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","J. L. Waechter","Rambo, B.",NA,"Brasil","SC","Itapiranga","Ad fl. Uruguay superius.","-53.7122001647949","-27.1693992614746","18767",NA,"Habitat: In silva primaeva. Fenofase: estéril","auto","1993","01","1934","02","15",NA,NA,NA,NA,"PACA001546",NA,"15",NA,NA,NA
"25","2019-08-27 13:25:12-03","IAP","PACA-AGP","49948","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Arales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","J. L. Waechter","Rambo, B.",NA,"Brasil","SC","Itapiranga","Ad fl. Uruguay superius","-53.7122001647949","-27.1693992614746","18767",NA,"Bulbo imerso maximo, petiolis cc.l-metralibus, foliis magnitudine habitu. Habitat: In silva primaeva. Terrestre. Fenofase: fructificans","auto","1993","01","1951","02","06",NA,NA,NA,NA,"PACA049948",NA,"15",NA,NA,NA
"26","2019-08-20 09:59:05-03","UNICAMP","UEC","96574","S","Plantae","Liliopsida",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Mayo, SJ","Araújo, FS","1080","Brazil","Ceará","Ubajara","Jaburuna Sul - planalto da Ibiapaba","-40.9211006164551","-3.85443997383118","27385",NA,"ori, Erva, em carrasco. NV: Milho de cobra.","auto","1996","04","1995","02","21",NA,NA,NA,NA,"UEC098785","UEC098785",NA,NA,NA,NA
"27","2019-11-19 14:04:42-03","UFRPE","PEUFR","15890","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","Schott.","E.G.Gonçalves","M.Grillo","35","Brasil","Pernambuco","Alagoinha",NA,"-36.7757987976074","-8.46638965606689","16004",NA,"Coletada no chão, único indivíduo; flor vistosa, avermelhada","auto","2001","07","1992","02",NA,NA,NA,NA,NA,"PEUFR015890",NA,"30",NA,NA,NA
"28","2019-11-19 14:04:42-03","UFRPE","PEUFR","12352","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","Schott.","E.G.Gonçalves","A.M.Miranda","522","Brasil","Pernambuco","São Lourenço da Mata","Estação Ecológica de Tapacurá","-35.0182991027832","-8.00222015380859","21764",NA,"Erva; caule bulbo; única folha e inflorescência caule bulbo","auto","2001","07","1992","07","27",NA,NA,NA,NA,"PEUFR012352",NA,"30",NA,NA,NA
"29","2019-08-16 08:38:22-03","UTFPR","HCF","23964","S","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","M.G. Caxambu","M.G. Caxambu","7960","Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, trilha do","-54.425222","-25.60625",NA,NA,"erva semi-ciófila, bulbosa. Folhas pinatifidas. Orla da floresta. Material infértil.",NA,"2017","11","2017","10","19",NA,"255","255",NA,NA,NA,"01",NA,"54°25'30,8 W","25°36'22,5 S"
"30","2008-05-27 22:02:00-03","MO","MOBOT","2903538","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"Engler","Engler 9","Brazil",NA,NA,"Patria ignota.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2018-12-10 13:05:00-02","MO","MOBOT","101085799","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"R. Barros","Barros 761","Bolivia","Cochabamba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2018-12-10 13:05:00-02","MO","MOBOT","101085788","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"R. Barco","Barco 761","Bolivia","Cochabamba","Carrasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-08-25 05:21:00-03","MO","MOBOT","2189456","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Keller, H. A., //","H. A. Keller","Keller 111","Argentina","Misiones","Montecarlo","Ruta 16, Propiedad de Alto Paraná S.A",NA,NA,NA,NA,NA,NA,NA,NA,"1999","11","14","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2017-07-03 05:12:00-03","MO","MOBOT","2292910","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"Osvaldo Morrone|Liliana M. Giussani|Damián Andrés Fernández|Claudia Guerrido","Morrone 3308","Argentina","Jujuy","Dr. Manuel Belgrano","Quebrada de Lozano, Río Lozano camino al Cerro Azul","-65.46666","-24.06666",NA,NA,NA,NA,NA,NA,"1998","12","12","South America","1950.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"35","2009-07-27 09:22:00-03","MO","MOBOT","2409432","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Biganzoli, F., / /","Fernando O. Zuloaga|Osvaldo Morrone","Zuloaga 6481","Argentina","Misiones","San Pedro","Parque Prov. Cruce Caballero, picada al NW","-53.98333","-26.51666",NA,NA,NA,NA,NA,NA,"1997","9","23","South America","720.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"36","2011-04-11 12:25:00-03","MO","MOBOT","2455147","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"L.L. Hauman","Hauman s.n.2","Argentina","Misiones","Guaraní","Fracrán","-54.3","-26.75",NA,NA,NA,NA,NA,NA,"1924","2","19","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2014-12-27 14:20:00-02","MO","MOBOT","2455163","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"Anonymous","Anonymous s.n.4","Argentina","Misiones","Iguazú","Puerto Irigoyen",NA,NA,NA,NA,NA,NA,NA,NA,"1922","10","23","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2012-04-27 13:09:00-03","MO","MOBOT","2492053","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"M. S. Bertoni","Bertoni 2220","Paraguay","Alto Paraná",NA,"Puerto Bertoni",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-04-07 14:03:34-03","UNIOESTE","UNOP","7315","S","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Temponi, L.G.","Temponi, L.G.; et al.; et al.","1047","Brasil","Paraná","Santa Terezinha de Itaipu","Reserva Particular do Patrimônio Natural Fazenda Santa Maria","-54.4880981445312","-25.3621997833252","24409",NA,NA,"auto","2011","11","2011","11","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-01-26 11:46:32-03","IMA","MAC","32993","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","E.C.O.Chagas","Chagas-Mota","839","Brasil","Alagoas","Santana do Ipanema","Serra da Camonga.","-37.2453002929688","-9.37833023071289","22938",NA,"Erva ca. 70 cm de altura. Inflorescência verde-escuro.; Caatinga.","auto","2009","02","2008","07","24",NA,NA,NA,NA,"MAC0032993",NA,"22",NA,NA,NA
"41","2021-01-26 11:46:32-03","IMA","MAC","38406","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","E.C.O.Chagas","Chagas-Mota; L.M.Leão","3118","Brasil","Alagoas","Água Branca","Morro do Craunã.","-37.9361000061035","-9.26082992553711","18309",NA,"Erva rupícola ca. 80 cm de altura. Estéril.; Caatinga.","auto","2009","04","2009","04","24",NA,NA,NA,NA,"MAC0038406",NA,"24",NA,NA,NA
"42","2021-01-26 11:46:32-03","IMA","MAC","42412","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","E.C.O.Chagas","Chagas-Mota; A.I.L.Pinheiro","3932","Brasil","Alagoas","Capela","Serra da Lagartixa.","-36.073600769043","-9.40750026702881","24392",NA,"Erva ca. 1 m de altura. Estéril.; Mata Pluvial Atlântica.","auto","2009","06","2009","06","05",NA,NA,NA,NA,"MAC0042412",NA,"05",NA,NA,NA
"43","2021-01-26 11:46:32-03","IMA","MAC","38249","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.",NA,"Chagas-Mota; L.M.Leão","2961","Brasil","Alagoas","Inhapi","Serra do Grude.","-37.7486000061035","-9.22138977050781","22926",NA,"Erva terrestre ca. 70 cm de altura. Inflorescência passada.; Caatinga.","auto",NA,NA,"2009","04","23",NA,NA,NA,NA,"MAC0038249",NA,NA,NA,NA,NA
"44","2021-01-26 11:46:32-03","IMA","MAC","42715","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","E.C.O.Chagas","Chagas-Mota; M.B.Santos; E.G.Santos Júnior","4235","Brasil","Alagoas","Santana do Ipanema","Serra do Gugi","-37.2453002929688","-9.37833023071289","22938",NA,"Erva ca. 1 m de altura. Inflorescência verde-escuro.; Brejo de Altitude.","auto","2009","07","2009","07","10",NA,NA,NA,NA,"MAC0042715",NA,"10",NA,NA,NA
"45","2020-09-25 10:41:16-03","UFPE","UFP","1330","PreservedSpecimen","Plantae",NA,NA,"Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","Schott.","Mayo, S","?","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990","02",NA,NA,NA,NA,NA,NA,NA,"UFP001330",NA,"01",NA,NA,NA
"46","2020-09-25 10:41:16-03","UFPE","UFP","45266","PreservedSpecimen","Plantae",NA,NA,"Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","Schott.","Mayo, S","Chiappeta, A","s.n.","Brasil","Pernambuco","Recife",NA,"-34.8810997009277","-8.05389022827148","18865",NA,NA,"auto","1990","02","1986","04","15",NA,NA,NA,NA,"UFP045266",NA,"01",NA,NA,NA
"47","2020-09-25 10:41:16-03","UFPE","UFP","16477","PreservedSpecimen","Plantae",NA,NA,"Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","Schott.","Pontes, TA","Pitrez, S","s.n.","Brasil","Pernambuco","Alagoinha",NA,"-36.7757987976074","-8.46638965606689","16004",NA,"Erva tuberosa, pecíolo róseo amarronzado; espata marrom arrozeado.; Caatinga","auto","2008","12","1997","03","20",NA,NA,NA,NA,"UFP016477",NA,"17",NA,NA,NA
"48","2021-03-01 11:53:08-03","UFPE","UFP","59583","PreservedSpecimen","Plantae",NA,NA,"Alismatales","Araceae","Taccarum","peregrinum","Taccarum peregrinum","Schott.","Pontes, TA","Pontes, TA","181","Brasil","Pernambuco","Igarassu",NA,"-34.9063987731934","-7.83416986465454","24709",NA,"Terrestre. Caule tuberoso, branco internamente. Pecíolo colíndrico, creme c listras longitudinais e máculas verde-escuras.; Na borda do fragmento sobre solo arenoso.","auto","2009","04","2009","04","28",NA,NA,NA,NA,"UFP059583",NA,"28",NA,NA,NA
"49","2019-11-01 15:13:00-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Gonçalves, EG","Gonçalves, EG; Salviani, ER","597","Brasil","São Paulo","Itirapina","Cachoeira do Saltão","-47.8199996948242","-22.25","22843",NA,"Apenas dois indivíduos vistos no local; Floresta de galeria e semidecidual, na encosta do morro","auto","2002","07","2000","10","27","Southern America",NA,NA,NA,"UB0002099","UB0002099",NA,NA,NA,NA
"50","2014-10-09 13:58:13-03","UHH","HBG","514179","S","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","HBG-formal name change","Ule, E.","7171","Brazil",NA,NA,"Estado de Piauhy, in feuchten Felsenschluchten der Serra da Sagoa (?)",NA,NA,NA,NA,"E. Ule: Herbarium Brasiliense (label); Herbarium E. Ule Brasilien (stamp) Herbarium Hamburgense Evacuated and inaccessible 1943-1992",NA,"2014","05","1907","01",NA,"South America",NA,NA,NA,"HBG514179",NA,"21",NA,NA,NA
"51","2019-11-21 09:59:18-03","IBt","SP","36305","S","Plantae",NA,NA,NA,"Araceae","Taccarum","peregrinum","Taccarum peregrinum","(Schott) Engl.","Gonçalves, EG","Pickel, B","s.n.","Brasil","Pernambuco",NA,NA,NA,NA,NA,NA,NA,NA,"1999","06","1936","09",NA,NA,NA,NA,NA,"SP049903","SP049903","01",NA,NA,NA
