"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","occurrenceRemarks","individualCount","minimumElevationInMeters","maximumElevationInMeters","class","order","previousCatalogNumber"
"11","2008-05-27 22:02:00-03","MO","MOBOT","1009007","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"Thomas B. Croat","Croat 74097",NA,NA,NA,"South America","Brazil",NA,NA,"Cultivated in Bleiswijk Holland at Anthurium selecties by N. van der Knapp; origin Brazil; stem repent to 1 cm diameter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2014-01-22 12:04:00-02","MO","MOBOT","2798030","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"H.G.A. Engler","Engler 155",NA,NA,NA,"South America","Brazil",NA,NA,"Patria: Brasilia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","2798034","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"Thomas B. Croat","Croat 68439","1987","10","12","South America","Brazil",NA,NA,"Cultivated at Missouri Botanical Garden. Received 2/12/77 from Kew Botanical Garden via Munich Botanical Garden (KEW 513.77.05366).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","2798036","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"Michael T. Madison","Madison 3725","1977","1","19","South America","Brazil",NA,NA,"Cultivated at SEL, obtained somewhere in southern Brazil by Monroe Birdsey.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","992645","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"Thomas B. Croat","Croat 75496",NA,NA,NA,"South America","Ecuador",NA,NA,"Cultivated. Collected originally in Ecuador at Serrania de Cutucú, April 1994.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:43:27-03","MBML","MBML-HERBARIO","23234",NA,"Plantae",NA,"Araceae","Anthurium","aff. radicans","Anthurium aff. radicans","K.Koch & A.Haage","R.T. Valadares/15-08-2016",NA,NA,"A. P. Fontana","630","2003","10","16",NA,"Brasil","Espírito Santo","Santa Leopoldina","Timbuí Seco","-40.596389","-20.054167","40W35'47","20S3'15","MBML023234","MBML023234",NA,NA,NA,NA,NA,NA,"Terrestre, inflorescência vermelha.",NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:43:28-03","MBML","MBML-HERBARIO","27533",NA,"Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & A.Haage","R.T. Valadares/28-06-2012",NA,NA,"V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","3038","2006","11","13",NA,"Brasil","Espírito Santo","Governador Lindenberg","Morelo, prop.:Fernando Nicolli","-40.457778","-19.148611","40W27'28","19S8'55","MBML027533","MBML027533",NA,NA,NA,NA,NA,NA,"Herbácea inflorescência marrom, flores bege, (CULTIVO). Borda de mata.",NA,"110","110",NA,NA,NA
"18","2020-07-10 09:43:28-03","MBML","MBML-HERBARIO","31879",NA,"Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & A.Haage","R.T. Valadares/28-06-2012",NA,NA,"V. Demuner; T. A. Cruz e R. R. Vervloet.","4442","2007","11","05",NA,"Brasil","Espírito Santo","Governador Lindenberg","Morelo. propr.:Fernando Nicolli","-40.460889","-19.143194","40W27'39,2","19S8'35,5","MBML031879","MBML031879",NA,NA,NA,NA,NA,NA,"Terrestre flores brancas. Interior de mata secundária.",NA,"110","110",NA,NA,NA
"19","2021-03-04 11:04:23-03","UFRB","HURB","17278","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K. Koch & Haage",NA,NA,NA,"Moreira, D.M.; Vitório, C.D.P. & Simões, S.S.","260","2017","10","19",NA,"Brasil","Bahia","São Felipe","Serra da Copioba;","-39.0894012451172","-12.8472003936768",NA,NA,"HURB000017278",NA,NA,"15122","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2965668","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans",NA,NA,NA,NA,"T. S. Santos","1263","1970","11","2","South America - Neotropics","Brazil","Ipiaú",NA,"Estrada a Jequié",NA,NA,NA,NA,"US01918871","US01918871_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"Monocotyledonae","Arales",NA
"21","2020-09-12 05:00:02-03","US","US","939400","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans",NA,NA,NA,NA,"A. Engler","135",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,"US01918872","US01918872_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"Monocotyledonae","Arales",NA
"22","2019-10-07 09:19:33-03","UEFS","HUEFS","207364","PreservedSpecimen","Plantae","Angiospermae","Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage",NA,NA,NA,"Pontes, T.A.","321","2013","09","16",NA,"Brasil","Bahia","Cachoeira","Entrada para Capoeiruçu, estrada de terra em frente à empresa Mastrotto Brasil, Fazenda Paraíso (antiga Favela), proprietária Dona Altamira Góes (D. Mira) e João Góes (S. Joca).","-38.992778","-12.577778","38W59'34''","12S34'40''","HUEFS0207364","HUEFS0207364",NA,NA,NA,NA,NA,NA,"Floresta Estacional Semidecidual",NA,NA,NA,"Lilianae","Alismatales",NA
"23","2019-10-07 09:19:33-03","UEFS","HUEFS","247603","PreservedSpecimen","Plantae","Angiospermae","Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage",NA,NA,NA,"Moreira, D.M.","260","2017","10","19",NA,"Brasil","Bahia","São Felipe","Serra da Copioba.","-39.0894012451172","-12.8472003936768",NA,NA,"HUEFS0247603",NA,NA,"15122","auto",NA,NA,NA,NA,NA,NA,NA,"Lilianae","Alismatales",NA
"24","2019-10-07 09:19:33-03","UEFS","HUEFS","247597","PreservedSpecimen","Plantae","Angiospermae","Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage",NA,NA,NA,"Moreira, D.M.","260","2017","10","19",NA,"Brasil","Bahia","São Felipe","Serra da Copioba.","-39.0894012451172","-12.8472003936768",NA,NA,"HUEFS0247597",NA,NA,"15122","auto",NA,NA,NA,NA,NA,NA,NA,"Lilianae","Alismatales",NA
"25","2016-08-23 11:12:03-03","NHMLondon","NHM-LONDON-BOT","BM000957070","S","Plantae",NA,NA,"Anthurium","radicans","Anthurium radicans","K.Koch & Haage",NA,NA,NA,"Heinrich Gustav Adolf Engler; b.1844; d.1930; Engl.","135",NA,NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:2309321"
"26","2017-09-11 17:07:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Araceae","Anthurium","radicans","Anthurium radicans","K.Koch & Haage",NA,NA,NA,"?","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Patria ignota, attamen probabilissime Brasilia, quum etiam species sequens huic affinis in Brasilia indigena sit.",NA,NA,NA,NA,NA,"P03P2N0013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
