"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","typeStatus","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount"
"11","2009-06-25 13:32:00-03","MO","MOBOT","3279433","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","William R. Anderson","Anderson 8126","1973","4","4","South America","Brazil",NA,NA,NA,NA,NA,NA,"H. Rob.",NA,"Isotype","Goiás",NA,"Serra Dos Cristais. Grassy hillside campo on southern edge of Cristalina; sandy soil.",NA,NA,"1250.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-05-23 11:07:51-03","UFLA","ESAL","8928","S","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Carvalho, DA","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,"erva; 0.30; branca;; campo rupestre",NA,NA,NA,"H.Rob.","Bueno, VR",NA,"Minas Gerais","Lavras","Serra da Bocaina, Antena","-44.999444","-21.245278","12","12",NA,"2017","07",NA,NA,NA,"-44.999444","-21.245278",NA,NA
"13","2020-09-12 05:00:02-03","US","US","3375098","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","M. A. Silva","3760","1998","1","17","South America - Neotropics","Brazil",NA,NA,NA,"US01747356",NA,"Asterales","H. Rob.",NA,NA,"Goiás",NA,"Município de Cristalina, 11km da cidade. Reserva Particular do Patrimônio Natural (RPPN). Santuário de Vida Silvestra Linda Serra dos Topázios",NA,NA,NA,NA,"US01747356_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"14","2020-09-12 05:00:02-03","US","US","2818635","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","H. S. Irwin, R. Souza & R. Reis dos Santos","9825","1965","11","3","South America - Neotropics","Brazil",NA,NA,NA,"US01747354",NA,"Asterales","H. Rob.",NA,NA,"Goiás",NA,"Planalto do Brasil. Serra do Cristais, Estado de Goiás. Cerrado, 3 km. West of Cristalina",NA,NA,"1175",NA,"US01747354_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"15","2020-09-12 05:00:02-03","US","US","2796413","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","W. R. Anderson","8126","1973","4","4","South America - Neotropics","Brazil",NA,NA,NA,"US00128368",NA,"Asterales","H. Rob.",NA,"Isotype","Goiás",NA,"Serra dos Cristais.",NA,NA,"1250","1250","US00128368_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"16","2020-09-12 05:00:02-03","US","US","2908807","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","R. M. King & L. E. Bishop","8963","1981","2","14","South America - Neotropics","Brazil",NA,NA,NA,"US01747355",NA,"Asterales","H. Rob.",NA,NA,"Goiás",NA,"Goias: 5 km NE to 5 km NW of Crystallina",NA,NA,"853","975","US01747355_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"17","2020-09-02 16:21:16-03","Cenargen","CEN","54825","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","José Floriano Barêa Pastore","1149","2004","12","15",NA,"Brasil","Exsicatas",NA,NA,"CEN00054825",NA,NA,"H.Rob.","J. B. Bringel",NA,"GO","CRISTALINA","Próximo a margem do rio.","-47.6136016845703","-16.7686004638672",NA,NA,"CEN00054825","2007","01",NA,"85457","auto",NA,NA,NA,"3"
"18","2019-11-13 11:16:22-03","USP","SPF","221179","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Pastore, JFB","1149","2004","12","15",NA,"Brasil",NA,NA,NA,"SPF00221179",NA,NA,"H.Rob.","Bringel, JBA",NA,"Goiás","Cristalina","Próximo à margem do rio.","-47.6136016845703","-16.7686004638672",NA,NA,NA,"2007","01",NA,"85457","auto",NA,NA,NA,NA
"19","2020-03-10 21:22:26-03","UNEMAT","HPAN",NA,"PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Carniello, MA; Destácio, JC; Silva, CN","6411","2017","12","20","América","Brasil",NA,NA,NA,NA,"Magnoliidae","Asterales","H.Rob.",NA,NA,"Mato Grosso","Porto Estrela","Estação Ecológica da Serra das Araras, Margem da trilha sob ação antrópica, avistada no interior do cerrado Sensu Stricto.","-57.213778","-15.655556","224","224",NA,"2017","11","20",NA,NA,"-57.213778","-15.655556",NA,NA
"20","2019-10-07 09:11:32-03","UEFS","HUEFS","165508","PreservedSpecimen","Plantae","Asteraceae","Ichthyothere","elliptica","Ichthyothere elliptica","Queiroz, L.P.de","15128","2010","10","30",NA,"Brasil",NA,NA,"Cerrado degradado ao lado de plantação de eucalipto.","HUEFS0165508","Angiospermae","Asterales","H.Rob.","D.J.N.Hind",NA,"Goiás","Cristalina","BR 050, ca. 5Km de Cristalina.","-47.675833","-16.843333","1135","1135","HUEFS0165508","2014","06",NA,NA,NA,"47W40'33''","16S50'36''","Asteranae",NA
