"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-06-29 09:29:00-03","UFRRJ","RBR","1479","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","D.M. Braz","S. Vianna","s.n.","1945","06","00",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RBR00001479","RBR00001479","2004","12","20","19648","auto",NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:29:00-03","UFRRJ","RBR","1507","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","D.M. Braz","H. Monteiro","s/nº","1958","03","00",NA,"Brasil","Rio de Janeiro","Itatiaia","parque Nacional de Itatiaia","-44.5633010864258","-22.4960994720459","1200","1200",NA,NA,"RBR00001507","RBR00001507","2004","12","20","19648","auto",NA,NA,NA,NA,NA,NA
"13","2015-09-04 10:36:05-03","MNHN","RECOLNAT_MNHN_P","P04404328","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"Hunt, D.R.",NA,"1966","7","23",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.","-44.5633010864258","-22.4960994720459",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04404328' target='other'> <mi>dwc_moreinfo</mi></a>","P04404328","P04404328_01",NA,NA,NA,"19648","auto",NA,NA,"6391",NA,NA,NA
"14","2020-07-10 09:43:09-03","MBML","MBML-HERBARIO","52571",NA,"Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"P. Occhioni","1151","1948","08","19",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, km 6-7. Arbusto de flor encarnada.","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Arbusto de flor encamada","MBML052571","MBML052571",NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA
"15","2020-06-15 15:28:10-03","UNESP-RC","HRCB","65166","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","I.H.F. Azevedo","Grupo Azul",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia - Trilha das Cachoeiras Véu da Noiva e Itaporani(1100m)","-44.619825","-22.428749","1081","1081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44°37'11.3694W","22°25'43.4958S",NA
"16","2020-09-12 05:00:02-03","US","US","2560466","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"D. R. Hunt","6391","1966","7","23","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Itatiaia, Parque Nacional. South-Eastern Brazil.",NA,NA,"600","900",NA,NA,"US02849984","US02849984_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"17","2020-09-12 05:00:02-03","US","US","3122882","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"E. Pereira","6985","1962","3","4","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Itatiaia.",NA,NA,"950",NA,NA,NA,"US02849986","US02849986_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"18","2020-09-12 05:00:02-03","US","US","2652155","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"T. C. Plowman & D. Sucre","2877/5177","1969","5","29","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Parque Nacional de Itatiaia: estrada entre Maromba e Macieras.",NA,NA,"1200","1400",NA,NA,"US02849988","US02849988_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"19","2020-09-12 05:00:02-03","US","US","2688040","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"G. Eiten & L. T. Eiten","7330","1966","7","24","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Município de Resende: Itatiáia National Park, on south face of Mt. Itatiáia, in valley of the creek, Rio Campo Belo.",NA,NA,"1235",NA,NA,NA,"US02849985","US02849985_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"20","2020-09-12 05:00:02-03","US","US","3122881","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"E. Pereira","7636","1963","6","15","South America - Neotropics","Brazil","Rio de Janeiro",NA,"E. do Rio - Serra do Itatiaia - Maromba.",NA,NA,NA,NA,NA,NA,"US02849987","US02849987_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"21","2019-11-13 11:14:04-03","USP","SPF","95927","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","Braz, DM","Catharino, ELM","2024","1994","09","27",NA,"Brasil","São Paulo","Bananal","Estação Ecológica de Bananal","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"SPF00095927","SPF00095927","2004","10",NA,"26795","auto",NA,NA,NA,NA,NA,NA
"22","2019-11-13 11:14:04-03","USP","SPF","110242","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","Braz, DM","Proença, SL","48","1995","05","10",NA,"Brasil","São Paulo","Bananal","Serra da Bocaina","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"SPF00110242","SPF00110242","2004","10",NA,"26795","auto",NA,NA,NA,NA,NA,NA
"23","2021-03-16 09:42:19-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","Braz, DM","Eiten, G; Eiten, LT","7330","1966","07","24","Southern America","Brasil","Rio de Janeiro","Resende","Itatiaia National Park, on S face of Mt. Itatiaia","-44.4467010498047","-22.468900680542","1235","1235",NA,"Shrub 0.5 m tall, corolla purplish red; In valley of the creek, Rio Campo Belo. Secondary forest","UB0123068","UB0123068","2004","12","20","36089","auto",NA,NA,NA,NA,NA,NA
"24","2021-03-04 15:46:54-03","IF","SPSF","42205","PreservedSpecimen","Plantae","Magnoliophyta","Tubiflorae","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","C.Kameyama","R.T. Polisel & N.M.Ivanauskas & R.P.S.Lattore & E.Rocha","533","2008","03","28","América do Sul","Brasil","SP","Bananal","Estação Ecológica","-44.366111","-22.806389","1115","1115",NA,"COLETA: Subarbusto 50cm; inflorescencia rosa.; GEOGRAFIA: Ao longo da trilha para a Pedra Vermelha.&nf;Floresta Ombrófila Mista.;",NA,NA,"2010","05","06",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"25","2021-03-04 15:46:54-03","IF","SPSF","42314","PreservedSpecimen","Plantae","Magnoliophyta","Tubiflorae","Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard","C.Kameyama","R.T. Polisel & N.M.Ivanauskas & M.C.Assis","719","2008","05","30","América do Sul","Brasil","SP","Bananal","Estação Ecológica de Bananal","-44.366111","-22.806389","1115","1115",NA,"COLETA: Subarbusto de 35 cm. Inflorescência rosa.; GEOGRAFIA: Ao longo da trilha da Pedra Vermelha. Floresta Ombrófila Mista.;",NA,NA,"2010","05","06",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"26","2020-08-27 12:19:16-03","IBt","SP","309205","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"Rapini, A","282","1997","05","04",NA,"Brasil","São Paulo","Areias","Serra da Bocaina","-44.689998626709","-22.5799999237061",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28205","auto",NA,NA,NA,NA,NA,NA
"27","2020-06-04 11:02:53-03","IBt","SP","275755","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"Catharino, ELM","2024","1994","09","27",NA,"Brasil","São Paulo","Bananal","Estação Ecológica de Bananal","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26795","auto",NA,NA,NA,NA,NA,NA
"28","2021-01-07 09:33:27-03","IBt","SP","454268","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"Polisel, RT","533","2008","03","28",NA,"Brasil","São Paulo","Bananal","Estação Ecológica de Bananal","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26795","auto",NA,NA,NA,NA,NA,NA
"29","2021-01-07 09:33:27-03","IBt","SP","454269","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"Polisel, RT","719","2008","05","30",NA,"Brasil","São Paulo","Bananal","Estação Ecológica de Bananal","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26795","auto",NA,NA,NA,NA,NA,NA
"30","2020-07-02 08:39:45-03","IBt","SP","277843","S","Plantae",NA,NA,"Acanthaceae","Staurogyne","itatiaiae","Staurogyne itatiaiae","(Wawra) Leonard",NA,"Proença, SL","48","1995","05","10",NA,"Brasil","São Paulo","Bananal","Serra da Bocaina","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26795","auto",NA,NA,NA,NA,NA,NA
