"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","imagecode","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"12","2014-10-14 15:56:52-03","BS","M","M-0165428","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Sellow, F.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"M0165428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","ISOTYPE",NA,NA
"13","2015-09-04 20:36:58-03","MNHN","RECOLNAT_MNHN_P","P05287811","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05287811' target='other'> <mi>dwc_moreinfo</mi></a>","P05287811",NA,NA,NA,NA,"P05287811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-04 20:36:58-03","MNHN","RECOLNAT_MNHN_P","P05287813","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Glaziou, A.",NA,"1892","4","11",NA,"Brasil","Minas Gerais","Perpetua, a Diamantina.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05287813' target='other'> <mi>dwc_moreinfo</mi></a>","P05287813",NA,NA,NA,NA,"P05287813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-10-27 10:54:43-02","MNHN","RECOLNAT_MNHN_P","P00066708","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,"s.l.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00066708' target='other'> <mi>dwc_moreinfo</mi></a>","P00066708","Martins",NA,NA,NA,"P00066708_01",NA,NA,NA,NA,NA,NA,"lectotype","1085",NA
"16","2015-09-01 15:09:57-03","MNHN","RECOLNAT_MNHN_P","P02441093","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,"s.l.",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441093' target='other'> <mi>dwc_moreinfo</mi></a>","P02441093",NA,NA,NA,NA,"P02441093_01",NA,NA,NA,NA,NA,NA,"isolectotype","1085",NA
"17","2015-09-04 20:36:58-03","MNHN","RECOLNAT_MNHN_P","P05287814","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Schumann",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Itacolumi.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05287814' target='other'> <mi>dwc_moreinfo</mi></a>","P05287814",NA,NA,NA,NA,"P05287814_01",NA,NA,NA,NA,NA,NA,NA,"9049",NA
"18","2015-09-04 20:36:58-03","MNHN","RECOLNAT_MNHN_P","P05287812","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Riedel",NA,"1835","2","1",NA,"Brasil","Minas Gerais","Montes Itacolomi.","-43.4249992370605","-19.0372009277344",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05287812' target='other'> <mi>dwc_moreinfo</mi></a>","P05287812",NA,NA,NA,NA,"P05287812_01","Conceição do Mato Dentro",NA,NA,"60318","auto",NA,NA,"1512",NA
"19","2020-12-11 11:38:06-03","UFMG","BHCB","126208","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schlecht","Oliveira, CT; Viana, PL","s.n.","2008","10","02","Southern America","Brasil","Minas Gerais","Santuário do Caraça","-43.463611","-20.148028",NA,NA,NA,"subarbusto 40 cm, flores roxas",NA,NA,NA,NA,NA,NA,"Catas Altas","-43.463611","-20.148028",NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","286409","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","F. Sellow","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,"[This is a collection event record attached to numerous Sellow specimens from Brazil without collection date or locality. Do not modify.]",NA,NA,NA,NA,NA,NA,"US00120299",NA,NA,NA,NA,"US00120299_01",NA,NA,NA,NA,NA,"Dicotyledonae","Possible isotype",NA,"1"
"21","2020-09-02 16:33:00-03","Cenargen","CEN","93169","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Beatriz Machado Gomes","490","2010","03","17",NA,"Brasil","MG","Parque Nacional da Serra da Canastra; morro da Torre de Observação. 20°12'39,6'' S; 46°28'29,1''W","-46.474722","-20.210833","1498","1498","Exsicatas","Flores com quatro pétalas bicolores: amarelo e vermelho-vivo; anteras e pistilo amarelos; flores provavelmente mimetizando uma borboleta. Projeto Implementação do Plano de Ação Nacional para Conservação de Lepidópteros Ameaçados - ICMBio.","CEN00093169","B. M. T. Walter","2016","08",NA,"CEN00093169","SAO ROQUE DE MINAS","-46.474722","-20.210833",NA,NA,NA,NA,NA,"1"
"22","2019-09-04 18:28:27-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon",NA,"F. Sellow","1085",NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Holotype",NA,NA
"23","2019-01-23 09:58:16-02","F","FMNH-SEEDPLANTS","V0063529F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon",NA,"F. Sellow","1085",NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0063529F",NA,NA,NA,NA,"V0063529F_01",NA,NA,NA,NA,NA,"Dicotyledoneae","Isolectotype",NA,NA
"24","2017-09-11 17:10:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Sello, HL","1085",NA,NA,NA,"Southern America","Brazil",NA,"Habitat in Brasilia, loco haud indicato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P14P3N0099",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:10:53-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham. & Schltdl.","Riedel, L","1685",NA,NA,NA,"Southern America","Brazil","Minas Gerais","in graminosis humidiusculis mont. Itacolumi prov. Minas Geraes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P14P3N0099",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-12-05 13:21:49-02","CAS","CAS-BOT","335396","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Fritzschia","anisostemon","Fritzschia anisostemon","Cham.","Almeda, Frank; Fritsch, Peter Warren; Filho, J. L. M. Aranha; Belinello, R.","8879","2004","11",NA,"South America","Brazil","Minas Gerais","Serra do Caraça. Parque do Caraça on the trail to Pico Inficionado.","-43.4569740295","-20.1357192993","1941",NA,NA,"Sprawling shrub with wiry branches to 1 m long. Petals purple with white apices. Rare.",NA,"A. B. Martins",NA,NA,NA,NA,NA,"43°27'25.1W","20°8'8.6S",NA,NA,"Magnoliopsida",NA,NA,NA
