"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","individualCount"
"11","2020-09-12 05:00:02-03","US","US","3314795","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"M. A. Silva & F. C. A. Oliveira","2421","1994","11","24","South America - Neotropics","Brazil","Goiás",NA,"Chapada dos Vesdeiros, 14 km de Alto Pasraiso/Colinas",NA,NA,NA,NA,NA,NA,"US01635587","US01635587_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"12","2020-09-12 05:00:02-03","US","US","3191519","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & J. M. Silva","54601","1990","10","15","South America - Neotropics","Brazil","Goiás",NA,"Rod. Go-327, 2-5 km Oeste de Alto Paraiso",NA,NA,"1200",NA,NA,NA,"US01635583","US01635583_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"13","2020-09-12 05:00:02-03","US","US","3325553","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"M. Fonseca & F. C. A. Oliveira","551","1995","9","25","South America - Neotropics","Brazil","Goiás",NA,"Parque Nacional Chapada dos Veadeiros, Municipio de Alto Paraiso","-47.915","-15.7372","1477",NA,NA,NA,"US01635585","US01635585_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"14","2020-09-12 05:00:02-03","US","US","3303209","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"T. S. Filgueiras & D. Alvarenga","3187","1994","11","24","South America","Brazil",NA,NA,"Go., Chapada dos Veadeiros, ca 14 km de Alto Paraiso estrada para Colinas de Go.",NA,NA,NA,NA,NA,NA,"US01635586","US01635586_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"15","2020-09-12 05:00:02-03","US","US","2818642","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.","Isotype","H. S. Irwin, R. Souza & R. Reis dos Santos","9286","1965","10","19","South America - Neotropics","Brazil","Goiás",NA,"Chapada do Veadeiros, NW of Veadeiros.",NA,NA,"1200","1200",NA,NA,"US00147433","US00147433_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"16","2020-09-12 05:00:02-03","US","US","3347665","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.",NA,"M. Fonseca, A. Vaz, R. Marquete, F. R. Mendonca & G. Nunes","1293","1996","10","23","South America - Neotropics","Brazil","Goiás",NA,"Municipio de Alto Paraiso, Chapada dos Veadeiros, ca 23 km do parque para Alto Paraiso",NA,NA,"1125",NA,NA,NA,"US01635584","US01635584_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"17","2020-09-12 05:00:02-03","US","US","2964537","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Chresta","souzae","Chresta souzae","H. Rob.","Isotype","H. S. Irwin, R. Souza & R. Reis dos Santos","9286","1965","10","19","South America - Neotropics","Brazil","Goiás",NA,"Planalto do Brasil, Chapada dos Veadeiros, Wet campo, recently burned-over, Chapada dos veadeiros, ca. 12 km N.W. of Veadeiros","-47","-14","1200",NA,NA,NA,"US00589217","US00589217_01 US00589217_02",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"18","2020-09-02 16:21:00-03","Cenargen","CEN","76904","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"João Bernardo de Azevedo Bringel Jr.","823","2011","06","11",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","Goiás - GO- 118 de alto Paraíso de Goiás a Teresina de Goiás, 15,4 Km N de Alto Paraiso, campo limpo recentemente queimado,adjacente a morro com cerrado rupestre.","-47.526388","-14.015277",NA,NA,"Exsicatas","Flores alvas com margem dos lobos roxa ou flores completamente roxas. BRASIL - Goiás - HERBARIO UB","CEN00076904","CEN00076904","J. B. Bringel","2011","06","-47.526388","-14.015277",NA,NA,NA,"1"
"19","2020-09-02 16:21:00-03","Cenargen","CEN","94312","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Márcio Verdi - RB","7353","2014","11","26",NA,"Brasil","GO","CAVALCANTE","Parque Nacional Chapada dos Veadeiros, Pouso Alto","-47.494444","-13.943055","1462","1462","Exsicatas","(Det. por foto). Folhas verdes. Área recentemente queimada.. Doação Jardim Botânico do Rio de Janeiro - RB 630856.","CEN00094312","CEN00094312","C. M. Siniscalchi","2014","12","-47.494444","-13.943055",NA,NA,NA,"1"
"20","2020-09-02 16:21:00-03","Cenargen","CEN","76913","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"João Bernardo de Azevedo Bringel Jr.","838","2011","06","11",NA,"Brasil","GO","CAVALCANTE","Brasil - Goiás - Cavalcante, caminho para cachoeira do rio Prata 39 Km de Cavalcante, margem de vereda.","-47.4583015441895","-13.7974996566772",NA,NA,"Exsicatas","erva com 0,2 m flores alvas e rosas - BRASIL - Goiás - HERBARIO UB","CEN00076913","CEN00076913","J. B. Bringel","2011","06",NA,NA,"92497","auto",NA,"1"
"21","2021-03-15 18:25:27-03","USP","SPF","224721","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Siniscalchi, CM","428","2013","12","01",NA,"Brasil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, Rodovia GO 118, km 196.","-47.441308","-13.937028","14","14",NA,"Erva em roseta, com xilopódio. Folhas verde escuras, discolores, pecíolos avermelhados. Brácteas involucrais verdes e carnosas. Flores roxas, com o tubo e a base dos lacínios alvos. Frutos com pappus bege.; Campo limpo próximo a aflo","SPF00224721",NA,"Siniscalchi, CM","2013","11","-47.441308","-13.937028",NA,NA,NA,NA
"22","2019-11-13 11:16:16-03","USP","SPF","220860","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Bringel, JBA","823","2011","06","11",NA,"Brasil","Goiás","Teresina de Goiás","15,4 km N de Alto Paraíso.","-47.526389","-14.015278",NA,NA,NA,NA,"SPF00220860",NA,"Bringel, JBA","2011","06","-47.526389","-14.015278",NA,NA,NA,NA
"23","2021-03-15 18:25:27-03","USP","SPF","207744","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Pirani, JR; Mello-Silva, R; Devecchi, MF; Alves, GGN","6435","2013","09","04",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Jardim da Maytrea (nome místico do buriti). Rodovia Alto Paraíso de Goiás - Niquelândia (GO 239), 25 km do trevo sul de Alto Paraíso de Goiás em direção a São Jorge.","-47.687333","-14.130639","1231","1231",NA,"Erva com folhas ao nível do solo arenoso, heliófila, em área campestre recentemente queimada, no cerrado de topo de chapada. Capítulo solitário com invólucro verde-claro e flores arroxeadas.; Campo brejoso junto à cerca do Parque Nac","SPF00207744",NA,"Siniscalchi, CM","2014","03","-47.687333","-14.130639",NA,NA,NA,NA
"24","2021-03-15 18:25:27-03","USP","SPF","207753","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Pirani, JR; Mello-Silva, R; Devecchi, MF; Alves, GGN","6445","2013","09","04",NA,"Brasil","Goiás","Alto Paraíso de Goiás","rodovia Alto Paraíso de Goiás - Niquelândia (GO 239), ca. 13,5 km de São Jorge em direção a Alto Paraíso de Goiás.","-47.71425","-14.135278","1188","1188",NA,"Ervas pequeninas agregadas, heliófilas, em solo arenoso graminoso de baixada alagadiça (várzea de riacho próximo), seca nesta época. Capítulos violáceos.; Brejo seco queimado.","SPF00207753",NA,"Siniscalchi, CM","2014","03","-47.71425","-14.135278",NA,NA,NA,NA
"25","2021-03-15 18:25:27-03","USP","SPF","224696","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Siniscalchi, CM","571","2014","12","03",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Rodovia GO-239, entre Alto Paraíso e São Jorge, estrada de terra na entrda da Escola Bona Espero, ca. 13 km do centro de Alto Paraíso.","-47.630475","-14.1633","115","115",NA,"Erva escaposa, até 30 cm alt. Folhas verdes discolores, sub-carnosas, às vezes com nervuras e margens vináceas. Flores lilases com o ápice do tubo e base das pétalas alvos. Pápus estramíneo.; Campo rupestre, solo quartzítico turfoso,","SPF00224696",NA,"Siniscalchi, CM","2014","12","-47.630475","-14.1633",NA,NA,NA,NA
"26","2021-03-15 18:25:27-03","USP","SPF","224702","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Siniscalchi, CM","570","2014","12","03",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Rodovia GO-118, a ca. 12 km de Alto Paraíso, a ca. 200 m da estrada.","-47.523875","-14.008483","150","150",NA,"Erva escaposa, até 30 cm alt. Folhas verdes discolores, sub-carnosas, às vezes com nervuras e margens vináceas. Flores lilases com o ápice do tubo e base das pétalas alvos. Pápus estramíneo.; Campo graminoso, solo pedregoso quartzíti","SPF00224702",NA,"Siniscalchi, CM","2014","12","-47.523875","-14.008483",NA,NA,NA,NA
"27","2021-03-15 18:25:27-03","USP","SPF","224720","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Siniscalchi, CM","425","2013","12","01",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Rodovia GO 118, km 184, em direção a Teresina de Goiás.","-47.536944","-14.023889","15","15",NA,"Erva em roseta, com xilopódio. Folhas verde escuras, discolores, pecíolos avermelhados. Brácteas involucrais verdes e carnosas. Flores roxas, com o tubo e a base dos lacínios alvos. Frutos com pappus bege.; Área de campo limpo e brej","SPF00224720",NA,"Siniscalchi, CM","2013","11","-47.536944","-14.023889",NA,NA,NA,NA
"28","2019-11-01 14:53:30-03","UnB","UB","159949","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Bringel, JBA; Moreira, HJC","838","2011","06","11","Southern America","Brasil","Goiás","Cavalcante","Caminho para cahoeira do rio Prata, ca. 39 km de Cavalcante.","-47.4583015441895","-13.7974996566772",NA,NA,NA,"Erva 0,2m. Floreas alvas a roxas.; Margem de vereda.",NA,NA,"Bringel, JBA","2011","06",NA,NA,"92497","auto",NA,NA
"29","2019-11-01 14:53:30-03","UnB","UB","1518","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.","holotype","Irwin, HS; Santos, RR; Souza, R","9286","1965","10","19","Southern America","Brasil","Goiás",NA,"12 km NW de Veadeiros",NA,NA,"1200","1200",NA,"Tipo. Raízes profundas e folhas carnosas.; Erva 0,1m. Flor magenta; Campo úmido.","UB0036849","UB0036849_9","Incógnito",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-01 14:53:30-03","UnB","UB","159933","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Bringel, JBA; Moreira, HJC","823","2011","06","11","Southern America","Brasil","Goiás",NA,"GO-118 de Alto Paraíso de Goiás a Teresina de Goiás, 15,4 km N de Alto Paraíso.","-47.526389","-14.015278",NA,NA,NA,"Erva 0,2m. Flores alvas com margem dos lobos roxa ou flores completamente roxas.; Canpo limpo recentemente queimado, adjacente a morro com cerrado rupestre.",NA,NA,"Bringel, JBA","2011","06","-47.526389","-14.015278",NA,NA,NA,NA
"31","2019-11-01 14:53:30-03","UnB","UB","198445","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Amaral, AG; Fernandes, CM; Munhoz, CBR; Souza, ACM","2755","2012","04","06","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros. Fora das parcelas, próximo à parcela 2500 sul.","-47.71453","-14.1093",NA,NA,NA,"Erva. 30 cm. Flor aberta. Pétalas lilás.; Campo limpo úmido.",NA,NA,"Bringel, JBA","2012","07","-47.71453","-14.1093",NA,NA,NA,NA
"32","2019-11-01 14:53:30-03","UnB","UB","37047","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Chresta","souzae","Chresta souzae","H.Rob.",NA,"Munhoz, CBR","539","1997","09","27","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","Alto Paraíso de Goiás, 8km de Alto Paraíso para São Jorge","-47.621944","-14.171667",NA,NA,NA,NA,NA,NA,"Calago, K",NA,NA,"-47.621944","-14.171667",NA,NA,NA,NA
