"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","relatedCatalogItem"
"11","2020-12-21 16:44:04-03","MBM","MBM","426037","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade","Oliveira, J.A.","Lozano, E.D.; Daniel, V.A.; Daniel, V.A.","3862","2017","10","04","Southern America","Brazil","Espírito Santo","Aracruz","Área de Restauração Natural da Fibria","-40.2205","-19.784306",NA,"Herbácea, 40 cm, flores azuis, face abáxial das folhas roxo escuro, na sombra em mata alterada. Prensada com álcool.; Floresta Ombrófila Densa.","MBM426037",NA,"2018",NA,NA,"-40.2205","-19.784306",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:44:04-03","MBM","MBM","154888","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","Smith, S.F.","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","57988",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo ao Rio Araguaia","-40.6591987609863","-20.3633003234863",NA,"Sublenhosa 50cm, flor lilás. Clareiras da mata pluvial","MBM154888","MBM154888","1993",NA,NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA
"13","2017-10-27 09:53:00-02","MO","MOBOT","3253810","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","C.M. Taylor","V. Krause","Krause 5296","1988","10","16","South America","Brazil","Espírito Santo",NA,"Santa Leopldina, Santo Antonio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"14","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","28867",NA,"Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","J.A. Oliveira/VIII-2016","L. F. S. Magnago; V. Demuner, M. Belizário, E. Bausen","487","2006","01","05",NA,"Brasil","Espírito Santo","Santa Leopoldina","Fazenda Caioaba, propr.:Virloni, Mata, trilha do corrego Caioaba.","-40.470556","-20.059167",NA,"Herbacea. Flores lilás . Mata.","MBML028867",NA,NA,NA,NA,"40W28'14","20S3'33",NA,NA,"150","150",NA,NA,NA
"15","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","28931",NA,"Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","Daniela Zappi/Out.-2009","L. Kollmann","9458","2007","01","10",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas","-40.479167","-20.272778",NA,"Planta 20cm na meia sombra, folhas vinaceas na face abaxial, flores lilás.","MBML028931",NA,NA,NA,NA,"40W28'45","20S16'22",NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","32953",NA,"Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","J.A. Oliveira/VIII-2016","V. Demuner; T. A. Cruz, M. Belisario.","4911","2008","01","29",NA,"Brasil","Espírito Santo","Santa Leopoldina","Fazenda Caioaba, propr.: Claúdio Villoni.","-40.473056","-20.059444",NA,"Erva botões florais, flores lilás. Interior de mata.","MBML032953",NA,NA,NA,NA,"40W28'23","20S3'34",NA,NA,"100","100",NA,NA,NA
"17","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","39484",NA,"Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","J.A. Oliveira/VIII-2016","L. Kollmann; A. Assis, T.F. Sagrillo & J. Sagrillo","11852","2010","01","14",NA,"Brasil","Espírito Santo","Aracruz","Picuã, propr. João Sagrillo","-40.329461","-19.893533",NA,"Erva reptente, flores lilás.","MBML039484",NA,NA,NA,NA,"40W19'46,06","19S53'36,72",NA,NA,"400","400",NA,NA,NA
"18","2021-02-25 10:12:24-03","CVRD","CVRD","15330","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Standleya","kuhlmanni","Standleya kuhlmanni","Brade","Geovane S. Siqueira","Siqueira, G.S.","1083","2015","07","28","América do Sul","BRASIL","ES","Sooretama",NA,"-40.112778","-19.063833",NA,"Col. Adic.: Sebastião Peroni (Tomate); Emanuelle F. França Silva; OBS: Erva com folhas bem roxo na fase abaxial. <ll>dwc_commonname:</ll> Erva tomate","CVRD015330","CVRD015330","2015","07","28","40°06'46,0W","19°03'49,8S",NA,NA,"53","53",NA,"Magnoliopsida",NA
"19","2020-09-12 05:00:02-03","US","US","3240214","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade",NA,"G. Hatschbach, A. C. Cervi & J. M. Silva","57988","1992","10","12","South America - Neotropics","Brazil","Espírito Santo",NA,"Rod. BR-262, próx rio Araguaia (mun Domingos Martins)",NA,NA,NA,NA,"US02360218","US02360218_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"20","2019-11-13 11:30:37-03","USP","SPF","151930","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii","Brade","Oliveira, JA","Fiaschi, P","660","2001","03","06",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas","-40.516667","-20.283333",NA,NA,"SPF00151930",NA,"2016","03",NA,"-40.516667","-20.283333",NA,NA,"620","620",NA,NA,NA
"21","2015-04-09 13:46:16-03","F","FMNH-SEEDPLANTS","V0295213F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Standleya","kuhlmannii","Standleya kuhlmannii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0295213F","V0295213F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"22","2020-07-23 12:21:28-03","CEPLAC","CEPEC","129479","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmanii","Standleya kuhlmanii",NA,"J. G. Jardim","A. M. Amorim","7317","2007","05","05",NA,"Brasil","Bahia","cariacica","Reserva Biológica Duas Bocas. Localidade de Alegre, trilha do Pau Oco.","-40.519444","-20.291389",NA,NA,NA,NA,NA,NA,NA,"40W31'10","20S17'29",NA,NA,NA,NA,NA,NA,"30/01/2010"
"23","2020-07-23 12:21:28-03","CEPLAC","CEPEC","132209","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmanii","Standleya kuhlmanii",NA,"J. G. Jardim","V. Demuner","4911","2008","01","29",NA,"Brasil","Espírito Santo","santa leopoldina","Fazenda Caioba, Prop. Cláudio Virlloni.","-40.473056","-20.059444",NA,NA,NA,NA,NA,NA,NA,"40W28'23","20S3'34",NA,NA,NA,NA,NA,NA,"30/07/2010"
"24","2020-07-23 12:21:28-03","CEPLAC","CEPEC","132212","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Standleya","kuhlmanii","Standleya kuhlmanii",NA,"J. G. Jardim","L. F. S. Magnapo","487","1980","01","06",NA,"Brasil","Espírito Santo","santa leopoldina","Fazenda Caioba, Prop. Virloni. Trilha do córrego Caioba.","-40.470556","-20.059167",NA,NA,NA,NA,NA,NA,NA,"40W28'14","20S3'33",NA,NA,NA,NA,NA,NA,"30/07/2010"
