"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","typeStatus","relatedCatalogItem"
"11","2021-02-11 17:19:50-03","UFPR","UPCB","51230","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Chamas, C.C.","437","1994","08","27",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Árvore 15m, DAP 16cm, folha verde. Trilha do Palmito, encosta da margem esquerda do Rio Timbuí, sol. Alt.: 840m s.n.m..","UPCB0015071","UPCB0015071","2004",NA,NA,NA,"01","01","9999","9999",NA,NA,NA,NA
"12","2021-02-11 17:19:50-03","UFPR","UPCB","51231","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Chamas, C.C.","178","1994","06","16",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Árvore 15m, DAP 16cm, folha verde. Trilha do Palmito. Alt.: 840m s.n.m..","UPCB0015059","UPCB0015059","2004",NA,NA,NA,"01","01","9999","9999",NA,NA,NA,NA
"13","2021-02-11 17:19:50-03","UFPR","UPCB","53426","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Kollmann, R.L.","8843","2006","04","07",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,NA,NA,"Arvoreta 4m, frutos secos, ao sol..","UPCB0015062","UPCB0015062","2006",NA,NA,NA,"01","01","9999","9999",NA,NA,NA,NA
"14","2021-02-11 17:19:50-03","UFPR","UPCB","65687","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Fontana, A.P.","Fontana, A.P.","2984","2007","02","23",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"643",NA,"Árvore, ca. 5m. Flores com cálice e inflorescência marrom e parte abaxial das folhas. Flores com corola rosada..","UPCB0020680","UPCB0020680","2007",NA,"643",NA,"01","01","9999","9999",NA,NA,NA,NA
"15","2021-02-11 17:19:51-03","UFPR","UPCB","71758","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Michelangeli, F.A.","1609","2011","02","08",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"837",NA,"Tree 8 m tall, 12 cm DBH; petals deep pink in bud and at anthesis, later turning white; filaments white at the base, purple apically, connective white, appendage yellow, large anthers purple, small anthers white; ovary dark pink, sty","UPCB0020681","UPCB0020681","2011",NA,"837",NA,"02",NA,"9999","9999",NA,NA,NA,NA
"16","2021-02-11 17:19:51-03","UFPR","UPCB","93375","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Fontana, A. P. |Brahim, K. A. |Bissoli | Trancoso, J.","3471","2007","05","31",NA,"Brasil","Espirito Santo.","Santa Leopoldina.","Cabeceira do Macucu, Inferninho.","-40.563056","-20.027222",NA,NA,"Floresta Densa Montana.. Arbusto, ca. 4m. Folhas discolores. Frutos verdes. Projeto CORES_UBRJ.","UPCB0040872","UPCB0040872","2019",NA,NA,NA,NA,NA,"-40.563056","-20.027222",NA,NA,NA,NA
"17","2021-02-11 17:19:51-03","UFPR","UPCB","83044","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Goldenberg, R.","2160","2015","05","10",NA,"Brasil","Espírito Santo","Santa Leopoldina","Pedra preta, floresta na baes da pedra","-40.5297012329102","-20.1005992889404",NA,NA,"Árvore 8m (mas com individuos vizinhos até 16m); Estéril (mas estava com frutos, estes não alcançados)..","UPCB0015070","UPCB0015070","2015","23799",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2013-07-11 12:05:00-03","MO","MOBOT","100610601","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg","Fabián A. Michelangeli|Renato Goldenberg|Mayara K. Caddah|Marcelo Reginato|Ludovic Kollmann","Michelangeli 1609","2011","2","8","South America","Brazil","Espírito Santo","Santa Teresa","Reserva Santa Lucia, top of Ridge (Bonita) trail. (19° 98' 18 S, 40° 52' 80 W)","-40.6002998352051","-19.9356002807617","837.00000000",NA,NA,NA,NA,NA,"23813",NA,"auto",NA,NA,NA,NA,"1",NA,NA,NA
"19","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","11544",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/04-11-2004","V. Demuner; et al","624","2000","01","27",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"Árvore 16m, DAP 60cm, fuste 7m, botões florais, flores com pétalas rosa claro e outra rosa escuro. Frutos jovens rosados. Folhas face dorsal dourado e face ventral verde escuro.","MBML011544","MBML011544",NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"20","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","14489",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/04-11-2004","L. Kollmann; et al","3903","2001","06","12",NA,"Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167",NA,NA,"Arvoreto 8m. Frutos marrons.","MBML014489","MBML014489",NA,NA,NA,NA,NA,NA,"40W34'60","19S59'3",NA,NA,NA,NA
"21","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","16180",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/04-11-2004","L. Kollmann; et al","5449","2002","01","31",NA,"Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167",NA,NA,"Arvoreto 3m. Flores rosas e brancas.","MBML016180","MBML016180",NA,NA,NA,NA,NA,NA,"40W34'60","19S59'3",NA,NA,NA,NA
"22","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","20131",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/04-11-2004","R.R. Vervloet; et al","2048","2003","03","25",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,"Arvoreto de 6m, frutos imaturos de cor marrom, folhas discolor, verde e marrom, topo de morro, dossel 6m, local rochoso.","MBML020131","MBML020131",NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA
"23","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","25545",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","B. Chiavegatto/10-08-2006","L. Kollmann; et al","8843","2006","04","07",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"Arvoreto 4m no sol. Frutos secos.","MBML025545","MBML025545",NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"24","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","30760",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/2008","J. Rossini; L. C. Rossini","659","2007","07","13",NA,"Brasil","Espírito Santo","Santa Teresa","15 de agosto, propriedade do Sr. José Rediguieri","-40.565278","-19.783611",NA,NA,"Arvoreta de 6.5m. Folhas com face abaxial bege com lanugem marrom. Frutos beges com lanugem marrom.","MBML030760","MBML030760",NA,NA,NA,NA,NA,NA,"40W33'55","19S47'1",NA,NA,NA,NA
"25","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","40339",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana","A.P. Fontana/2007","A. P. Fontana; K.A. Brahim","2984","2007","02","23",NA,"Brasil","Espírito Santo","Santa Teresa","Julião, prop. do Sr. João Luiz Rodrigues de Souza. Floresta Ombrófila Aberta, mata de encosta","-40.539972","-19.741861","643",NA,"Árvore ca 5m. Flores com cálice e inflorescência marrom e parte abaxial das folhas. Flores com corola rosada","MBML040339","MBML040339",NA,NA,"643",NA,NA,NA,"40W32'23,9","19S44'30,7",NA,NA,NA,NA
"26","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","40615",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana","A.P. Fontana/2007","A. P. Fontana; K.A. Brahim, L. Kollmann & R. Perdiz","3030","2007","03","15",NA,"Brasil","Espírito Santo","Santa Leopoldina","Rio das Farinhas, prop. do Sr. Antônio Carlos Barata. Floresta Ombrófila Aberta, mata de encosta","-40.615444","-20.125333","728",NA,"Árvore ca 7m. Folhas verdes discolores, parte abaxial com nervuras com tricomas marrons. Inflorescência e frutos verdes com tricomas marrons","MBML040615","MBML040615",NA,NA,"728",NA,NA,NA,"40W36'55,6","20S7'31,2",NA,NA,NA,NA
"27","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","49055",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana","R. Goldenberg/2019","A. P. Fontana; V.G. Leite & M.F.B. Costa","7827","2013","10","22",NA,"Brasil","Espírito Santo","Santa Teresa","Penha. Propriedade de Rubinho Pizziolo.","-40.556111","-19.934722","719",NA,"Arbusto, ca. 4m. Frutos secos.","MBML049055","MBML049055",NA,NA,"719",NA,NA,NA,"40W33'22","19S56'5",NA,NA,NA,NA
"28","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","52525",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana","R. Goldenberg/2019","A. P. Fontana; K.A. Brahim, L. Bissoli & J. Trancoso","3471","2007","05","31",NA,"Brasil","Espírito Santo","Santa Leopoldina","Cabeceira do Macucu, Inferninho. Propriedade do Sr. José Trancoso. Floresta Densa Montana","-40.563278","-20.027389","891",NA,"Arbusto, ca. 4m. Folhas discolores. Frutos verdes. Projeto CORES-JBRJ.","MBML052525","MBML052525",NA,NA,"891",NA,NA,NA,"40W33'47,8","20S1'38,6",NA,NA,NA,NA
"29","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","5793",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/04-11-2004","H. Q. Boudet Fernandes; et al","2868","1989","09","21",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"Árvore 16m, fuste 5m X 55cm, casca cinza clara. Ramos jovens e folhas com indumento ferrugíneo.","MBML005793","MBML005793",NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"30","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","9397",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/04-11-2004","Cintia C. Chamas; et al","178","1994","06","16",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"Árvore altura 15m. DAP 16cm, folha verde, verso e folhas novas indumento ferrugem, fruto maduro marron. Trilha palmito, encosta da margem esquerda do rio Timbuí, sol, altitude 840m. Material coletado: fruto.","MBML009397","MBML009397",NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"31","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","9398",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/04-11-2004","Cintia C. Chamas; et al","437","1994","08","27",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,"Árvore altura 15m. DAP 16cm, folha verde, verso folhas novas e pecíolo c/ indumento ferrugem, fruto e pendúculo com indumento ferrugem, fruto e pendúculo com indumento ferrugem. Trilha palmito, encosta da margem esquerda do rio Timbuí,","MBML009398","MBML009398",NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA
"32","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","46581",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","R. Goldenberg/Fev.2011","F.A. Michelangeli; R. Goldenberg, M.K. Caddah, M. Reginato & L. Kollmann","1609","2011","02","08",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Santa Lúcia, top of Ridge (Bonita) trail","-40.868889","-19.171667","837",NA,"Tree 8m tall, 12cm DHB, petals deep pink in bud and at anthesis, later turning white, filaments white at the base, purple apically, connective white, appendage yellow, large anthers purple, small anthers white, ovary dark pink, style w","MBML046581","MBML046581",NA,NA,"837",NA,NA,NA,"40W52'8","19S10'18",NA,NA,NA,NA
"33","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","48746",NA,"Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","Triana","R. Goldenberg/2015","R. Goldenberg; L.F. Bacci, T. Bochorny","2160","2015","05","10",NA,"Brasil","Espírito Santo","Santa Leopoldina","Pedra Preta, floresta na base da pedra","-40.5297012329102","-20.1005992889404",NA,NA,"Árvore 8m (mas com indivíduos vizinhos até 16m); estéril (mas estava com frutos, estes não alcançados)","MBML048746","MBML048746",NA,"23799",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","2639192","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana",NA,"A. Eupunino","28","1972","11","25","South America - Neotropics","Brazil","Bahia",NA,"Rod. Porto Seguro a Eunápolis, km 6",NA,NA,NA,NA,NA,"US01901175","US01901175_01 US01901175_02",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"35","2020-09-12 05:00:02-03","US","US","3215763","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana",NA,"H. Q. Boudet Fernandes","2868","1989","9","21","South America - Neotropics","Brazil","Espírito Santo","Santa Teresa","Valsugana Velha, Estação Biológica de Santa Lúcia.","-40.53","-19.97","700",NA,NA,"US01901176","US01901176_01 US01901176_02",NA,NA,"850",NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"36","2020-09-12 05:00:02-03","US","US","284606","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana",NA,"F. Sello","2410",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"US01901174","US01901174_01 US01901174_02",NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"37","2019-09-04 18:46:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla",NA,NA,"F. Sellow","411",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA
"38","2020-07-23 12:13:03-03","CEPLAC","CEPEC","8176","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla",NA,"J. J. Wurdack","A. Eupunino","28","1971","11","25",NA,"Brasil","Bahia","PORTO SEGURO","Rod. Porto Seguro/Eunapolis, Km 6.","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,NA,"68835",NA,"auto",NA,NA,"0W0'0","0*0'0",NA,NA,NA,"30/12/1973"
"39","2020-07-23 12:13:03-03","CEPLAC","CEPEC","124275","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla",NA,"R. Goldenberg & A.B.Jardim","L. J. Alves","98","2005","12","20",NA,"Brasil","Bahia","PORTO SEGURO","Extremo Sul da Bahia. RPPN Manona.","-39.0647010803223","-16.4496994018555",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,"68835",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-06-30 11:00:07-03","UFU","HUFU","61222","S","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","Goldenberg, R.","Kollmann, L.; Bausen, E.","5449","2002","01","31",NA,"Brasil","Espírito Santo","Santa Teresa","cabeceira do Rio Bonito, Radar","-40.6002998352051","-19.9356002807617","950",NA,"Arvoreto, ca. 3 m alt. Flores rosas e brancas.","HUFU00061976","HUFU00061976","2004","23813","950","auto","11","04",NA,NA,NA,NA,NA,NA
"41","2016-08-16 10:40:49-03","CAS","CAS-BOT","517271","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana",NA,"Michelangeli, F. A.; Goldenberg, R.; Caddah, M. K.; Reginato, M.; Kollmann, L.","1609","2011","2",NA,"South America","Brazil","Espirito Santo","Santa Teresa","Reserva Santa Lucia, top of Ridge (Bonita) trail.","-40","-19","837",NA,"Tree 8 m tall, 12 cm DBH; petals deep pink in bud and at anthesis, later turning white; filaments white ant the base, puprle apically, connective white, appendage yellow, large anthers purple, small anthers white; ovary dark pink, style white. GPS coordinates given as 19°98'18 S, 40°52'80.",NA,NA,NA,NA,NA,NA,NA,NA,"40° W","19° S",NA,"Magnoliopsida",NA,NA
"42","2014-09-23 10:58:42-03","G","G","G00074107","S","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","in Hb. G","Sellow, F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=105058&base=img&lang=en","G00074107","G00074107",NA,NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"TYPUS of Davya calophylla Cham.",NA
"43","2014-09-23 10:58:42-03","G","G","G00074108","S","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","in Hb. G","Sellow, F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=105059&base=img&lang=en","G00074108","G00074108",NA,NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"TYPUS of Davya calophylla Cham.",NA
"44","2014-09-23 10:58:42-03","G","G","G00074109","S","Plantae",NA,NA,"Melastomataceae","Meriania","calophylla","Meriania calophylla","(Cham.) Triana","in Hb. G","Sellow, F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=105060&base=img&lang=en","G00074109","G00074109",NA,NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"TYPUS of Davya calophylla Cham.",NA
