"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","class","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"11","2016-02-02 14:38:58-02","BGBM","B","B 20 0055536","S","Plantae",NA,NA,"Polypodiaceae","Ctenitis","fenestralis","Ctenitis fenestralis","A. F. M. Glaziou","7026",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200055536 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200055536","B200055536","Copel.","R. S. Viveros",NA,NA,NA,"isotype","2014","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:35:13-03","IAP","PACA-AGP","78296","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Dryopteris","fenestralis","Dryopteris fenestralis","Hatschbach, G.","22520","1969","10","20",NA,"Brasil","PR","Guarapuava","Serra da Esperanca","-51.4580993652344","-25.395299911499",NA,"Habitat: interior de mata","PACA078296",NA,"C. Chr.","A. Sehnem SJ",NA,NA,NA,NA,"1970","02","Filicopsida","03","53832","auto",NA,NA,NA,NA,NA
"13","2019-08-27 13:35:13-03","IAP","PACA-AGP","78295","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Dryopteris","fenestralis","Dryopteris fenestralis","Sehnem, A.","3104","1948","01","13",NA,"Brasil","SC","Tijucas do Sul","Pinheiral",NA,NA,NA,"Habitat: in silva","PACA078295",NA,"C. Chr.","A. Sehnem SJ","750","750",NA,NA,"1973",NA,"Filicopsida",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:35:13-03","IAP","PACA-AGP","78297","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Dryopteris","fenestralis","Dryopteris fenestralis","Sehnem, A.","13227","1973","01","07",NA,"Brasil","RS","Dois Irmãos","Jammertal","-51.0853004455566","-29.5802993774414",NA,"Habitat: herba in silva","PACA078297",NA,"C. Chr.","A. Sehnem SJ",NA,NA,NA,NA,"1973","04","Filicopsida","09","7716","auto",NA,NA,NA,NA,NA
"15","2019-11-21 14:52:15-03","UFJF","CESJ","69077","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","A. Stival-Santos; S. Silveira","3252","2010","07","08","América do Sul","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá","-48.87","-27.45",NA,"Florística IFFSC 388 (Erva Terrícola). Floresta Ombrófila Densa. Estádio sucessional avançado. Erva terrícola comum no fragmento.","CESJ069077",NA,"(C.Chr.) Copel.","R.S. Viveiros","710","710",NA,NA,"2018","03",NA,NA,NA,NA,"-48.87","-27.45",NA,NA,NA
"16","2020-12-14 16:14:49-03","UFC","EAC","21010","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","Oliveira, M.R.L.","s.n.","1994","04","30","Southern America","Brasil","Ceará","Guaramiranga","Sítio Cana Brava","-38.9331016540527","-4.26332998275757",NA,"Mata","EAC0021010","EAC0021010","(C.Chr.) Copel.","Schwartsburd, P.B.",NA,NA,NA,NA,"2011","04",NA,"06","13198","auto",NA,NA,NA,NA,NA
"17","2015-10-18 11:48:50-02","MNHN","RECOLNAT_MNHN_P","P00170046","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ctenitis","fenestralis","Ctenitis fenestralis","Spannagel, L.C.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"S. Joaquim, S. Catharina, S. Brasil",NA,NA,"hb","9 février 1910. Dryopteris spannagelii n. sp. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170046' target='other'> <mi>dwc_moreinfo</mi></a>","P00170046","P00170046_01","(C.Chr.) Copel.","Viveros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"174",NA,NA
"18","2018-01-05 15:21:56-02","MNHN","RECOLNAT_MNHN_P","P01608938","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ctenitis","fenestralis","Ctenitis fenestralis","Glaziou, A.",NA,"1873","2","21",NA,"Brésil",NA,NA,"Petropolis, alto do Imperador",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01608938' target='other'> <mi>dwc_moreinfo</mi></a>","P01608938","P01608938_01 P01608938_02","(C.Chr.) Copel.","Viveros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7026",NA,NA
"19","2015-11-07 03:54:16-02","MNHN","RECOLNAT_MNHN_P","P01608939","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ctenitis","fenestralis","Ctenitis fenestralis","Glaziou, A.",NA,"1873","2","21",NA,"Brésil",NA,NA,"Petropolis, alto do Imperador",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01608939' target='other'> <mi>dwc_moreinfo</mi></a>","P01608939","P01608939_01 P01608939_02","(C.Chr.) Copel.","Viveros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7026",NA,NA
"20","2018-01-05 15:21:56-02","MNHN","RECOLNAT_MNHN_P","P01608940","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ctenitis","fenestralis","Ctenitis fenestralis","Glaziou, A.",NA,"1873","2","21",NA,"Brésil",NA,NA,"Petropolis, alto do Imperador",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01608940' target='other'> <mi>dwc_moreinfo</mi></a>","P01608940","P01608940_01 P01608940_02","(C.Chr.) Copel.","Viveros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7026",NA,NA
"21","2018-01-05 15:21:56-02","MNHN","RECOLNAT_MNHN_P","P01608941","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Ctenitis","fenestralis","Ctenitis fenestralis","Glaziou, A.",NA,"1873","2","21",NA,"Brésil",NA,NA,"Petropolis, alto do Imperador",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01608941' target='other'> <mi>dwc_moreinfo</mi></a>","P01608941","P01608941_01 P01608941_02","(C.Chr.) Copel.","Viveros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7026",NA,NA
"22","2011-09-27 16:23:00-03","MO","MOBOT","3318549","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Dryopteris","fenestralis","Dryopteris fenestralis","A.H.G. Alston|B. Lutz","Alston 325","1938","10","25","South America","Brazil","Rio de Janeiro",NA,"Cat. geral N. Distrito Federal: Tijuca Bico do Papagio.",NA,NA,NA,NA,NA,NA,"C. Chr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23","2020-09-12 05:00:02-03","US","US","2256771","PreservedSpecimen","Plantae",NA,"Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","L. Smith & R. M. Klein","10894","1957","2","6","South America","Brazil","Santa Catarina",NA,"Mun. Caçador: Pinheiral, 6 km. west of Caçador",NA,NA,NA,NA,"US01548313","US01548313_01","(C. Chr.) Copel.",NA,"900","1000",NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,"1",NA
"24","2020-09-12 05:00:02-03","US","US","2294216","PreservedSpecimen","Plantae",NA,"Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","C. Spannagel","174",NA,NA,NA,"South America","Brazil",NA,NA,"Sao Joaquim, Fazenda do Espinilho",NA,NA,NA,NA,NA,NA,"(C. Chr.) Copel.",NA,"1000",NA,NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,"1",NA
"25","2020-09-12 05:00:02-03","US","US","2294215","PreservedSpecimen","Plantae",NA,"Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","C. Spannagel","33 b",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Santa Amaro",NA,NA,NA,NA,"US01548310","US01548310_01","(C. Chr.) Copel.",NA,NA,NA,NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,"1",NA
"26","2020-09-12 05:00:02-03","US","US","1692446","PreservedSpecimen","Plantae",NA,"Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","v. Luetzelburg","6924","1916","10",NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Brasilia, Serra Estrella: Frade",NA,NA,NA,NA,"US01548312","US01548312_01","(C. Chr.) Copel.",NA,NA,NA,NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","256703","PreservedSpecimen","Plantae",NA,"Polypodiales","Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","L. Smith & R. Reitz","9201","1956","12","25","South America","Brazil","Santa Catarina",NA,"Mun. Xanxerê: Pinheiral and ruderal 17 km north of Abelardo Luz",NA,NA,NA,NA,"US01548311","US01548311_01","(C. Chr.) Copel.",NA,"500","600",NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,NA,NA,NA,"1",NA
"28","2019-11-07 11:16:07-03","UFMG","BHCB-SL","64987","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","Salino, A; Dittrich, VAO; Morais, PO; Carvalho, FA; Teixeira, LCRS; Oliveira, AM","7735","2001","10","30","América","Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba, Trilha da Cachoeira dos Macacos.","-45.169972","-23.412361",NA,"Terrestre no interior de mata. Caule decumbente.",NA,NA,"(C.Chr.) Copel.","Salino, A","350","400",NA,NA,"2002","01",NA,NA,NA,NA,"-45.169972","-23.412361",NA,NA,NA
"29","2019-12-19 16:20:38-03","UFMG","BHCB-SL","61954","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","Salino, A; Dittrich, VAO; Morais, PO; Meinberg, AC","7285","2001","08","07","América","Brasil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Núcleo de Picinguaba, Trilha do Pico do Cuscuzeiro, próximo ao marco da divisa entre Rio de Janeiro e São Paulo. Floresta Ombrófila Densa Montana e Altomontana.","-44.848056","-23.359361",NA,"Terrestre, no interior de floresta","BHCB000730","BHCB000730","(C.Chr.) Copel.","Salino, A","780","780",NA,NA,"2002","01",NA,NA,NA,NA,"-44.848056","-23.359361",NA,NA,NA
"30","2016-08-23 10:59:11-03","NHMLondon","NHM-LONDON-BOT","BM000937858","S","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","fenestralis","Ctenitis fenestralis","Auguste François Marie Glaziou; b.1828; d.1906; Glaz.","7026","1878","03","21",NA,"Brasil","Rio de Janeiro",NA,NA,"-43.1789","-22.505",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/fcf212430d690d5bf4aed8b240ced2562a15e254/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"(C.Chr.) Copel.","Raquel Stauffer Viveros; Universidade Federal de Minas Gerais; Viveros",NA,NA,NA,"Type","2014","08",NA,NA,NA,NA,"-43.1789","-22.505",NA,NA,"NHMUK:ecatalogue:493938"
