"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","relatedCatalogItem"
"11","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73069","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Jardim, J.G.; Jardim, A.; Sant'Ana, S.C.; São-Mateus, W.","5320","2008","07","02","Southern America","Brazil","Bahia","Arataca","RPPN do IESB, Serra do Peito de Moça, Rodovia Arataca/Una, entrada a 9.8 km da cidade, mais 8.9 km da entrada, Trilha da Serra, entranda ca. 1.5 km NE da sede","-39.343611","-15.161944","700","900",NA,"arbusto ca. 3 m; caule alado; folhas verde-brihantes com a face inferior opaca; corola branca, anteras amarelas (unicata); floresta ombrofila densa montana",NA,NA,"Dicotyledoneae","2013","11","-39.343611","-15.161944","123476",NA,NA,NA,NA,NA,NA
"12","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73071","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Santos, T.S. dos","1059","1970","11","01","Southern America","Brazil","Bahia",NA,"Ubaítaba a Itacaré",NA,NA,NA,NA,NA,"planta 40 cm; fl. branca, antera amarela, calice verde; mata",NA,NA,"Dicotyledoneae","2013","11",NA,NA,"6074",NA,NA,NA,NA,NA,NA
"13","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73074","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Jardim, J.G.; Aguiar, C.; Sant'Ana, S.; Juchum, F.; Paixão, J.L.","2867","2000","02","24","Southern America","Brazil","Bahia","São Miguel das Matas","Fazenda Engenho da Lama, (Prop. Genival Lucas), ca. 4.5 km ao S de cidade","-39.432222","-13.046944","400","400",NA,"arbusto ca. 2.5 m; folhas verdes com a face inferior mais clara; fruto inmaturos verdes; mata higrofila",NA,NA,"Dicotyledoneae","2013","11","-39.432222","-13.046944","88508",NA,NA,NA,NA,NA,NA
"14","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73208","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.; Marinho, L.C.","2008","2013","11","07","Southern America","Brazil","Bahia","Amargosa","Serra do Timbó; área de estudos do Centro Sapucaia, na Fazenda Timbó","-39.664722","-13.1045","674","674",NA,"Arvoreta, 4 m. Frutos verdes; em fragmento de Floresta Estacional Semidecidual marginal a estrada não pavimentada para extração de madeira. Próximo a riacho",NA,NA,"Dicotyledoneae",NA,NA,"-39.664722","-13.1045",NA,NA,NA,NA,NA,NA,NA
"15","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73075","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Cardoso, D.; Souza, S.; Senhor Nino","1577","2007","01","15","Southern America","Brazil","Bahia","Amargosa","Serra do Timbó, area de estudio do Projeto Timbó/Centro Sapucaia","-39.665","-13.162222","541","541",NA,"arbusto ca. 3 m; folhas cartaceas a semi-suculentas; frutos imaturos verde-claros; fragmento de floresta ambrofila densa do dominio de floresta",NA,NA,"Dicotyledoneae","2013","11","-39.665","-13.162222","118209",NA,NA,NA,NA,NA,NA
"16","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73208","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.; Marinho, L.C.","2008","2013","11","07","Southern America","Brazil","Bahia","Amargosa","Serra do Timbó; área de estudos do Centro Sapucaia, na Fazenda Timbó","-39.664722","-13.1045","674","674",NA,"Arvoreta, 4 m. Frutos verdes; em fragmento de Floresta Estacional Semidecidual marginal a estrada não pavimentada para extração de madeira. Próximo a riacho",NA,NA,"Dicotyledoneae",NA,NA,"-39.664722","-13.1045","166961",NA,NA,NA,NA,NA,NA
"17","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73208","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.; Marinho, L.C.","2008","2013","11","07","Southern America","Brazil","Bahia","Amargosa","Serra do Timbó; área de estudos do Centro Sapucaia, na Fazenda Timbó","-39.664722","-13.1045","674","674",NA,"Arvoreta, 4 m. Frutos verdes; em fragmento de Floresta Estacional Semidecidual marginal a estrada não pavimentada para extração de madeira. Próximo a riacho","BM001035289",NA,"Dicotyledoneae",NA,NA,"-39.664722","-13.1045",NA,NA,NA,NA,NA,NA,NA
"18","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","26257","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Mattos Silva, L.A.; Santos, T.S. dos","1916","1985","11","20","Southern America","Brazil","Bahia","Cairu","Ilha de Tinharé. Fazenda dos Pilões.","-39.0439","-13.4869","20","20",NA,"Arbusto, 2 m de altura. Flores com cálices esverdeados, pétalos brancas e anteras amarelo-ouro. Frutos imaturos.; Piaçaval nativo (Attaleaefunifera Mart.) associado à capoeira. Solo arenoso.",NA,NA,"Dicotyledoneae","1999","01",NA,NA,"38190","01","24756","auto",NA,NA,NA
"19","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73066","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Hage, J.L.; Carvalho, A.M.; Mattos, L.A.","389","1980","08","13","Southern America","Brazil","Bahia","Valença","Rodovia que liga Valença ao Povado de Guaibim (litoral), km 11, ramal a esquerda","-39.0731","-13.3703",NA,NA,NA,"arbusto 2 m; flores brancas com estames amarelos; restinga arborea, bastante estragada pelos estratores de lenha, solo arenoso",NA,NA,"Dicotyledoneae","2013","11",NA,NA,"22668",NA,"43634","auto","holotype",NA,NA
"20","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73072","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Carvalho, A.M. de; Mori, S.; Boom, B.M.; Santos, T.S. dos","658","1981","04","29","Southern America","Brazil","Bahia","Una","estrada Olivença-Vila Brasil, km 33 Maruim, Fazenda 2 de Julho","-39.0753","-15.2933",NA,NA,NA,"arbusto ca. 1.5 m; folhas levemente discolor; frutos inmaturos verdes; mata higrofila sul Bahiana",NA,NA,"Dicotyledoneae","2013","11",NA,NA,"23354",NA,"36070","auto",NA,NA,NA
"21","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","97918","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Fonseca, M.R.; Jorge, A.M.S.; Jesus, N.G.; Guedes, M.L.","PL-548","1998","08","29","Southern America","Brazil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade","-38.0844","-11.9419",NA,NA,NA,"arbusto 1.5 m; folhas discolres; flores alvas; mata atlantica",NA,NA,"Dicotyledoneae","2014","10",NA,NA,"038318",NA,"52418","auto",NA,NA,NA
"22","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73070","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Cardoso, D.; Lopes, M.; Gomes, L.; Perdiz, R.; Garcia, M.; Rodrigues, A.","2149","2007","08","12","Southern America","Brazil","Bahia","Almadina","Serra do Corcovado, 13.8 km ao SW de Coaraci na estrada para Almadina, Fazenda São Jose, prop. Senhor Francisco","-39.603333","-14.705833","650","900",NA,"arbusto ca. 2.5 m; folhas papiraceas; flores com calice verde claro, corola branca e estames amarelos; floresta ombrofila densa montana",NA,NA,"Dicotyledoneae","2013","11","-39.603333","-14.705833","117690",NA,NA,NA,NA,NA,NA
"23","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73073","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Noblick, L.R.; Crepaldi, I.C.","4413","1985","07","05","Southern America","Brazil","Bahia",NA,"Salvador","-38.45","-12.95",NA,NA,NA,"arvoreta 4-6 m; frutos verdes aprecendo unilocular e de muitas semelhas; comun; mata higrofila",NA,NA,"Dicotyledoneae","2013","11","-38.45","-12.95","92782",NA,NA,NA,NA,NA,NA
"24","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73074","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Jardim, J.G.; Aguiar, C.; Sant'Ana, S.; Juchum, F.; Paixão, J.L.","2867","2000","02","24","Southern America","Brazil","Bahia","São Miguel das Matas","Fazenda Engenho da Lama, (Prop. Genival Lucas), ca. 4.5 km ao S de cidade","-39.432222","-13.046944","400","400",NA,"arbusto ca. 2.5 m; folhas verdes com a face inferior mais clara; fruto inmaturos verdes; mata higrofila",NA,NA,"Dicotyledoneae","2013","11","-39.432222","-13.046944","59027",NA,NA,NA,NA,NA,NA
"25","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73208","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"Giacomin, L.L.; Bohs, L.; Knapp, S.; Marinho, L.C.","2008","2013","11","07","Southern America","Brazil","Bahia","Amargosa","Serra do Timbó; área de estudos do Centro Sapucaia, na Fazenda Timbó","-39.664722","-13.1045","674","674",NA,"Arvoreta, 4 m. Frutos verdes; em fragmento de Floresta Estacional Semidecidual marginal a estrada não pavimentada para extração de madeira. Próximo a riacho","BM001035288",NA,"Dicotyledoneae",NA,NA,"-39.664722","-13.1045",NA,NA,NA,NA,NA,NA,NA
"26","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","97970","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Coehlo, M.M.; Paixão, J.L.; Daneu, L.","370","2011","09","03","Southern America","Brazil","Bahia","Almadina","Serra do Corcovado, acesso pela Fazenda São José, proprietario Senhor Francisco","-39.603889","-14.705833","831","831",NA,"trepadeira ca. 2 m; flores alvas, anteras amarelas; floresta ombrófila densa montana",NA,NA,"Dicotyledoneae","2014","01","-39.603889","-14.705833","134089","01",NA,NA,NA,NA,NA
"27","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","26257","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Mattos Silva, L.A.; Santos, T.S. dos","1916","1985","11","20","Southern America","Brazil","Bahia","Cairu","Ilha de Tinharé. Fazenda dos Pilões.","-39.0439","-13.4869","20","20",NA,"Arbusto, 2 m de altura. Flores com cálices esverdeados, pétalos brancas e anteras amarelo-ouro. Frutos imaturos.; Piaçaval nativo (Attaleaefunifera Mart.) associado à capoeira. Solo arenoso.","BM000935573",NA,"Dicotyledoneae","1999","01",NA,NA,NA,"01","24756","auto",NA,NA,NA
"28","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","73067","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Carvalho, A.M. de; Gatti, J.","809","1981","07","27","Southern America","Brazil","Bahia","Valença","estrada Valença-Guaibim km 8 a E de Valença","-39.0731","-13.3703",NA,NA,NA,"arbusto ca. 2.5 m de altura; folhas discolor; flroes alvas, anteras amarelas; restinga arborea",NA,NA,"Dicotyledoneae","2013","11",NA,NA,"24339",NA,"43634","auto",NA,NA,NA
"29","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","97916","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Pereira, P.","s.n.","1976","12","27","Southern America","Brazil","Bahia","Santo Amaro","Cachoeira","-38.7119","-12.5467",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","2014","10",NA,NA,"10755",NA,"24929","auto",NA,NA,NA
"30","2015-02-10 11:46:43-02","BM","SOLANACEAE_SOURCE_BR","97919","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S.","Jorge, A.M.S.; Santos, J.B.; Santana, L.; Rezende, J.","PL-605","1998","10","31","Southern America","Brazil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade","-38.0844","-11.9419",NA,NA,NA,"arbusto 3 m; folhas simples, alternas, discolores,, membranaceas; frutos imaturos verdes; mata",NA,NA,"Dicotyledoneae","2014","10",NA,NA,"041305",NA,"52418","auto",NA,NA,NA
"31","2019-10-09 11:25:16-03","UFBA","ALCB","035366","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Agra, MF","Melo, E; Sena, MP; Funch, R","PCD1708","1995","02","23","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.450833","-12.450556","920","920",NA,"1,0 m. Folhas simples. Flores de pétalas alvas; anteras amarelas. Frutos imaturos verdes. Frequente.; Vegetação de campo rupestre na encosta. Afloramentos rochosos de arenito.",NA,NA,NA,"1996","12","-41.450833","-12.450556",NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:25:16-03","UFBA","ALCB","035374a","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Agra, MF","Giulietti, AM","PCD1549","1995","02","04","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio","-41.470833","-12.455556","1080","1080",NA,"60 cm, não ramificada. Folhas simples. Inflorescência com flores de cálice verde-claro; botões com pétalas alvas; anteras verdes.; Mata de encosta com muitas gramíneas e marantáceas, ao longo do riacho pedregoso. Areno-argiloso afloramentos rochosos.",NA,NA,NA,"1996","12","-41.470833","-12.455556",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:25:16-03","UFBA","ALCB","035375","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Agra, MF","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1114","1994","10","27","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.440278","-12.459722","910","910",NA,"folhas simples. Flores com pétalas alvas. Ocasional.; Mata ciliar. Afloramento rochoso.",NA,NA,NA,"1996","12","-41.440278","-12.459722",NA,NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:25:16-03","UFBA","ALCB","59027","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S","Jardim, JG; Aguiar, C; Sant'Ana, SC de; Juchum, F; Paixão, JL da","2867","2000","02","24","Southern America","Brasil","Bahia","São Miguel das Matas","Faz. Engenho da Lama (proprietário Genival Lucas), ca. 4,5 km ao S da cidade.","-39.432222","-13.046944",NA,NA,NA,"ca. 2,5 m alt. Folhas verdes, face inferior mais clara. Frutos imaturos verdes.",NA,NA,NA,"2014","10","-39.432222","-13.046944",NA,NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:25:16-03","UFBA","ALCB","038318","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S","Fonseca, MR; Jorge, AMS; Jesus, NG de; Guedes, ML","PL 0548","1998","08","29","Southern America","Brasil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade.","-38.084400177002","-11.9419002532959",NA,NA,NA,"1,50 m. Folhas discolores. Flores alvas.",NA,NA,NA,"2014","10",NA,NA,NA,NA,"52418","auto",NA,NA,NA
"36","2019-10-09 11:25:16-03","UFBA","ALCB","041305","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S","Jorge, AMS; Santos, JB dos; Santana, I; Rezende, J","PL 0605","1998","10","31","Southern America","Brasil","Bahia","Entre Rios","RPPN Fazenda Lontra/Saudade.","-38.084400177002","-11.9419002532959",NA,NA,NA,"3,0 m. Folhas simples, alternas, discolores, membranáceas. Frutos imaturos verdes.",NA,NA,NA,"2014","10",NA,NA,NA,NA,"52418","auto",NA,NA,NA
"37","2021-02-08 21:33:09-03","UFBA","ALCB","10755","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Knapp, S","Souza, Padre JP de","s/n","1976","12","27","Southern America","Brasil","Bahia","Santo Amaro","cachoeira","-38.7118988037109","-12.5466995239258",NA,NA,NA,NA,NA,NA,NA,"2014","10",NA,NA,NA,NA,"24929","auto",NA,NA,NA
"38","2021-03-24 17:10:04-03","UFES","SAMES","5547","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"Giaretta,A.O.; Faria,M.B.","64","2007","05","05",NA,"Brasil","Espírito Santo","São Mateus","Bairro Liberdade. Vegetação de restinga pleistocênica. Estrada de terra adjacente à uma fábrica de tijolos, depois do Hospital Roberto Silvares no sentido São Mateus - Guriri.","-39.8588981628418","-18.716100692749",NA,NA,NA,"Com frutos verdes e botões florais. Habito: Arbusto","SAMES05547",NA,NA,NA,NA,NA,NA,NA,NA,"56510","auto",NA,NA,NA
"39","2021-03-24 17:10:04-03","UFES","SAMES","8060","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp","Siqueira,G.S.","Tressmann,L.K.; Ribeiro,I.F.;Menezes,L.F.T.;Gasparini,A.","28","2017","08","08",NA,"Brasil","Espírito Santo","Linhares","Praia de cacimbas.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Habitat: Restinga","SAMES08060",NA,NA,"2018","08","-397358333.0","-194791667.0",NA,"18","48094","auto",NA,NA,NA
"40","2019-12-06 19:30:22-03","UFES","VIES","45078","S","Plantae",NA,NA,"Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"Assis, A.M.; Santos, J.; Herzog, T.; Rapouso, J. & Cipriano, R.","3554","2012","11","24",NA,"Brasil","Espírito Santo","Vitória","ArcelorMittal - floresta de tabuleiro secundária (estágio médio).","-40.245","-20.226111","30","30",NA,NA,"VIES045078","VIES045078",NA,NA,NA,"40º14'42''W","20º13'34''S",NA,NA,NA,NA,NA,NA,NA
"41","2019-08-15 09:04:20-03","UESC","UESC","14372","S","Plantae","Angiospermae","Florideophycidae","Solanaceae","Solanum","restingae","Solanum restingae","S.Knapp",NA,"L.A.Mattos Silva","5180","2010","03","10",NA,"Brasil","Bahia","Uruçuca",NA,"-39.034167","-14.340278","60","500",NA,"Arbusto, 2,20m de altura.; Solo argiloso.","UESC0014372",NA,"Dicotyledoneae",NA,NA,"39W2'3''","14S20'25''",NA,NA,NA,NA,NA,NA,NA
"42","2008-05-27 22:02:00-03","MO","MOBOT","2991612","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","restingae","Solanum restingae","S. Knapp","M. Nee","W. Wayt Thomas","Thomas 9244","1992","5","14","South America","Brazil","Bahia",NA,"Mun. Wenceslau Guimarães. ca. 3km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães. moist tropical forest on steep slope","-39.71666","-13.6","500.00000000","600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2008-05-27 22:02:00-03","MO","MOBOT","2991883","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","restingae","Solanum restingae","S. Knapp","S. Knapp","Carvalho","Carvalho 809","1981","7","27","South America","Brazil",NA,NA,"Municipio de Valença. Estrada Valença- Guaibim Km 8 a E de Valença. Restinga Arbórea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
