"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","yearIdentified","monthIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2020-02-08 09:17:44-03","NBC","NL-BOTANY","WAG.1609072","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Cid Ferreira CA",NA,"1987","08","21","Southern America","Brazil",NA,"Mun. São Luiz do Anauã, Roraima.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1609072 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1609072","NL-WAG1609072",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U 0262002","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Krukoff BA",NA,"1933","06","01","Southern America","Brazil","Amazonas","State of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200262002 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0262002",NA,NA,NA,NA,NA,"Magnoliopsidae","-70.25","-7.5","Uw19614",NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:17:44-03","NBC","NL-BOTANY","U.1103558","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Krukoff BA",NA,"1933","06","01","Southern America","Brazil","Amazonas","State of Amazonas; near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,"On varzea land.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1103558 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1103558","NL-U1103558",NA,NA,NA,NA,"Magnoliopsidae","-70.25","-7.5","U 0181282",NA,NA,NA,NA,NA,NA
"14","2015-09-25 12:29:39-03","MNHN","RECOLNAT_MNHN_P","P00646559","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","Spruce, R.",NA,"1852","9",NA,NA,"Brésil",NA,"Prope Panure ad Rio Uaupès",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646559' target='other'> <mi>dwc_moreinfo</mi></a>","P00646559","P00646559_01","Fallen",NA,NA,NA,NA,NA,NA,NA,NA,"isolectotype","2595",NA,NA,NA
"15","2015-09-25 12:43:41-03","MNHN","RECOLNAT_MNHN_P","P00646560","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll.Arg.","Spruce, R.",NA,"1852","9",NA,NA,"Brésil",NA,"Prope Panure ad Rio Uaupès",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646560' target='other'> <mi>dwc_moreinfo</mi></a>","P00646560","P00646560_01","Fallen",NA,NA,NA,NA,NA,NA,NA,NA,"isolectotype","2595",NA,NA,NA
"16","2015-06-23 15:00:00-03","MO","MOBOT","3282488","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll. Arg.","Llewelyn Williams","Williams 928","1929","6",NA,"South America","Peru","Loreto","Timbuchi on the Rio Nanay.",NA,NA,NA,NA,NA,NA,"M.E. Fallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"17","2015-06-23 15:03:00-03","MO","MOBOT","3284117","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll. Arg.","Boris A. Krukoff","Krukoff 4774","1933","6",NA,"South America","Brazil","Amazonas","near mouth of Rio Embira (tribuart of Rio Tarauaca)","-70.25","-7.5",NA,NA,NA,NA,"M.E. Fallen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","2020-08-31 08:55:29-03","INPA","INPA","153849","S","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Ferreira, CAC","9061","1987","08","21","Southern America","Brasil","Roraima","BR 174, km 350 e 355, próx. ao Equador, Entre Kms 350 e 355 da Estrada Manaus - Caracaraí (BR-174), próximo ao Equador.","-60.75","-0.166667",NA,NA,"INPA0153849",NA,"Leeuwenberg, AJM","São Luís do Anauá","1991",NA,NA,"-60.75","-0.166667",NA,NA,"isotype",NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","1664880","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll. Arg.","B. A. Krukoff","4774","1933","6",NA,"South America - Neotropics","Brazil","Amazonas","Brazilian Amazonia, Basin of Rio Jurua, near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,NA,"US03251171","US03251171_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA
"20","2020-09-12 05:00:02-03","US","US","2895988","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll. Arg.","R. L. Fróes","s.n.","1946",NA,NA,"South America - Neotropics","Brazil","Amazonas","Basin of the upper Jurua.",NA,NA,NA,NA,"US03251168","US03251168_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","2020-09-12 05:00:02-03","US","US","2592748","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll. Arg.","R. Froes","22170","1947","4","18","South America - Neotropics","Brazil","Amazonas","Amazonia, Rio Negro, féz de Caiary.",NA,NA,NA,NA,"US03251169","US03251169_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA
"22","2020-09-12 05:00:02-03","US","US","1664014","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll. Arg.","B. A. Krukoff","5089","1933","6","30","South America - Neotropics","Brazil","Amazonas","Brazilian Amazonia, Basin of Rio Jurua, near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,NA,"US03251167","US03251167_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA
"23","2020-09-12 05:00:02-03","US","US","1482674","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll. Arg.","Ll. Williams","928","1929","6",NA,"South America - Neotropics","Peru","Loreto","Timbuchi on the Río Nanay, Dept. Loreto.",NA,NA,NA,NA,"US03251170",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","2019-09-04 18:24:37-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis",NA,"R. Spruce","2595",NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA
"25","2018-10-25 11:28:03-03","F","FMNH-SEEDPLANTS","V0424483F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis",NA,"B. A. Krukoff","4774","1933","6","15","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"V0424483F","V0424483F_01 V0424483F_02","RRC ID Flag",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,"4774",NA,NA,NA
"26","2018-10-25 11:28:03-03","F","FMNH-SEEDPLANTS","V0424484F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis",NA,"B. A. Krukoff","4774","1933","6",NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0424484F","V0424484F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2018-10-25 11:28:03-03","F","FMNH-SEEDPLANTS","V0424485F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis",NA,"B. A. Krukoff","5089","1933","6","30","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0424485F","V0424485F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2018-10-25 11:28:03-03","F","FMNH-SEEDPLANTS","V0424486F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis",NA,"Ll. Williams","928","1929","6",NA,"South America","Peru",NA,NA,"-74.14","-9.1839",NA,NA,"V0424486F","V0424486F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-08-23 10:58:47-03","NHMLondon","NHM-LONDON-BOT","BM000885301","S","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce","Richard Spruce; b.1817; d.1893; Spruce","2595","1852","10",NA,NA,"Brasil",NA,NA,"-53.08982","-10.773109",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/5fa95b4ea89140f61aaf57b1fa7f064669cc460a/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1986","07",NA,"-53.08982","-10.773109",NA,NA,"Isolectotype",NA,NA,"NHMUK:ecatalogue:4691053",NA
"30","2017-09-11 17:06:56-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Spruce, R","s.n.",NA,NA,NA,NA,"?",NA,"Habitat prope Panuré ad Rio Uaupés",NA,NA,NA,"Florebat ab Octobri ad Januarium. Pl. Najas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:06:56-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müll.Arg.","Spruce, R","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat prope Panuré ad Rio Uaupés",NA,NA,NA,"Florebat ab Octobri ad Januarium. Pl. Najas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2010-08-16 16:41:36-03","GH","HU-HERB","GH 00054900","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Spruce ex Müller Argoviensis","R. Spruce","2595","1852","10",NA,"South America","Brazil",NA,"Prope Panurè ad Rio Uaupès",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","2595",NA,NA,"undetermined"
"33","2014-09-23 10:56:41-03","G","G","G00169574","S","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll. Arg.","Spruce, R.","2595",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Amazonas",NA,"-65.08583333","-4.14444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=151102&base=img&lang=en","G00169574","G00169574","Fallen-Endress, M. E.",NA,"1986","01",NA,"-65.08583333","-4.14444444",NA,"01","ISOLECTOTYPUS of Malouetia amplexicaulis Müll. Arg.",NA,NA,NA,NA
"34","2014-09-23 10:56:41-03","G","G","G00169573","S","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll. Arg.","Spruce, R.","2595",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Amazonas",NA,"-65.08583333","-4.14444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=151101&base=img&lang=en","G00169573","G00169573","Fallen-Endress, M. E.",NA,"1986","01",NA,"-65.08583333","-4.14444444",NA,"01","ISOLECTOTYPUS of Malouetia amplexicaulis Müll. Arg.",NA,NA,NA,NA
"35","2014-09-23 10:56:41-03","G","G","G00169575","S","Plantae",NA,NA,"Apocynaceae","Malouetia","amplexicaulis","Malouetia amplexicaulis","Müll. Arg.","Spruce, R.","2595",NA,NA,NA,"AMERIQUE DU SUD","Brazil","Amazonas",NA,"-65.08583333","-4.14444444",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=151103&base=img&lang=en","G00169575","G00169575","Fallen-Endress, M. E.",NA,"1986","01",NA,"-65.08583333","-4.14444444",NA,"01","ISOLECTOTYPUS of Malouetia amplexicaulis Müll. Arg.",NA,NA,NA,NA
