"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0059173","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(M??ll.Arg.) Woodson","A. J. M. Leeuwerberg","G. Hatschbach; M. Hatschbach, A.C. Cervi, J. Cordeiro","51050","1987","3","17",NA,"Brazil","Minas Gerais",NA,"Rod. BR-259 (Mun. Datas).","-43.655956","-18.445701",NA,NA,NA,"Volúvel, látex alvo, flor alva, tubo verde-pálido.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-10 17:49:26-03","UNICAMP","UEC","52340","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","Rio, MCS","Vieira, MF","640","1989","10","10",NA,"Brazil","Minas Gerais","Viçosa","Centro de Pesq. de Florestas Naturais, trilha a direita no final da estrada principal.","-42.8819007873535","-20.7539005279541",NA,NA,NA,"Trepadeira, flores amarelas","UEC178755","UEC178755","2003",NA,"08",NA,NA,NA,NA,"13937","auto",NA,NA
"13","2013-05-07 06:03:00-03","MO","MOBOT","3470724","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll. Arg.) Woodson","M.C.S. do Rio","Ynés Mexia","Mexia 5337","1930","11","21","South America","Brazil","Minas Gerais",NA,"Fazenda do Paraiso. Matto Virgem. Original forest.",NA,NA,"730.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-15 15:28:31-03","UNESP-RC","HRCB","48674","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll. Arg.) Woodson","Morokawa, R.","Lombardi","6989","2007","10","23",NA,"Brasil","São Paulo","Jundiaí","Reserva Biológica Municipal da Serra do Japi","-46.935778","-23.230444","850","850",NA,"Liana, com látex, folhas herbáceas, cálice verde, corola amarela",NA,NA,"2008",NA,"09","23",NA,"46º56'08.8W","23º13'49,6S",NA,NA,NA,NA
"15","2020-09-12 05:00:02-03","US","US","2708317","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll. Arg.) Woodson",NA,"G. T. Prance, P. J. M. Maas, A. A. Atchley, W. C. Steward & et al.","14271","1971","7","16","South America - Neotropics","Brazil","Amazonas",NA,"Brazilian Amazonia, Rio Purus, Rio Ituxi, Rio Curuquetê, vicinity of Cachoeira Santo Antonio, Rocky terrain around falls.",NA,NA,NA,NA,NA,NA,"US03252106","US03252106_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"16","2020-09-12 05:00:02-03","US","US","1592556","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll. Arg.) Woodson",NA,"Y. Mexia","5337","1930","11","21","South America - Neotropics","Brazil","Minas Gerais",NA,"Viçosa, Fazenda do Paraiso.",NA,NA,"730",NA,NA,NA,"US03252107","US03252107_01",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"17","2019-06-11 13:36:39-03","F","FMNH-SEEDPLANTS","V0423473F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia",NA,"RRC ID Flag","Y. Mexía","5337","1930","11","21","South America","Brazil","Minas Gerais",NA,NA,"-44","-18",NA,NA,NA,NA,"V0423473F","V0423473F_01 V0423473F_02",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"5337"
"18","2018-10-25 11:27:37-03","F","FMNH-SEEDPLANTS","V0423474F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia",NA,NA,"H. S. Irwin & et al.","30519","1971","1","16","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0423474F","V0423474F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:06:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Haemadictyon","solanifolium","Haemadictyon solanifolium","Müll.Arg.",NA,"Ackerman, JD","s.n.",NA,NA,NA,NA,"?",NA,NA,"in prov. Minarum",NA,NA,NA,NA,NA,"in hb. Mart.",NA,"P06P1N0049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:06:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Haemadictyon","solanifolium","Haemadictyon solanifolium","Müll.Arg.",NA,"Schüch (Barão de Capanema), G","51",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in Brasilia, verisimiliter in prov. Rio de Janeiro",NA,NA,NA,NA,NA,"in hb. Vindob.",NA,"P06P1N0049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 16:26:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Haemadictyon","solanifolium","Haemadictyon solanifolium","Müll.Arg.",NA,"Schüch, G (Barão d","51",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in Brasilia, verisimiliter in prov. Rio de Janeiro",NA,NA,NA,NA,NA,"in hb. Vindob.",NA,"P06P1N0049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:06:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Apocynaceae","Haemadictyon","solanifolium","Haemadictyon solanifolium","Müll.Arg.",NA,"Ackermann, ?","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in prov. Minarum",NA,NA,NA,NA,NA,"in hb. Mart.",NA,"P06P1N0049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 09:58:59-03","IBt","SP","161173","S","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","Rio, MCS","Davidse, G; D'Arcy, WG","11575","1976","03","30",NA,"Brasil","Minas Gerais","Medina","11 km N of Medina along Highway BR-116","-41.4768981933594","-16.2224998474121",NA,NA,NA,NA,NA,NA,"2003",NA,"08",NA,NA,NA,NA,"44236","auto",NA,NA
"24","2019-11-21 09:58:59-03","IBt","SP","11202","S","Plantae",NA,NA,"Apocynaceae","Prestonia","solanifolia","Prestonia solanifolia","(Müll.Arg.) Woodson","Markgraf, F","Campos Novaes, J","CGG2982","1894","11",NA,NA,"Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"SP022476","SP022476",NA,NA,NA,NA,NA,NA,NA,"23900","auto",NA,NA
