"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","class","typeStatus"
"11","2015-09-03 18:55:42-03","MNHN","RECOLNAT_MNHN_P","P00128551","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis","(Meisn.) Mez","Allen","Glaziou, A.",NA,"1877","1","28",NA,"Brésil",NA,NA,"Rio de Janeiro: Petropolis, au Retiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128551' target='other'> <mi>dwc_moreinfo</mi></a>","P00128551","P00128551_01",NA,NA,NA,NA,NA,NA,NA,NA,"8907",NA,NA
"12","2015-09-03 18:55:42-03","MNHN","RECOLNAT_MNHN_P","P00128552","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis","(Meisn.) Mez","Allen","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Rio de Janeiro: Petropolis, au Retiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128552' target='other'> <mi>dwc_moreinfo</mi></a>","P00128552","P00128552_01",NA,NA,NA,NA,NA,NA,NA,NA,"15379 a",NA,NA
"13","2015-09-03 18:55:42-03","MNHN","RECOLNAT_MNHN_P","P00128553","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis","(Meisn.) Mez","Allen","Glaziou, A.",NA,"1892","9","4",NA,"Brésil",NA,NA,"Rio de Janeiro: Alto Macahé",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128553' target='other'> <mi>dwc_moreinfo</mi></a>","P00128553","P00128553_01",NA,NA,NA,NA,NA,NA,NA,NA,"20445",NA,NA
"14","2015-09-03 18:55:42-03","MNHN","RECOLNAT_MNHN_P","P00128554","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis","(Meisn.) Mez","Allen","Glaziou, A.",NA,"1892","9","4",NA,"Brésil",NA,NA,"Rio de Janeiro: Alto Macahé",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128554' target='other'> <mi>dwc_moreinfo</mi></a>","P00128554","P00128554_01",NA,NA,NA,NA,NA,NA,NA,NA,"20445",NA,NA
"15","2015-09-30 08:59:39-03","MNHN","RECOLNAT_MNHN_P","P00128555","PreservedSpecimen",NA,NA,NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis","(Meisn.) Mez","Allen","Glaziou, A.",NA,"1892","9","4",NA,"Brésil",NA,NA,"Rio de Janeiro: Alto Macahé",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00128555' target='other'> <mi>dwc_moreinfo</mi></a>","P00128555","P00128555_01",NA,NA,NA,NA,NA,NA,NA,NA,"20445",NA,NA
"16","2020-07-10 09:46:36-03","MBML","MBML-HERBARIO","10035",NA,"Plantae",NA,NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","T.D.M. Barbosa/VI-2009","L. Kollmann; E. Bausen & W. Pizziolo","2232","1999","03","23",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,NA,"Mata de encosta. Arvoreto 11m. DAP 18cm. Fuste 9m. Frutos verdes.","MBML010035","MBML010035",NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA
"17","2020-07-10 09:46:36-03","MBML","MBML-HERBARIO","10041",NA,"Plantae",NA,NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","T.D.M. Barbosa/VI-2009","L. Kollmann; E. Bausen & W. Pizziolo","1770","1999","02","02",NA,"Brasil","Espírito Santo","Santa Teresa","Dois Pinheiros","-40.59","-19.933333",NA,NA,"Árvore 15m. Dap 23cm. Fuste 12m. Flores verdes.","MBML010041","MBML010041",NA,NA,NA,NA,NA,NA,"40W35'24","19S56'0",NA,NA,NA
"18","2020-07-10 09:46:36-03","MBML","MBML-HERBARIO","10042",NA,"Plantae",NA,NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","T.D.M. Barbosa/VI-2009","L. Kollmann; E. Bausen & W. Pizziolo","1762","1999","02","02",NA,"Brasil","Espírito Santo","Santa Teresa","Dois Pinheiros","-40.59","-19.933333",NA,NA,"Árvore 18m. Dap 30cm. Fuste 1m. Flores verdes.","MBML010042","MBML010042",NA,NA,NA,NA,NA,NA,"40W35'24","19S56'0",NA,NA,NA
"19","2020-07-10 09:46:36-03","MBML","MBML-HERBARIO","9731",NA,"Plantae",NA,NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.","T.D.M. Barbosa/VI-2009","L. Kollmann; E. Bausen & W. Pizziolo","1781","1999","02","03",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,NA,"Arvore 12m. Dap 20cm. Fuste 10m. Flores verdes.","MBML009731","MBML009731",NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA,NA
"20","2020-07-10 09:46:42-03","MBML","MBML-HERBARIO","50401",NA,"Plantae",NA,NA,"Lauraceae","Ocotea","estrellensis","Ocotea estrellensis","(Meisn.) P.L.R. de Moraes",NA,"P.J. Coelho; A.D. Ferreira","128","2015","01","17",NA,"Brasil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, borda da lagoa dos jacarés","-40.533333","-19.95",NA,NA,"Arbusto 2,5m. Cheiro de pitanga fruto quando corta o galho, flor amarela clara","MBML050401","MBML050401",NA,NA,NA,NA,NA,NA,"40W32'0","19S57'0",NA,NA,NA
"21","2020-06-15 15:30:56-03","UNESP-RC","HRCB","57783","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","estrellensis","Ocotea estrellensis","(Meisn.) P.L.R.Moraes","Moraes, P.L.R. de","Kollmann, L.","1781","1999","02","03",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica de São Lourenço","-40.6002998352051","-19.9356002807617","23813",NA,"Árvore 12m. DAP 20cm. Fuste 10m. Flores verdes.",NA,NA,"auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-06-15 15:30:56-03","UNESP-RC","HRCB","57784","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","estrellensis","Ocotea estrellensis","(Meisn.) P.L.R.Moraes","Moraes, P.L.R. de","Kollmann, L.","2232","1999","03","23",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de São Lourenço","-40.6002998352051","-19.9356002807617","23813",NA,"Arvoreto 11m. DAP 18cm. Fuste 9m. Frutos verdes.",NA,NA,"auto","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 11:47:20-03","UFPE","UFP","10370","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","estrellensis","Ocotea estrellensis","(Meisn.) P.L.R.Moares","Moraes, PLR","Nádruz, M; et al.","723","1991","12","16",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5","-22.55",NA,NA,"Árvore, 11m de altura, folhas quando novas avermelhadas, face inferior, quando maduro, discolores verdes; pedúnculo e pedicelo verdes, botões verdes, flores com sépalas creme.","UFP010370",NA,NA,"2014","02","12",NA,NA,"-42.5","-22.55",NA,NA,NA
"24","2015-03-07 08:32:39-03","F","FMNH-SEEDPLANTS","V0151857F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0151857F","V0151857F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"25","2019-09-04 19:20:33-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis",NA,NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]"
"26","2019-09-04 18:27:13-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Phoebe","estrellensis","Phoebe estrellensis",NA,NA,"A. Glaziou","20445",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"27","2017-09-11 17:10:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Oreodaphne","estrellensis","Oreodaphne estrellensis","Meisn.",NA,"Riedel, L","s.n.",NA,NA,NA,NA,"?",NA,NA,"in collibus apricis Serra d' Estrella",NA,NA,NA,NA,"m. Dec.; Dryas; HABITAT: Dryas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:07:18-03","IBt","SP","266219","S","Plantae",NA,NA,"Lauraceae","Cinnamomum","estrellense","Cinnamomum estrellense","(Meisn.) Kosterm.",NA,"Nadruz, M; et al.","723","1991","12","16",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica de Macaé de Cima","-47.5","-22.55",NA,NA,NA,"SP054396","SP054396",NA,NA,NA,NA,NA,NA,"-47.5","-22.55",NA,NA,NA
