"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","preparationType","typeStatus","continentOcean","coordinatePrecision","geoFlag"
"11","2021-04-07 11:47:47-03","UFMS","CGMS","18418","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","G.A. Damasceno-Junior; A. Guglieri; F.J.M. Caporal; F. Macedo-Alves; E.C. Bertazzoni","4511","2006","12","10","Brasil","Mato Grosso do Sul","Campo Grande",NA,"-54.4169445","-20.5652778","-54,4169445","-20,5652778",NA,NA,NA,"CGMS1047716",NA,"A. Pott","2015","08","12",NA,NA,NA,NA,NA,NA
"12","2021-04-07 11:47:47-03","UFMS","CGMS","13544","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","V.J. Pott; A. Pott; A.C.M. Cristaldo; S. Aragaki; D.R. Espírito Santo","6878","2004","04","01","Brasil","Mato Grosso do Sul","Costa Rica","Fazenda Santo Antônio do Pontal, próximo ao córrego.","-53.0033333","-18.37","-53,0033333","-18,37","830","830","Flor creme. Habitat: Campo úmido estacional entre murunduns ao longo de mata de galeria. Solo arenoso, hidromórfico estacional. Relevo plano. Habito: Erva aquática anfíbia. Rara. 40 cm de altura.","CGMS1042983",NA,"A. Pott; V.J. Pott","2005","06","19",NA,NA,NA,NA,NA,NA
"13","2021-04-07 11:47:47-03","UFMS","CGMS","38005","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","S.N.Moreira; V.J. Pott; A. Pott; Barbara","331","2010","08","16","Brasil","Mato Grosso do Sul","Terenos","Fazenda Modelo da Embrapa Gado de Corte. Área de Varjão proximo à ferrovia.","-54.7833333","-20.5566667","-54,7833333","-20,5566667","504","504","Flor amarela. Habitat: Campo graminoso úmido de Vereda com buriti em domínio de Cerrado. Habito: Erva, 0,10-0,20m de altura.","CGMS1067421",NA,"V.J. Pott; A. Pott","2015","08","12",NA,NA,NA,NA,NA,NA
"14","2015-10-02 07:00:34-03","MNHN","RECOLNAT_MNHN_P","P00733555","PreservedSpecimen",NA,NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","M.C.M.Marques","Saint-Hilaire, A. de",NA,NA,NA,NA,"brésil",NA,NA,"Province de Minas Geraes",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733555' target='other'> <mi>dwc_moreinfo</mi></a>","P00733555","P00733555_01","Pastore",NA,NA,NA,"d 412","hb",NA,NA,NA,NA
"15","2015-10-02 07:00:37-03","MNHN","RECOLNAT_MNHN_P","P00733556","PreservedSpecimen",NA,NA,NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","M.C.M.Marques","Saint-Hilaire, A. de",NA,NA,NA,NA,"brésil",NA,NA,"Province de Minas Geraes",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733556' target='other'> <mi>dwc_moreinfo</mi></a>","P00733556","P00733556_01","Pastore",NA,NA,NA,"d 412","hb",NA,NA,NA,NA
"16","2015-10-02 07:03:17-03","MNHN","RECOLNAT_MNHN_P","P00733583","PreservedSpecimen",NA,NA,NA,NA,"Polygalaceae","Polygala","weddelliana","Polygala weddelliana","Chodat","Weddell, H.A.",NA,"1845",NA,NA,"brésil",NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733583' target='other'> <mi>dwc_moreinfo</mi></a>","P00733583","P00733583_01","Wurdack",NA,NA,NA,"3304","hb","isotype",NA,NA,NA
"17","2015-09-05 10:41:52-03","MNHN","RECOLNAT_MNHN_P","P00733584","PreservedSpecimen",NA,NA,NA,NA,"Polygalaceae","Polygala","weddelliana","Polygala weddelliana","Chodat","Weddell, H.A.",NA,"1845",NA,NA,"brésil",NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733584' target='other'> <mi>dwc_moreinfo</mi></a>","P00733584","P00733584_01","Wurdack",NA,NA,NA,"3304","hb","isotype",NA,NA,NA
"18","2020-12-11 11:40:23-03","UFMG","BHCB","1345","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Polygalaceae","Polygala","stephaniana","Polygala stephaniana","Marques","Schwacke, CAW","12179","1904",NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Ouro Preto.","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Campo rupestre. Herbáceo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","44599","auto"
"19","2008-05-27 22:02:00-03","MO","MOBOT","1791460","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","weddelliana","Polygala weddelliana","Chodat","STEPHAN","STEPHAN 99","1843",NA,NA,"Brazil","Minas Gerais",NA,"Ad Congohas do Campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R. Chodat",NA,NA,NA,NA,NA,NA,"South America",NA,NA
"20","2009-10-20 18:52:00-02","MO","MOBOT","1791668","PreservedSpecimen","Plantae",NA,NA,NA,"Polygalaceae","Polygala","weddelliana","Polygala weddelliana","Chodat","Hugh A. Weddell","Weddell 3304",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"21","2019-09-05 17:53:25-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Polygalaceae","Polygala","weddelliana","Polygala weddelliana",NA,"H. A. Weddell","3304",NA,NA,NA,"Paraguay",NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]","South America",NA,NA
"22","2018-06-05 15:10:06-03","UM","RECOLNAT_UM_MPU","MPU012032","PreservedSpecimen",NA,NA,NA,NA,"Polygalaceae","Polygala","weddelliana","Polygala weddelliana","Chodat","Hassler, E.",NA,NA,NA,NA,"Paraguay",NA,NA,"In regione cursus superioris fluminis Apa",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/um/mpu/mpu012032' target='other'> <mi>dwc_moreinfo</mi></a>","MPU012032","MPU012032_01","Chodat",NA,NA,NA,"8301","hb","type",NA,NA,NA
