"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude"
"11","2020-09-02 16:38:32-03","Cenargen","CEN","52616","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","R. Lupo","Inês Cordeiro","1226","1993","05",NA,"Brasil","SP","SAO PAULO","Parque do Estado, Instituto de Botâtica de São Paulo, atrás da estufas.-","-46.6300010681152","-23.5400009155273","Exsicatas","Tronco reto, copa densa verde escura, folhas compostas e simples, Doação do Instituto de Botânica - SP. São Paulo.","CEN00052616","CEN00052616","20",NA,NA,NA,NA,NA,"1997","07",NA,"53584","auto",NA,"1",NA,NA
"12","2019-11-13 11:29:36-03","USP","SPF","163233","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Pirani, JR","Cordeiro, I","2784","2002","09",NA,"Brasil","São Paulo","São Paulo","Instituto de Botânica","-46.6300010681152","-23.5400009155273",NA,NA,"SPF00163233",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"13","2019-11-13 11:29:36-03","USP","SPF","154323","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Pirani, JR","Cordeiro, I","2784","2002","09",NA,"Brasil","São Paulo","São Paulo","Instituto de Botânica","-46.6300010681152","-23.5400009155273",NA,NA,"SPF00154323",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"14","2019-11-13 11:29:36-03","USP","SPF","71782","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Pirani, JR","Handro, O","2104","1969","09",NA,"Brasil","São Paulo","São Paulo","Jardim Botânico de São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"SPF00071782",NA,"15",NA,NA,NA,NA,NA,"1991",NA,NA,"53584","auto",NA,NA,NA,NA
"15","2019-11-13 11:29:36-03","USP","SPF","11637","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Pirani, JR","Hoehne, W","s.n.","1946","08",NA,"Brasil","São Paulo","São Paulo","Parque do Estado","-46.6300010681152","-23.5400009155273",NA,NA,"SPF00011637",NA,"26",NA,NA,NA,NA,NA,"1991",NA,NA,"53584","auto",NA,NA,NA,NA
"16","2019-11-13 11:29:36-03","USP","SPF","113951","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Lupo, R","Cordeiro, I","1226","1993","05",NA,"Brasil","São Paulo","São Paulo","Parque do Estado","-46.6300010681152","-23.5400009155273",NA,NA,"SPF00113951",NA,"20",NA,NA,NA,NA,NA,"1996","11",NA,"53584","auto",NA,NA,NA,NA
"17","2019-10-07 09:23:40-03","UEFS","HUEFS","11421","PreservedSpecimen","Plantae","Angiospermae","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","R.Lupo","Ganev, W.","978","1992","08",NA,"Brasil","Bahia","Piatã",NA,"-41.833333","-13.3",NA,NA,"HUEFS0011421","HUEFS0011421","28","1050","1050","Proteanae",NA,NA,"1996","09",NA,NA,NA,NA,NA,"41W50'","13S18'"
"18","2019-10-07 09:23:40-03","UEFS","HUEFS","14523","PreservedSpecimen","Plantae","Angiospermae","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","R.Lupo","Ganev, W.","1936","1993","07",NA,"Brasil","Bahia","Rio do Pires",NA,"-42.333333","-13.9",NA,NA,"HUEFS0014523","HUEFS0014523","24","1400","1400","Proteanae",NA,NA,"1996","09",NA,NA,NA,NA,NA,"42W20'","13S54'"
"19","2019-10-07 09:23:40-03","UEFS","HUEFS","15599","PreservedSpecimen","Plantae","Angiospermae","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer",NA,"Hoehne, F.C.",NA,"1946","07",NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,"HUEFS0015599","HUEFS0015599","26",NA,NA,"Proteanae",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"20","2015-03-07 09:06:42-03","F","FMNH-SEEDPLANTS","V0177960F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Proteaceae","Roupala","sculpta","Roupala sculpta",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0177960F","V0177960F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-03-07 09:06:42-03","F","FMNH-SEEDPLANTS","V0177961F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Proteaceae","Roupala","sculpta","Roupala sculpta",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0177961F","V0177961F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 15:08:31-03","UnB","UB","166189","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Pirani, JR","Hoehne, W","s.n.","1946","08","Southern America","Brasil","São Paulo","São Paulo","Parque do Estado, Água Funda","-46.6300010681152","-23.5400009155273",NA,"Árvore.; Mata",NA,NA,"26",NA,NA,NA,NA,NA,"1991",NA,NA,"53584","auto",NA,NA,NA,NA
"23","2019-11-01 15:08:31-03","UnB","UB","166190","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Pirani, JR","Faria, R","s.n.","1968","01","Southern America","Brasil","São Paulo","São Paulo","Jardim Botânico e Parque do Estado","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"1989",NA,NA,"53584","auto",NA,NA,NA,NA
"24","2021-03-04 15:45:51-03","IF","SPSF","02975","PreservedSpecimen","Plantae","Magnoliophyta","Proteales","Proteaceae","Roupala","sculpta","Roupala sculpta",NA,NA,"W.Hoehne",NA,"1946","08","América do Sul","Brasil","SP","São Paulo","Parque Estadual do Instituto de Botanica","-46.6300010681152","-23.5400009155273",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"26",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"25","2020-06-04 11:03:56-03","IBt","SP","274984","S","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer",NA,"Hoehne, FC","s.n.","1946","08",NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"26","2019-11-21 10:17:23-03","IBt","SP","45314","S","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer","Edwards, KS","Handro, O","s.n.","1940","09",NA,"Brasil","São Paulo","São Paulo","Jardim Botânico","-46.6300010681152","-23.5400009155273",NA,"Árvore grande, flores alvas, aromáticas","SP001512","SP001512","04",NA,NA,NA,"Holotype",NA,"1996","10",NA,"53584","auto",NA,NA,NA,NA
"27","2020-11-19 09:29:57-03","IBt","SP","360402","S","Plantae",NA,NA,"Proteaceae","Roupala","sculpta","Roupala sculpta","Sleumer",NA,"Cordeiro, I","2784","2002","09",NA,"Brasil","São Paulo","São Paulo","Jardim Botânico","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
