"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","class","order","continentOcean","infraspecificEpithet","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","preparationType","fieldNumber","individualCount"
"13","2019-08-27 13:26:19-03","IAP","PACA-AGP","752","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Bastian, R.E.","2017","Rambo, B.",NA,"1933","10","05","Brasil","RS","Esteio",NA,NA,NA,"sin. Hippeastrum vittatum Herb. Habitat: in subpaludosis dumetosis Fenofase: flor","PACA000752",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-51.17919921875","-29.861400604248","7214","auto","05","30",NA,NA,NA,NA,NA
"14","2019-08-27 13:26:19-03","IAP","PACA-AGP","44923","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Emrich-Rambo","1954","Rambo, B.",NA,"1949","12","18","Brasil","RS","São Francisco de Paula",NA,NA,NA,"fl. SEM MATERIAL Habitat: in paludosis dumetosis","PACA044923",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-50.5835990905762","-29.4480991363525","76715","auto","05","03",NA,NA,NA,NA,NA
"15","2019-08-27 13:26:19-03","IAP","PACA-AGP","45606","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Emrich-Rambo","1954","Rambo, B.",NA,"1950","01","30","Brasil","RS","São Francisco de Paula","Taimbezinho",NA,NA,"fl. SEM MATERIAL Habitat: in paludosis turfosis frequens","PACA045606",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-50.5835990905762","-29.4480991363525","76715","auto","05","03",NA,NA,NA,NA,NA
"16","2019-08-27 13:26:19-03","IAP","PACA-AGP","108959","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","A. Sehenm",NA,"Sehnem, A.","8946","1966","10","31","Brasil","RS","São Leopoldo","Morro das Cabras",NA,NA,"Habitat: in dumetoso","PACA108959",NA,"Liliatae","Liliales",NA,NA,"Magnoliophyta","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,"200","200",NA,NA,NA
"17","2019-08-20 09:59:00-03","UNICAMP","UEC","167094","S","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","Herb.","Oliveira, RS","2008","Oliveira, RS; Camargo, RP","119","2008","10","28","Brazil","Paraná","Chopinzinho","Beira da rodovia BR-158.","-52.545833","-25.926667",NA,"UEC040119","UEC040119",NA,NA,NA,NA,"Liliopsida","-52.545833","-25.926667",NA,NA,"10",NA,NA,NA,NA,NA,NA
"18","2019-08-20 09:59:00-03","UNICAMP","UEC","170491","S","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","Herb.",NA,NA,"Dutilh, JHA","s.n.","1994","11","03","Brazil","Santa Catarina","São Joaquim","Estrada São Joaquim a Bom Jardim da Serra, km 28.",NA,NA,NA,"UEC010305","UEC010305",NA,NA,NA,NA,"Liliopsida","-49.9317016601562","-28.2938995361328","48290","auto",NA,NA,"1340","1340",NA,NA,NA
"19","2020-12-21 16:11:34-03","MBM","MBM","12943","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","guarapuavicum","Hippeastrum guarapuavicum","(Ravenna) Van Scheepen","Dutilh, J.","1995","Hatschbach, G.; Ravenna, P.; Ravenna, P.","23129","1969","12","05","Brazil","Paraná","Laranjeiras do Sul","Km 127",NA,NA,"Campo oco, limpo. Flor alva, tépals interno com algumas nervuras vermelhas. Unicata","MBM012943","MBM012943",NA,NA,"Southern America",NA,NA,"-52.4160995483398","-25.4078006744385","28404","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:11:34-03","MBM","MBM","48071","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","guarapuavicum","Hippeastrum guarapuavicum","(Ravenna) Van Scheepen","Ravenna, P.","1981","Hatschbach, G.","37331","1975","10","24","Brazil","Paraná","Guarapuava","Cantagalo",NA,NA,"Campo rochoso úmido (lageado), flor alva, tépalas internamente com duas riscas vermelhas largas","MBM048071","MBM048071",NA,NA,"Southern America",NA,NA,"-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:11:34-03","MBM","MBM","17368","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","guarapuavicum","Hippeastrum guarapuavicum","(Ravenna) Van Scheepen","Ravenna, P.","1986","Hatschbach, G.","7495","1960","10","23","Brazil","Paraná","Imbituva","Imbituva",NA,NA,"Do campo limpo. Flor alva rajada de vermelho. Unicata","MBM017368","MBM017368",NA,NA,"Southern America",NA,NA,"-50.6044006347656","-25.2299995422363","24222","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:11:34-03","MBM","MBM","3773","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","guarapuavicum","Hippeastrum guarapuavicum","(Ravenna) Van Scheepen","Ravenna, P.","1986","Hatschbach, G.","15184","1966","10","20","Brazil","Paraná","Guarapuava","Candói",NA,NA,"Do campo algo úmido, flor alva, pétalas com dois traços avermelhados na parte inter,","MBM003773","MBM003773",NA,NA,"Southern America",NA,NA,"-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA,NA,NA
"23","2015-09-03 20:32:39-03","MNHN","RECOLNAT_MNHN_P","P01792686","PreservedSpecimen",NA,"Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.",NA,NA,"?",NA,"1936","7","18","Peru",NA,NA,"Andes du Perou. Peru",NA,NA,". . Hippeastrum a bandes. Don de l´Universyté de Caen reçu le 6 novembre 1974 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01792686' target='other'> <mi>dwc_moreinfo</mi></a>","P01792686","P01792686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA
"24","2015-09-03 20:27:02-03","MNHN","RECOLNAT_MNHN_P","P02156900","PreservedSpecimen",NA,"Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.",NA,NA,"Glaziou",NA,"1873","10","30","Brasil","Rio de Janeiro","Rio de Janeiro","São Cristovão.",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02156900' target='other'> <mi>dwc_moreinfo</mi></a>","P02156900","P02156900_01",NA,NA,NA,NA,NA,"-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,"hb","6995",NA
"25","2021-02-11 17:17:48-03","UFPR","UPCB","6985","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'hér.) Herb.","Büneker, H.M.","2016","Hatschbach, G.","15184","1966","10","20","Brasil","Paraná","Guarapuava","Condoi",NA,NA,"Do campo algo úmido, flor alva, pétalas com dois traços avermelhados na parte interna..",NA,NA,NA,NA,NA,NA,NA,"-51.4580993652344","-25.395299911499","53832","auto","06","01",NA,NA,NA,NA,NA
"26","2010-05-19 22:32:00-03","MO","MOBOT","2452070","PreservedSpecimen","Plantae","Amaryllidaceae","Amaryllis","guarapuavica","Amaryllis guarapuavica","Ravenna",NA,NA,"P. Ravenna|Gert G. Hatschbach","Ravenna 1038","1969","12","5","Brazil","Paraná",NA,"Prope Km 127 mun. Larajeniras do Sul civitatis Paraná Brasiliae",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2013-12-08 11:37:00-02","MO","MOBOT","2188294","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","guarapuavicum","Hippeastrum guarapuavicum","(Ravenna) Van Scheepen",NA,NA,"G.J. Seijo|et al.","Seijo 1972","1999","10","11","Argentina","Misiones","Capital","camino entre Fachinal y Ruta Nac. 14",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2009-08-07 05:41:00-03","MO","MOBOT","2492757","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","guarapuavicum","Hippeastrum guarapuavicum","(Ravenna) Van Scheepen",NA,NA,"Émile Hassler","Hassler 4669",NA,NA,NA,"Paraguay","Canindeyú",NA,"Sierra de Maracayú, in regione fluminis Curuguaty",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2012-04-12 05:10:00-03","MO","MOBOT","100274770","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","A. Fuentes (LPB)",NA,"Alfredo F. Fuentes|H. Huaylla|Roberto Vásquez|Raúl Lara R.","Fuentes Claros 13367","2008","8","22","Bolivia","La Paz","Bautista Saavedra","Area Natural de Manejo Integrado Apolobamba, Florida, entre Apolo y Charazani.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"-68.5447222","-15.1686111",NA,NA,NA,NA,"1000.00000000",NA,NA,"08-145","1"
"30","2015-01-31 23:22:00-02","MO","MOBOT","2188373","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.",NA,NA,"A. de Llamas","Llamas 1899","1901","11","24","Argentina","Misiones","Candelaria","Santa Ana",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"-55.58333","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2010-11-13 04:25:00-02","MO","MOBOT","2452325","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.",NA,NA,"Roberto M. Klein","Klein 4085","1963","10","28","Brazil","Santa Catarina",NA,"Campos Novos. Palmares",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,"900.00000000",NA,NA,NA,NA
"32","2009-08-25 05:45:00-03","MO","MOBOT","3009456","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.",NA,NA,"Calaway H. Dodson|P.M. Dodson","Dodson 11720","1981","10","10","Ecuador","Azuay",NA,"Plants cultivated in the garden of M. & S. Jaramillo at Chullabamba, 10 km N of Cuenca.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"-78.906","-2.842",NA,NA,NA,NA,"2320.00000000",NA,NA,"160",NA
"33","2018-05-23 12:20:00-03","MO","MOBOT","3029133","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","A.W. Meerow",NA,"Gert G. Hatschbach","Hatschbach 7495","1960","10","23","Brazil","Pará",NA,"Imbituva (Mun.)",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","1804662","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum tweediana",NA,NA,NA,"M. Cárdenas","2281","1942","4",NA,"Bolivia","Cochabamba",NA,NA,NA,NA,NA,"US00042707",NA,"Monocotyledonae","Liliales","South America - Neotropics","tweediana",NA,NA,NA,NA,NA,NA,NA,"2550","2550",NA,NA,"1"
"35","2020-09-12 05:00:02-03","US","US","2691515","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Dutilh, Julie H. A.",NA,"G. Hatschbach","15184","1966","10","20","Brazil","Paraná","Guarapuava","Candoi",NA,NA,NA,"US00224857","US00224857_01","Monocotyledonae","Liliales","South America",NA,NA,"-51.4580993652344","-25.395299911499","53832","auto",NA,NA,NA,NA,NA,NA,"1"
"36","2020-09-12 05:00:02-03","US","US","2429887","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Dutilh, Julie H. A.",NA,"M. Cárdenas","6097","1959","11",NA,"Bolivia",NA,NA,"Tungas de cora",NA,NA,NA,"US00042761",NA,"Monocotyledonae","Liliales","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,"800","800",NA,NA,"1"
"37","2020-09-12 05:00:02-03","US","US","3146342","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Dutilh, Julie H. A.",NA,"R. A. Wasum","5023","1988","12","7","Brazil","Rio Grande do Sul",NA,"Caxias do sul - ana rech - faxinal",NA,NA,NA,"US00042479","US00042479_01","Monocotyledonae","Liliales","South America",NA,NA,NA,NA,NA,NA,NA,NA,"700","700",NA,NA,"1"
"38","2020-08-20 14:54:38-03","UFSC","FLOR","66865","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","Funez, L.A.","2019","Funez, L.A.; Costa-Rezende, D.H.; Ribeiro-Nardes, W.; Comin, M.","8239","2018","11","10","Brasil","Santa Catarina","Urubici","Parque Nacional de São Joaquim. Santa Bárbara, próximo ao alojamento. Parque Nacional de São Joaquim","49º38'7''W","28º8'30''S","Erva. Capítulos estramíneo Habitat: Campo natural Habito: Erva","FLOR0066865","FLOR0066865_01 FLOR0066865_02",NA,"Asparagales",NA,NA,NA,"-49.635278","-28.141667",NA,NA,"04","10","1360","1360",NA,NA,NA
"39","2021-03-04 15:42:02-03","IF","SPSF","02311","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum",NA,NA,NA,"D.Bento Pickel",NA,NA,NA,NA,"Brasil","SP","Carapicuiba",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Liliopsida","Liliales","América do Sul",NA,"Magnoliophyta","-46.8300018310547","-23.5200004577637","7241","auto",NA,NA,NA,NA,NA,NA,NA
"40","2014-10-09 13:58:12-03","UHH","HBG","514067","S","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L'Hér.) Herb.","HBG-formal name change","2014",NA,NA,NA,NA,NA,"Brazil",NA,NA,"from Brazil (?)",NA,NA,"colour plate, Tab. 12 after J. Lindley together with the description;ex Herb. Fr. Kränzlin Herbarium Hamburgense Evacuated and inaccessible 1943-1992","HBG514067",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"05","05",NA,NA,NA,NA,NA
"41","2017-09-11 17:06:42-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Amaryllidaceae","Amaryllis","vittata","Amaryllis vittata","L'Hér.",NA,NA,"?","s.n.",NA,NA,NA,"Brazil",NA,NA,"in Brasiliae orientalis sylvis locis petrosis.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-02-08 12:50:40-03","UFRGS","ICN","022441","S","Plantae","Amaryllidaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L.#?#Hér) Herb.","Büneker, HM","2015","Porto, ML","s.n.","1972","12","28","Brasil","RS","Canela","Parque do Caracol.",NA,NA,"Petalas rajadas de vermelho; Coletada das pedras, junto a cascata do fundo do vale. Trans.12.44",NA,NA,NA,NA,"América do Sul",NA,"Monocotyledon","-50.815601348877","-29.3656005859375","16452","auto","10","22",NA,NA,NA,NA,NA
"43","2019-10-04 16:06:04-03","MCN-FZBRS","HAS","5264","PreservedSpecimen","Plantae","Amaryllidaceae","Hippeastrum","aff. vittatum","Hippeastrum aff. vittatum var. tweediana","Herb.","Dutilh, J.","1994","Porto, M.L.","s.n.","1972","12",NA,"Brasil","Rio Grande do Sul","Canela","Parque do Caracol",NA,NA,"coletada das pedras; junto a casta no fundo do vale; pétalas rajadas de vermelho","HAS0005264",NA,NA,NA,NA,"var. tweediana","Magnoliophyta","-50.815601348877","-29.3656005859375","16452","auto","11","30",NA,NA,NA,NA,NA
"44","2020-08-26 10:49:26-03","MCN-FZBRS","HAS","93428","PreservedSpecimen","Plantae","Liliaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L Hér.) Herb.",NA,NA,"Mattos, J.","12149","1964","11",NA,"Brasil","Santa Catarina",NA,"no Km 23 da rodovia Mattos Costa-Caçador",NA,NA,"Flores vermelhas, com o centro das pétalas esverdeado. Ovário sem sulcos, externamente.","HAS0093428",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-08-26 10:49:26-03","MCN-FZBRS","HAS","93419","PreservedSpecimen","Plantae","Liliaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L Hér.) Herb.","Büneker, H. M.","2017","Silveira, N.","9424","1988","09",NA,"Brasil","Rio Grande do Sul","Maquiné",NA,NA,NA,"No mato. Flores avermelhadas","HAS0093419",NA,NA,NA,NA,NA,"Magnoliophyta","-50.2071990966797","-29.6749992370605","28094","auto","06","19",NA,NA,NA,NA,NA
"46","2020-08-26 10:49:26-03","MCN-FZBRS","HAS","93420","PreservedSpecimen","Plantae","Liliaceae","Hippeastrum","vittatum","Hippeastrum vittatum","(L Hér.) Herb.","Büneker, H. M.","2017","Mattos, J.","31479","1988","10",NA,"Brasil","Rio Grande do Sul","Nova Prata","Estação Experimental",NA,NA,"nativa, num banhado. Flores brancas com o fundo e as estrias vermelhas","HAS0093420",NA,NA,NA,NA,NA,"Magnoliophyta","-51.6100006103516","-28.783899307251","18634","auto","06","19",NA,NA,NA,NA,NA
"47","2020-08-26 10:49:26-03","MCN-FZBRS","HAS","93423","PreservedSpecimen","Plantae","Liliaceae","Hippeastrum","aff. vittatum","Hippeastrum aff. vittatum","Hert","Dutilh, J.","1994","Mattos, J.","7566","1960","02",NA,"Brasil","Santa Catarina","São Joaquim","Invernadinha",NA,NA,"Numa capoeira. Flores brancas e rajadas de vermelho","HAS0093423",NA,NA,NA,NA,NA,"Magnoliophyta","-49.9317016601562","-28.2938995361328","48290","auto","11","30",NA,NA,NA,NA,NA
